"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"1",0.503276915000004,0.0492439050000014,-0.00514168499999928,-0.000276345000000532,-0.00411003000000032,-0.0013746599999996,-0.000526285000000225,-0.00172276499999878,-0.00973992500000056,6.06449999993628e-05,-0.00950341999999954,-0.00668704999999974,-0.00611699499999995,0.000870919999999627,-0.000951704999999539,-0.00510222999999974,-0.00287629500000092,-0.00458887000000173,0.00474753499999998,-0.00694661999999983,0.017837345,-0.00303959000000068,-0.00659552000000099,-0.00480055500000037,0.00527148999999953,0.0645865000000003,-0.00593536500000051,-0.00309506000000022,0.00903291499999985,-0.00187722000000078,0.00160175500000094,-0.00467121499999972,-0.00791113000000074,-0.0040622200000006,0.00509729499999994,-0.00368332499999965,-0.00888380999999992,0.00408457999999961,0.000222195000000194,-0.00121839500000115,-0.00540583500000009
"2",0.0492439050000014,0.494248114999998,0.00117160000000011,-0.000571689999999096,-0.00603277500000008,0.00497515000000032,0.000954215000000146,0.000673514999999693,-0.00253041500000054,0.00399267500000025,-0.0102979699999994,-0.00636338999999984,-0.00897826499999934,-0.00910356000000025,0.00486133000000164,-0.00691697000000069,-0.00621840999999943,0.000618449999999174,0.00526748999999961,0.00397954500000014,-0.00376536499999898,-0.00422735500000067,-0.00327067999999992,-0.010535815,-0.00567595000000097,0.137181320000001,-0.00585169500000122,-0.00375931499999907,-0.00236178999999959,0.0046016700000017,0.000193174999999907,0.00495825499999984,0.000209505000000264,-0.00353372500000149,-0.00404270500000028,0.000305845000001214,-0.00254292999999995,0.00192142999999919,0.0062202649999997,-0.00890777000000147,-0.0121245049999991
"3",-0.00514168499999929,0.00117160000000011,0.493971155000001,-0.00507910999999971,0.110775935,0.14543495,-0.00318341499999984,-0.00190531000000017,0.14441,0.00128497999999968,-0.00411498000000093,-0.00152223500000019,0.000391764999999495,-0.00591941500000036,-0.00780194999999943,0.00977139999999882,-0.0144677500000003,-0.00353815500000074,0.0724045499999997,0.00692765500000063,0.000294524999999771,-0.00412724999999994,-0.00677454999999881,-0.0106841350000003,-0.00606844999999982,-0.000408030000000545,-0.00210355000000032,-0.0122520449999999,-0.00281743999999997,-0.00776494999999902,0.00911459500000073,-0.00481219499999974,0.0123048599999997,-0.00240791000000097,0.00340723999999857,-0.00223896499999995,-0.00904374499999983,0.00668473999999962,0.0116722400000013,-0.0120506950000003,-0.00990499500000022
"4",-0.000276345000000527,-0.000571689999999102,-0.00507910999999972,0.504840425,-0.00717670500000023,0.00241399999999949,0.00207894499999876,-0.00556174500000151,-0.00130380500000098,-0.00682786499999991,-0.000236125000000317,-0.0110119099999994,-0.00204413499999958,-0.00378001999999965,-0.00110018000000037,-0.00799315000000034,-0.0077563949999988,-0.00112564999999877,0.00157532499999989,-0.00950651000000128,-0.00894452500000062,-0.015391,-0.00489875999999941,0.00123954500000051,-0.00325137999999836,0.000273870000000807,-0.00151784500000097,0.14975532,-0.00750351000000037,-0.00729474499999989,0.00295063500000028,0.00273688500000003,-0.00514236500000034,-0.00219283499999928,-0.00628568000000029,0.00136954999999871,-0.0141410100000001,-0.00848542999999878,-0.0109350299999997,0.000748735000000896,-0.00545949500000114
"5",-0.00411003000000033,-0.00603277500000008,0.110775935,-0.00717670500000023,0.506175040000001,0.0451552099999995,-0.00771225499999991,-0.000775014999999717,-0.00540122999999934,-0.00264302499999941,-0.0134067150000001,-0.0149380749999997,-0.0046085300000006,0.113495235,-0.00921814999999978,-0.00855362000000074,0.0131221299999994,-0.00731500000000064,0.164482065,-0.00827418500000002,-0.00762678000000038,0.00448753000000043,0.00145624500000033,-0.00813429000000067,-0.00250142499999966,-0.00743900499999992,-0.00510521499999962,-0.00376978500000101,-0.00247605499999951,0.0023424500000009,-0.00108009000000024,-0.0036673150000005,0.00117024499999997,-0.00993838499999997,-0.0128957249999999,-0.012053995000001,0.00637784500000073,-0.00557185500000016,-0.000408345000000231,-0.00349594499999958,-0.00458387999999921
"6",-0.00137465999999961,0.00497515000000031,0.14543495,0.00241399999999949,0.0451552099999995,0.50320361,-0.0028348450000005,-0.00517635999999947,-0.0125733900000007,0.00144456000000082,0.000213764999999904,0.000260584999999627,-0.00423349000000042,-0.00692532999999929,0.212736250000001,0.00153354499999967,-0.00926093500000038,-0.0103610349999987,0.154602689999999,0.000308169999999074,-0.00422022999999971,-0.00429211499999969,-0.00606984000000147,-0.0138385550000001,-0.0102846649999999,0.00185673999999965,-0.00904068999999986,0.00271225499999959,0.0001942450000014,-0.00823570499999998,0.00832753000000073,-0.00154496999999969,-0.00909168500000052,-0.00682201499999948,0.00501276499999986,0.00386994499999957,0.00139113500000025,0.00585410500000002,-0.00465808500000022,-0.011994159999999,-0.00413627499999954
"7",-0.000526285000000228,0.000954215000000145,-0.00318341499999984,0.00207894499999876,-0.00771225499999991,-0.0028348450000005,0.503907769999999,-0.00108171999999918,-0.00889061500000047,0.00191974999999927,-0.0109840749999997,0.000437770000000872,-0.00691813000000041,-0.0117647600000004,0.000874254999999537,-0.0048744049999996,-0.00259292999999991,0.186112674999999,-0.00698324499999983,0.00106171000000036,-0.000866325000000492,-0.00230813000000029,-0.00991633000000156,0.0057708799999999,-0.00771706500000052,-0.000751190000000318,2.08349999996474e-05,-0.00896568499999992,0.00142617500000091,-0.00679415000000124,-0.00707105999999831,-0.00432223999999992,0.00790928999999997,-0.00365257499999938,-0.0112132649999992,-0.00743065999999979,-0.0077019000000008,-0.00382833499999987,-0.00543239500000068,0.0890665800000002,-0.00272385000000004
"8",-0.00172276499999877,0.000673514999999688,-0.00190531000000018,-0.0055617450000015,-0.000775014999999714,-0.00517635999999947,-0.00108171999999918,0.498633020000001,-0.0123271199999999,-0.000198079999999851,-0.0113307349999995,0.0062120550000001,0.008406245,-0.0077014150000002,0.147470545,-1.95699999999457e-05,-0.000228009999999462,0.00534090500000001,8.69050000006907e-05,0.00195356499999944,-0.0163922250000006,-0.0111108199999998,-0.00579782500000038,-0.0149221649999994,-0.00653807000000051,-0.00653043000000017,-0.0088691599999996,-0.000252030000000188,-0.00317465999999991,0.00317702999999935,-0.00415945499999986,-0.00289912499999918,-0.00117042500000008,-0.00787916499999941,0.000915884999999722,-0.00611882499999915,-0.00471345500000089,0.00125876999999987,0.013157369999999,-0.00725583999999876,0.000819320000000856
"9",-0.00973992500000055,-0.00253041500000054,0.14441,-0.00130380500000098,-0.00540122999999933,-0.0125733900000007,-0.00889061500000048,-0.0123271199999999,0.500286195,-0.0122758049999994,0.00391738999999992,-0.0138403550000001,-0.00613102499999998,-0.00639816999999922,-0.00916926500000074,0.187330395000001,-0.00862727999999988,-0.00514719499999823,-0.00500699500000045,0.00120857999999949,-0.00245949499999997,-0.0105371500000002,-0.00194835499999981,-0.0102247399999996,-0.00351770499999918,-0.00650790999999936,-0.00374927999999889,-0.00706017499999934,0.00777578499999991,-0.00562355499999983,-0.000405175000000502,-0.00559355499999919,0.010351925000001,-0.00764169499999974,-0.00818102000000071,-0.00643367500000129,-0.0065806950000001,-0.00608138999999908,0.0045472450000006,-0.00878679999999979,0.00502652999999961
"10",6.06449999993667e-05,0.00399267500000025,0.00128497999999968,-0.00682786499999991,-0.00264302499999942,0.00144456000000082,0.00191974999999927,-0.000198079999999857,-0.0122758049999994,0.500960570000001,-0.0166693549999999,-0.0123000300000006,0.0113147549999995,-0.00806542499999945,0.000838664999999793,-0.00594637500000038,0.000717739999999736,-0.00171142499999907,-0.0081672700000003,-0.00789859499999996,-0.00450265999999965,-0.00753514499999939,-0.00969658999999906,0.00881419000000015,0.000433220000000802,0.008109715,-0.0069481699999995,-0.00260702999999952,0.000443519999999777,0.00614527500000098,-0.00695233000000118,-0.00700655000000034,0.132219885,3.98099999998294e-05,-0.00917480500000066,-0.00542447000000067,-0.00897917999999891,-0.0101147650000001,0.00895667999999912,-0.00459275499999944,0.00988590000000053
