"ID","iter","ns","bv","p","r"
"512508",16,20,1.88906466085826,0.0506394234998022,1
"512549",16,20,1.33877976693546,0.0140145789289449,1
"512553",16,20,1.36047091395462,0.0270713579935604,1
"512558",16,20,1.23582942136469,0.0189582208403673,1
"512589",16,20,1.7168177281984,0.0657241388438633,1
"512622",16,20,2.38724450902588,0.0934789797360311,1
"512623",16,20,1.23660350719237,0.0246018598357873,1
"512662",16,20,1.35066520783111,0.0212468612332259,1
"512663",16,20,2.08389770000684,0.0761477075585409,1
"512678",16,20,1.22479728864562,0.0179110986546379,1
"512688",16,20,2.08539670050195,0.066858213041358,1
"512717",16,20,1.40768112912268,0.0150927556173851,1
"512765",16,20,1.51827195414986,0.0501918940423267,1
"512777",16,20,1.50523040959568,0.0197960906479099,1
"512831",16,20,1.53348552651318,0.0267683833501748,1
"512847",16,20,1.5479967422737,0.0442051565271446,1
"512881",16,20,1.79904241190834,0.0403773374938761,1
"512934",16,20,2.19765147466546,0.046841087399507,1
"512935",16,20,1.32806998661851,0.0214587166534292,1
"512972",16,20,1.70351958103415,0.0357181667771741,1
"512981",16,20,1.3710637779739,0.0298814680094892,1
"512995",16,20,1.43807545867029,0.0234359408271384,1
"512996",16,20,1.15837197247294,0.0195805624883286,1
