"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
"1",0.494386105000002,0.12293518,-0.000727149999999937,-0.00534170999999923,-0.00915512499999959,0.00264108500000062,-0.00682139500000008,-0.000342280000000074,-0.00461724499999905,0.00286457000000021,-0.00781464500000059,-0.00806259000000012,-0.00630184999999965,-0.0124239550000003,-0.0050594150000003,-0.00202161499999939,0.00108856500000085,-0.00424851499999999,0.00151528999999972,-0.00175830500000058,-0.00101806500000115,-0.0157047299999997,-0.00356886500000059,-0.0038267350000002,0.000236229999999672,0.00470018999999972,-0.00651868500000026,0.00090926499999945,-0.00630458999999982,-0.000302749999999257,-0.00357689500000038,-0.00389093499999993,-0.00958904000000034,0.000952280000000325,-0.01312217,-0.00714523000000009,-0.0168358849999997,0.00043043999999855,0.000881185000000408,-0.0101591800000001,-0.00263783999999848,-0.00392394499999994,0.12543996,-0.00660798000000005,-0.00358747499999969,-0.00618413000000034,0.00535966500000025,-0.00144888500000107,-0.00757556000000003,-0.00721862000000051,0.00233702500000001,0.00349250500000021,0.00415924499999974,-0.00411303500000001,-0.00502522000000057,0.0011399000000001,0.00663250500000056,-0.0089004549999985,-6.11000000008426e-05,-0.00416577999999977,0.00272089500000062,-0.005332619999999
"2",0.12293518,0.491585535,-0.00762131500000005,-0.0023377149999992,-0.00748417999999962,-0.00553644999999877,-0.0106987149999988,0.00244549999999971,-0.00250257000000008,0.190254999999999,-0.0161197249999993,-0.00822117500000033,-0.00635018499999941,0.0963871700000002,-0.0219934400000001,-0.00775749499999991,0.00206108999999943,-0.00316885000000003,-0.00345814500000038,-0.00794840500000006,0.00773308999999872,-0.00544054000000035,-0.00382750500000049,-0.00828065500000032,-0.00723011500000011,-0.0136224450000007,-0.00970065500000025,0.0110921299999993,-0.00720175499999936,-0.0004003399999997,0.00173489999999828,-0.0122131749999988,0.00830222999999955,-0.00680011999999764,-0.00447884500000011,-0.00873705500000015,-0.00780917499999933,0.000253440000000225,0.0919215499999994,-0.0037130249999991,-0.00302104499999889,-0.00633711500000112,-0.00997469999999871,-0.00472001499999928,-0.00176314500000035,-0.0102329350000006,-0.00665434500000011,0.00166461500000004,-0.00499401500000042,-0.0189517900000001,-0.00605062499999949,-0.0118598200000005,-0.0137928099999998,-0.00092515500000021,-0.00650734999999977,0.0880849400000004,-0.00731850500000031,-0.0123582699999991,-0.0133774899999985,-0.0170136800000004,-0.00553595000000004,0.00498319500000006
"3",-0.000727149999999931,-0.00762131500000006,0.488675805,0.00602271999999961,-0.00152061499999985,-0.00629165500000001,0.00242494500000058,0.00164898499999951,-0.000820119999999833,0.00254815999999987,0.00569247000000001,-0.00279167500000026,0.00495459000000093,-0.00135938999999969,-0.00519261000000062,0.000521870000000455,-0.000796574999999615,0.00243956500000036,-0.00455442000000038,-0.000885630000000059,-0.00530488000000052,0.00545680499999992,-0.00581213999999947,-0.00522601999999989,0.140308845,-0.00365658000000008,0.00639887499999978,-0.00933901499999894,0.0040045450000005,0.000902150000000482,-0.00697041500000002,-0.00101066999999988,-0.00343145999999928,-0.01006468,-0.00441508999999959,-0.00749824500000084,-0.000822960000000077,0.00118347500000043,0.0998967300000002,-0.00756831999999944,-0.00726770000000028,-0.00886255000000018,-0.00519039499999955,-0.00781980500000039,-0.000797055000000018,-0.0120161899999998,0.00577328499999978,-0.00850392499999954,-0.00282891000000051,0.00643829999999976,-0.00644016499999969,0.00123308999999973,-0.00316561000000014,0.0129428149999995,0.00355429000000006,0.00136510500000027,-0.00718552000000003,-0.0051506050000005,-0.00797486499999994,-0.00133194500000123,-0.00978444500000057,-0.0118585800000008
"4",-0.00534170999999922,-0.0023377149999992,0.0060227199999996,0.491135339999998,-0.0178013399999999,0.00063386499999835,-0.00213381499999983,-0.00603088499999989,0.00969749499999931,-0.00583341499999957,-0.0047566699999993,-0.00751830500000146,-0.0134970950000001,0.193712645,-0.00411299999999985,-0.0129908599999999,-0.00582769500000054,-0.0133969649999997,-0.00103986499999893,-0.00527379000000011,0.00301065000000026,-0.00357887000000063,0.000976524999999977,0.00211601999999922,-0.00249285999999977,0.00919102499999974,-0.00320527500000056,-0.00750143999999995,0.000701890000000168,-0.00987405499999883,-0.0031213600000004,0.00252922499999989,-0.0103686250000001,0.0121731849999995,-0.00827807499999974,-0.00169204000000056,-0.00603095500000039,-0.00422424500000026,-0.00185365999999997,0.00479170499999958,0.00237390999999839,0.00488806500000086,0.00074646499999989,-0.0109587250000002,-0.0112220799999998,0.00256329499999947,-0.00185942500000017,-0.0137337649999999,-0.00191314000000053,-0.00971115999999988,0.000939920000001209,-0.00171395499999939,-0.00916879500000008,0.00295532000000068,-0.00958784000000025,0.0103319750000004,-0.00259096000000071,0.00299455999999914,0.00401871500000019,-0.00646208999999985,-0.00105383499999994,0.00119990499999935
"5",-0.00915512499999961,-0.00748417999999963,-0.00152061499999985,-0.0178013399999999,0.500221524999999,-0.00464688500000115,0.00470498499999808,-0.00510462999999992,-0.00720591500000005,-0.00654347999999904,-0.00992513000000031,-0.00723508500000117,0.0945828000000004,-0.0111185799999999,-0.00418028999999868,-0.000635969999999467,0.0211659550000018,-0.0051135150000001,-8.37449999988127e-05,-0.00161786000000033,-0.00482253999999817,0.0020756999999991,-0.00523644499999965,-0.0129519800000007,-0.0115292250000006,0.00318234500000063,0.000762809999999149,-0.00209595000000172,-0.00578380499999976,0.164038944999999,0.00616200000000145,-0.00826240500000063,-0.00857748499999899,-0.0173992800000007,0.00794825999999824,-0.0033034450000004,-0.00127001499999837,-0.00571955999999936,-0.00388162499999956,-0.0111245649999992,0.0933827449999979,-0.00559197499999982,-0.0112925349999996,-0.00224482500000149,0.024199249999999,-0.00285238000000032,-0.00316365999999972,-0.00273511000000065,-0.00843165000000033,-0.00372071499999909,0.00349441999999897,0.00276573499999977,-0.00779079999999938,-0.0041562399999998,-0.00347585499999923,-0.00313189000000001,-0.000841249999999053,-0.00665814000000196,-0.00636291999999994,0.0113438800000022,0.0043741700000012,-0.00983959500000186
"6",0.00264108500000062,-0.00553644999999877,-0.00629165500000001,0.000633864999998349,-0.00464688500000116,0.49528236,0.000131255000000342,-0.00126038499999968,-0.000315399999999654,-0.0116157899999994,-0.00364940999999977,-0.00341850999999977,-0.00360201000000041,-0.00391130999999936,-0.010737005,-0.003959835000001,0.00475585499999933,-0.00762508999999973,-0.0131052749999992,-0.0047544049999997,-0.00194404000000003,-0.0114111550000002,-0.000469599999999685,0.00658676999999943,-0.00663443500000001,-0.00455868999999862,-0.007203185,-1.74699999994697e-05,-0.00647669000000065,-0.0078776900000001,-0.00348904499999879,-0.00197437500000112,-0.00155956999999969,0.141219529999997,-0.00684000500000019,0.00296412000000023,-0.0108211149999997,-0.00335578499999983,0.00831300000000017,-0.00744917000000154,0.0562178799999987,-0.00503122500000044,0.0920280749999989,-0.0141453850000006,-0.0101612000000002,-0.00284246000000016,-0.00893701499999964,0.00559393000000058,-0.00430579499999985,-0.00225766999999982,-0.00644435499999919,-0.011734315,-0.00416178499999932,0.00516845000000011,0.0122164199999998,-0.00339296499999877,-0.00734122500000018,0.166473839999999,0.130190929999999,-0.00622475500000058,-0.0036664449999999,-0.000909915000000046
"7",-0.00682139500000009,-0.0106987149999988,0.00242494500000057,-0.00213381499999983,0.00470498499999808,0.000131255000000344,0.504102644999999,-0.00377924999999979,0.00266537000000021,-0.0141622799999994,-0.00971294999999945,-0.00272380499999991,-0.000794250000001058,7.51499999995633e-05,-0.00991562999999908,-0.00250683000000026,-0.00648443999999915,0.0249522800000005,-0.00824549000000104,-0.00133569999999859,-0.00203655500000066,-0.00655702499999964,0.00589822999999917,0.000241190000000465,0.00637116000000035,-0.00587923999999867,-0.00602862500000021,-0.00140468500000025,0.000178529999999734,0.00191483499999826,-0.000836170000000892,-0.00138205000000026,-0.00154197000000036,0.00805022999999856,-0.00530286000000089,0.00375411000000041,-0.00446272000000053,-0.00615186999999998,0.0146816750000009,-0.015373150000001,0.0180547049999998,0.00312431999999952,0.00227124999999913,-0.00465050499999978,-0.00613856500000016,-0.00594610499999965,-0.00454912999999872,0.0202091749999992,-0.000697599999999137,-0.00906523499999964,0.00138723499999914,-0.000386620000000863,0.000741564999999704,-0.00780393499999862,-0.00113167500000045,0.0103019750000006,0.00330689000000035,-0.00353930999999982,0.00332966499999913,0.00358526500000031,-0.00390499499999996,-0.00299828499999953
"8",-0.000342280000000073,0.00244549999999972,0.00164898499999951,-0.0060308849999999,-0.00510462999999992,-0.00126038499999969,-0.00377924999999979,0.485741735000002,-0.00357252000000007,0.000819225000000664,-0.00936342999999906,-0.0136277900000002,-0.00371504000000014,-0.00282924499999971,-0.0117540550000002,0.00609167499999952,-0.00709228000000031,-0.0107506299999998,0.121443,-0.00780543000000026,0.00301512500000006,-0.00459196999999993,-0.00237905999999944,0.00314628000000016,0.0136073599999988,-0.0146119800000001,-0.011208085,0.011020935,-0.00549770000000065,-0.00649852499999993,-0.0130085549999998,0.000885285000001038,-0.00187992500000031,-0.00343012500000042,-0.00553856499999917,-0.0053443900000002,-0.00117985499999984,-0.0064851699999992,-0.00283394499999939,-0.00960586500000038,-0.00104602499999966,-0.00640246999999973,-9.37599999999845e-05,-0.00388651499999922,-0.00451481000000025,-0.00391444499999991,-0.00927880499999989,-0.00497892499999964,-0.00177209500000064,-0.0094739399999998,0.00186450500000037,-0.00801273999999962,0.0120828549999993,-0.000674150000000505,-0.00630961499999942,-0.00463708999999907,0.14338577,-0.00142427499999906,-0.00457130500000036,0.00362583999999871,0.0112698349999997,-0.00587501499999975
"9",-0.00461724499999904,-0.00250257000000007,-0.000820119999999827,0.00969749499999932,-0.00720591500000006,-0.000315399999999643,0.00266537000000021,-0.00357252000000007,0.489397959999999,-0.00489756000000047,-0.00822279499999951,-0.0035644449999997,-0.00247702500000001,0.0125366500000003,-0.000915159999999768,-0.00639442000000015,-0.0175402849999999,0.0016717500000001,-0.0107435749999995,-0.00678194999999956,0.000111460000000723,0.000261819999999613,-0.00608805499999991,1.15200000012947e-05,-0.00216139000000038,-0.0108074949999997,0.00821217500000007,0.00551776500000039,-0.00105731000000112,-0.0085962900000004,-0.00707194499999995,-0.00702926500000072,-0.00829505000000014,-0.0106830450000007,-0.00318142500000012,-0.00787655999999984,-0.00150515000000009,-0.00375509499999922,0.00469469500000024,-0.00634459000000007,-0.00690212000000032,-0.00301571000000029,-0.000502170000000097,-0.00974603000000048,-0.0011739349999998,-0.00606180500000028,-0.00424028500000063,-0.00602289499999954,-0.00530314499999958,-0.00939984999999995,0.00904560999999953,-0.00649855999999986,-0.00653516999999996,-0.00791694499999935,-0.0011678749999996,0.000988619999999827,-0.00711625499999967,-0.000440815000000093,-0.00405335999999975,-0.000615640000000677,-0.00891493999999962,0.126552755
"10",0.0028645700000002,0.190254999999999,0.00254815999999987,-0.00583341499999957,-0.00654347999999905,-0.0116157899999994,-0.0141622799999994,0.000819225000000667,-0.00489756000000048,0.508381355000001,-0.00905360499999928,-0.00628537000000056,-0.0106433449999998,0.0701304750000004,-0.0141807600000005,-0.00778402999999955,-0.00177319000000043,-0.0100371049999997,-0.000649024999998958,-0.00706146999999969,-0.00607634500000057,0.00219507000000113,-0.004747195,-0.00460513999999998,-0.00818080000000021,-0.00702729000000059,-0.0113091650000004,0.00399788000000029,-0.00879028500000019,0.00331913000000032,-0.00389138500000112,-0.00968511499999954,0.00426702999999966,0.00415878000000249,-0.0025574549999995,-0.00167941500000046,-0.011828825,-0.00590855999999931,0.0771150499999987,0.0021661550000006,-0.00346395999999979,-0.000495539999999576,-0.00206255499999986,-0.0124374800000004,-0.00821768500000084,-0.00773426000000042,-0.00262146000000051,-0.00943539000000096,-0.0087963899999994,-0.0158786450000003,0.00519979499999961,-0.00547789999999968,-0.0103733050000004,0.0101824599999997,-0.0141241450000007,0.0700126250000017,-0.000847030000000128,0.0028659550000015,-0.00623351999999932,-0.0212974549999999,0.00235238500000085,0.00233048999999948
