"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",0.498433939999999,-0.0139750650000015,-0.00837974499999982,0.00202812500000008,-0.00314301499999917,0.00387757499999954,-0.00240314000000011,-0.000695940000000784,-0.0066686849999993,-0.00796343999999943,0.0124850100000009,0.000256719999999818,-0.0107735649999995,-0.0041670749999993,-0.00518963000000056,-0.00472088000000053,-0.00980934500000137,0.00543886999999924,-0.00149402499999976,-0.00157406499999859,0.00213560999999962,-0.00243933000000128,-0.00842963500000063,0.0091904500000014,-0.0101987549999993
"2",-0.0139750650000014,0.491769880000001,-0.00587432999999975,-0.00829240000000072,0.000774170000000569,-0.00531193499999998,-0.00789482000000185,-0.00299106499999956,-0.0126194850000002,-0.00273785000000065,-0.00720474499999997,-0.00200665000000093,-0.0120699849999984,-0.00516914499999961,-0.00410549000000083,0.00628334500000077,-0.00565852000000026,-0.0100697100000006,0.00835991000000011,-0.000106175000000839,-0.00232072000000032,-0.0022621250000016,0.00506969000000022,0.00921000500000088,-0.00629887500000129
"3",-0.00837974499999983,-0.00587432999999975,0.490258049999999,-0.00234152000000035,-0.00867894500000083,0.00309544499999929,-0.0121843300000002,-0.00769264000000004,-0.00872619499999872,-0.0104787849999981,-0.00626800499999973,-0.00768004999999999,0.0047881900000002,-0.0102872599999995,-0.00368729999999848,-0.00152167500000035,-0.000360675000001381,0.00782247999999886,0.0159773049999999,0.104762195,-0.00857852499999969,0.14797866,-0.00134304999999995,0.186810795,-0.0143701850000001
"4",0.00202812500000008,-0.00829240000000071,-0.00234152000000034,0.49191324,-0.00524126500000008,-0.00553651999999989,-0.00213159000000021,-0.0101078450000002,0.0199770649999994,-0.00607804000000012,-0.0134175549999997,-0.00440526500000028,-0.0116190600000006,-0.00575277999999988,-0.00808227499999923,0.0041607950000002,-0.00298398499999929,-0.0097612750000003,-0.00400926500000024,0.000940360000000946,-0.00847798499999947,-0.0104293199999994,0.0673535899999992,0.00305804499999975,0.00949527500000104
"5",-0.00314301499999916,0.000774170000000567,-0.00867894500000083,-0.00524126500000008,0.481451280000002,-0.00428924499999962,0.00244916500000156,-0.014346295000001,-0.0041479249999996,-0.00787488999999958,-0.00751138999999997,-0.000763615000000162,-0.00047040499999962,0.0567633449999985,-0.00544418000000115,0.0819522600000004,-0.00691119000000069,-0.00970823500000026,0.119751735000002,-0.00717161000000003,-0.0101582350000009,-0.00746312000000217,-0.00396923500000075,0.00584478499999976,-0.00329904500000139
"6",0.00387757499999954,-0.00531193499999998,0.00309544499999929,-0.00553651999999991,-0.00428924499999963,0.491088419999998,-0.00778702499999845,-0.009368099999998,-0.00395997000000235,-0.00358195500000012,0.000533450000000781,-0.00819365999999975,0.164896674999999,-0.00295524500000035,-0.0065204750000005,0.0027659000000003,-0.00288041000000009,0.0018498300000011,-0.00588170500000081,0.00287890999999919,-0.00432461000000062,-0.00548903499999981,0.00754200500000078,-0.00142393999999982,-0.00832417999999994
"7",-0.00240314000000012,-0.00789482000000185,-0.0121843300000002,-0.00213159000000021,0.00244916500000156,-0.00778702499999845,0.494792830000001,-0.00404733500000079,-0.00860977999999807,0.00172612499999933,-0.00332379500000019,0.000614915000001634,-0.0101570449999995,0.0057051849999969,0.00453288499999864,-0.00481845000000001,-0.00217619999999992,-0.00479163499999911,-0.0105516799999982,-0.00281461000000087,-0.0058859500000008,-0.0089668849999999,-0.00237214000000114,-0.00418272000000086,-0.0115217800000016
"8",-0.000695940000000788,-0.00299106499999956,-0.00769264000000004,-0.0101078450000002,-0.014346295000001,-0.009368099999998,-0.0040473350000008,0.499647849999998,-0.000427894999999475,-0.000205169999999004,0.00685518999999985,0.00935724000000106,0.00434386999999984,0.0112808700000017,-0.00227702500000009,-0.00995155999999981,-0.0044092350000003,-0.00675920999999916,-0.011949185,-0.00598772999999884,0.151213534999999,0.00394644000000043,-0.00785665500000066,0.00216637499999908,-0.0163045300000009
"9",-0.00666868499999929,-0.0126194850000002,-0.00872619499999871,0.0199770649999994,-0.0041479249999996,-0.00395997000000235,-0.00860977999999807,-0.000427894999999476,0.499370819999997,-0.00675349500000021,0.106319595000001,-0.00467971499999927,-0.00708759000000079,-0.00491567499999901,-0.00437487999999946,-0.00420463500000014,-0.00374120999999805,-0.00967275499999941,-0.00429069000000052,-0.00431470999999922,0.00205447000000122,-0.000264854999999295,0.00218707000000083,-0.000228709999998696,4.31949999999289e-05
"10",-0.00796343999999943,-0.00273785000000064,-0.0104787849999981,-0.00607804000000012,-0.00787488999999957,-0.00358195500000011,0.00172612499999933,-0.000205169999998996,-0.0067534950000002,0.486175354999999,-0.0052482499999994,0.00149231999999926,0.00808452500000079,-0.000686034999998776,-0.00141005999999909,-0.0130366750000009,-0.00953821499999982,0.00966517499999974,-0.0044259599999999,-0.000615890000000561,-0.00763176500000048,-0.0155247199999997,0.00452416999999983,-0.00790556999999897,-0.00396522499999927
