"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.495547909999996,-0.0117641550000007,-0.00812056000000049,-0.000143744999999362,-0.0012339099999996,0.00189805500000057,-0.0147507849999998,-0.00694005999999968,0.000244280000000081,-0.0157704900000012,0.111358290000002,-0.0116043350000001,0.0107804049999994,0.00653066500000047,-0.00250044500000051
"2",-0.0117641550000007,0.495879515,-0.0184151250000023,0.0281405000000007,-0.00245699499999984,0.0161603699999999,0.14270511,-0.00417176500000195,-0.0132233250000004,0.0138388350000004,-0.013355545,0.0950530400000003,-0.00651971000000027,0.00304659499999822,0.00147200500000028
"3",-0.00812056000000048,-0.0184151250000023,0.501225260000002,-7.66399999998569e-05,0.00314650500000094,-0.00854542499999925,0.00266615999999976,-0.00969306999999973,0.0183906250000004,-0.00735466500000059,-0.00438862499999977,-0.00432799500000037,-0.00282031999999934,0.00240470499999975,-0.00619035500000031
"4",-0.000143744999999361,0.0281405000000007,-7.66399999998583e-05,0.515619604999999,-0.00304143500000057,-0.00912928000000047,0.129120615,0.000783204999999948,-0.006210940000001,0.190633215000001,-0.00313269500000067,0.132907924999999,0.000114495000000936,-0.0110499749999991,0.00336426000000002
"5",-0.00123390999999961,-0.00245699499999984,0.00314650500000095,-0.00304143500000057,0.489066540000001,-0.0095188849999997,-0.00404243499999989,-0.00724617499999949,-0.00175432499999967,-0.0218444950000005,-0.00252005999999954,-0.00535905500000018,1.42899999999895e-05,0.00569369500000082,-0.00444179499999962
"6",0.00189805500000057,0.0161603699999999,-0.00854542499999925,-0.00912928000000046,-0.00951888499999969,0.500135555000001,0.0102531149999997,-0.00702217999999905,-0.00132739500000017,0.00350034499999972,0.00592348499999998,0.00584575500000063,0.00377792500000083,0.00516516000000034,0.0163349050000001
"7",-0.0147507849999998,0.14270511,0.00266615999999976,0.129120615,-0.00404243499999989,0.0102531149999997,0.506669120000001,0.000998849999998421,-0.000700745000000249,0.0876804800000008,-0.00541668500000082,0.146537745,-0.002817175,-0.00590486000000152,-0.00909382999999998
"8",-0.00694005999999967,-0.00417176500000195,-0.00969306999999974,0.000783204999999965,-0.00724617499999949,-0.00702217999999905,0.000998849999998421,0.490237805000001,-0.00305300499999983,-0.000942225000000278,-0.000395819999998997,0.00241508000000052,-0.00431715999999916,-0.00350297499999814,-0.00517759499999936
"9",0.000244280000000083,-0.0132233250000004,0.0183906250000004,-0.00621094000000101,-0.00175432499999967,-0.00132739500000016,-0.000700745000000251,-0.00305300499999983,0.491178205000001,0.00106200000000005,-0.0029820450000004,-0.00160477000000059,0.126160849999999,-0.00781157500000021,-0.00518290499999918
"10",-0.0157704900000012,0.0138388350000003,-0.00735466500000059,0.190633215000001,-0.0218444950000005,0.00350034499999973,0.0876804800000008,-0.000942225000000291,0.00106200000000005,0.490443529999999,-0.00305828499999877,0.116316945,-0.00523222999999947,-0.0158328349999993,0.0207489750000004
"11",0.111358290000002,-0.013355545,-0.00438862499999977,-0.00313269500000068,-0.00252005999999955,0.00592348499999999,-0.00541668500000083,-0.000395819999998992,-0.00298204500000039,-0.00305828499999876,0.50439493,-0.0120669000000007,0.00265949500000077,0.096789045000001,0.00211877500000051
"12",-0.0116043350000001,0.0950530400000003,-0.00432799500000037,0.132907924999999,-0.00535905500000016,0.00584575500000063,0.146537745,0.00241508000000053,-0.00160477000000059,0.116316945,-0.0120669000000007,0.505245289999998,-0.00890867999999888,-0.00879039999999931,-0.00212991499999929
"13",0.0107804049999994,-0.00651971000000028,-0.00282031999999933,0.000114495000000929,1.42899999999952e-05,0.00377792500000083,-0.002817175,-0.00431715999999916,0.126160849999999,-0.00523222999999947,0.00265949500000077,-0.00890867999999889,0.499853114999999,-0.00295492999999933,0.00517634000000039
"14",0.00653066500000046,0.00304659499999822,0.00240470499999974,-0.0110499749999991,0.00569369500000081,0.00516516000000034,-0.00590486000000151,-0.00350297499999814,-0.00781157500000022,-0.0158328349999992,0.096789045000001,-0.00879039999999931,-0.00295492999999933,0.488268770000001,-0.00340340999999968
"15",-0.00250044500000052,0.00147200500000029,-0.00619035500000032,0.00336426000000002,-0.00444179499999963,0.0163349050000001,-0.00909382999999997,-0.00517759499999936,-0.00518290499999918,0.0207489750000004,0.00211877500000052,-0.00212991499999928,0.00517634000000039,-0.00340340999999968,0.493595029999999
