"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67"
"1",0.493440739999998,-0.00563425000000069,0.00423184500000019,0.167639799999999,-0.00688731000000086,-0.00281112499999963,0.00429936500000179,-0.00369816499999787,-0.00101633000000094,-0.00235732999999991,-0.00050459000000057,0.00470881499999874,2.65950000004439e-05,-0.00608703500000013,-0.00664739500000167,-0.00459147999999911,-0.00146464000000001,0.00259246000000011,-0.000596564999999671,0.000664899999999987,-0.0115353250000008,-0.00490639999999778,-0.00807409499999954,-0.00133280000000004,-0.00250152000000105,-0.0112063400000005,-0.00521471999999983,-0.00486784500000007,-0.00695546999999894,-0.00625278999999886,-0.00449774500000042,-0.00258699,-0.00277772499999869,-0.00701748500000088,0.000787489999999942,-0.00145989499999947,-0.00979795000000049,-0.0127507400000004,0.00412064500000101,-0.00382948499999919,0.126555509999998,-0.00809626499999938,-0.00218805499999887,0.0128360700000019,-0.0030772200000005,-0.000758930000000203,-0.00353840499999899,-0.00482673500000019,-0.00352345499999873,-0.00412102500000062,0.0770883999999988,-0.00872134999999948,-0.00683773500000081,-0.00448215000000057,-0.0045766749999997,-0.0101071600000007,-0.00508332999999791,-0.00384512000000011,-0.00588158000000058,0.00143644000000045,-0.0121495949999997,0.120766079999998,-0.00999334999999876,-0.0038547450000017,-0.0031413750000005,-0.00247510499999977,-0.00346552000000079
"2",-0.00563425000000069,0.496698969999997,-0.00485769000000095,-0.00028441000000009,-0.0107206950000002,0.00416692000000012,0.000933425000000419,0.0394238399999991,-0.00938444999999953,-0.00891575999999946,-0.00296115499999963,-0.0166945100000005,-0.00482882499999973,0.00603839500000019,-0.00283422500000046,0.00327304500000022,-0.00914506499999946,0.00126417500000084,0.0048079450000007,-0.00866024500000093,-0.00766601000000103,-0.00800311999999917,0.00309573500000066,0.00604954500000028,0.00630073499999834,0.000527704999999449,-0.00347039499999947,-0.00736479499999988,-0.00257866999999944,0.00360761500000047,-0.0088282399999993,0.00595781499999878,-0.000681379999999954,0.00403731000000004,0.1593555,-0.00276391499999972,-0.010245620000001,-0.00882477499999947,-0.00804980500000024,-0.00240185000000026,-0.000920460000000258,0.00638272500000023,-0.00754730999999983,0.00425860000000075,-0.00163177499999967,-0.00152506000000071,0.00342698000000086,0.00768606499999873,-0.0042073250000001,0.0157150649999993,-0.0072137100000005,-0.00324681999999847,-0.00856615499999965,-0.00941390499999907,-0.0033599700000003,-0.00410184499999984,0.00338129499999855,0.0376308650000003,-0.00688353499999995,-0.00697335999999924,0.00850174500000052,-0.00122545500000047,0.00114170000000067,-0.0018002900000007,-0.00516979500000052,-0.00668129999999873,0.00317657500000037
"3",0.00423184500000019,-0.00485769000000095,0.501945814999999,-0.00340196499999905,-0.00544796,-0.00565242999999937,0.20183822,-0.00669172500000035,-0.0100585400000002,-0.00734486999999957,-0.00401575999999929,-0.0131743049999996,0.182364675,-0.00263669499999951,0.00114071000000055,-0.00221081500000105,-0.00609831999999938,0.000788545000001706,-0.0105038699999997,-0.0083948000000003,0.140124075,-0.00684515499999995,0.000722680000000128,0.00487152499999984,-0.00309647000000021,0.0049085300000005,-0.0135955900000005,-0.0102311800000006,-0.0115344549999998,0.155598005,-0.0110688300000008,0.00349296999999986,-0.00589824500000023,-0.00654286999999943,0.00133713499999919,0.0183402100000007,-0.000338539999999169,-0.00854151999999912,-0.00783600500000037,0.0101517750000002,0.00443064000000047,-0.00760726999999994,-0.0080428800000001,-0.0106996799999994,-0.00716773499999993,-0.00512639499999891,-0.00982027500000047,-0.0155091100000005,0.000717899999999723,-0.0100222749999992,-0.00836200000000016,-0.00107074500000032,-0.00591051999999969,-0.00800113500000046,-0.00460903999999968,-0.00806508499999943,-0.0132710500000016,-0.00310332499999954,-0.00204275499999927,-0.0136463250000009,-0.0020637650000002,-0.00168725499999968,-0.00217580499999992,-0.00119940500000033,-0.0033714699999997,-0.0178421,-0.00560708499999969
"4",0.167639799999999,-0.00028441000000009,-0.00340196499999905,0.493573519999997,-0.0103038149999994,0.201733709999999,-0.00332225499999834,-0.00760975999999993,0.00579946499999978,0.00271269000000078,-0.00475382000000048,-0.00367642500000056,-0.00377080999999938,0.12538715,0.000626625000000254,-0.00465218000000013,-0.00560912500000035,-0.00825992500000111,-0.00149487500000039,-0.000792904999998523,-0.00434531,-0.00852995999999974,-0.0135029200000009,0.001272174999999,-0.0118642250000003,-0.0141465900000001,-0.00652463500000011,-0.00725950500000028,-0.00203324999999968,-0.0041922899999993,-0.00477909999999866,-0.0171698349999999,-0.006002255,-0.00467462000000065,-0.0010666699999998,8.49050000001366e-05,-0.00654839000000012,-0.00984509499999983,-0.00814018500000001,0.00352422500000023,0.184212214999999,-0.0131854100000006,-0.00448624999999964,0.00233615000000114,-0.00866901999999913,0.00203179999999908,-0.00194617999999894,-0.000238909999998989,-0.00417173000000029,0.0876694949999996,0.0629386099999992,-0.0100787150000001,0.000799390000000452,-0.000160265000000656,-0.00653694500000105,0.00739750499999946,-0.0049742649999991,-0.00821455000000096,-0.0168622500000008,-0.00158872499999864,-0.00656704999999939,0.192511604999998,-0.000668019999999063,-0.00515328499999991,-0.00208201500000009,-0.00620139499999928,-0.0035088249999999
"5",-0.00688731000000085,-0.0107206950000002,-0.00544796000000001,-0.0103038149999994,0.492514839999999,-0.000980079999999092,-0.00247599499999993,-0.00565127500000065,0.00317542499999971,0.0044085950000009,-0.00620998000000032,-0.00936888999999957,-0.000136670000000046,-0.00031148000000026,-0.00308659999999956,-0.00487922000000064,0.00218683999999943,0.021815665,0.00157227000000072,0.0180415849999996,-0.0111342399999994,-0.00556439999999967,-0.00501564999999944,0.00207155499999925,0.128478375,0.0032895100000006,0.00404836500000032,-0.00419243500000026,0.00524699499999989,-0.00871826999999984,0.102632895,-0.00840158499999966,-0.00131170499999928,0.000300625000000092,-0.0076592100000011,-0.00452482499999953,-0.0135956099999992,0.000296925000000403,-0.00262415999999961,-0.0119593449999993,-0.00401807999999978,-0.00625380500000015,-0.00217228000000087,0.000203985000000141,-0.00745889000000037,0.00284500000000072,-0.00382173999999982,-0.00948696000000007,-0.01198795,0.00340079000000022,-0.00724568500000019,0.00340051999999974,-0.00434430499999985,-0.00222661500000008,-0.00349973000000024,0.00360750500000015,0.00337435999999985,-0.00169683999999974,0.0163274300000013,0.00182114500000114,-0.00154369500000012,-0.0062535899999991,-0.000216819999998808,0.0014244100000003,-0.00537161500000037,-0.0126271400000001,0.00100709000000004
"6",-0.00281112499999963,0.00416692000000011,-0.00565242999999935,0.201733709999999,-0.000980079999999094,0.49898323,-0.00634354499999961,-0.00267065500000181,-0.00437551000000131,-0.00258217499999893,-0.0126691650000006,-0.00206747999999977,-0.00298661500000013,0.113015115,0.206881935,-0.000736250000000394,0.0074096799999995,-0.0111225350000009,0.0109667199999999,-0.00456900499999898,-0.00313580999999965,-0.00255069000000038,-0.0125634900000011,-0.00965888500000167,-0.00527258499999955,-0.0146481049999995,-0.00683850000000044,-0.00069142999999914,-0.00874974000000091,-0.00974843500000066,0.00724041000000107,-0.0173487549999998,-0.00152949499999973,-0.00817039500000111,-0.00335739500000076,0.0624109849999992,0.132000020000001,-0.00710395999999898,-0.00866394000000094,-6.33999999996764e-06,-0.00244903500000059,-0.0170530799999998,-0.00340237999999958,-0.000930870000000157,0.00192368500000094,-0.00851326500000091,0.00376394000000016,0.0128365050000007,-0.00783890000000067,0.0451303549999999,-0.00332382500000045,0.00102588499999988,-0.00389091999999959,-0.0032296450000003,-0.00387405000000118,0.00959063499999927,-0.00989302499999933,-0.00319248000000191,-0.00909457500000082,-0.00560787499999973,0.00595045999999936,-8.99000000015114e-05,-0.00779217999999919,-0.00538323499999945,-0.00575821999999976,-0.00944920999999997,-0.0049900149999997
"7",0.00429936500000179,0.000933425000000412,0.20183822,-0.00332225499999835,-0.00247599499999993,-0.00634354499999962,0.494191360000001,-0.00465357999999931,-0.00824004499999965,-0.000254430000001022,-0.00964569499999916,0.000861040000000101,0.213073849999999,-0.00269302999999977,0.000747645000000175,-0.00947350499999962,-0.0115094449999995,-0.00593748000000132,-0.00611515000000047,-0.0041535250000013,0.181747565000001,-0.00637464500000124,-0.0120545300000012,0.00764604499999994,-0.0070294999999999,0.00488547999999989,-0.0157324050000008,-0.00768622499999878,-0.00281747499999926,-0.00583568500000025,-0.00831451000000041,-0.00174332500000061,-0.00590052499999868,-0.00253581499999912,0.000537650000000594,-0.00604210999999998,-1.5494999999926e-05,-0.00397815499999953,-0.00492248499999981,-0.000235184999999702,-0.0055011149999991,-0.00494061999999989,-0.00359377000000071,0.133058134999998,-0.00613658000000103,-0.00592617499999895,0.182917,-0.00941377,-0.0126453400000008,0.000274225000000668,-0.00329041499999923,0.000777080000000393,0.00380611000000024,-0.00442355000000067,-0.0113634150000004,-0.00840430499999906,-0.00591192000000063,-0.0020018950000001,0.00151085000000018,0.0021127999999999,-0.00514693000000007,-0.00663491999999994,-0.00981109000000027,-0.000662040000000019,0.00373602000000046,-0.0139086700000004,0.000630350000000337
"8",-0.00369816499999787,0.0394238399999991,-0.00669172500000035,-0.00760975999999993,-0.00565127500000065,-0.0026706550000018,-0.00465357999999931,0.501808095000002,-0.00969547999999896,-0.00966790500000043,0.011890465,0.000493289999999811,-0.00352282499999909,-0.00375090500000035,-0.000191660000001081,-0.00750704000000001,-0.0101517800000003,0.00542815000000072,-0.0153594750000001,-4.64699999993362e-05,-0.00131637499999949,0.00502824500000027,0.00593812000000056,-0.00103191500000038,0.0103988600000002,-0.00381283500000027,-0.00303111999999884,-0.0079979349999985,0.00137446500000036,0.0106028600000004,-0.0120598349999987,-0.0030050650000003,-0.0118802649999995,-0.0108911049999996,0.0409535400000001,-0.00441356499999979,-0.00143376500000175,-0.0154539200000002,-0.00564459500000014,-0.00507715500000015,-0.00834266999999933,0.00566181500000041,-0.00488229499999988,-0.00852282500000029,-0.00692282500000042,0.00846998499999848,0.00528430499999916,-0.0158792250000011,-0.00411750499999945,-0.00751568000000013,-0.00648606000000041,0.00178448999999982,-0.0118891749999996,-0.0103822650000002,-0.00798598999999988,-0.00274392,-0.00179636499999998,0.162163165,-0.00168160000000036,-0.014526654999999,0.00115206000000066,-0.00693544000000141,0.0122465850000011,-0.00795596999999936,-0.00512868999999936,-0.00919012999999943,-0.0106245850000007
"9",-0.00101633000000094,-0.00938444999999954,-0.0100585400000002,0.00579946499999979,0.00317542499999971,-0.0043755100000013,-0.00824004499999965,-0.00969547999999895,0.500040800000001,0.00216399999999963,0.112315274999999,-0.00684303499999955,-0.00652736499999928,-0.00421656500000105,0.00781315999999963,-0.00853856500000039,0.172429945,-0.0108312750000004,-0.00316225999999985,-0.00925994499999951,-0.0121724449999999,-0.00666949999999863,-0.00637499499999874,-0.00980545000000045,0.00210333500000029,-0.0110627150000004,-0.00109119999999887,-0.00811135499999903,0.00220923500000055,-0.0176278999999992,0.00632094500000053,-0.00814335499999965,-0.00206267000000046,0.00516967000000003,-0.00546395000000033,0.000553740000000762,-0.0111312850000008,0.014847025,-0.00226427999999999,-0.0145742650000001,0.00607559499999956,0.00306873499999936,-0.00230684499999909,-0.00138301499999974,-0.00483715500000078,0.100107954999998,-0.00673369999999953,-0.00476028999999958,-0.0103024500000003,-0.0116117200000003,0.00122986000000079,-0.00692119500000056,0.00642703499999938,-0.0127187549999997,0.00289395500000009,-0.00128664000000058,-0.00610909000000012,-0.0092662899999999,-0.00171451999999957,0.109828400000001,0.000242014999999726,0.0090711599999994,-0.000255514999999265,-0.00220295999999889,-0.00676577999999943,-0.000510214999999789,-0.00958372499999992
"10",-0.00235732999999991,-0.00891575999999947,-0.00734486999999958,0.00271269000000078,0.0044085950000009,-0.00258217499999893,-0.000254430000001021,-0.00966790500000043,0.00216399999999962,0.501456209999999,-0.00452609500000013,-0.000667039999999649,0.0016178599999993,-0.00598150999999966,0.0116615100000006,0.000464989999999863,-0.00121591499999918,-0.00366429499999999,-0.00954387499999961,-0.00935653500000105,-0.000418089999999649,-0.00538826000000099,-0.00927265000000039,-0.00753894000000009,0.0032753949999998,-0.0020694049999995,-0.00308448500000107,-0.00885147500000167,-0.0058270750000003,-0.0125361900000001,-0.00461556000000054,0.00236654000000012,-0.0158446049999984,0.15366375,0.00216335499999958,-0.00652149500000024,0.00477040500000033,-0.00599604499999981,-0.00853461499999974,-0.00379700000000006,-0.00129449499999884,-0.00888662500000026,0.000304174999997852,0.00336275499999875,-0.0037007999999996,-0.00829929499999858,-0.00435472000000077,0.00675486499999993,-0.00202112500000198,-0.00304508999999993,-0.000449889999998756,-0.000748820000000029,-0.000341294999999576,-0.00412180000000106,-0.0081523950000007,-0.00939403999999901,0.00463209499999944,-0.00906452499999922,-0.00432848500000033,-0.00464046500000025,-0.00747786499999995,-0.0090528199999993,-0.00966032500000096,0.00226467999999908,-0.00186890499999965,-0.00763936000000073,0.0130097750000008
