"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"1",0.490397279999998,0.00105775999999857,-0.00157976999999934,-0.0086337699999997,0.10356702,-0.00148146000000086,0.0143402299999998,-0.00708314499999968,0.0136095899999985,0.126778785,-0.00427941500000095,-0.00185434499999928,-0.000780489999998165,-0.00614055999999981,-0.00527573999999874,-0.00597231500000007,-0.00563696999999903,-0.0158694999999984,-0.0109059150000004,0.00321272499999996,-0.00685896000000055,-0.000988909999998799,0.00573138999999953,-0.00643957000000036,0.00618053999999958,0.00288030000000095,0.00178073000000025,-0.00249327999999863,-0.00230377500000035,-0.00229355000000048,-0.00597791500000044,-0.00910286000000042,0.0107429750000008,-0.0028066850000003,-0.00371182000000056,0.00847776499999931,-0.00474574500000013
"2",0.00105775999999857,0.491893440000002,0.00224825499999926,-0.00696822500000047,0.00173895999999822,-0.00117664499999933,-0.00598935499999988,0.00183725499999875,0.00616961999999948,-0.00249497000000026,0.00174518499999969,-0.00343460500000008,0.000912339999999505,-0.00312026499999805,0.00337842500000044,0.00370529499999985,-0.000178959999998669,-0.00242391999999825,-0.00514876000000062,-0.00772712999999949,-0.0102809950000017,0.00677660000000013,-0.008150414999999,-0.00456514500000048,0.141086099999998,-0.00489930000000025,0.0011034700000001,-0.000384275000001211,0.00772628500000137,-0.00646822499999897,0.00845910500000002,0.000701705000001556,0.00613093000000016,-0.00794457999999803,-0.00240197999999814,-0.00191254499999983,-0.001515109999999
"3",-0.00157976999999934,0.00224825499999927,0.515946185,-0.00122170000000031,-0.00503355500000007,-0.00543968999999798,-0.00465942499999916,-0.00671928499999986,0.0267863549999994,0.00723908500000027,-0.00742258999999998,-0.00895123999999961,-0.00316659499999977,-0.00709185000000072,-0.00263323000000024,-0.00223955500000035,-0.00521927499999839,-0.00243271499999992,0.00137501999999983,0.12513819,-0.0101933249999994,-0.0061388300000009,-0.0107639549999984,-0.00179561499999991,-0.00245929000000061,0.00561907499999958,0.0702883050000001,-0.000447085000000108,-0.00655178499999971,-0.00635882500000067,-0.00060107500000156,-0.0120272849999991,-0.0122660599999997,-0.0116433049999998,0.00180592000000026,0.16621835,0.014013969999999
"4",-0.0086337699999997,-0.00696822500000046,-0.00122170000000031,0.497999320000002,-0.00919091500000115,-0.00969115500000091,-0.00785720499999922,-0.00562739000000049,-0.00642478499999935,-0.00177428500000066,-0.00671708000000118,-0.00685983500000018,-0.00218517999999895,-0.0097833349999977,-0.00875312000000105,-0.0107101250000012,-0.00495196499999903,0.0018690300000037,0.00208205999999956,-0.0040851650000002,0.00104847999999914,0.0129519499999992,-0.00386925499999852,-0.0134717800000004,-0.002421015,0.00371843499999934,-0.00545541999999926,-0.00433992000000164,0.00371706999999946,-0.00229977499999921,-0.00502845999999901,0.00108242499999995,-0.00253706000000008,-0.00362063999999914,0.00807455500000155,-0.00491511500000007,-0.00103679999999878
"5",0.10356702,0.00173895999999822,-0.00503355500000007,-0.00919091500000115,0.492898585000006,-0.0139974999999998,-0.00233290499999937,-0.00716820999999904,-0.000595575000001846,0.165417105,-0.00193447499999954,6.06500000145844e-06,-0.00861511499999951,-0.0120733950000032,0.00624904000000109,0.00177969500000107,-0.00767899000000302,-0.0109354550000021,-0.0104978950000015,-0.000858614999998828,-0.00166329999999848,0.00219100999999815,-0.00526020500000081,0.0887972400000038,-0.00956916499999953,-0.00605843000000071,-0.00678357000000032,-0.00421279499999886,-0.00974819500000047,-0.0109205100000013,-0.00785489000000076,-0.00119553500000244,0.000873730000000533,0.00450297499999793,-0.00402193000000192,-0.00303552500000036,0.00268143499999866
"6",-0.00148146000000087,-0.00117664499999933,-0.00543968999999798,-0.00969115500000091,-0.0139974999999998,0.494373649999999,0.00624986000000247,-0.00633692000000242,0.00243571500000033,-0.0060230750000004,-0.0075316800000007,0.104185005,-0.00641964999999965,-0.009694915,-0.00856082500000012,-0.0104746850000004,0.165191935000002,-0.00395813000000125,-0.00168696000000048,-0.00408400999999705,0.00244443000000162,-0.00409455000000206,-0.00651438499999941,-0.00722929500000095,-0.00240820999999779,0.00222293999999807,-0.00453279000000004,-0.0140998200000028,0.11690994,-0.0037949350000008,-0.00346747500000029,0.00997024999999996,-0.0125943949999997,-0.0133974700000002,-0.00296816499999891,-0.00831918999999915,0.000914525000001706
"7",0.0143402299999998,-0.00598935499999988,-0.00465942499999915,-0.00785720499999921,-0.00233290499999937,0.00624986000000246,0.502092894999999,-0.00723819499999811,0.000388779999999387,0.00177781500000164,0.00664460999999998,0.00637506000000085,-0.00444744000000036,-0.00866275000000077,-0.0110154400000002,0.000466175000000945,-0.00723120500000018,-0.00728788000000083,-0.00395194000000054,0.00306100000000091,-0.0132647049999986,-0.00871610500000066,0.00850559500000026,-0.00399100999999821,-0.00172577499999971,0.00971715499999998,-0.00185735500000065,-0.0059768600000012,0.00420930000000076,0.00420126499999956,-0.00971538500000205,-0.00467790499999827,-0.00677680000000109,0.0100510049999992,0.00832933000000047,0.000240929999998877,0.000258279999999134
"8",-0.00708314499999969,0.00183725499999874,-0.00671928499999985,-0.0056273900000005,-0.00716820999999903,-0.00633692000000243,-0.00723819499999811,0.495779155000001,0.0126508000000005,-0.00399420500000105,0.00309285500000016,-0.0106664149999995,-0.00730926999999806,-0.00584253999999988,-0.00406505499999873,0.00403494999999925,-0.00908599999999902,-0.00703299999999856,-0.00580892000000091,-0.00281539500000169,0.00142787,-0.0113093450000013,0.00216757999999911,0.114373465,-0.00434924999999891,-0.00810640999999852,-0.0073644099999993,-0.00604041999999896,-0.0044365549999989,-0.0063527299999991,-0.00795033000000069,0.00396699999999963,0.00566798500000197,0.00488754999999936,-0.00721030000000124,-0.0102551999999998,-0.00930159000000024
"9",0.0136095899999985,0.00616961999999948,0.0267863549999993,-0.00642478499999936,-0.000595575000001839,0.00243571500000033,0.000388779999999386,0.0126508000000005,0.504982044999996,0.00205860000000067,-0.0120167850000005,0.000500704999999985,-0.00312836999999961,-0.00880985500000117,-0.00913275499999933,-0.00888588000000006,0.00863553999999877,-0.0119347549999988,-0.00684386000000092,0.066786580000001,-0.00846252000000076,-0.00831273999999804,-0.00690118500000182,1.48199999990473e-05,0.0171499350000001,-0.00706955999999961,0.0778166750000014,-0.00570767499999907,-0.0054841150000003,-0.00449997500000007,0.000729585000000261,-0.00174015499999864,-0.00192849000000029,-0.00449942999999853,-0.00549475999999955,0.0629116950000007,-0.00610356999999882
"10",0.126778785,-0.00249497000000027,0.00723908500000026,-0.00177428500000065,0.165417105,-0.0060230750000004,0.00177781500000164,-0.00399420500000105,0.00205860000000066,0.490058799999998,-0.00770111499999908,-0.00589861500000068,-0.00327792999999981,-0.00486910499999842,-0.00788630499999924,-0.0126993500000011,0.000938000000002722,-0.0093905949999991,0.0843362849999994,-0.000523294999999407,-0.00644562500000053,-0.00364309000000026,-0.0104360349999993,-0.00110087999999827,-0.0080943350000002,-0.00773776500000022,-0.0047090699999997,0.0899654099999983,-0.00238563999999896,-0.010578774999999,-0.00639493500000134,-0.000885729999999255,-0.00160051999999967,-0.008603475,-0.00297650500000005,0.00980310999999973,-9.38799999994064e-05
"11",-0.00427941500000095,0.00174518499999969,-0.00742258999999999,-0.00671708000000117,-0.00193447499999954,-0.0075316800000007,0.00664460999999998,0.00309285500000016,-0.0120167850000005,-0.00770111499999908,0.49267226,-0.00855185999999978,0.0925843900000004,-0.00768825000000239,-0.0015031850000012,0.166039575000001,-0.00902030500000015,-0.0117183000000006,-0.00607457000000006,-0.00709260499999876,-0.00367464999999964,0.00889575500000117,0.0810320349999981,0.00196628999999945,0.00596265000000065,-0.0117061249999998,-0.002876710000001,-0.00169136999999915,-0.00603738999999966,-0.0101659700000013,-0.00960739999999979,-0.00750089999999991,0.00583605999999973,-0.00351985000000096,-0.00338236500000235,-0.00208189999999936,-0.000775514999999677
"12",-0.00185434499999928,-0.00343460500000008,-0.00895123999999961,-0.00685983500000018,6.06500000144564e-06,0.104185005,0.00637506000000085,-0.0106664149999995,0.000500704999999971,-0.00589861500000068,-0.00855185999999978,0.49404486,-0.00990336499999876,0.00209786999999991,-0.00502181499999936,-0.00910149500000069,0.0737709949999999,-0.000667684999999931,0.00413431999999795,-0.00313004499999886,-0.0140040349999989,-0.0128690050000002,-0.00515165000000069,0.00499831500000078,0.00248026500000082,-0.00707576499999975,0.00143309500000074,-0.00368567499999951,0.114703620000001,-0.00119823000000133,-0.00137204500000041,-0.00576656500000064,-0.00630807999999978,-0.0102432699999999,-0.010681165,-0.00469486500000009,-0.0073564299999997
