"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.487245949999999,-0.00691732500000021,-0.00110149999999954,0.0152447950000003,-0.00346018000000056,-0.00273961999999947,0.00380561500000073,-0.0037007799999994,-0.0045929149999998,-0.00473172000000028,-0.00280034499999983
"2",-0.0069173250000002,0.487797439999999,-0.00331539999999996,0.0437137850000007,0.00830244999999988,-0.01009576,0.00596555999999953,-0.0105074949999999,-0.00850240500000021,-0.00532146500000046,-0.000729300000000208
"3",-0.00110149999999954,-0.00331539999999995,0.49050126,-0.00308141000000056,-0.00941987000000139,0.0216713350000003,-0.00914672500000073,0.0010184100000008,-0.00852959500000048,0.00947640999999996,-0.00393334999999986
"4",0.0152447950000003,0.0437137850000007,-0.00308141000000056,0.502018569999999,0.00315761500000079,-0.00448004999999969,-0.00678826499999832,-0.00449112999999996,-0.00636407500000033,3.07200000009166e-05,0.0190164049999991
"5",-0.00346018000000055,0.00830244999999986,-0.0094198700000014,0.00315761500000078,0.50768893,0.00837029499999985,0.00419222500000063,-0.0130079049999993,-0.00296839500000042,-0.00482833500000064,-0.00545925000000033
"6",-0.00273961999999946,-0.01009576,0.0216713350000003,-0.00448004999999968,0.00837029499999985,0.511231994999999,-0.00382238000000028,-0.00445464500000002,0.00102838999999838,0.17695288,-0.00504082500000072
"7",0.00380561500000073,0.00596555999999954,-0.00914672500000073,-0.00678826499999833,0.00419222500000062,-0.00382238000000027,0.504622529999999,-0.00452494999999921,0.000652994999999977,-0.00871726500000025,-0.00856660499999959
"8",-0.00370077999999939,-0.0105074949999999,0.0010184100000008,-0.00449112999999998,-0.0130079049999993,-0.00445464500000002,-0.00452494999999922,0.50073123,-0.0081262650000015,-0.00805828499999874,-0.00402868499999934
"9",-0.0045929149999998,-0.00850240500000022,-0.00852959500000049,-0.00636407500000033,-0.00296839500000042,0.00102838999999839,0.000652994999999984,-0.0081262650000015,0.503313985000001,0.00352483499999949,0.000462375000001362
"10",-0.00473172000000026,-0.00532146500000046,0.00947640999999997,3.07200000009197e-05,-0.00482833500000063,0.17695288,-0.00871726500000026,-0.00805828499999875,0.00352483499999949,0.49617899,-0.00586326000000097
"11",-0.00280034499999983,-0.000729300000000213,-0.00393334999999986,0.019016404999999,-0.00545925000000034,-0.00504082500000072,-0.00856660499999959,-0.00402868499999934,0.000462375000001359,-0.00586326000000096,0.496163640000001
