"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",0.497014720000004,0.00517539500000029,-0.00444439499999853,0.000490130000000036,0.159326764999999,0.0123776000000009,-0.00462249999999904,-0.000613575000000405,0.00327280999999794,-0.00658908000000049,-0.0102796399999991,-0.00427317000000012,0.00067242500000032,0.000240975000001489,-0.0135767249999993,-0.00653861999999968,-0.00675501500000009,-0.00247421999999982,-0.0115191299999987,0.064535259999999,-0.0138993300000005,0.000189995000001105,-0.00367636999999997,-0.00262621000000015,0.00117135500000001,0.00227344499999924,-0.00192405499999918,-0.00802965999999844,0.00984769500000074
"2",0.0051753950000003,0.495868870000001,-0.00932730500000079,-0.000232835000000101,0.00177243499999988,-0.00353757000000003,0.00418696000000071,-0.00641581500000108,0.000319309999999067,-0.00473974000000013,-0.00638647499999943,0.00088785499999955,-0.00796636499999925,0.00235303999999883,0.00940617000000028,0.000429310000000577,0.00852035500000003,0.00523108000000075,0.00107550999999954,0.00153582499999986,-0.000607615000001439,-0.00591186499999911,-0.000202515000000417,-0.00122334499999982,-0.00253512500000049,-0.00247279500000236,0.000585205000000105,0.00179403500000205,-0.0111242249999984
"3",-0.00444439499999853,-0.00932730500000078,0.504132125000002,0.128600660000001,0.05212726,0.172506560000001,-0.0016904550000006,-0.0046631250000005,-0.0022208800000004,-0.00162744000000086,-0.00379529999999807,-0.00817979499999928,0.00262340999999922,0.187984640000001,-0.00643584999999865,0.0034715749999992,-0.000738925000000575,0.0244122750000018,-0.0120530800000003,-0.00422672000000054,0.00390193000000025,-0.0101649699999987,-0.01696964,-0.00642643000000019,-0.010479889999998,0.29565151,0.00137016000000001,-0.000109144999999485,-0.00117008500000001
"4",0.000490130000000042,-0.000232835000000101,0.128600660000001,0.502570640000001,0.0906116900000006,0.154959615,0.00048625500000107,-0.00535939499999944,-0.0132820599999998,-0.00359281999999997,0.007799910000001,-0.0015097950000006,-0.00664160499999896,0.16005161,-0.00204440000000085,-0.000109734999999568,-0.00794351500000043,0.0415272600000002,-0.00908743500000106,-0.0011185149999998,0.00901969000000117,-0.0119483199999995,-0.0101237349999998,-0.00752404000000041,-0.0134731200000014,0.175713940000001,-0.00765677999999967,-0.000407069999999796,-0.00942780999999854
"5",0.159326764999999,0.00177243499999989,0.05212726,0.0906116900000007,0.493564844999999,0.0620526600000007,0.00272444499999875,-0.00513732499999962,0.00313894500000092,-0.00226112000000065,-0.0076744099999997,0.00136884499999977,0.00299082500000075,0.0806547600000002,-0.000537425000000802,0.00564396500000074,-0.00393990500000065,0.0724916700000018,-0.00690841500000112,0.00348135500000037,-0.000281885000000458,-0.00481931500000178,-0.00288672999999997,-0.0107482500000001,-0.00496416000000098,0.0540383450000005,-0.00228658000000038,-0.0123727800000011,-0.00495450999999947
"6",0.0123776000000009,-0.00353757000000003,0.172506560000001,0.154959615,0.0620526600000007,0.486509829999998,-0.00254706999999999,-0.00144021999999968,-0.00247341500000057,-0.00522969499999997,-0.00536538499999929,-0.00726822499999928,0.00509809999999953,0.277884305,-0.0100083899999992,0.00128784500000019,0.00322934499999986,0.0203130300000001,-0.00517668000000053,-0.00280347999999973,-0.00482012000000029,-0.0125707699999999,-0.00266838499999983,0.00311617000000053,-0.00404040499999948,0.136130985,0.00477039500000021,0.00147719500000016,0.0020775950000006
"7",-0.00462249999999903,0.0041869600000007,-0.00169045500000059,0.000486255000001067,0.00272444499999875,-0.00254706999999999,0.507262375000001,0.000353499999998444,0.14443964,-0.00622554000000006,-0.00171215499999929,-0.00160440000000008,0.00225531000000005,-0.000841304999999931,0.00170812000000029,-0.00543871499999965,0.105054565,0.006238845,-0.0078647150000006,-0.00870230000000037,-0.00231802999999925,-0.00778850499999945,0.00133104499999964,0.0052322099999996,0.120127345000001,-0.00263245999999986,0.0227868850000013,-0.000449569999999981,-0.0121630499999995
"8",-0.000613575000000404,-0.00641581500000109,-0.0046631250000005,-0.00535939499999945,-0.00513732499999961,-0.00144021999999968,0.000353499999998434,0.497548275,-0.00833872999999921,-0.00588340499999964,0.0032389749999972,-0.0125036550000007,-0.00268219000000099,-0.00670512999999932,-0.00477450000000028,0.00115329999999896,-0.00841687000000062,-0.00172677000000114,-0.00364324000000045,0.0228488199999997,-0.00468581500000182,-0.00773889000000104,0.184216354999999,-0.00718631499999904,-0.00714330499999908,-0.00344816499999963,-0.00604583000000058,-0.0134559500000004,-0.006990535000002
"9",0.00327280999999794,0.000319309999999068,-0.0022208800000004,-0.0132820599999998,0.00313894500000091,-0.00247341500000057,0.14443964,-0.00833872999999922,0.48926058,-0.0053543349999996,-0.0034122099999988,0.0390768000000002,-0.0112875700000005,-0.00190710000000029,-0.00115524999999977,0.00568112500000032,-0.0102472349999994,-0.000648874999999618,-0.0103201800000004,0.00802285500000033,-0.000952484999998193,-0.00439939500000119,-0.00304198499999948,-0.00383916000000021,0.119174419999999,-0.00536379499999983,0.00506293999999954,-0.00051569499999939,-0.0133829800000001
"10",-0.00658908000000049,-0.00473974000000013,-0.00162744000000087,-0.00359281999999997,-0.00226112000000065,-0.00522969499999998,-0.00622554000000007,-0.00588340499999964,-0.00535433499999959,0.49898205,-0.00215846000000023,-0.000626144999998991,-0.0105364999999996,-0.00460394500000073,-0.00859775999999993,-0.000748145000000895,0.194744240000001,-0.0017361500000003,-0.00398449000000064,0.00484286499999901,-0.00278129999999977,-0.00776762000000043,-0.00927480499999994,-0.0107366249999997,-0.00351972499999988,-0.00398490499999974,0.000464840000000712,-0.00445145500000046,-0.00205645000000044
