"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",0.490146535,-0.00028151999999983,-0.00641569499999876,-0.000839979999997163,0.00247485500000041,0.00923278500000093,-0.00255298500000045,-0.00709790999999837,-0.00435625499999821,-0.00538452500000176,0.118766905000002,0.000849374999999171,-0.0145922100000001,-0.0112271700000009,0.0743826299999966,-0.0038432449999999,-0.0095614799999988,-0.00326188499999937,0.117072315,0.00426310000000077,-0.00295903499999896,0.00825833499999898
"2",-0.000281519999999828,0.508613595,-0.00530853500000086,-0.0120852150000002,0.00165111999999882,-0.00224751500000129,-0.00457690499999902,-0.00226891000000134,-0.00289288500000066,-0.00725159999999839,0.0170685900000004,0.13498418,-0.00588631000000049,-0.0100142850000002,-0.00553376499999819,0.00249546999999959,0.0257574299999993,-0.0140150600000002,-0.00356467500000152,-0.00750319499999989,-0.00733324500000055,-0.0163825749999984
"3",-0.00641569499999874,-0.00530853500000086,0.494333070000001,0.0173798100000006,0.126546670000001,0.121672215,0.00260560999999953,-0.00950667500000147,-0.0138344150000004,-0.00775507500000064,-0.00703159499999991,-0.00803350000000027,-0.0120438250000001,-0.00300661000000057,-0.0163686649999987,0.0277493149999999,0.00214119499999883,-0.0116096450000009,-0.00408237999999966,0.0244529899999987,0.153377755,-0.00475268499999863
"4",-0.000839979999997155,-0.0120852150000002,0.0173798100000006,0.485777375000002,0.000535769999999396,0.00735604499999964,-0.00636887500000002,-0.0113034850000008,-0.000644804999999119,0.00722334999999966,-0.00457052999999915,-0.00371303500000136,-0.00587947999999974,0.000576519999999381,-0.00748812999999908,0.119666025,0.033254535,-0.00394437499999942,-0.00503679499999963,-0.00899553000000004,-0.000321635000000662,-0.00832586999999942
"5",0.00247485500000039,0.00165111999999881,0.126546670000001,0.000535769999999393,0.499103709999999,0.0611526950000004,-0.000944614999999033,0.0836401899999985,-0.00563136500000062,-0.00686462999999993,0.0014829650000001,0.0852099949999985,-0.0137788200000008,-4.92300000019243e-05,-0.00047402499999925,-0.00884029500000016,0.00390608999999985,-0.00406679000000028,-0.0113918250000003,-0.0112405449999989,0.127059085000001,0.00212365000000124
"6",0.00923278500000093,-0.00224751500000129,0.121672215,0.00735604499999965,0.0611526950000004,0.501789005,-0.0100030699999988,-0.0155894200000016,-0.00346360000000247,-0.0132029549999991,0.00591330499999987,-0.00781885000000142,-0.0105827300000006,-0.00738849000000087,-0.000586449999995694,0.00528089999999929,-0.000576849999999754,-0.0024483149999998,-0.0052195399999994,-0.0118900550000019,0.114495725,-0.000723965000000264
"7",-0.00255298500000046,-0.00457690499999903,0.00260560999999953,-0.00636887500000001,-0.000944614999999023,-0.0100030699999988,0.499660355000002,0.00497390000000068,-0.00709195000000127,-0.00641472499999898,-0.00595946000000155,0.00220045500000055,-0.00670829499999969,-0.0065739050000004,0.003563290000002,-0.00600351999999959,-0.00233223500000099,-0.00604985999999914,0.00891177499999848,-0.00366817000000058,-0.0042420649999998,0.118913684999999
"8",-0.00709790999999837,-0.00226891000000134,-0.00950667500000146,-0.0113034850000008,0.0836401899999985,-0.0155894200000016,0.00497390000000067,0.501610524999999,0.00258734499999972,0.00136252000000084,-0.00326868999999767,0.11374774,0.124210765,-0.00300979000000147,-0.00476094000000038,-0.0129238700000002,-0.00723060499999753,0.00709301499999907,-0.00125836499999885,0.00545123000000133,-0.00752892000000085,0.00446328999999867
"9",-0.00435625499999822,-0.00289288500000065,-0.0138344150000004,-0.000644804999999122,-0.00563136500000062,-0.00346360000000247,-0.00709195000000127,0.00258734499999973,0.486198844999999,-0.00676440500000031,-0.0012836799999967,-0.00822963000000028,-0.00176178999999972,-0.00440027500000048,0.00152586500000006,0.00781206500000029,-0.0106093249999989,-0.00275268999999984,-0.0049566799999982,0.00301587000000089,-0.00463183500000042,-0.00267459499999976
"10",-0.00538452500000175,-0.00725159999999838,-0.00775507500000063,0.00722334999999966,-0.00686462999999993,-0.0132029549999991,-0.00641472499999898,0.00136252000000084,-0.0067644050000003,0.49228387,0.00416487000000005,-0.00447213499999993,-0.00383067000000142,-0.00966057000000058,-0.00114913500000045,-0.0119772849999996,-0.00064351000000034,0.00207533500000011,0.0186142849999987,-0.0116890099999997,-0.00707228499999953,-0.000685979999998604
"11",0.118766905000002,0.0170685900000003,-0.00703159499999989,-0.00457052999999915,0.0014829650000001,0.00591330499999987,-0.00595946000000155,-0.00326868999999768,-0.00128367999999671,0.00416487000000005,0.495698230000002,-0.00616784000000091,-0.00963344999999852,-0.00572500999999957,0.0751990549999967,-0.0101893499999992,0.171351060000001,-0.00336487500000035,0.0730539500000017,0.00225103999999931,0.00396771500000009,-0.00356094000000037
"12",0.000849374999999167,0.13498418,-0.00803350000000028,-0.00371303500000136,0.0852099949999985,-0.00781885000000141,0.00220045500000055,0.11374774,-0.00822963000000027,-0.00447213499999993,-0.00616784000000091,0.49679567,-0.00839061999999988,-0.00417409000000016,-0.00418157000000008,0.0030468649999991,0.00234569000000057,-0.0012011050000001,-0.0100531350000011,-0.00393619000000016,-0.00363351500000102,0.00154854000000093
"13",-0.0145922100000001,-0.00588631000000049,-0.012043825,-0.00587947999999975,-0.0137788200000008,-0.0105827300000007,-0.0067082949999997,0.124210765,-0.00176178999999973,-0.00383067000000142,-0.00963344999999852,-0.00839061999999989,0.492352210000001,-0.00462313000000023,-0.00479452000000252,-0.00781797499999954,-0.0172036249999987,-0.000692615000000484,-0.0115468650000001,-0.00751803999999963,-0.0128037700000004,-0.00576552999999991
"14",-0.0112271700000009,-0.0100142850000002,-0.00300661000000056,0.00057651999999938,-4.9230000001931e-05,-0.00738849000000087,-0.00657390500000041,-0.00300979000000148,-0.00440027500000048,-0.00966057000000058,-0.00572500999999956,-0.00417409000000015,-0.00462313000000022,0.491906414999999,-0.0113110049999997,0.00760600500000042,0.00346271999999969,0.160909919999999,-0.0131430400000004,-0.00356631499999781,-0.00449841499999994,0.00192901999999977
"15",0.0743826299999966,-0.0055337649999982,-0.0163686649999987,-0.00748812999999909,-0.000474024999999248,-0.000586449999995687,0.00356329000000199,-0.00476094000000038,0.00152586500000005,-0.00114913500000045,0.0751990549999967,-0.00418157000000008,-0.00479452000000252,-0.0113110049999998,0.51018964,-0.00268088500000052,-0.010826915000002,-0.00324419999999899,0.0249928799999967,0.00580750000000002,-0.00211317499999849,0.00525993000000241
"16",-0.00384324499999989,0.0024954699999996,0.0277493149999999,0.119666025,-0.00884029500000015,0.00528089999999931,-0.00600351999999959,-0.0129238700000002,0.00781206500000029,-0.0119772849999996,-0.0101893499999992,0.00304686499999911,-0.00781797499999954,0.00760600500000043,-0.00268088500000052,0.485690154999999,-0.0104681399999992,-0.00836254999999868,-0.009326209999999,0.00149923499999999,-0.00171804000000084,-0.000111700000001128
"17",-0.00956147999999879,0.0257574299999993,0.00214119499999881,0.033254535,0.00390608999999985,-0.000576849999999751,-0.002332235000001,-0.00723060499999753,-0.0106093249999989,-0.000643510000000338,0.171351060000001,0.00234569000000057,-0.0172036249999987,0.00346271999999969,-0.010826915000002,-0.0104681399999992,0.494302385000002,0.00217369500000044,0.00582470500000006,-0.00702778500000136,0.00342865999999929,-0.00635255500000027
"18",-0.00326188499999938,-0.0140150600000002,-0.0116096450000009,-0.00394437499999942,-0.00406679000000031,-0.0024483149999998,-0.00604985999999914,0.00709301499999907,-0.00275268999999984,0.00207533500000011,-0.00336487500000035,-0.0012011050000001,-0.000692615000000486,0.160909919999999,-0.00324419999999899,-0.00836254999999869,0.00217369500000044,0.488984790000001,-0.00801659500000083,-0.00569389499999951,-0.0106916599999994,-0.00915683999999955
"19",0.117072315,-0.00356467500000152,-0.00408237999999965,-0.00503679499999963,-0.0113918250000003,-0.00521953999999941,0.00891177499999848,-0.00125836499999885,-0.00495667999999821,0.0186142849999987,0.0730539500000017,-0.0100531350000011,-0.0115468650000001,-0.0131430400000004,0.0249928799999967,-0.009326209999999,0.00582470500000005,-0.00801659500000083,0.478878390000001,-0.00323242000000013,-0.0136661500000002,0.0011415549999999
"20",0.00426310000000077,-0.00750319499999989,0.0244529899999988,-0.00899553000000003,-0.0112405449999989,-0.0118900550000019,-0.00366817000000059,0.00545123000000134,0.0030158700000009,-0.0116890099999997,0.00225103999999931,-0.00393619000000017,-0.00751803999999962,-0.0035663149999978,0.00580750000000002,0.001499235,-0.00702778500000136,-0.0056938949999995,-0.00323242000000014,0.495747195000002,-0.00856998500000144,-0.00241592000000042
