"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",0.496390024999999,-0.00358256500000034,-0.00513815499999956,-0.00578010999999913,-0.014116305,-0.00648186000000014,0.00562943000000007,-0.00604033499999884,0.0070871500000003,-0.00215784499999971,-0.00468105000000075,0.107856475000001,-0.00982303500000018,-0.00371161499999972,-0.00149139000000037,0.000748425000001526,-0.00231707999999989,0.000225424999999992,0.00266289500000043,-0.00286159000000028,-0.0138343050000004,-0.00135175499999943,0.00424435499999953,-0.00857613000000126,-0.0148708799999998,-0.00291645499999834
"2",-0.00358256500000034,0.496461315000001,-0.00801063999999922,-0.000305499999999118,-0.00798542000000111,-0.00473759499999583,0.00997204500000109,-0.00201184499999895,-0.000718765000000216,-0.00208590499999871,0.172949319999999,-0.00129789999999786,0.000134975000000993,-0.00300792499999942,-0.00716508499999916,-0.00240477499999872,-0.0101556249999959,0.0052911500000017,-0.0025213350000002,-0.00661863500000172,-0.00210324499999969,-0.0145853100000002,-0.00619402999999929,0.103325259999999,0.00690590500000196,-0.00071380000000155
"3",-0.00513815499999954,-0.00801063999999922,0.501665865,-0.00272923999999962,-0.0044056800000003,-0.00697850500000253,-0.00871573000000086,8.84499999998502e-06,0.0031548550000005,-0.00634784999999971,0.00230910499999975,-0.000380464999999122,0.119542909999999,-0.00239234999999982,-0.0114914199999993,-0.0128108999999996,-0.0025540750000031,-0.00893364500000098,-0.00624677999999979,-0.0128874999999994,-0.0144202099999993,-0.00136275000000073,-0.00821434000000019,-0.00987914000000026,-0.0097711250000001,-0.000395309999998217
"4",-0.00578010999999913,-0.000305499999999122,-0.00272923999999962,0.497653219999997,-0.00918088499999873,-0.00895593500000834,-0.0065220550000024,-0.00609149000000129,-0.0068506250000003,-0.00228275500000324,-0.00720695999999988,-0.00892318500000121,0.00514999499999954,-0.00866781000000126,-0.00995778000000243,-0.00897975000000281,-0.0016124250000069,-0.00225709500000331,-0.00322236500000086,-0.0092573499999972,0.135592400000001,-0.0155250650000006,-0.00552563500000029,-0.00063627999999771,-0.0095564500000026,0.00549335000000318
"5",-0.014116305,-0.0079854200000011,-0.00440568000000031,-0.00918088499999872,0.504105619999997,-0.000549084999995406,-0.00286429999999932,-0.00381308499999833,-0.00233648500000133,-0.00802314999999947,0.0014556199999988,-0.00876393000000055,-0.0106111549999983,-0.00442764499999809,-0.000659494999999343,-0.00386591999999811,0.000668075000004008,-0.0101858799999976,0.00294893500000035,0.00302694999999832,-0.00283894500000069,0.00147530999999885,0.00371529000000004,-0.000939860000001185,-0.00394093999999977,-0.0138362600000003
"6",-0.00648186000000014,-0.00473759499999584,-0.00697850500000253,-0.00895593500000834,-0.000549084999995403,0.49256226499999,0.000439854999996329,-0.000422210000007753,0.0355157199999998,-0.00251289500000555,0.00604828500000692,0.00121914499999883,0.000603109999997219,-0.0152837350000033,0.109602260000001,-0.00598154500000791,0.184661624999993,0.000124974999995283,0.0292322350000002,-0.00451722499999756,-0.00830873000000143,-0.00502243999999733,-0.00103314500000091,-0.00930599499999379,-0.000594365000002387,-0.00067124000000487
"7",0.00562943000000007,0.00997204500000109,-0.00871573000000085,-0.0065220550000024,-0.00286429999999931,0.000439854999996321,0.505214224999999,-0.0093121600000047,-0.00710747500000005,0.163866899999998,0.0100768800000032,-0.00337294999999956,-0.00940857500000062,-0.00726704000000184,0.00824374499999949,0.0654132949999976,-0.00570068000000195,0.243741464999999,0.0115030399999998,-0.015661344999998,-0.00830986500000011,-0.0130993699999985,-0.00176496999999939,-0.00500151499999792,-0.0111235900000014,-0.0102343450000043
"8",-0.00604033499999884,-0.00201184499999895,8.84499999997594e-06,-0.00609149000000127,-0.00381308499999832,-0.000422210000007748,-0.00931216000000471,0.492982525,0.00673467999999898,-0.0127868650000031,-0.00806954499999944,-0.00824374000000122,-0.00388526500000036,0.000534315000000067,-0.00387835500000137,-0.00863509500000253,-0.00532479500000602,-0.0101882100000043,-0.00634506000000078,-0.0137539899999999,0.00280426500000046,-0.000569234999999455,-0.00058500000000117,-0.00521485499999785,-0.00395103500000225,-0.004439769999997
"9",0.0070871500000003,-0.000718765000000211,0.0031548550000005,-0.00685062500000029,-0.00233648500000132,0.0355157199999998,-0.00710747500000006,0.00673467999999898,0.49700981,-0.0110518399999999,-0.00475639499999998,0.01081714,0.00485069500000026,0.000224014999999879,0.16609429,-0.000843585000000377,-0.00418439499999992,-0.000838355000000249,0.23458695,0.00432395499999999,-0.0085243400000005,0.0141735699999996,-0.00207260000000047,-0.00640285499999963,0.00956001000000003,-0.00494369500000041
"10",-0.00215784499999971,-0.00208590499999872,-0.00634784999999971,-0.00228275500000324,-0.00802314999999946,-0.00251289500000554,0.163866899999998,-0.0127868650000031,-0.0110518399999999,0.51605388,0.00142023000000144,-0.00990589000000121,-0.0107585150000007,0.00639920999999955,0.0123807749999995,0.0953544149999968,-0.0110933000000038,0.166917324999998,0.00350802499999866,-0.00694415499999705,-0.00987951000000021,-0.0127397749999993,0.00100276500000003,-0.00299561999999814,-0.0146190850000003,-0.00710081000000125
