status_number,rep,case,path,genetic_response
20,3,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_3/summary.csv,1.67149890874502
20,4,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_4/summary.csv,1.35033671323978
20,5,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_5/summary.csv,1.37008537596736
20,6,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_6/summary.csv,1.35734863888815
20,7,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_7/summary.csv,1.38664238786344
20,8,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_8/summary.csv,1.46643698487602
20,9,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_9/summary.csv,1.51632985908704
20,10,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_10/summary.csv,1.71444902281872
20,11,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_11/summary.csv,1.61508080505815
20,12,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_12/summary.csv,1.63190541599886
20,13,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_13/summary.csv,1.36040372756137
20,14,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_14/summary.csv,1.35164220490393
20,15,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_15/summary.csv,1.41357619476252
20,16,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_16/summary.csv,1.63510365813753
20,17,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_17/summary.csv,1.30771507974204
20,18,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_18/summary.csv,1.26269270518569
20,19,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_19/summary.csv,1.72662054255803
20,20,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_20/summary.csv,1.49966497704835
20,21,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_21/summary.csv,1.28635174447191
20,22,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_22/summary.csv,1.3782810198238
20,23,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_23/summary.csv,1.36688317777199
20,24,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_24/summary.csv,1.41322944777454
20,25,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_25/summary.csv,1.51281885671701
20,26,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_26/summary.csv,1.24962143567696
20,27,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_27/summary.csv,1.51661696658406
20,28,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_28/summary.csv,1.49277123732855
20,29,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_29/summary.csv,1.37948727561607
20,30,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_20/rep_30/summary.csv,1.41029873436962
30,1,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_1/summary.csv,1.31225079435513
30,2,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_2/summary.csv,1.18262576877695
30,3,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_3/summary.csv,1.55890576138084
30,4,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_4/summary.csv,1.24983925494343
30,5,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_5/summary.csv,1.29024639529506
30,6,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_6/summary.csv,1.261467246656
30,7,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_7/summary.csv,1.26859119000174
30,8,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_8/summary.csv,1.38969018830004
30,9,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_9/summary.csv,1.40106692294788
30,10,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_10/summary.csv,1.58974864472763
30,11,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_11/summary.csv,1.51389102780764
30,12,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_12/summary.csv,1.5225865656912
30,13,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_13/summary.csv,1.26021769315146
30,14,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_14/summary.csv,1.25099378406413
30,15,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_15/summary.csv,1.30682621112796
30,16,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_16/summary.csv,1.48919293567501
30,17,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_17/summary.csv,1.20904869601132
30,18,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_18/summary.csv,1.19112889333767
30,19,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_19/summary.csv,1.5988915593121
30,20,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_20/summary.csv,1.39880188359368
30,21,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_21/summary.csv,1.20074237692487
30,22,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_22/summary.csv,1.30213925252335
30,23,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_23/summary.csv,1.27058776405222
30,24,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_24/summary.csv,1.3079534479938
30,25,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_25/summary.csv,1.40527543761211
