"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"1",0.496948790000001,-0.00463857000000025,-0.0109632050000003,0.00397421500000076,0.150751239999999,-0.00294567000000184,0.00465523500000052,-0.0104962400000015,-0.00962580499999989,-0.0138055249999993,-0.00593659999999984,-0.00184282999999887,-0.00974292499999861,0.00776917500000014,-0.0017587400000002,-0.00701757999999984,0.127484109999999,-0.0102555699999998,-0.00475533499999995,-0.00480563500000005,-0.0114553100000009,0.00343548500000172,0.00438327500000054,-0.0180141450000002,-0.00549287499999941,-0.0117735100000006,-0.00177239499999812,-0.0125133549999998,0.00294947000000065,0.157735259999999,-0.0116630350000006,0.00112178999999976,-0.00554621499999956,-0.0109359399999987,0.0302383199999993,-0.00224700499999842,-0.0060094499999996,0.000700364999999799,-0.00814852000000011,-0.00432736999999937,0.00299799999999882,-0.00925244000000132,0.000802794999999978,0.172138995,-0.0102737450000009,-0.00484247500000048,-0.00380385999999916,0.00214966000000009
"2",-0.00463857000000025,0.494133209999997,0.00200514000000121,-0.00907688500000096,0.0056483300000007,-0.0033078350000007,-0.0081874699999981,-0.00130239999999948,-0.000194925000000112,-0.00418135999999985,-0.000184664999998893,0.11336956,-0.00565746999999899,-0.00284658999999941,-0.000347295000000024,-0.00519030000000003,-0.00343460000000074,-0.0101979700000005,-0.0146892050000012,-0.00361917000000016,0.00482225500000032,0.14739285,-0.00483712999999903,-0.00401434500000054,-0.0108488299999986,0.0486033299999989,0.00163258999999965,-0.00101394499999857,-0.00453402499999952,-0.00348550999999961,-0.00154286000000026,-0.00782911500000094,0.00813791000000116,0.0163174100000011,-0.00359795999999842,-0.0154234350000012,-0.00558894500000021,-0.00864281499999971,0.00312433999999991,-0.0122981950000003,-0.00411230000000033,-0.0067892399999983,-0.00701387000000091,-0.00494844500000001,-0.0078393999999999,-0.00886606999999968,-0.00317855999999937,-0.00614941999999913
"3",-0.0109632050000003,0.00200514000000122,0.498101315,-0.000940350000000098,0.0861231550000006,0.0002606050000018,-0.00174217500000034,-0.0110494650000004,-0.00590548999999871,-0.0113603699999999,-0.00746263000000068,0.000806980000001077,0.00336539000000111,-0.00539285999999904,-0.00844618499999996,0.00436557500000053,-0.00781113500000076,-0.00538539000000032,-0.00726331000000076,-0.00812168000000026,0.00191226000000046,0.00774206500000099,0.140008529999999,-0.01172244,0.00160835999999915,0.00479815499999919,-0.00875876499999919,-0.00153639500000029,0.00191332000000008,-0.00651219499999972,-0.00544036000000077,0.00234150499999934,-0.0016901950000003,-0.000309650000000993,-0.01134641,0.00182035500000064,-0.000202569999999884,-0.00909297500000032,-0.0104327150000002,-0.00692868000000085,-0.0132799650000007,0.000381200000000362,-0.0124357050000008,-0.00740793500000027,-0.0120029250000008,-0.00519218000000026,-0.0109348699999999,-0.00513150500000083
"4",0.00397421500000075,-0.00907688500000096,-0.000940350000000094,0.499828579999999,-0.00226923500000077,0.0789118349999995,0.00128487999999991,0.00337472999999949,0.000271010000000064,0.00778230999999927,-0.00553697999999818,-0.0132447399999989,-0.0063010049999987,-0.00654254999999979,0.0939227849999985,9.54250000000171e-05,-0.00179549999999961,-0.00258833999999833,-0.00663338999999931,-0.00310101500000096,-0.00846204500000056,-0.00820037499999977,-0.00422195499999966,-0.005811325,-0.00545338000000075,-0.00847021500000157,0.000601499999999618,0.000797844999999502,-0.000708020000000115,-0.00636636999999885,-0.000820444999999522,-0.000642340000000101,-0.00599586000000094,-0.00263200500000008,-0.00759921000000092,-0.00452251999999972,-0.00512215999999974,-0.00562537499999999,-0.00390392500000026,0.00527460000000031,-0.00608666999999981,0.00729006500000028,-0.00959091499999909,-0.00239434000000015,-0.00254390000000108,-0.00455055000000003,-0.00709798999999937,-0.010004584999999
"5",0.150751239999999,0.00564833000000071,0.0861231550000006,-0.00226923500000078,0.491172649999996,0.0217091799999993,0.00854903500000014,-0.00695397499999953,0.00218028999999983,-0.0106232949999999,0.000367829999999876,-0.00372398999999957,-0.00869363000000054,-0.00597275999999982,0.000566144999999632,-0.00524438499999929,0.142841169999999,-0.00754908999999907,-0.00348037500000189,-0.00642136499999935,-0.00515225500000051,-0.00486241999999931,0.0960859950000014,-0.00434625000000085,-0.00462274500000032,-0.00379174999999987,-0.00456909499999975,-0.0123552799999994,-0.000445270000000257,0.0852943399999999,-0.00849646999999922,0.0119897100000004,-0.00135485000000099,-0.00202685999999913,0.00413991999999905,-0.00403140999999917,-0.00832291499999923,-0.00462306500000023,-0.0106188750000005,-0.00474016500000019,-0.00538239999999989,-0.0133006450000006,0.00267551500000025,-0.00707547500000004,-0.0055154750000002,-0.00987404500000008,-0.00743688499999916,-0.00425928999999931
"6",-0.00294567000000184,-0.00330783500000071,0.0002606050000018,0.0789118349999995,0.0217091799999993,0.497934529999994,5.66650000006048e-05,-0.001161865,-0.00654724000000098,-0.0044079349999997,-0.0133008250000008,-0.0082665499999991,-0.00626126500000077,-0.00609476999999909,0.133262380000001,-0.00920524499999944,-0.00832175000000011,-0.00117851999999822,9.74000000010133e-05,-0.00241336000000041,0.00178903500000117,-0.00200377499999915,-0.00346238499999915,-0.00601366999999933,-0.00682053499999874,-0.00363212000000242,-0.00805868499999903,-0.00159620499999906,-0.0042874599999992,0.000939324999999803,-0.00363518999999813,-0.00468044000000032,0.00314920000000253,-0.00149758999999952,-0.00914944499999838,-0.0123417549999992,-0.00801714999999919,-0.008319965,-0.00867712500000031,-0.002865325,-0.0120555299999995,0.00040915999999975,0.00317158999999916,-0.0167769450000004,0.00858159999999769,-0.00849305499999876,-0.00867234999999839,0.00835774000000052
"7",0.00465523500000052,-0.0081874699999981,-0.00174217500000033,0.00128487999999992,0.00854903500000014,5.66650000006061e-05,0.493975715000001,0.00785515499999962,-0.0116582949999997,-0.00644378999999915,-0.00927517999999951,-0.0150222249999985,0.00192405500000052,0.00702025499999996,-0.00488382999999973,-0.00444356000000098,-0.00893073000000076,0.00949402499999979,-0.00339783000000041,-0.0080054800000001,-0.000604464999998928,-0.00514419999999905,0.00371470000000037,0.00370226000000064,-0.00293088500000124,-0.00485770000000043,0.0973207799999992,-0.0121005950000004,-0.00344147999999902,4.62699999999206e-05,-0.00694008000000006,-0.00229906500000076,-0.00593831499999998,-0.0101614349999996,0.00117027000000081,0.0013561400000005,0.00018857999999958,0.0066517249999996,-0.00424554000000005,0.0079767049999989,-0.00258121000000001,-0.00905554999999878,-0.00534430500000036,-0.000774275000000675,-0.00237113500000046,-0.00372626999999913,0.00528933499999906,-0.000579610000000524
"8",-0.0104962400000015,-0.00130239999999948,-0.0110494650000004,0.0033747299999995,-0.00695397499999953,-0.00116186499999998,0.00785515499999961,0.497244895,-0.0109328650000012,-0.00719850999999922,-0.00512636999999924,-0.00608545499999954,0.00860788499999789,0.00298206000000096,-0.00596717000000058,0.00462548999999995,0.0389941949999989,0.00610923499999991,-0.0042380400000001,-0.0178348749999993,-0.00584016999999916,-0.00135410500000019,-0.00603772499999941,-0.00354993000000079,-0.00230417499999885,-0.00935079500000042,1.89199999990418e-05,-0.00345911500000039,0.143772170000001,0.0028302050000002,0.00212482500000035,-0.00353155500000106,-0.00733043000000005,-0.00479350499999975,-0.00600181499999904,-0.00333931500000015,0.140219885,-0.00145989500000088,-0.00744896500000095,-0.00392487000000066,0.0956257850000003,-0.0118570449999998,-0.0057805600000006,-0.0104439650000007,-0.00314886500000004,-0.00383757000000016,-0.00680647499999937,-0.00274610500000066
"9",-0.00962580499999989,-0.000194925000000114,-0.00590548999999871,0.000271010000000067,0.00218028999999983,-0.00654724000000097,-0.0116582949999997,-0.0109328650000012,0.489622055,-0.00378797500000055,0.000761675000000241,-0.00846942,0.0190540350000009,-0.0112903250000007,-0.000890090000001146,-0.00384593999999951,-0.0078565049999998,-0.00614344499999894,-0.00402523000000037,-0.00114597999999967,-0.00637358500000055,-0.00854931999999998,-0.0104297349999991,0.00727835500000026,-0.00055228000000025,-0.00502462000000025,-0.0101942699999993,-0.00671640499999876,0.00597824499999981,-0.0153468499999991,0.00345730500000111,0.00683332999999988,-0.00209618499999933,-0.00815404000000022,-0.0124853100000007,0.0105308649999994,-0.00686155000000042,0.108223170000001,0.155797135,-0.00480616000000043,-0.0127419350000002,-0.00952719499999953,-0.00526172500000119,0.11515937,-0.00507789999999991,0.142875455,0.000179545000000233,0.003509405
"10",-0.0138055249999993,-0.00418135999999985,-0.0113603699999999,0.00778230999999928,-0.0106232949999999,-0.0044079349999997,-0.00644378999999916,-0.00719850999999923,-0.00378797500000055,0.487649559999998,-0.00674858499999972,-0.0110121049999997,-0.00995141500000003,0.00357396999999964,0.00442313499999996,-0.00360566499999908,-0.00597872499999981,0.00581392500000004,0.00606113999999977,-0.00272388500000086,0.000653939999998481,-0.0108185650000004,-0.00846852499999975,0.00129617999999962,-0.00492923000000004,-0.00482243999999981,-0.00403260499999986,-0.00401727000000154,-0.000499639999999594,-0.00757535999999932,-0.00960086999999968,-0.0146941199999993,0.00449882499999991,-0.00825993499999976,-0.00649684500000013,-0.000807230000001114,-0.00598067000000138,-0.00593190500000004,-0.00374989000000062,0.00115607499999999,-0.00482442999999942,-0.00635606500000095,-0.003000019999999,-0.00109125000000015,-0.00939176000000023,-0.0035893050000003,-0.00699995500000057,-0.00247092499999942
