"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",0.487245949999999,-0.00691732500000021,-0.0158738100000009,-0.00110149999999954,-0.00834839499999915,0.0152447950000003,-0.000359619999999056,-0.00346018000000056,-0.00273961999999947,-0.00523365999999862,0.00380561500000073,-0.0037007799999994,-0.0045929149999998,-0.00473172000000028,-0.00115407999999989,-0.00924502000000013,-0.00280034499999983
"2",-0.0069173250000002,0.487797439999999,-0.0073782750000012,-0.00331539999999996,-0.00312787000000118,0.0437137850000007,-0.00941307499999981,0.00830244999999988,-0.01009576,-0.00293290499999915,0.00596555999999953,-0.0105074949999999,-0.00850240500000021,-0.00532146500000046,-0.00151040000000048,-0.000883509999999763,-0.000729300000000208
"3",-0.0158738100000009,-0.00737827500000119,0.535500340000001,-0.00879019000000019,-0.000350550000000005,-0.00642624000000013,-0.00882386999999966,-0.00557552000000043,-0.00683366999999977,-0.00701585499999971,-0.00948756499999871,0.00496184999999975,-0.00135877000000009,-0.00585297999999971,-0.0135115350000002,-0.0027014300000006,0.00379019500000037
"4",-0.00110149999999954,-0.00331539999999995,-0.00879019000000019,0.49050126,-0.00143364500000048,-0.00308141000000056,-0.00431266499999884,-0.00941987000000139,0.0216713350000003,-0.00316939999999978,-0.00914672500000073,0.0010184100000008,-0.00852959500000048,0.00947640999999996,0.00512760499999996,0.0247493199999998,-0.00393334999999986
"5",-0.00834839499999915,-0.00312787000000118,-0.000350550000000007,-0.00143364500000048,0.509886294999998,-0.0102359250000014,-0.00256791500000097,-0.0112417899999988,0.00535619999999996,-0.00147288500000151,-0.00391763500000305,-0.00154112500000233,0.107053044999998,0.0101796599999985,0.00144760999999972,0.00508939999999981,-0.00608474499999948
"6",0.0152447950000003,0.0437137850000007,-0.00642624000000013,-0.00308141000000056,-0.0102359250000014,0.502018569999999,0.0081751649999994,0.00315761500000079,-0.00448004999999969,-0.00559186000000107,-0.00678826499999832,-0.00449112999999996,-0.00636407500000033,3.07200000009166e-05,3.70299999995019e-05,-0.00716701500000037,0.0190164049999991
"7",-0.000359619999999053,-0.0094130749999998,-0.00882386999999965,-0.00431266499999884,-0.00256791500000098,0.00817516499999939,0.52355442,-0.0091617899999992,-0.00921500999999898,-0.000620735000002022,-0.00691079000000105,-0.00250387000000001,-0.00155654500000224,-0.0109933150000001,-0.00483729999999989,-0.00472248499999942,-0.00570957000000083
"8",-0.00346018000000055,0.00830244999999986,-0.00557552000000043,-0.0094198700000014,-0.0112417899999988,0.00315761500000078,-0.00916178999999921,0.50768893,0.00837029499999985,-0.00744407499999963,0.00419222500000063,-0.0130079049999993,-0.00296839500000042,-0.00482833500000064,-0.00881483500000085,0.00399411500000022,-0.00545925000000033
"9",-0.00273961999999946,-0.01009576,-0.00683366999999976,0.0216713350000003,0.00535619999999996,-0.00448004999999968,-0.00921500999999898,0.00837029499999985,0.511231994999999,-0.0102349050000008,-0.00382238000000028,-0.00445464500000002,0.00102838999999838,0.17695288,-0.00241306000000087,0.209997765,-0.00504082500000072
"10",-0.00523365999999861,-0.00293290499999915,-0.00701585499999972,-0.00316939999999978,-0.00147288500000151,-0.00559186000000107,-0.000620735000002024,-0.00744407499999962,-0.0102349050000008,0.500442659999999,0.00563484999999929,0.139660234999999,0.146516265,-0.0108193649999992,0.199937689999999,-0.00780765000000008,-0.0112283499999995
"11",0.00380561500000073,0.00596555999999954,-0.0094875649999987,-0.00914672500000073,-0.00391763500000305,-0.00678826499999833,-0.00691079000000105,0.00419222500000062,-0.00382238000000027,0.0056348499999993,0.504622529999999,-0.00452494999999921,0.000652994999999977,-0.00871726500000025,-0.00336028000000028,-0.00262291000000137,-0.00856660499999959
"12",-0.00370077999999939,-0.0105074949999999,0.00496184999999975,0.0010184100000008,-0.00154112500000233,-0.00449112999999998,-0.00250387000000001,-0.0130079049999993,-0.00445464500000002,0.139660234999999,-0.00452494999999922,0.50073123,-0.0081262650000015,-0.00805828499999874,0.132441565,-0.0109871449999998,-0.00402868499999934
"13",-0.0045929149999998,-0.00850240500000022,-0.00135877000000009,-0.00852959500000049,0.107053044999998,-0.00636407500000033,-0.00155654500000223,-0.00296839500000042,0.00102838999999839,0.146516265,0.000652994999999984,-0.0081262650000015,0.503313985000001,0.00352483499999949,0.00439658499999966,0.00466752999999959,0.000462375000001362
"14",-0.00473172000000026,-0.00532146500000046,-0.00585297999999972,0.00947640999999997,0.0101796599999985,3.07200000009197e-05,-0.0109933150000001,-0.00482833500000063,0.17695288,-0.0108193649999992,-0.00871726500000026,-0.00805828499999875,0.00352483499999949,0.49617899,-0.000889454999999308,0.0104296049999996,-0.00586326000000097
"15",-0.00115407999999988,-0.00151040000000048,-0.0135115350000002,0.00512760499999996,0.00144760999999972,3.70299999994972e-05,-0.00483729999999989,-0.00881483500000085,-0.00241306000000088,0.199937689999999,-0.00336028000000028,0.132441565,0.00439658499999966,-0.000889454999999311,0.4986839,-0.00335051499999959,-0.00615739000000055
"16",-0.00924502000000012,-0.000883509999999759,-0.0027014300000006,0.0247493199999998,0.0050893999999998,-0.00716701500000036,-0.00472248499999942,0.00399411500000023,0.209997765,-0.00780765000000007,-0.00262291000000137,-0.0109871449999998,0.00466752999999959,0.0104296049999996,-0.00335051499999959,0.507005474999999,-0.00813765000000106
"17",-0.00280034499999983,-0.000729300000000213,0.00379019500000037,-0.00393334999999986,-0.00608474499999947,0.019016404999999,-0.00570957000000084,-0.00545925000000034,-0.00504082500000072,-0.0112283499999995,-0.00856660499999959,-0.00402868499999934,0.000462375000001359,-0.00586326000000096,-0.00615739000000055,-0.00813765000000106,0.496163640000001
