"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",0.492523735000002,0.00473659999999915,-0.0064698300000003,-0.00405320500000004,0.00637568000000049,-0.00750088499999901,-0.00316929500000062,-0.0130893800000011,0.00513645999999901,-0.00826242500000108,-0.00613638500000021,0.00608327000000006,-0.00338034999999983,0.0093773349999991,-0.00773371500000028,-0.00644892999999886,-0.00517862,-0.0107128750000003,-0.00557673500000118,0.00160598499999874,-0.00346641500000072,-0.00883883499999974,-0.0128498250000011,-0.0113732300000006,0.00228324999999909,0.00691693999999916,0.00310909499999884,-0.000955159999998153,-0.00647842499999976,-0.0048264600000003,0.00301494499999989,0.00993760500000132,-0.00435471999999904,-0.00344434000000109
"2",0.00473659999999916,0.503395249999997,0.00929972000000076,-0.00708171999999878,-0.010786995,0.00192033000000001,-0.00358962999999912,-0.0028862700000004,0.0015389099999998,0.00563363000000106,-0.00567321500000053,-0.000337209999998914,-0.00274863999999946,-0.00467470000000065,-6.25950000015425e-05,0.00786021000000012,-0.0103400599999998,-0.0151729699999995,-0.0104645950000007,0.127758735,0.00918829000000121,-0.00648069999999978,-0.00472507999999876,-0.00488081999999846,0.00065998500000011,-0.00709486500000032,0.00331630000000048,-0.00491562500000007,0.00275374500000091,0.00141609999999973,0.00158878499999912,-0.0120215749999993,-0.0102068299999994,-0.00752201500000007
"3",-0.0064698300000003,0.00929972000000076,0.500599465000002,0.0174518200000007,-0.00816581000000087,0.0472265499999984,-0.00946453999999902,-0.00602458999999999,-0.00627098000000063,-0.00531898499999912,-0.000732764999999733,-0.00589663499999812,0.0972599249999999,0.000757245000000332,0.000761859999999974,0.0671323449999985,0.182514000000001,-0.0101649399999995,-0.00365075499999864,-0.00764722000000098,-0.00547303500000093,-0.00267517000000012,-0.00987757500000076,-0.00808731499999948,-0.00352474000000054,-0.00476047500000046,-0.00718300499999914,-0.00689345000000168,0.00492738000000065,-0.0155533700000002,0.110684560000001,0.107628589999999,-0.00838733500000015,-0.00360997499999884
"4",-0.00405320500000003,-0.00708171999999878,0.0174518200000007,0.487089639999999,-3.96300000006193e-05,0.00749451000000011,0.00107014999999884,-0.0122539949999991,-0.00524904999999941,-0.00272186000000082,0.00115864000000019,-0.00635673000000008,0.000308510000000266,-0.000658385000000698,0.00722197999999997,0.00786837499999975,-0.00252931000000027,-0.0095351000000004,-0.00681527500000022,0.00765231500000022,0.00938728499999937,-0.0037493999999997,0.00479976999999973,0.000679689999999897,-0.00859786500000088,-0.00983069999999983,0.000824124999999948,-0.00460963500000017,-0.00938020500000041,-0.0111001249999998,-0.00237995500000029,0.0024774199999994,0.00488893000000066,-0.0110249049999989
"5",0.00637568000000049,-0.010786995,-0.00816581000000086,-3.96300000006242e-05,0.486366035000001,-0.00619130499999992,-0.0110896100000007,-0.0059821250000002,0.00369101499999949,-0.00119665500000076,-0.00896453999999888,-9.83050000001484e-05,-0.0141595100000014,-0.00771137500000048,0.00102571500000047,-0.00392337499999994,-0.0187933800000001,-0.0143173449999994,-0.0102631349999996,-0.00742348499999979,0.0128392400000004,-0.0120349399999991,-0.00801955999999958,-0.00209001499999998,8.45999999998627e-05,-0.00964775500000058,-0.00547072000000013,-0.00350731499999997,-0.00479638500000063,-0.00674135999999988,-0.00313943499999948,0.003284030000001,0.0673421999999998,0.00130344500000013
"6",-0.007500884999999,0.00192033,0.0472265499999984,0.00749451000000011,-0.00619130499999992,0.501900495000002,-0.0107337249999998,0.00267928000000171,-0.00355664000000049,-0.00715370500000049,0.000215964999999634,-0.00430701500000193,-0.00659453499999951,-0.0101273600000005,-0.000866310000000769,0.163502355000001,-0.00413288000000041,-0.0073577200000023,-0.00388014499999965,-0.0029689599999996,-0.000140514999999671,-0.00134415000000066,-0.00797719999999988,-0.0117639649999995,-0.00307324499999973,-0.00648520500000066,-0.00584518499999907,-0.00362774999999899,0.0177141549999989,0.00282560000000033,0.000913239999999802,-0.00740819499999804,0.00535524499999834,-0.00021589000000048
"7",-0.00316929500000062,-0.00358962999999912,-0.00946453999999901,0.00107014999999884,-0.0110896100000006,-0.0107337249999998,0.495088649999998,0.000774960000000225,-0.0158244749999979,-0.00420084000000011,-0.00669526500000077,0.00986220000000034,-0.00719795499999988,0.105744574999999,-0.00137565999999875,-0.00514841999999946,0.0174364550000001,0.0031384850000003,0.0246714650000008,-0.00521394499999979,-0.0040866599999991,-0.000469179999999821,-0.000959750000000453,0.169920695,-0.00910009500000158,-0.00855844499999983,-0.00445570500000068,-0.00146120999999909,-0.0014257100000006,-0.00417860499999993,-0.00615963499999949,0.00112427000000138,-0.0106864099999993,-0.00010956499999964
"8",-0.0130893800000011,-0.00288627000000041,-0.00602458999999999,-0.0122539949999991,-0.0059821250000002,0.00267928000000171,0.000774960000000229,0.491006975000001,-0.000564139999998755,0.0855118250000003,0.00460655500000082,-0.01217605,-0.00861668999999965,-0.0050510950000001,-0.00521190999999899,-0.00553997000000029,-0.00605028000000068,-0.00692694000000125,0.178320410000001,-0.00150634000000033,-0.00353346500000073,-0.00854635499999846,-0.00590011500000009,-0.00812902999999996,-0.00516436500000044,-0.00703979999999974,-0.0182299050000004,0.000895145000000126,-0.00111170499999878,-0.0034396400000001,-0.00362104499999933,-0.00195991000000056,-0.00329189999999936,-0.00479621500000045
"9",0.00513645999999901,0.00153890999999979,-0.00627098000000064,-0.00524904999999941,0.00369101499999949,-0.00355664000000049,-0.0158244749999979,-0.000564139999998752,0.493048970000001,-0.0101345499999981,-0.0136035250000007,0.00187985999999998,-0.00273509000000005,-0.0160586399999998,0.00109458000000069,0.18230251,-0.000955665000001069,-0.00746136500000101,0.00658469500000105,0.00483829500000041,-0.00758518500000029,-0.0140478800000002,0.00695056000000012,-0.0112981150000006,-0.0101033000000002,-0.0109576999999997,-0.0100687599999994,0.00531186999999851,0.00869173499999981,-0.00865643500000051,-0.00774802000000083,-0.0067651000000003,0.00188226000000011,-0.00303055500000032
"10",-0.00826242500000108,0.00563363000000106,-0.00531898499999912,-0.00272186000000082,-0.00119665500000076,-0.0071537050000005,-0.00420084000000011,0.0855118250000003,-0.0101345499999981,0.494175160000002,-0.0164537000000005,-0.00450685499999906,-0.0150793500000007,-0.0108439499999998,-0.00832599000000006,-0.0115234099999995,-0.00983240500000062,-0.0146375749999997,-0.00593605000000049,-0.0108727950000001,-0.0104481300000008,-0.00680758500000009,-0.00959252499999995,0.00711789500000073,0.00411479499999985,0.00123653000000006,-0.00552684000000032,0.0472720849999997,0.00193108000000062,0.122318574999999,0.0915718049999994,-0.00637739000000119,-0.00527752499999966,-0.0094360749999994
"11",-0.00613638500000021,-0.00567321500000053,-0.000732764999999729,0.00115864000000018,-0.00896453999999888,0.000215964999999635,-0.00669526500000077,0.00460655500000082,-0.0136035250000007,-0.0164537000000005,0.499338609999999,-0.00405990500000104,0.00275609499999969,-0.00927386999999941,0.108440584999999,-0.00111362999999856,-0.00287786,-0.00760662000000169,0.013599315,-0.0133228649999995,-0.00355945500000065,-0.00236454499999914,-0.00148630999999962,-0.00323251500000048,-0.00168734999999999,-0.0131128550000006,-0.0121539349999994,-0.01218824,-0.00136787499999929,-0.0120886950000002,-0.0124390699999986,0.0106461300000012,-0.00476297000000075,0.151914639999999
"12",0.00608327000000008,-0.00033720999999892,-0.00589663499999811,-0.00635673000000007,-9.83050000001553e-05,-0.00430701500000192,0.00986220000000033,-0.01217605,0.00187985999999999,-0.00450685499999907,-0.00405990500000103,0.49164356,-0.009342850000001,0.0187818300000004,-0.00489560000000066,-0.0085829899999995,-0.00278428999999987,0.00772636500000071,-0.00928557499999935,-0.00290193999999897,-0.00323241499999946,-0.000125970000000475,-0.00853670000000077,0.00519037000000026,0.13216455,0.0651961450000007,0.0958262249999997,-0.0125673600000001,-0.00639922999999986,-0.01052582,-0.0076406449999998,0.0531574100000003,0.00927930000000004,-0.00420210500000042
"13",-0.00338034999999984,-0.00274863999999946,0.0972599249999999,0.000308510000000264,-0.0141595100000014,-0.00659453499999951,-0.00719795499999987,-0.00861668999999965,-0.00273509000000005,-0.0150793500000007,0.00275609499999969,-0.009342850000001,0.501920285000003,0.00387689999999972,-0.000707630000000106,-0.00600206500000041,0.142904705,-0.00217402999999999,-0.00994336499999937,-0.00311273500000058,-0.0109044049999989,-0.01027473,0.0918493950000004,-0.00850458000000091,-0.00566653499999885,-0.00495467500000067,-0.00213767499999961,-0.00369340499999828,0.00372909999999984,-0.0119358850000006,0.086466614999999,0.11919002,-0.00422686999999918,7.54500000100506e-06
"14",0.0093773349999991,-0.00467470000000064,0.000757245000000329,-0.000658385000000696,-0.00771137500000048,-0.0101273600000005,0.105744574999999,-0.0050510950000001,-0.0160586399999998,-0.0108439499999998,-0.00927386999999942,0.0187818300000004,0.00387689999999971,0.486804055,-0.000230579999999627,-0.0120911349999993,0.0303560400000005,-0.00361615999999959,0.0262222149999999,-0.0178240999999996,0.00349019500000038,-0.00914489499999923,0.0094069399999999,0.0664670550000011,-0.0039640150000004,-0.00313532499999962,0.00135145499999936,-0.00778837000000008,0.00345188999999873,-0.0024190849999998,-0.00341244999999926,-0.000211205000001047,-0.00682280499999977,-0.00646646499999946
"15",-0.00773371500000028,-6.25950000015454e-05,0.000761859999999976,0.00722197999999998,0.00102571500000047,-0.000866310000000771,-0.00137565999999875,-0.00521190999999899,0.0010945800000007,-0.00832599000000006,0.108440584999999,-0.00489560000000067,-0.000707630000000107,-0.000230579999999625,0.498173959999998,0.0014582900000005,0.00227492499999936,-0.00775186999999996,0.00647028999999997,-0.00430352000000008,0.000893154999999516,-0.00449546999999994,-0.00327917499999946,0.00166123500000015,0.00505424499999878,0.000224430000000404,-0.00349085499999946,-0.00132197999999893,-0.00437945499999894,-0.00637913000000064,-0.00368842999999873,0.00144480000000129,-0.0015220299999989,0.0667917099999995
"16",-0.00644892999999886,0.00786021000000012,0.0671323449999985,0.00786837499999976,-0.00392337499999994,0.163502355000001,-0.00514841999999944,-0.0055399700000003,0.18230251,-0.0115234099999995,-0.00111362999999857,-0.00858298999999949,-0.00600206500000041,-0.0120911349999992,0.0014582900000005,0.502188505000002,0.000344824999999897,-0.012466505,5.91799999994934e-05,-0.000845394999999818,-0.00900423499999998,-0.00719240500000111,-0.00888579500000127,-0.00667777000000003,-0.00543974000000016,-0.00905378000000109,-0.00497434499999983,0.00160961000000014,0.000850034999999038,-0.00910459000000022,-0.00674129999999985,-0.0025232949999992,-0.00622938000000059,-0.0060823200000008
