"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"1",0.482954565000002,-0.0013277049999992,-0.00656161000000169,-0.00601924000000069,-0.0053283600000002,-0.00702007500000073,-0.00107737999999922,-0.00176566999999966,-0.00469617999999937,-0.00316632000000006,-0.00732687999999903,-0.00459108000000048,-0.00286411500000005,-0.00279232500000022,0.00282382500000058,0.00325545999999979,-0.0128552150000011,-0.00911905500000107,-0.00500883499999845,-0.00287410499999973,0.000443779999999179,-0.00315285000000012,-0.00492981000000155,-0.00574403499999932,-0.00845760999999959,-0.00454178499999998,-0.00528376000000031,-0.0070142950000006,0.000528920000000207,-0.0074620499999993,-0.00571522499999988,-0.00427502500000015,-0.00788163999999875,0.0641961450000004,-0.00604038999999802,0.192926285000001,-0.00304739499999965,0.00218257999999981,-0.00738102500000085,-0.00908734499999975,-0.000118039999999775,-0.00857051500000107,0.0045271600000002,0.00314729000000072,-0.0021858349999995,-0.00687897999999865,-0.00432455000000032
"2",-0.0013277049999992,0.490855380000002,-0.00364954999999968,-0.00860833999999991,-0.00999448000000002,-0.00393005999999986,-0.00256488000000094,-0.007459225,-0.00723739499999905,-0.00760336500000054,-0.00446074500000068,0.147378044999999,0.00392973999999976,-0.0041689199999997,0.000390024999999726,0.0106126549999994,-0.0132769100000006,0.000527640000001464,-0.0072110750000001,-0.000605900000001234,-0.00866481999999944,0.000865094999998975,-0.000518810000001201,-0.0134162249999993,-0.00639984999999933,-0.00156030000000037,0.060731885,-0.00842822499999996,-0.00962930500000038,0.00130227999999985,-0.00546076999999969,-0.00319196499999987,-0.0114309749999994,0.00242450499999874,0.101762489999999,-0.000218045000000363,-0.00281748499999938,-0.00486360999999857,-0.000673009999999123,-0.00385901999999927,0.00221701500000048,-0.00338733999999893,-0.00645084500000123,-0.00667896499999915,0.148982324999999,-0.00270207499999813,0.000640510000000529
"3",-0.00656161000000169,-0.00364954999999968,0.507030835000001,-0.00632407999999985,0.106932995000001,-0.00231386499999987,-0.00497257000000004,-0.00588879499999908,-0.00390635499999968,-0.00422426999999977,0.000664299999999787,-0.0101929849999983,-0.00508955500000003,-0.00579865500000053,-0.00341686500000068,0.00631308999999895,-0.0117539449999999,-0.00267842499999957,-0.00330206999999968,-0.00695337000000026,0.0024796599999996,0.000594604999999819,-0.012998715000001,-0.00568233500000015,0.00144605000000042,-0.00544483999999988,0.0333363200000013,0.000997590000001159,-0.00987375499999955,-0.0110622349999989,-0.00096348999999917,0.00128757999999825,-0.0108949849999997,0.000883820000001272,-0.00220572499999946,0.120144614999999,-0.0088142300000011,0.0093478599999999,-0.00228812500000049,-0.00747457499999995,-0.00659828499999925,0.126894745,-0.010206654999999,-0.00134307000000112,-0.00917079499999986,-0.00564571500000086,0.00251772999999977
"4",-0.0060192400000007,-0.0086083399999999,-0.00632407999999985,0.506248440000002,0.00613262499999986,0.000262999999999728,-0.00113915500000001,0.00295981999999973,-0.00260124000000004,0.11055404,-0.00727414999999977,-0.000633215000000076,-0.00918772500000023,-0.00753741499999941,-0.0142452050000004,-0.0113351100000008,0.00252946500000001,-0.00676742499999993,-0.00361449500000041,-0.00518952000000065,0.00371507500000016,-0.00376905500000066,0.14555106,0.00909104999999966,0.0116051299999995,0.0091308800000002,-0.0089175300000004,-0.000565500000000543,-0.00533512499999968,-0.00734496500000163,-0.00799976499999993,-0.00949016000000064,-0.00479408999999942,-0.00881529500000153,0.000804349999999996,-0.0113660250000009,-0.00445954499999955,-0.00806127000000007,-0.00423471499999984,0.00365168000000161,-0.00803162000000031,-0.00359142499999985,-0.00397156000000008,-0.00234980999999962,-0.00697937499999942,-0.0121482499999987,-0.00191861999999899
"5",-0.00532836000000019,-0.00999448000000003,0.106932995000001,0.00613262499999986,0.497832759999998,-0.00408362500000113,-0.00465347499999999,-0.0135741050000004,0.000539124999999427,-0.00609193500000004,-0.0028918250000011,-0.00381580999999981,-0.00585603000000043,-0.00617884499999978,0.00738095499999913,-0.00397642500000153,-0.0086259850000003,-0.00511302499999953,0.147674745,-0.0043514000000001,-0.00781277499999942,-0.0166370600000013,-0.00881530999999885,0.00358487499999959,-0.00255818500000123,-0.00715755500000025,-0.00634616500000002,0.00809781999999991,-0.0089629949999998,-0.00372163500000208,-0.00490600499999973,-0.0109708750000001,1.26100000002386e-05,0.00712655499999987,-0.00360756999999873,-0.0077527650000007,-0.00693936500000018,-0.00159903500000012,-0.0115131349999994,-0.00160543499999884,0.00684284000000094,0.00828476000000035,-0.0122357999999991,-0.0101672499999994,-0.00812602999999905,-0.00302816999999903,-0.011464454999999
"6",-0.00702007500000074,-0.00393005999999987,-0.00231386499999986,0.000262999999999732,-0.00408362500000113,0.491479679999999,0.00764766000000025,-0.00779940000000096,-0.000654629999999135,-0.00285185500000034,-0.00225814000000087,-0.00410934000000081,-0.00167220499999985,0.0710849749999996,-0.00852019500000027,-0.0100406000000004,-0.00830979999999969,-0.0135014599999999,-1.93000000013539e-05,0.10178197,0.000641045000001059,0.000903745000000921,0.158220685,-0.00833770499999991,0.00665266500000031,0.00572781500000031,-0.00234610999999974,0.00201421500000015,-0.0110319850000001,-0.00316041000000007,-0.0125980899999997,-0.0144868549999998,-0.00447329999999928,0.000761940000000225,-0.00943087000000048,-0.0107334949999999,-0.00546119000000012,0.00183543500000013,-0.00303577999999929,-0.00563409000000039,-0.00602144499999906,-0.000607855000000351,-0.00742604999999972,-0.00750915499999983,-0.00556295499999967,0.151452264999999,0.00451234000000126
"7",-0.00107737999999921,-0.00256488000000095,-0.00497257000000004,-0.00113915500000001,-0.00465347499999999,0.00764766000000026,0.496819175,0.00160008999999921,0.00199180500000102,0.00182388499999923,0.184897705,0.160536040000003,0.00270527000000023,-0.000485664999999854,-0.00834106999999869,-0.000658270000000289,-0.011582405,0.00404991999999995,-0.00221775999999987,0.00371397499999907,0.00123417000000034,-0.00406226000000052,-0.000267554999999372,0.00664142499999891,-0.0111847799999999,0.0459797349999994,-0.0021379250000008,-0.00608973499999947,-0.00550050499999935,-0.0103332900000002,0.00359627499999993,-0.00334781499999972,-0.0102126549999998,-0.00429444999999985,0.00272966000000067,-0.00458453500000133,-0.00590294499999889,-0.0134033249999995,-0.00212270499999842,0.00114695999999877,-0.00476949000000071,-0.0058709050000005,0.000790205000000914,-0.00496075000000024,0.00270265500000106,-0.000925809999999084,0.196170495000002
"8",-0.00176566999999967,-0.007459225,-0.00588879499999908,0.00295981999999975,-0.0135741050000004,-0.00779940000000097,0.00160008999999922,0.503760005,-0.0137212100000006,-0.00654088500000043,-0.0050224300000001,-0.00173812500000054,-0.0116152149999991,0.00852143499999962,-0.00925098499999999,-0.00812178999999988,0.00185824499999961,-0.00533351500000009,0.168864335,0.00964543000000046,-0.00388717500000001,-0.00961075999999899,-0.0183517100000003,-0.0097915049999998,-0.00800080500000051,-0.00618370499999972,-0.0104584200000001,-0.0050883500000001,0.000278255000000013,-0.000970759999999793,-0.00906055500000066,-0.000886990000000156,-0.00349901999999981,-0.00373676499999965,-0.00657445500000038,-0.00462563499999956,-0.00244428500000071,-0.00129690499999998,-0.00721823999999985,-0.0016213250000004,0.000627485000000898,0.00109929999999956,0.169101390000001,0.16017301,-0.00569760499999998,-0.00818062500000102,-0.00459512500000038
"9",-0.00469617999999938,-0.00723739499999906,-0.00390635499999969,-0.00260124000000004,0.000539124999999418,-0.000654629999999138,0.00199180500000101,-0.0137212100000006,0.495286479999999,-0.00777139999999969,-0.00192907499999961,-0.00496879499999916,-0.00475536999999892,-0.00227437499999947,-0.00104369999999971,0.00440151499999973,-0.00239597500000068,0.0105510649999997,0.00791192500000039,-0.00859158999999929,-0.00465308000000236,-0.00412372999999896,-0.00501239499999992,-0.00103545500000017,-0.00675481500000032,-0.00758713499999986,-0.00501202999999976,0.0108746649999999,5.29200000008299e-05,0.0158623799999998,-0.00368994999999942,0.00588129000000108,-0.00511371500000085,-0.0128431649999993,-0.00473874999999838,0.00246601000000089,0.000884405000000435,-0.00149211999999954,-0.0100350700000006,-0.00172685499999929,-0.00740091999999977,0.000728549999999397,-0.00492592500000055,-0.0113626250000003,-0.0082767199999999,-0.0023773449999998,-0.000390040000000595
"10",-0.00316632000000007,-0.00760336500000053,-0.00422426999999978,0.11055404,-0.00609193500000004,-0.00285185500000034,0.00182388499999923,-0.00654088500000044,-0.00777139999999968,0.50341363,-0.00298422500000055,-0.0100922100000002,0.0878241099999987,-0.0038343250000002,-0.00618281499999958,0.000533994999999926,-0.00560172999999943,-0.00218464500000031,-0.00262574500000069,-0.00608035499999985,-0.00237746999999903,-0.000388219999999613,0.116867565,0.0160835350000002,-0.00158121999999981,0.000679435000000391,-0.00592942999999969,0.0013857,0.0140962350000004,-0.00387514500000042,-0.00744245500000012,-0.00694585500000041,0.0167129549999996,-0.00667781500000074,-0.00202909500000054,-0.0131311349999997,-0.0130604100000003,-0.00272866999999981,-0.00566082499999971,0.00697288500000065,0.00778645000000049,-0.0134101050000002,-0.00425695999999995,-0.00901093000000048,-0.0149103949999996,-0.00306993499999951,0.00148966000000023
