"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69"
"1",0.516972239999999,-0.00259785499999988,-0.00914795499999951,-0.0081910949999996,0.22153911,-0.00822430499999999,-0.00647629500000015,0.010275645,-0.00515543000000013,-0.0018742649999992,-0.00347709499999957,0.0375440399999989,-0.0116866449999987,-0.010401245,-0.00852374000000087,-0.00569445499999883,0.00343221999999867,-0.000378939999999876,0.190540399999999,0.00117074500000054,0.00418028000000011,0.0829860299999999,-0.0110991350000004,-0.00974083499999999,-0.01014145,-0.00549654999999952,-0.00246413000000052,0.00141548000000115,-0.000187795000000942,0.124436645,-0.00233008000000119,-0.00138844000000018,-0.00686123000000105,0.00196535499999976,-0.00444013000000012,-0.00875649499999955,0.00243032000000007,-0.00665148999999953,-0.00109880499999902,0.0153448800000004,0.00843252500000047,-0.00413736500000075,-0.00811262500000027,0.00272190499999987,-0.0131306050000003,-0.00183536999999992,0.00583364500000057,0.00300770499999924,-0.00609387500000065,0.0019179899999997,-0.00571772999999994,0.00212620500000012,-0.00446331999999928,-0.00406045000000072,-0.00290327000000031,-0.00631968999999945,-0.00341800999999912,-0.00835435500000112,-0.00257140999999961,-0.00362927999999948,-0.00665136999999956,-0.00416642499999999,-0.00552847000000115,-0.00860228499999985,0.00396180499999974,-0.00932387000000135,0.100387924999999,-0.0110686600000005,-0.00839021999999964
"2",-0.00259785499999987,0.497028809999995,0.000862669999996848,-0.00297381000000071,-0.00808964000000338,0.0087520800000006,0.00732716499999891,-0.00957768499999918,-0.0072775250000014,0.00387226499999898,-0.0104976100000008,-0.00788012499999909,-0.0113141449999993,-0.000849434999993632,0.0059403350000042,0.00529002999999822,0.00755984000000183,-0.00121717499999962,-0.00395271999999895,-0.00176579499999832,0.00315419000000141,-0.00940206999999912,0.00800121000000112,0.000113000000001392,4.0264999998189e-05,-0.00899534500000217,-0.00312614499999954,0.022127309999998,-0.00527759500000303,-0.0020201250000031,0.0942978550000068,-0.00178688999999915,0.00250000000000144,0.00563822499999863,-0.00709024500000055,0.000251834999996298,-0.0086070899999984,-0.0104038299999995,-0.00781913000000306,-0.00244352000000083,-0.0054550599999986,-0.000459399999996617,-0.00636013500000337,-0.00222912500000084,-0.00313558499999875,0.003994320000002,-0.00985543500000024,0.0039545450000002,-0.00102359999999757,-0.00528999499999941,0.211778255000007,-0.0141523999999984,-0.0125943449999994,0.00814975500000104,-0.00166963999999915,-0.00957864500000087,-0.00468807000000034,-0.00840974499999825,-0.00288684500000093,-0.000423554999995833,-0.00353267000000257,-0.00487012500000134,-0.000941479999997957,-0.0138728900000034,0.00446753500000156,-0.0017060649999988,-0.00269147499999746,-0.0170767000000004,0.00216802000000181
"3",-0.0091479549999995,0.000862669999996842,0.498411014999999,-0.00762965499999984,-0.013904525000001,0.133474015000002,0.00286422499999986,-0.0104520700000015,-0.0117744649999998,-0.0102369900000005,0.00156075999999954,-0.00331874500000172,0.00688831999999993,-0.00164036499999743,-0.00246749999999824,-0.00176598500000165,-0.00383070000000018,-0.00726659500000016,-0.00617550499999967,-0.0119068299999997,-0.00335996999999997,-0.00445498499999984,0.00210331000000138,-0.00613039000000082,0.00710526499999942,-0.00149932499999931,-0.00482728500000005,-0.00755416500000184,-0.00720012000000069,-0.00399224000000212,-0.00540755499999933,-0.00335339000000007,0.00226760000000086,-0.0035917550000007,0.00112986499999987,-0.00568210000000073,0.000390105000001591,0.139993184999999,-0.00504537000000133,-0.0073710449999991,-0.00583270000000009,-0.0165979599999989,-0.00247486000000219,-0.00759882000000041,0.00343654500000062,-0.000324125000000258,-0.00499309000000035,-0.00484186000000053,-0.00631932499999853,-0.00801383500000011,0.0169116700000027,-0.00941324999999885,0.00541275500000077,-0.00542355000000039,-0.0109610299999997,0.000242294999998698,-0.0115881350000007,-0.00472688499999811,-0.000777789999999411,-0.00560979499999733,-0.00654178500000076,-0.00681382000000064,-0.0115234299999991,-0.0107483350000005,-0.00412711999999901,0.107728724999999,0.00715562000000165,-0.00287477499999984,-0.00142634000000064
"4",-0.00819109499999961,-0.00297381000000071,-0.00762965499999984,0.487156290000001,-0.00196329000000069,0.00322586000000178,0.0729726549999995,-0.00407848500000144,-0.00608259499999955,-0.00624788000000217,-0.00699694999999941,0.0088306449999998,-0.000530894999999583,0.00131177000000019,-0.00751738499999871,-0.00673354500000091,-0.00192175000000148,0.00222123000000027,-0.0145926099999992,-0.0042110199999982,-0.00341350000000123,-0.000745870000000731,-0.00108124500000084,0.0220153200000012,-0.00743442500000066,-0.00529969999999842,-0.00790478999999974,-0.0109802800000017,0.00434169999999983,-0.00691242500000049,-0.0078383999999999,-0.00704673000000031,-0.0109970299999989,-0.00263989500000124,0.00697861000000044,-0.00378323500000201,-0.00239136499999996,-9.94999999969041e-06,0.00701752999999937,0.000354935000001268,-0.00192453499999877,-5.03599999976277e-05,0.00253839500000007,0.00121845499999798,-0.00516044000000041,0.00104933000000008,-0.00536503000000234,0.0058631649999993,0.00417926500000055,-0.00765623999999967,-0.00509186999999956,-0.00510487999999983,0.00527908999999976,-0.00378737500000093,-0.000749904999999932,0.0151202450000001,-0.0018723750000004,0.0145109900000009,-0.00711646499999989,-0.00633029499999919,0.0056424950000006,-0.00752514499999799,-0.00534786000000015,-0.00249626500000021,-0.00388112000000172,-0.00347405500000119,-0.0094457750000005,0.00114839999999928,0.0130777549999999
"5",0.22153911,-0.00808964000000338,-0.013904525000001,-0.00196329000000069,0.496385665,-0.00575912999999889,-0.00547602500000066,0.014877219999999,0.000308099999999921,-0.00458166000000043,-0.00487539999999978,0.0634758349999992,-0.00798419999999882,-0.00974729999999781,-0.0024853949999982,-0.00651556499999936,-0.00548125500000021,0.000586035000000629,0.154104445,-0.00117259999999928,-0.00110421999999919,0.113105245000001,0.00119371500000008,-0.0101408349999998,-0.0097272800000007,-0.00337588499999855,-0.00807714500000147,-0.00348968000000154,-0.00970151500000236,0.146368364999999,-0.0124546899999984,0.00445622499999967,-0.00432497500000003,0.000531305000000138,-0.0112756250000007,-0.000626300000000904,-0.00415897499999915,0.00186377000000007,-0.00397017999999971,0.000198335000000975,-0.0106470150000001,0.00248052499999962,-0.0070750900000023,-0.00191168000000069,-0.00721223500000006,0.0044151450000009,-0.0058943299999998,0.00318745999999908,-0.0167851949999998,-0.00573291499999905,-0.00870757999999804,-0.00308346499999953,-0.0102946249999977,-0.00768075499999997,-0.0090225849999999,-0.0087556599999999,-0.00725232000000079,-0.00803141499999911,-0.00691966499999914,-0.00403019499999695,-0.00753507000000022,0.000966354999999394,-0.00984858500000089,-0.00205080500000096,-0.000249859999999976,-0.0020523350000014,0.0655814799999997,-0.00138639500000042,-0.00394441500000078
"6",-0.00822430499999999,0.0087520800000006,0.133474015000002,0.00322586000000178,-0.00575912999999888,0.499705885000001,0.00470983499999999,-0.011341855000001,-0.00754102499999896,0.004767220000001,-0.00322538000000028,-0.000661685000001873,-0.00352581499999992,-0.00283283500000198,0.0400079099999981,-0.00742063499999796,0.00358065999999808,-0.00754251000000093,-0.00252489000000065,-0.0121105350000004,0.000737235000000048,-0.000338930000000133,0.134684014999999,0.00869468499999906,-0.00173823999999977,-0.00603341499999838,0.00515695499999963,-0.0114426449999981,-0.000903935000000473,-0.00350443499999836,-0.0065861100000038,-0.00167955000000097,-0.00374934000000053,-0.00245757500000012,-0.00171697500000014,-0.00265088499999885,-0.00494696499999853,0.155253909999999,0.000790550000000765,-0.0100089049999989,-0.00805951499999982,-0.0115518049999985,-0.00586058999999935,-0.00533082499999997,0.0158777399999987,0.136772569999999,-0.0023838549999994,-0.00203586000000085,0.0046911299999991,-0.00618318000000035,-0.00168777000000111,-0.00951553500000096,-8.08999999998151e-05,-0.00545249999999901,-0.00550995000000051,0.000913684999999972,-0.0137493600000003,-0.00852962500000009,-0.00611589000000013,-0.00371270500000091,-0.010205149999999,-0.00805432499999918,-0.0120756049999998,-0.0100342949999975,0.00115455999999992,-0.00694315000000051,-0.00417714000000264,-0.00827924999999945,0.00757662499999962
"7",-0.00647629500000015,0.0073271649999989,0.00286422499999986,0.0729726549999995,-0.00547602500000066,0.00470983499999999,0.486970920000001,-0.0156539599999997,0.00282993499999991,-0.00391018500000103,0.00395687499999943,-0.0113220799999997,0.00458715,0.00301944000000057,-0.00214398499999878,-0.00229360500000075,-0.00162281999999972,-0.00226046499999997,-0.0102224399999992,-0.00818497000000004,-0.00590545499999859,-0.00647837000000053,-0.00266544500000033,-0.00200613500000058,-0.00976404500000033,-0.00908466000000026,0.00882910500000011,-0.00401516500000045,0.00437032499999935,-0.00534944500000015,-0.00269221499999887,0.00440750999999958,-0.000549410000000108,-0.00127811499999891,-0.00332457999999925,-0.000724250000001338,0.00764453499999962,0.00111479500000081,-0.00284855500000043,-0.00783421499999991,-0.00404435999999899,-5.2904999998902e-05,-0.00128248500000073,-0.00461804000000056,0.00207565000000039,-0.0107368299999991,0.00135483000000029,-0.00406090999999993,-0.00260457499999906,-0.0048425549999999,-0.00539001499999961,-0.00643246499999969,0.00453364499999944,0.000457574999998631,-0.00222387999999918,-0.00865046500000044,-0.00141249999999989,-0.000406704999999981,-0.00601579999999986,0.00501345000000049,0.000139889999999669,0.00579416499999981,-0.00845299500000032,-0.00465554000000013,-0.00103000499999926,-0.00474534500000005,-0.00711343500000004,0.00364145000000107,-0.00114653999999994
"8",0.010275645,-0.00957768499999918,-0.0104520700000015,-0.00407848500000144,0.014877219999999,-0.011341855000001,-0.0156539599999996,0.512276780000001,-0.00415872999999998,-0.00965126500000196,0.00331484499999992,0.0153012150000021,-0.00390485499999991,4.5869999999137e-05,-0.000207529999999343,-0.00338799000000055,-0.00685271499999971,-0.00270012999999963,0.011243235000002,-0.00868775500000006,0.00730617999999986,0.00839709999999911,-0.00990391499999999,-0.0113070249999997,0.00591961500000047,-0.00600190999999938,-0.00665514999999949,-0.000672190000000473,-0.00743936499999884,-0.0031208149999994,-0.00289738999999872,-0.00335832000000024,-0.0127575949999992,-0.00109356500000006,-0.00851617499999897,-0.0113899700000005,-0.00421351500000039,-0.00954744500000093,0.00581780499999891,-0.0109836600000013,0.00315688999999885,-0.00209998999999924,-0.0056717099999992,-0.0076246699999992,0.00312605999999971,-0.00621531999999943,0.0154029999999987,-0.0116060399999998,-0.00588310500000001,-0.00553866000000065,-0.0076630300000006,0.00134381499999973,0.00251641499999981,-0.00961820500000158,-0.00492910999999862,-0.0031774999999998,-0.00637065499999932,-0.00836114499999953,0.000794865000000294,0.00331683499999869,0.116528169999999,0.000489499999999922,-0.0111774300000002,-0.00623941500000137,-0.00948157000000114,0.00453032999999929,0.00172025000000088,-0.00751119499999942,-0.0149543549999991
"9",-0.00515543000000013,-0.00727752500000139,-0.0117744649999998,-0.00608259499999956,0.000308099999999928,-0.00754102499999896,0.00282993499999992,-0.00415872999999998,0.502775610000001,0.00192777499999985,0.0013256849999994,-0.00231143000000023,-0.0127867449999995,-0.012123735,0.000877529999999978,-0.00822102999999994,-0.00182071500000098,0.00304314500000035,-0.00230076000000041,-0.00197971999999942,0.0122070100000008,-0.00144178999999941,-0.0010612349999992,-0.0109149850000005,-0.00596651500000031,-0.0034337249999998,-0.00546860500000037,-0.00759674000000019,0.0038091849999999,-0.00415786000000058,-0.00899355500000031,0.00390696499999867,-0.00332991500000114,0.00124449500000021,-0.00738735000000015,-0.00471459499999927,0.0047015199999999,-0.0108940499999998,-0.00936477999999974,-0.000239074999998509,-0.00114778499999921,0.102248034999999,0.00131791999999959,-0.0106551349999999,-0.00547095999999998,-0.00197493999999901,-0.00405649499999958,-0.00209181000000074,-0.00873537499999983,-0.00395251999999999,-0.00684548499999958,-0.000397764999999175,-0.00693099999999848,-0.00801858500000025,-0.00586389500000009,-0.0072112450000009,-0.00215216999999909,-0.00116694500000039,-0.0120939600000001,0.000400125000000615,-0.00825417000000028,0.131987854999999,-0.000604799999999895,-0.00718657999999951,-0.00526017499999976,-0.0117298750000001,0.00108377500000049,-0.0140759100000007,-0.0149198550000007
"10",-0.0018742649999992,0.00387226499999897,-0.0102369900000005,-0.00624788000000218,-0.00458166000000043,0.004767220000001,-0.00391018500000103,-0.00965126500000197,0.00192777499999985,0.502521485000001,-0.000321135000000548,-0.00468748500000097,-0.00697752499999987,0.000328725000000656,-0.00766378499999805,-0.00202301000000087,-0.0108696450000012,0.0891414950000008,0.00169015500000072,-0.0016682399999998,0.164864355,-0.00607394499999799,0.00160959999999998,-0.00075580500000004,-0.00480347000000004,-0.00380255499999806,-0.00419730000000057,0.00805196499999976,-0.0133397850000009,0.00115667999999811,0.00154212999999965,0.0112228149999996,-0.00127088500000032,-0.00621478500000166,0.00238232999999882,-0.00620494999999892,-0.00723072499999815,-0.00487489500000153,0.00668149499999983,-0.000779189999999488,-0.00338256500000228,0.110713490000001,-0.000663265000001985,-0.00914969999999906,-0.0157201700000002,-0.000323860000000624,0.00391106499999968,-0.000112285000002036,-0.00452708499999929,0.000686359999999518,0.00666791500000145,-0.00159762999999964,-0.00239362999999924,0.172949180000001,-0.0047696200000004,-0.00394107000000009,0.000251579999997899,-0.00550012499999832,-0.00225205999999841,-0.0116750499999984,-0.00719328999999998,-0.00754049999999912,0.00282875499999926,-0.00457975500000015,0.00039273500000037,-0.00849828000000073,0.00312340000000089,-0.000232925000000627,0.00170116499999953
