"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
"1",0.4951407,-0.0147467900000006,0.00472887499999961,-0.00904317999999921,-0.0079593799999983,0.00421985500000023,-0.00877986499999914,-0.00443344499999824,-0.00780577999999904,-0.00180157000000007,0.00229439999999931,-0.0117776050000001,0.00775514999999859,0.00210909499999952,-0.00807668999999978,-0.00412728999999943,-0.00499221000000122,0.008435565,0.18800783,-0.00852919500000031,-0.000343804999999588,-0.0120668550000004,-0.0100100749999999,-0.00759823000000006,0.017707064999999,0.203875835,-0.0104128200000004,0.017729329999999,-0.0110431899999998,-0.0148422850000007,0.163220545000001,0.00540731500000079,-0.00211834499999926,0.00465434499999976,-0.00118271500000108,-0.00454111500000085,-0.00699435499999984,-0.00855682000000018,0.0132511450000007,-0.00422657999999964,-0.00668685000000056,-0.00116003499999906,-0.00601854999999964,-0.010824065000001,-0.000860250000000181,-0.00276893999999865,0.00478670999999944,-0.00452088500000003,9.50549999994968e-05,-0.0100108650000011,-0.00288564499999988,-0.00510679000000197,0.00453185000000022,0.000695079999999924,-0.0130376499999994
"2",-0.0147467900000006,0.497236815,0.00303654999999847,-0.00487089500000099,-0.00582345999999902,-0.0114349149999989,-0.00341616999999924,-0.00559161500000145,-0.000132885000000772,-0.00234755500000083,-0.0044555850000009,-0.000272389999999938,0.00281906500000011,0.11808728,-0.00447981000000012,-0.00846453000000036,0.0168249500000002,-0.012044229999999,-0.0124514750000014,0.00799932499999947,-0.00412398999999981,-0.000500010000000754,-0.00463777000000212,-0.0100698650000001,-0.00908782499999996,-0.00858275499999997,-0.00627950999999949,-0.00261782999999933,0.000869205000000422,-0.00286877000000011,-0.0111440799999995,0.00279111999999966,-0.0103460100000001,-0.000550684999998873,-0.00811653999999857,-0.00885150499999851,0.00219871499999953,-0.00270474500000014,-0.00317730999999924,0.00197846500000022,-0.00128641000000065,-0.00177277499999933,-0.00858750000000008,-0.0148443850000011,-0.00415332499999928,0.00066978500000122,-0.00144269500000049,0.0111460599999993,-0.00566156000000104,-0.0116896000000002,0.00527945500000007,-0.00735491499999927,0.177383275,-0.00760870499999868,0.162458010000001
"3",0.0047288749999996,0.00303654999999846,0.49310972,-0.00871161000000119,0.00178637499999919,-0.00265605500000082,-0.00700251000000015,-0.00277664500000081,-0.00578354999999888,0.0002404499999999,-0.00416963000000024,-0.000535810000000114,-0.00195643999999884,-0.00169530000000126,0.00570274999999937,-0.0074826949999996,-0.0026821399999991,-0.00290014000000019,-0.000154759999999408,0.00300909500000057,-0.00438561999999923,-0.00550782499999949,0.00446027000000121,-0.00754982000000106,-0.00604315500000051,-0.00723893499999897,0.0081060599999997,-0.00901379499999978,-0.00269572500000022,-0.00923704000000095,-0.00993059999999982,-0.00159107000000026,-0.0044047399999992,-0.00213133000000073,0.00190763999999899,-0.00593487999999918,-0.000275454999999354,-0.0113245349999991,-0.0122667000000002,0.00478143000000039,-0.00761306999999966,0.00480303000000098,0.0058464699999978,-0.000617740000000559,-0.00323356499999988,-0.00350488999999998,0.00134182999999992,-0.00930409999999882,-0.0114250250000014,0.000196630000000395,0.00451619000000073,0.000523215000000423,0.00102943000000083,-0.0153134399999993,0.00283512999999876
"4",-0.00904317999999922,-0.00487089500000099,-0.00871161000000118,0.499654944999998,0.127701079999999,-0.00145375500000016,-0.00953567999999943,0.202126429999997,-0.00109883999999925,-0.00908335999999963,-0.00958694499999965,-0.00676688000000055,-0.00304059499999857,-0.0181298500000009,0.1538244,-0.00133058500000079,-0.00873910999999988,-0.00932491499999981,-0.0104224499999997,-0.00314678000000023,0.00421461000000031,-0.00208856500000043,-0.0039924599999998,0.160392274999999,-0.00881048000000027,-0.00128043500000008,0.004222159999999,-0.00753621999999957,-0.00513985000000133,-0.00363302500000054,-0.00563580999999896,0.00951418999999982,-0.00916699999999964,0.00198662000000021,-0.00111498999999946,-0.000313374999997967,-0.00408603500000002,0.0711488200000008,-0.00151900000000027,-0.0134150250000004,-0.0117538549999999,-0.00495516499999975,-0.00038665500000176,-0.00719122000000109,0.00109493499999986,0.136493905,-0.00749257000000024,0.00656471000000008,-0.0109975900000001,-0.00791788000000036,-0.00330395999999767,-0.00690033499999785,-0.00524344500000052,-0.0124260050000001,0.117470509999999
"5",-0.0079593799999983,-0.00582345999999901,0.00178637499999919,0.127701079999999,0.491347944999999,-0.0120463850000005,-0.00655417500000037,0.00111136999999898,-0.0115316199999993,-0.00579372500000046,-0.00640152000000114,0.00387035499999939,-0.0111554800000009,-0.00735830999999974,0.0899891800000006,-0.0114695799999999,-0.000409675000000631,-0.00785927499999994,-0.0159971350000004,0.00016036000000023,0.00496379999999943,-0.0111787349999977,-0.00589025999999985,0.0885986050000006,-0.00474650499999949,0.00211667500000055,-0.013691575,-0.0107213050000007,-0.00188730999999986,-0.00238352000000102,-0.00923480499999986,0.00122718000000034,-0.00678634999999932,-0.00534799000000047,-0.00362952500000081,-0.00752756500000015,-0.00180570500000003,0.0881608700000011,-0.00667169999999978,0.000169209999999953,0.0022396349999986,-0.00109256500000001,-0.00406159499999915,-0.000119634999999959,0.00357750000000013,0.130124525000001,-0.00863568499999946,0.0078765100000001,0.000997104999999938,0.000272044999998764,-0.00712294999999798,-0.00445252499999976,-0.0100302250000008,-0.00834937999999981,0.00193888999999979
"6",0.00421985500000024,-0.0114349149999989,-0.00265605500000082,-0.00145375500000015,-0.0120463850000005,0.499166714999999,0.000531210000001358,0.00336173999999939,-0.00432088000000126,-0.00296155000000081,0.000353670000000044,-0.00359732500000036,0.00778227499999921,-0.0127528699999985,0.000855605000000643,-0.00107577999999957,-0.00140354499999844,-0.00297996499999972,0.0408040599999991,0.00521319499999973,0.00418335999999932,0.00625997499999998,0.0139298099999989,-0.00620966000000068,-0.00985986499999923,-0.000520370000000295,-0.00563591499999922,0.00808595499999923,-0.00808124999999951,-0.00303350499999934,0.000705330000000631,0.00495089999999884,0.00476815499999951,0.000242469999999748,0.0888073850000015,0.000244095000001065,-0.00933243000000124,-0.00978571999999989,0.0106595750000007,-0.0164380649999998,0.0430177500000004,-3.83799999998201e-05,-0.000151115000000326,0.00167933000000029,-0.00972928499999858,0.00458472500000001,-0.00135236000000105,-0.00139226000000199,-0.00867237000000071,0.00475993500000015,-0.00759660000000015,-0.0123139299999997,-0.00260003499999893,0.00888094500000117,-0.00396323499999921
"7",-0.00877986499999914,-0.00341616999999924,-0.00700251000000014,-0.00953567999999944,-0.00655417500000036,0.000531210000001358,0.501426415,0.00384000000000021,-0.00335104500000004,-0.00703930999999988,-0.00621857999999856,-0.00874745999999919,-0.0030663450000002,-0.00366915500000036,-0.00753871499999909,-0.00394184500000078,0.103548525,-0.00272727000000093,-0.00175974000000035,-0.000776719999999486,-0.0122446700000001,-0.00126638500000112,-0.00608796999999972,-0.00396891500000088,-0.00621285499999891,-0.0135512100000002,-0.0032963750000001,0.0164188299999998,-0.00167036000000042,0.00897612499999988,-0.0166020499999995,-0.010555490000001,0.0111725100000012,-0.00252763999999993,0.00333537000000043,-0.00409979999999902,-0.00307671499999939,-0.00581280999999994,-0.00198601500000037,-0.00529249999999937,-0.0112367599999993,-0.00398290999999998,0.00818787999999936,0.00016957500000051,-0.0087075549999991,-0.0118354399999992,-0.01307671,-0.000507070000001228,-0.0107219549999998,0.00319935999999935,-0.00722995500000042,0.00225419500000074,-0.000538859999998718,-0.015018369999999,-0.00711586500000023
"8",-0.00443344499999826,-0.00559161500000145,-0.00277664500000082,0.202126429999997,0.00111136999999898,0.00336173999999939,0.0038400000000002,0.511808929999997,0.00190718000000054,-0.00732479999999812,-0.00249228000000047,-0.010018545,-0.00718494499999766,-0.0114980100000021,-0.00467002500000027,-0.000464785000000915,-0.00971882000000226,-0.00589111499999943,-0.00656441999999936,-0.00666172999999874,-0.0144520300000005,-0.0013890549999977,-0.00495754499999875,-0.00130630000000105,-0.00538507499999992,0.00100411999999871,0.00127377499999902,-0.00842871499999867,-0.0116836699999994,-0.00765740499999986,0.00474222499999999,0.0120495350000002,-0.00198470499999904,-0.00811985500000018,0.00150693000000043,-0.00113732499999876,-0.00363141499999959,-0.0080085399999992,-0.0109881050000003,-0.0130023400000001,-0.00416821500000066,-0.00952297999999904,0.00297518999999932,-0.00548216000000112,-0.00650672000000013,-0.000103800000000536,-0.00136280999999919,0.00595078500000075,-0.00350016999999988,-0.00915767999999996,-0.0119211149999968,-0.00838901499999857,-0.00384131500000128,-0.01127061,0.132612299999997
"9",-0.00780577999999904,-0.000132885000000766,-0.00578354999999889,-0.00109883999999924,-0.0115316199999993,-0.00432088000000127,-0.00335104500000004,0.00190718000000054,0.50290807,-0.000508510000000685,-0.00146767499999931,0.000377335000000691,0.000629444999999389,-0.0082922250000004,-0.0101028350000003,0.000542674999999887,-0.00102778999999926,-0.0038667250000002,0.00094084000000001,0.0419942899999996,-0.00106078000000016,0.00110472999999821,0.0247490300000002,-0.00610908500000049,-0.00284564499999977,0.00743107000000072,-2.10199999998754e-05,-0.00411818500000027,0.000150074999999541,0.0240678349999994,0.0109391400000004,-0.00213540999999935,-0.00223700000000016,-0.00202589500000005,-0.00921827000000043,-0.00797046500000029,0.12573364,0.0289651950000002,0.00289655000000092,0.14034809,0.00881635499999975,-0.00680123499999948,-0.000572200000000325,-0.00296590500000082,0.000237824999999654,-0.00552620000000037,-0.00128588499999997,-0.0010000650000005,-0.00322194499999995,0.00191621999999943,0.00157679999999971,-0.01198194,0.00294923000000048,0.00244693000000004,-0.00660059499999983
"10",-0.00180157000000008,-0.00234755500000083,0.000240449999999888,-0.00908335999999963,-0.00579372500000045,-0.00296155000000082,-0.00703930999999987,-0.00732479999999812,-0.000508510000000683,0.50026122,0.141098065,-0.0129489300000007,-0.00463137500000191,-0.0018461049999993,-0.00635737999999955,0.00128842500000051,-0.00668194000000088,0.00015470499999996,-0.00277446000000073,0.00818935500000103,-0.00290679000000162,0.00750368000000063,-0.00459844000000071,-0.00727611999999839,0.0058401450000013,-0.014085505,0.00916210500000095,-0.01083015,0.00876161500000152,-0.00454257500000088,-0.00228654000000158,-0.000562089999998896,-0.0088397500000001,-0.0126007499999999,0.00155815499999924,-0.00786458500000117,-0.000956084999999464,-2.6045000000379e-05,-0.0100951299999998,-0.00427194499999885,0.138821639999998,-0.00116723500000041,-0.0189536599999988,-0.00468510500000025,0.128788245,-0.0141389700000003,-0.00658751500000047,0.123738609999999,0.116501774999999,-0.00227589500000091,0.0102657949999994,-0.00781752500000197,0.00451602499999868,-0.0029197600000004,-0.00984329000000073
