"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",0.496948790000001,-0.00463857000000025,-0.0109632050000003,0.150751239999999,-0.0104962400000015,-0.00962580499999989,-0.00593659999999984,-0.00184282999999887,-0.0017587400000002,-0.00701757999999984,0.127484109999999,-0.00475533499999995,-0.0114553100000009,0.00343548500000172,-0.0180141450000002,-0.0145364449999987,-0.0125133549999998,0.00294947000000065,0.157735259999999,-0.0116630350000006,0.00112178999999976,-0.00224700499999842,0.000700364999999799,-0.00814852000000011,-0.00925244000000132,0.172138995,-0.0102737450000009,0.00214966000000009
"2",-0.00463857000000025,0.494133209999997,0.00200514000000121,0.0056483300000007,-0.00130239999999948,-0.000194925000000112,-0.000184664999998893,0.11336956,-0.000347295000000024,-0.00519030000000003,-0.00343460000000074,-0.0146892050000012,0.00482225500000032,0.14739285,-0.00401434500000054,0.0276953149999999,-0.00101394499999857,-0.00453402499999952,-0.00348550999999961,-0.00154286000000026,-0.00782911500000094,-0.0154234350000012,-0.00864281499999971,0.00312433999999991,-0.0067892399999983,-0.00494844500000001,-0.0078393999999999,-0.00614941999999913
"3",-0.0109632050000003,0.00200514000000122,0.498101315,0.0861231550000006,-0.0110494650000004,-0.00590548999999871,-0.00746263000000068,0.000806980000001077,-0.00844618499999996,0.00436557500000053,-0.00781113500000076,-0.00726331000000076,0.00191226000000046,0.00774206500000099,-0.01172244,-0.0140719250000002,-0.00153639500000029,0.00191332000000008,-0.00651219499999972,-0.00544036000000077,0.00234150499999934,0.00182035500000064,-0.00909297500000032,-0.0104327150000002,0.000381200000000362,-0.00740793500000027,-0.0120029250000008,-0.00513150500000083
"4",0.150751239999999,0.00564833000000071,0.0861231550000006,0.491172649999996,-0.00695397499999953,0.00218028999999983,0.000367829999999876,-0.00372398999999957,0.000566144999999632,-0.00524438499999929,0.142841169999999,-0.00348037500000189,-0.00515225500000051,-0.00486241999999931,-0.00434625000000085,-0.00373143999999922,-0.0123552799999994,-0.000445270000000257,0.0852943399999999,-0.00849646999999922,0.0119897100000004,-0.00403140999999917,-0.00462306500000023,-0.0106188750000005,-0.0133006450000006,-0.00707547500000004,-0.0055154750000002,-0.00425928999999931
"5",-0.0104962400000015,-0.00130239999999948,-0.0110494650000004,-0.00695397499999953,0.497244895,-0.0109328650000012,-0.00512636999999924,-0.00608545499999954,-0.00596717000000058,0.00462548999999995,0.0389941949999989,-0.0042380400000001,-0.00584016999999916,-0.00135410500000019,-0.00354993000000079,0.129016415,-0.00345911500000039,0.143772170000001,0.0028302050000002,0.00212482500000035,-0.00353155500000106,-0.00333931500000015,-0.00145989500000088,-0.00744896500000095,-0.0118570449999998,-0.0104439650000007,-0.00314886500000004,-0.00274610500000066
"6",-0.00962580499999989,-0.000194925000000114,-0.00590548999999871,0.00218028999999983,-0.0109328650000012,0.489622055,0.000761675000000241,-0.00846942,-0.000890090000001146,-0.00384593999999951,-0.0078565049999998,-0.00402523000000037,-0.00637358500000055,-0.00854931999999998,0.00727835500000026,-0.00498236000000037,-0.00671640499999876,0.00597824499999981,-0.0153468499999991,0.00345730500000111,0.00683332999999988,0.0105308649999994,0.108223170000001,0.155797135,-0.00952719499999953,0.11515937,-0.00507789999999991,0.003509405
"7",-0.00593659999999985,-0.000184664999998892,-0.00746263000000068,0.000367829999999877,-0.00512636999999924,0.000761675000000242,0.49703198,0.00727225000000052,-0.00911588500000113,-0.00658808999999996,4.06599999988207e-05,-0.00394556000000009,6.56950000002715e-05,-0.000280430000001009,0.00495935999999894,0.000290109999999785,0.00301243999999958,-0.00288309499999931,0.00639033500000054,0.0899468550000013,-0.0069429849999994,-0.00198011000000005,-0.00184575999999993,0.00384783499999953,0.0128637750000001,0.00102812499999871,-0.00390525000000012,-0.0035164700000016
"8",-0.00184282999999887,0.11336956,0.000806980000001073,-0.00372398999999957,-0.00608545499999954,-0.00846942000000001,0.00727225000000052,0.500632805000001,-0.00895675999999977,-0.00944080499999878,0.00293120500000098,-0.00128454500000094,0.0221209349999999,0.215725975000001,-0.00227662500000031,0.0236049900000008,-0.0138062099999999,-0.00873938499999917,-0.00431641499999899,-0.000341834999999549,-0.00159990999999873,0.000822600000000667,-0.00698642000000038,-0.00211826500000036,-0.00671474999999991,-0.00428672500000047,-0.00321212999999889,-0.00356157999999884
"9",-0.0017587400000002,-0.000347295000000019,-0.00844618499999997,0.00056614499999963,-0.00596717000000057,-0.000890090000001146,-0.00911588500000112,-0.00895675999999977,0.494841115,-0.0122298799999999,-0.00281711000000003,-0.0101168900000013,0.00599386500000113,-0.00241920999999939,-0.00845648999999886,-0.00706961500000088,-0.0107210600000004,-0.00883799000000131,0.00882967999999969,-0.0031942249999989,-0.0127308099999998,-0.0104740900000002,-0.00505339500000016,-0.00513870500000097,-0.00370756499999994,-0.0151757050000005,-0.00798345999999886,-0.00408619000000017
"10",-0.00701757999999984,-0.00519030000000004,0.00436557500000053,-0.00524438499999929,0.00462548999999995,-0.00384593999999951,-0.00658808999999996,-0.00944080499999878,-0.0122298799999999,0.493737355,-0.00274688999999962,-0.00582647999999912,-0.0122708300000006,-0.00139649999999893,0.00464666499999826,0.0037399700000006,-0.0024460250000007,0.00395444000000033,0.00526618499999891,-0.00503838000000047,-0.00864079499999795,-0.00896464499999865,-0.00498385500000062,-0.00858816499999973,-0.00533215999999959,-0.00197315000000039,-0.00983147499999931,0.00673864499999947
