"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0.492496015,-0.0138864349999993,0.000878679999999056,-0.00656787999999984,-0.000686209999999545,-0.0102635999999994,0.00683970999999873,-0.0010360950000012,-0.0110357400000001,-0.00273589000000132,0.000543625000000753,-0.00236353000000013,-0.00414570000000036,-0.00287476499999955,-0.00367689999999892,0.117418139999999,-0.0145034299999993,-0.00470326000000119,-0.00623893499999995,-0.000170494999999925,0.00030411500000091,-0.00871165499999986,-0.00123813999999916,0.000466649999999104,-0.000329264999998484,0.00506737499999978,-0.00555288999999944,-0.00789685499999861,0.0168354500000004,-0.0035359550000002
"2",-0.0138864349999993,0.48943136,-0.0122828549999994,-0.00412382500000046,-0.0115653249999989,-0.00252247499999985,-0.0109116700000005,-0.0032341499999998,0.14538856,-0.00843615500000114,-0.00241745499999776,0.00103980500000042,0.117602585000001,-0.00880974999999823,-0.00399432999999886,-0.0032013800000002,-0.00796940999999898,-0.00810502999999988,-0.00194271000000096,-0.00857975500000062,-0.00959726499999813,-0.000120669999998641,-0.0112221700000018,-0.0034531099999998,-0.00270245500000032,-0.00477959499999929,-0.00752450000000237,0.000397019999998132,-0.005812520000002,0.178092554999999
"3",0.000878679999999056,-0.0122828549999994,0.508060659999998,-0.000660124999999875,0.00668300499999856,0.00878855500000062,-0.00593697000000013,-0.00578030499999877,0.0473846250000006,-0.00497303000000039,-0.0131870150000011,0.0118721999999996,-0.00152083500000035,-0.00632098000000021,0.0121386200000016,-0.00631105500000067,0.00304631499999991,-0.00956536499999955,-0.0089023199999999,-0.00660166999999992,-0.0107391150000009,-0.0149528749999997,-0.0069366300000001,-0.00513188000000054,-0.00748129999999919,0.000690865000000285,-0.0111373100000006,-0.00849218999999937,-0.00872649499999968,-0.000796509999999257
"4",-0.00656787999999985,-0.00412382500000047,-0.000660124999999875,0.506645235,0.191836259999999,-0.00899562999999946,-0.0027844550000003,-0.00795830999999975,-0.0056971950000016,-0.00892473499999941,-0.00823897499999926,-0.0181614949999997,-0.00735307499999869,-0.00569149500000021,-0.0059814100000014,0.00407694499999895,0.0111252050000009,-0.00344174999999989,-0.00706630999999891,-0.00349034999999886,-0.00131283499999948,-0.0180756600000001,0.000596830000000646,-0.00638951000000004,-0.00202306000000023,-0.00299898000000059,-0.00323298999999816,0.00379472000000092,-0.00452011500000072,-0.00745042499999846
"5",-0.000686209999999546,-0.0115653249999989,0.00668300499999857,0.191836259999999,0.494911555000003,-0.00372010000000123,-0.00372255500000068,-0.00514859500000068,-0.00237391000000096,-0.00740527000000107,-0.0113753549999985,-0.00694731500000016,-0.00690590999999923,-0.00558277500000008,-0.00722415000000001,-0.000673635000000739,0.00210928999999965,0.00109963499999886,-0.00844118999999975,-0.0110367049999997,0.00224909000000075,-0.00739548500000094,-0.00454869999999917,-0.00683103500000054,-0.00280573499999819,-0.00376220500000026,-0.00628092499999913,0.00288367000000223,0.0056370350000009,-0.00908796999999897
"6",-0.0102635999999994,-0.00252247499999986,0.00878855500000062,-0.00899562999999946,-0.00372010000000123,0.502206845000002,-0.00757031499999955,0.0133807600000001,-0.000195770000001074,0.115888990000001,-0.00248531500000131,0.0087574399999993,-0.00969950999999934,-0.00786475000000086,-0.000673890000000043,-0.000771950000000394,0.0569684850000012,-0.00632093999999969,-0.00925566999999978,9.46050000002304e-05,0.00300908999999869,0.0039540149999999,-0.0126089449999995,0.0146116500000004,-0.00595297499999954,-0.00297521000000035,-0.00984431000000064,-0.000693954999999749,-0.00500598499999973,-0.00405263999999944
"7",0.00683970999999874,-0.0109116700000005,-0.00593697000000013,-0.0027844550000003,-0.00372255500000068,-0.00757031499999955,0.498986930000002,0.00539671999999961,0.000173090000000009,-0.0123793749999992,-0.00108751000000088,-0.0149830999999997,-0.00926240000000016,0.00719952500000002,-0.0137255499999998,-0.00204138000000043,-0.0123287349999995,-0.00867665000000099,0.000348279999999697,-0.00634787999999999,0.00212133499999942,0.0115404949999998,-0.00530086499999963,0.00255134999999993,-0.00468992000000065,-0.00574963500000097,-0.00670991499999961,-0.00335144999999918,0.111755769999999,-0.0126338150000006
"8",-0.00103609500000121,-0.00323414999999981,-0.00578030499999877,-0.00795830999999975,-0.00514859500000068,0.0133807600000001,0.00539671999999961,0.503203529999997,-0.000910925000000451,-0.00406607999999934,-0.00672094000000094,-0.00495196499999979,-0.00529677999999748,-0.0100269999999997,-0.00957803999999982,0.00152448000000062,-0.0087452749999983,0.140481010000001,-0.00539422999999929,-0.00225140500000144,0.000910219999999975,0.107210709999998,-0.00380617500000015,0.112074765,0.00234914499999943,-0.0086531200000014,-0.0120789200000016,-0.00583027499999998,-0.00485996000000052,-0.0016300050000002
"9",-0.0110357400000001,0.14538856,0.0473846250000006,-0.00569719500000161,-0.00237391000000096,-0.00019577000000107,0.000173089999999999,-0.000910925000000459,0.495790835,-0.000816699999999956,-0.0135067850000002,-0.00374659000000013,-0.00348468999999989,0.00850590000000051,-0.000356199999998628,-0.00733333000000005,-0.00678200000000077,0.00159396500000036,-0.0115263149999999,-0.00812061000000075,-0.00891324500000103,-0.00409911000000009,-0.000791280000000357,0.00431204500000044,0.00167618500000018,0.00935247000000123,-0.00898027000000134,0.00678090499999888,0.0067030900000002,-0.00823137499999996
"10",-0.00273589000000132,-0.00843615500000114,-0.00497303000000039,-0.00892473499999943,-0.00740527000000107,0.115888990000001,-0.0123793749999992,-0.00406607999999935,-0.000816699999999958,0.499211340000003,0.0185517149999999,0.000109355000000077,-0.0049478550000009,-0.00698246000000108,-0.00141621999999941,-0.000576844999999894,-0.00369160000000027,-0.00170116499999882,-0.00402393500000007,-0.00775131500000194,0.00877786999999932,-0.00163085999999942,-0.0104867800000019,-0.00457394499999878,-0.0101980299999996,-0.00326837499999991,-0.00465385500000067,-0.000634049999998943,-0.00885225500000081,-0.00538347499999979
"11",0.000543625000000752,-0.00241745499999775,-0.0131870150000011,-0.00823897499999926,-0.0113753549999985,-0.00248531500000131,-0.00108751000000088,-0.00672094000000094,-0.0135067850000002,0.0185517149999999,0.499005804999997,0.00627196499999885,0.000480144999999704,-0.00480775500000097,0.000889250000000491,-0.00723935000000074,0.00109792999999703,-0.0129006300000013,-0.00585859499999995,-0.0141209049999991,0.185377214999997,-0.00386553000000139,-0.0170112899999999,0.000484810000000297,-0.000528430000000236,0.000719245000000331,-0.00503277499999952,-0.0117891249999982,-0.000988244999998904,-0.00217543499999736
"12",-0.00236353000000013,0.00103980500000042,0.0118721999999997,-0.0181614949999998,-0.00694731500000016,0.0087574399999993,-0.0149830999999998,-0.00495196499999979,-0.00374659000000014,0.000109355000000073,0.00627196499999885,0.512418389999999,-0.00976750000000016,-0.00708516000000029,0.0593914050000001,-0.011856565,-0.00407065500000046,-0.00512531499999975,-0.00116233499999964,0.00431171500000038,-0.0066076000000008,-0.00542348000000059,-0.00169722999999925,-0.00519597500000079,-8.5400000004862e-06,-0.00482884500000011,0.00123406000000048,-0.00487560499999943,-0.0125296699999999,-0.0050022500000002
"13",-0.00414570000000036,0.117602585000001,-0.00152083500000035,-0.00735307499999868,-0.00690590999999923,-0.00969950999999934,-0.00926240000000017,-0.00529677999999749,-0.00348468999999989,-0.0049478550000009,0.000480144999999708,-0.00976750000000016,0.499975129999999,-0.00532718999999993,-0.0107411749999994,0.00131263000000146,0.168300685000001,-0.00641495499999987,-0.00621879999999999,-0.00318286000000041,-0.00128083999999963,-0.00594291499999874,0.00646562999999833,-0.00988243999999904,-0.00907298000000171,-0.00691349499999842,-0.00312870500000147,-0.00501030500000106,-0.00646344500000207,0.15480942
"14",-0.00287476499999955,-0.00880974999999824,-0.00632098000000021,-0.00569149500000022,-0.00558277500000007,-0.00786475000000086,0.00719952500000002,-0.0100269999999997,0.00850590000000051,-0.00698246000000108,-0.00480775500000097,-0.0070851600000003,-0.00532718999999994,0.495986780000002,-0.00439961000000025,-0.0120613050000012,0.00191574,-0.00948522,-0.00392203000000069,-0.00703240499999969,-0.000720510000000252,0.0101018849999993,-0.0029087200000001,0.000420744999999826,-0.00244845000000017,0.148093985,-0.00498377499999968,-0.000202084999998787,0.000951984999999931,-0.00939297499999954
"15",-0.00367689999999892,-0.00399432999999886,0.0121386200000015,-0.0059814100000014,-0.00722415000000001,-0.000673890000000039,-0.0137255499999998,-0.00957803999999982,-0.000356199999998629,-0.00141621999999942,0.000889250000000501,0.059391405,-0.0107411749999994,-0.00439961000000025,0.49796743,-0.00566863000000128,-0.00799295999999923,-0.00276454000000081,-0.0115010000000005,-0.00557632000000058,-0.00870296500000028,-0.00519607499999996,-0.0135222050000003,-0.00735341500000058,0.00237831000000192,-0.00527553000000031,-0.0179083950000005,-0.0145021849999989,-0.0097773199999995,-0.00634461000000021
"16",0.117418139999999,-0.0032013800000002,-0.00631105500000068,0.00407694499999896,-0.000673635000000749,-0.000771950000000402,-0.00204138000000044,0.00152448000000062,-0.00733333000000004,-0.000576844999999893,-0.00723935000000075,-0.011856565,0.00131263000000147,-0.0120613050000012,-0.00566863000000127,0.492909305,-0.00580706500000022,-0.00347278500000007,-0.00127856499999924,-0.00659570999999932,-0.0125832650000001,-0.0114773950000028,-0.000202669999999684,-0.00935909500000057,-0.0159078199999993,-0.00580936499999979,-0.00933361499999879,-0.00351131499999754,6.14900000001478e-05,-0.00572174499999831
"17",-0.0145034299999993,-0.00796940999999898,0.00304631499999991,0.0111252050000009,0.00210928999999965,0.0569684850000012,-0.0123287349999996,-0.0087452749999983,-0.00678200000000077,-0.00369160000000028,0.00109792999999703,-0.00407065500000047,0.168300685000001,0.00191574,-0.00799295999999923,-0.00580706500000021,0.498202845000003,-0.00971279500000021,-0.00360711500000034,-0.00831315499999918,0.0136668849999972,-0.0147832749999986,0.00386184500000009,-0.0151190799999997,-0.0061053600000002,-0.00104339499999911,-0.00225430499999954,0.00366336500000158,-0.00119996999999999,-0.00594794499999867
"18",-0.00470326000000119,-0.00810502999999988,-0.00956536499999954,-0.00344174999999989,0.00109963499999887,-0.00632093999999969,-0.00867665000000099,0.140481010000001,0.00159396500000037,-0.00170116499999883,-0.0129006300000013,-0.00512531499999976,-0.00641495499999987,-0.00948521999999999,-0.00276454000000082,-0.00347278500000007,-0.0097127950000002,0.49909777,-0.00534059000000066,-0.00563346000000086,-0.00584874500000016,-0.0153786699999998,-0.00922100000000006,-0.0121922200000012,-0.00403181500000117,-0.00442745500000064,-0.0136114850000003,0.00353042499999919,-0.000461475000000333,-0.0125132750000007
"19",-0.00623893499999995,-0.00194271000000098,-0.0089023199999999,-0.00706630999999891,-0.00844118999999975,-0.00925566999999978,0.000348279999999695,-0.00539422999999929,-0.0115263149999999,-0.00402393500000007,-0.00585859499999995,-0.00116233499999963,-0.0062188,-0.0039220300000007,-0.0115010000000005,-0.00127856499999924,-0.00360711500000034,-0.00534059000000064,0.496410470000001,-0.00498721999999919,-0.000612910000000831,0.000767110000000884,-0.0080352149999994,-0.00755434999999899,0.000814515000000341,-0.00963437500000107,0.158563370000001,0.00306754999999917,0.00803163999999948,-0.00578854499999997
"20",-0.000170494999999932,-0.00857975500000062,-0.00660166999999992,-0.00349034999999886,-0.0110367049999997,9.46050000002271e-05,-0.00634787999999999,-0.00225140500000144,-0.00812061000000076,-0.00775131500000193,-0.0141209049999991,0.00431171500000038,-0.00318286000000041,-0.0070324049999997,-0.00557632000000057,-0.00659570999999931,-0.00831315499999918,-0.00563346000000087,-0.00498721999999919,0.497577255000001,-0.0139689249999993,0.000886739999999707,0.0964223399999993,-0.00264893500000088,-0.00966556000000016,0.000164849999999561,0.169179620000002,-0.00182030999999976,-0.00130154500000046,0.00302585999999968
"21",0.000304115000000903,-0.00959726499999812,-0.0107391150000009,-0.00131283499999948,0.00224909000000075,0.0030090899999987,0.00212133499999942,0.00091021999999998,-0.00891324500000103,0.00877786999999932,0.185377214999997,-0.0066076000000008,-0.00128083999999963,-0.000720510000000246,-0.00870296500000028,-0.0125832650000001,0.0136668849999972,-0.00584874500000016,-0.000612910000000839,-0.0139689249999992,0.509729469999997,0.00376169499999791,-0.01314548,-0.00272894499999942,-0.00534912999999991,-0.01205463,-0.00749719000000047,-0.0112856899999984,-0.00623181999999906,-0.00239284499999761
"22",-0.00871165499999986,-0.000120669999998638,-0.0149528749999997,-0.0180756600000001,-0.00739548500000094,0.0039540149999999,0.0115404949999998,0.107210709999998,-0.00409911000000009,-0.00163085999999942,-0.0038655300000014,-0.0054234800000006,-0.00594291499999874,0.0101018849999993,-0.00519607499999997,-0.0114773950000028,-0.0147832749999986,-0.0153786699999998,0.000767110000000888,0.000886739999999706,0.00376169499999791,0.498891529999999,-0.00782109499999955,0.0938342849999986,-0.00298195499999847,0.00416513999999878,-0.00458845999999903,-0.00904495999999749,-0.00845647499999962,-0.00370831999999845
"23",-0.00123813999999917,-0.0112221700000018,-0.0069366300000001,0.000596830000000641,-0.00454869999999916,-0.0126089449999995,-0.00530086499999963,-0.00380617500000015,-0.000791280000000366,-0.0104867800000019,-0.0170112899999999,-0.00169722999999925,0.00646562999999833,-0.00290872000000009,-0.0135222050000003,-0.000202669999999684,0.00386184500000009,-0.00922100000000006,-0.0080352149999994,0.0964223399999994,-0.01314548,-0.00782109499999955,0.489042900000001,0.00067291999999987,-0.00560597499999993,-0.00785458499999995,0.160539380000001,-0.00971005499999974,-0.000169554999999146,-0.00456138500000122
