"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68"
"1",0.495558119999997,0.00845049000000121,-0.0110747949999996,-0.0108335249999994,0.00310895000000117,-0.00665854000000075,-0.00477896500000048,-0.00758310999999971,-0.00347995000000066,-0.00616215499999943,0.00512088999999999,-0.00774681000000084,-0.00725453500000057,-0.000999984999999245,-0.00504487500000107,0.00163914499999989,-0.000294025000000029,0.00222372499999998,-0.00136774999999996,0.00118024499999895,-0.000580294999998992,-0.00403947500000063,0.00474120499999865,-0.00873365000000138,-0.0015466450000004,-0.0124034000000001,-0.00605623500000059,-0.00331681999999933,0.000547679999998263,0.00528298500000112,0.000378745000000157,0.0144398049999994,-0.00443999500000018,-0.00264242500000013,0.00341604500000074,0.00478942000000129,-0.00129872000000023,-0.0109915250000012,-0.00133138999999963,-0.00677419499999987,-0.00562857499999971,-0.00627826499999907,-0.000338644999999661,0.162189405000001,0.012540969999999,0.0151824900000002,-0.0139211850000011,0.00724307499999985,-0.00515676999999946,0.0029104499999999,-0.00997686499999891,-0.0015836699999999,-0.0065139849999976,-0.0065427250000002,-0.0157766699999999,0.00190181499999906,-0.00963953500000022,-0.0052966499999998,0.00895471000000054,-0.00331053999999989,0.00464445999999895,-0.00480804499999958,-0.00217870499999929,-0.00134147000000047,-0.00677877499999978,-0.00738426999999955,-0.00629789499999989,-0.00457551500000038
"2",0.00845049000000121,0.487369135,-0.0105566149999993,-0.0105679600000006,-0.0121850449999983,-0.00345240000000032,-0.0026589149999992,0.000499614999999767,-0.00221298500000022,0.00542943500000026,0.000891174999998277,-0.00436957999999911,-0.00683074500000031,0.170281555,-0.00506916000000083,-0.000990984999998842,-0.0102294250000008,-0.000987480000000928,-0.00183450000000013,0.00345061999999944,0.0572075000000008,0.0211959250000003,0.00994393499999943,-0.0059907600000002,-0.00478662500000111,0.0139996399999993,-0.00034018499999994,-0.00472885499999938,-0.00153158499999892,0.00193523499999922,0.000342805000000527,-0.00911223999999851,-0.00958091000000013,-0.00895326499999893,-0.0107954450000006,-0.00593467499999899,-0.000702415000000095,-0.0106985399999986,-0.00306845500000004,-0.0135054800000004,0.005790945,-0.00349071500000027,0.110706435,0.00195307000000141,-0.00790959499999911,-0.0073809750000001,-0.0102859700000001,-0.00925539499999937,-0.0062172750000005,-0.00661853000000064,-0.000654275000000549,-0.00309951500000039,-0.000287184999999976,-0.0055269300000008,-0.0118141400000011,-0.00949317499999973,0.0024611200000004,-0.0120731049999988,-0.0067080599999997,-0.0169809449999992,-0.000547590000000997,0.00217068499999939,-0.00803003999999878,-0.00291796999999973,-0.00748541499999921,-0.00589465000000066,-0.00279608499999955,-0.0155160799999993
"3",-0.0110747949999996,-0.0105566149999993,0.501099995000002,0.18242377,0.00217108499999924,0.000982950000001107,-0.0142545949999996,0.0680829500000011,0.0489296600000001,0.00612436499999896,-0.0140343250000009,0.0248872100000008,-0.00298912499999956,-0.01189314,0.137416095000001,-0.00887817999999904,-0.00245331499999858,0.00349437999999904,-0.0077581549999993,-0.0011051599999995,-0.00302917500000111,-0.0106469550000008,-0.00302927499999944,-0.00532761999999921,-0.00201258999999883,0.000930655000000337,-0.00425515500000033,-0.00815803999999911,-0.00482340999999946,-5.26250000008442e-05,-0.00985356000000067,-0.0101352949999995,-0.00938832999999979,0.0541629949999997,0.0126229599999988,-0.000124620000000656,-0.00226417000000007,-0.0076424949999995,0.00771208499999896,0.13803923,0.11990515,-0.00857740000000075,-0.00589849000000018,-0.0107654450000015,-0.00154534500000002,-0.00133368000000033,0.135166900000001,-0.00151115999999969,-0.00872047499999965,-0.00444001499999787,-9.00750000014489e-05,0.000488739999998742,-0.00227000000000171,-0.00311252499999882,-0.000544575000000597,-0.00339349999999936,0.00657676500000004,-0.0176083999999995,-0.00533371000000079,-0.0050486849999998,-0.00350972500000014,-0.0117083849999993,-0.00707577999999902,-0.00686782999999982,-0.000994455000000174,-0.00542741000000025,0.160151380000001,-0.00568805000000021
"4",-0.0108335249999994,-0.0105679600000006,0.18242377,0.494124824999999,-0.0090791600000007,-0.00667898499999917,0.144368494999999,0.0439470500000012,0.0334203849999995,-0.00399844999999997,-0.0130343449999991,0.00111863500000092,-0.00765794499999932,0.00341237000000034,0.125680565000001,-0.00559742000000056,-0.00487199999999968,-0.00676516000000049,-0.0104490650000002,-0.00144799500000013,0.0035368649999988,-0.0129830550000005,-0.00520061499999929,-0.0031796799999996,0.138604045000001,-0.000269310000000411,-0.0065418449999996,0.00661408499999937,-0.00347995499999963,-0.00986330499999949,0.00355173499999981,0.00786735999999972,0.000799644999999416,0.0370655949999996,-0.00406220000000009,-0.0079046650000004,-0.0121778350000001,-0.00368183000000051,0.00569873499999981,0.141765399999999,-0.00262722000000048,-0.00118536000000047,-0.00890167000000016,-0.00408822500000151,-0.00246564500000039,0.00136784499999973,0.155430180000001,0.00457672500000021,-0.00366339000000033,-0.00120241999999966,0.0073340599999999,0.00628799999999894,-0.00119605500000068,-0.00294066499999947,-0.00030016000000083,-0.00220602000000017,-0.000872435000000519,-0.0159103550000002,-0.016481775000001,-0.00231106499999976,-0.00327797499999918,-0.00395696999999931,0.00464806500000008,-0.0103461050000003,-5.44999999999678e-05,-0.0073606649999989,0.200477940000001,0.119030259999999
"5",0.00310895000000117,-0.0121850449999983,0.00217108499999924,-0.00907916000000071,0.502847375,-0.00673454999999846,-0.00760909999999914,-0.00257060999999858,-0.00495128999999972,-0.000700799999999261,-0.0104124850000004,-0.0046117949999987,-0.0095436950000019,-0.0039459999999989,-0.00558063000000067,-0.00731330999999921,-0.00840889999999943,-0.00515301000000107,-0.0080831750000004,0.00213086499999977,-0.0121732750000007,-0.0076446799999996,0.0687525799999986,-0.0105602250000014,-0.00526525499999885,-0.00949368499999985,-0.00907737000000108,-0.00204056499999743,-0.00452160999999983,0.153526049999999,-0.00200971999999947,0.00240870499999989,-0.0106709050000001,0.00189517999999906,-0.00608486500000159,0.00533742999999926,-0.00232127499999967,-0.0125033149999972,0.00149105499999927,-0.00818887999999813,-0.00510478999999941,-0.00847416500000119,-0.0064023549999996,0.0315507100000024,0.00164319999999974,0.0014844349999994,-0.000314985000000138,-0.00980996500000103,0.00232275500000125,-0.00511173999999995,0.00372071499999841,0.011604700000001,-0.00315576499999712,0.00512308499999778,-0.00596161000000032,0.0129167800000013,-0.00428628999999919,-0.0120792099999999,0.0062990450000013,-0.0076934349999991,-0.0057859000000016,-0.0100313450000011,-0.00185064499999952,0.00599728999999969,0.00132324500000219,0.00224669499999969,-0.00709604999999945,-0.00355612500000059
"6",-0.00665854000000075,-0.00345240000000032,0.000982950000001102,-0.00667898499999917,-0.00673454999999845,0.511827465000001,-0.00890314999999938,-0.00316837500000011,0.0121593350000012,-0.00676909999999887,-0.00702686000000022,-0.000586595000000112,-0.00595528499999976,-0.00587606000000014,-0.00972780000000036,-0.00323209000000119,-0.00475096500000131,0.000238035000001347,0.153254524999999,0.00072648499999956,-0.00140369499999955,0.00117211499999996,-0.00218655999999999,-0.0046593250000007,-0.000298690000001743,-0.00529013500000019,-0.0056069699999999,-0.00460420000000132,-0.00518501499999996,-0.00722336000000005,-0.0061577900000002,-0.000277400000000449,-0.00868987499999964,-0.00383255000000015,-0.00409748999999987,-0.00514210000000034,-0.00208066000000022,-0.00691567499999869,-0.01440381,-0.00411203999999976,-0.0104807200000004,-0.00567917999999907,0.000167004999999198,-0.00978906999999906,-0.01207647,-0.00313176499999965,-0.00489544500000155,-0.0037275150000011,-0.0163815450000003,-0.00740744500000009,-0.0151011299999996,-0.0058776699999999,0.00409298500000201,-0.0117611500000001,-0.00537731499999956,-0.00828370999999862,0.205349915,-0.00629377000000058,-0.00677684499999943,0.0043466899999991,-0.00181113000000086,0.00067131999999996,0.00708243499999915,-0.00571711000000035,0.00237399999999987,-2.0204999999607e-05,-0.00478075000000038,-0.00591427499999881
"7",-0.00477896500000048,-0.00265891499999919,-0.0142545949999996,0.144368494999999,-0.00760909999999914,-0.00890314999999939,0.49066682,0.00628462500000081,-0.00920877500000043,0.0023547700000002,0.0102758449999992,-0.00322397499999899,-0.00541184000000102,0.00363967999999998,-0.013310950000001,-0.00464308499999954,-0.00634962999999984,0.00315706499999906,-0.0105121200000005,-0.00686566499999938,0.00684735499999955,-0.00642952500000047,-0.00695138000000161,-0.00327124500000168,0.0963985700000008,-0.00399397000000155,-0.00460189499999949,-0.00350207499999614,-0.00447555500000075,-0.00703365499999846,0.12978056,-0.00518220499999964,-0.0132817299999999,-0.00234713499999944,-0.0124747600000027,-0.00975127499999925,-0.0100431500000005,-0.00407477999999919,0.00600563999999915,-0.00110496499999865,-0.00812000499999804,-0.000915155000000547,-0.0016298900000013,-0.00231145999999841,-0.00589172500000032,-0.00103956500000129,-0.0108590150000017,-0.0117549100000012,-0.00539099500000008,-0.00299989500000052,-0.00102784000000183,0.000361300000000047,0.00192129500000229,-0.0128974100000022,-0.00725087999999945,-0.00197618999999841,-0.000545779999998572,-0.0122408599999994,-0.0125727749999993,0.000136840000000394,0.0073965349999998,-0.00140471000000021,0.011082895000001,-0.00945897000000127,-0.0141037049999982,-0.00554835500000186,-0.00727251500000033,0.18402862
"8",-0.00758310999999972,0.00049961499999977,0.068082950000001,0.0439470500000012,-0.00257060999999858,-0.00316837500000011,0.00628462500000081,0.496991115000002,0.13504033,-0.00540001999999938,-0.0051680600000008,0.126095415000002,-0.00549278999999983,-0.00461851500000013,0.0389448249999988,-0.00594190000000048,1.92099999995829e-05,0.125633629999999,0.000551670000000281,-0.004214764999998,-0.0021124349999988,0.00263415000000108,0.0120550599999997,-0.00653771499999968,0.00198653999999873,0.008891595,0.0985744450000002,-0.00423741499999985,0.00302535500000013,-0.00532917999999946,-0.00622429499999985,-0.00945273499999959,-0.00469614000000071,0.108770140000002,-0.00353093500000004,-0.0112652500000001,-0.00656709500000067,-0.00350001999999989,0.00624815499999994,0.0274376299999995,0.0135253600000002,0.00765870000000004,-0.000615590000000918,-0.00882855499999877,-0.00608214000000035,0.00244551500000081,0.0338879749999982,-0.000623099999999888,-0.00818533499999882,0.00436985500000007,-0.00410336999999958,-0.00148709999999907,-0.0087750199999995,-0.00216348000000121,0.00410916499999962,-0.00466631999999929,-0.003899679999998,-0.00706998999999894,0.0105248150000007,-0.00190380999999857,-0.00522933500000016,0.00118705499999916,-0.0036494799999988,-0.00399099999999902,-0.00899647999999864,-0.0107629800000007,0.0314243449999993,0.0117086850000014
"9",-0.00347995000000067,-0.00221298500000022,0.0489296600000001,0.0334203849999995,-0.00495128999999971,0.0121593350000012,-0.00920877500000045,0.13504033,0.491218050000001,-0.0067386500000002,-0.0113336650000008,0.109561765000001,-0.00926843499999924,-0.00956323500000132,0.04068728,-0.00112861000000051,-0.010767175,-0.0044241099999999,-0.00247243499999961,-0.00637466999999885,-0.00415466999999958,1.39249999992984e-05,0.00318761500000155,-0.00548011999999893,-0.00635187500000021,0.0039162049999994,0.146441554999999,-0.00261188999999921,-0.00992239999999955,0.000905814999998119,-0.00118221499999936,-0.0108742900000009,-0.00184061000000083,0.135311295000002,-0.00193736000000086,-0.00258930500000022,-0.0123537800000004,0.000393705000000346,-0.0132492450000003,0.0403841549999989,-0.00478198499999982,-0.0115765000000009,-0.00829553499999893,-0.00128801000000011,-0.00360813500000045,-0.00315621499999911,0.0431572049999997,-0.00598866000000026,-0.0116682100000002,-0.00593869499999894,0.0024476149999991,0.00553054500000077,-0.00622322000000309,-0.00152236999999959,0.00120311499999949,-0.0034262599999992,0.00097603000000063,-0.0105921000000006,-0.000386010000000275,-0.00391698000000052,0.00325331999999935,-0.00340511500000037,-0.00817371000000025,-0.00378655999999914,0.00426341000000013,-0.00431459999999984,0.0350066300000012,-0.0101901899999992
"10",-0.00616215499999944,0.00542943500000025,0.00612436499999897,-0.00399844999999997,-0.00070079999999926,-0.00676909999999887,0.00235477000000019,-0.00540001999999937,-0.0067386500000002,0.505211099999997,-0.0125245200000003,-0.00523153000000035,-0.00588432999999958,0.00215764499999948,0.00940889500000031,0.0292076050000014,-0.0126928349999996,-0.00500240000000017,-0.00606415499999937,-0.00557964999999947,0.0014251600000003,0.0091642550000001,-0.00143807999999913,-0.00189104999999944,0.000687005000000163,-0.00739646000000066,0.159041024999999,-0.00448894499999966,-0.00424000000000028,-0.00801177500000032,-0.00155504000000031,-0.00309124000000036,-0.00145557999999949,-0.00712912500000035,-0.009995415,-0.00443536999999968,0.00580842499999948,-0.00160277500000032,-0.000474910000000504,0.00273866500000002,-0.00946279000000094,-0.00247598500000068,0.00589750000000117,-0.00749095000000151,-0.0111737649999994,-0.00685847500000024,0.00619962500000138,-0.00871904000000011,-3.59149999995706e-05,-0.00256536499999993,-0.00946267500000024,-0.0101804200000004,0.165732999999999,-0.00306046999999931,-0.00862531500000068,-0.00733813499999964,-0.00901943000000071,-0.00401146000000017,-0.00513568000000026,-0.00179955000000074,-0.0056715749999995,-0.00943783500000012,0.109919584999999,-0.00281089500000023,-0.00793385999999879,0.0034868100000006,-2.6499999931542e-07,-0.00453475000000022
