"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0.488524870000002,-0.0126798550000002,0.172418115000001,-6.7270000000756e-05,-0.00722847500000004,-0.00252424000000095,-0.0025844649999998,-0.00924875000000075,-0.000363805000000382,0.00734007000000196,0.00675471500000018,-0.00327155999999833,-0.0033774200000007
"2",-0.0126798550000002,0.50596291,0.126308905,-0.00378815499999982,-0.00399262500000012,-0.000817849999999727,-0.00741277999999995,0.18965504,-0.00945565999999986,-0.0121720249999993,-0.00960970000000057,-0.0169950949999997,-0.0107117950000002
"3",0.172418115000001,0.126308905,0.495022089999998,-0.00720398500000061,-0.00189196000000052,-0.00264696999999961,-0.00350220000000161,0.181392485000001,-0.00420020999999991,-0.00913975500000125,0.00190702499999952,-0.00499628500000114,0.00317728000000024
"4",-6.72700000007509e-05,-0.00378815499999983,-0.0072039850000006,0.50281227,0.00295282499999951,0.00154009499999988,-0.00245429499999997,-0.00827548000000037,0.00332396999999936,-0.00449810500000053,-0.00489600499999954,-0.00194730999999898,-0.00752623000000041
"5",-0.00722847500000004,-0.00399262500000013,-0.00189196000000051,0.00295282499999951,0.497741775000001,-0.00852762999999936,-0.00894440499999901,0.0025130849999996,-0.0103996449999998,-0.0127576250000004,-0.00350499500000085,-0.00575267500000051,-0.00250983000000004
"6",-0.00252424000000096,-0.000817849999999734,-0.00264696999999961,0.00154009499999989,-0.00852762999999937,0.516990140000001,0.0173018950000009,-0.00749430499999964,0.163652904999999,0.060753615,0.0896374199999995,-0.0111615950000004,-0.0115854400000004
"7",-0.0025844649999998,-0.00741277999999994,-0.00350220000000161,-0.00245429499999997,-0.00894440499999901,0.0173018950000009,0.493297465000002,-0.000699620000000764,-0.00257772500000057,0.0245923350000005,-0.00299580500000073,-0.00137856999999917,0.0614015049999998
"8",-0.00924875000000075,0.18965504,0.181392485000001,-0.00827548000000039,0.0025130849999996,-0.00749430499999963,-0.000699620000000759,0.497902585,-0.0161014399999996,-0.0103966050000001,-0.0122749950000007,-0.0114886250000002,-0.00622269000000073
"9",-0.00036380500000039,-0.00945565999999986,-0.00420020999999991,0.00332396999999937,-0.0103996449999998,0.163652905,-0.00257772500000057,-0.0161014399999996,0.495726619999999,0.0520320799999997,0.119931195,-0.00518622999999961,-0.00386919000000032
"10",0.00734007000000195,-0.0121720249999993,-0.00913975500000125,-0.00449810500000052,-0.0127576250000004,0.060753615,0.0245923350000005,-0.0103966050000001,0.0520320799999997,0.503913124999999,0.123420100000001,0.00275961499999906,-0.00688340999999903
"11",0.00675471500000018,-0.00960970000000059,0.00190702499999953,-0.00489600499999953,-0.00350499500000086,0.0896374199999995,-0.00299580500000075,-0.0122749950000007,0.119931195,0.123420100000001,0.498390880000001,0.0021908250000002,-0.00579416999999928
"12",-0.00327155999999833,-0.0169950949999997,-0.00499628500000113,-0.00194730999999899,-0.00575267500000051,-0.0111615950000004,-0.00137856999999918,-0.0114886250000002,-0.0051862299999996,0.00275961499999905,0.0021908250000002,0.507172989999999,0.00787899000000122
"13",-0.00337742000000069,-0.0107117950000002,0.00317728000000023,-0.0075262300000004,-0.00250983000000004,-0.0115854400000004,0.0614015049999998,-0.00622269000000072,-0.0038691900000003,-0.00688340999999902,-0.00579416999999928,0.00787899000000122,0.48565558
