"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1",0.501099995000002,0.18242377,0.000982950000001107,0.0680829500000011,0.0489296600000001,0.00612436499999896,0.0248872100000008,-0.01189314,0.137416095000001,-0.00887817999999904,-0.00245331499999858,0.00349437999999904,-0.00302927499999944,0.000930655000000337,-0.00425515500000033,-0.00482340999999946,-5.26250000008442e-05,-0.0101352949999995,0.0126229599999988,-0.00226417000000007,0.00771208499999896,0.13803923,-0.00589849000000018,-0.0107654450000015,-0.00154534500000002,-0.00133368000000033,0.135166900000001,-0.00151115999999969,-0.00872047499999965,0.000488739999998742,-0.000544575000000597,-0.00339349999999936,-0.00533371000000079,-0.0117083849999993,-0.00707577999999902,-0.000994455000000174,0.160151380000001,-0.00568805000000021
"2",0.18242377,0.494124824999999,-0.00667898499999917,0.0439470500000012,0.0334203849999995,-0.00399844999999997,0.00111863500000092,0.00341237000000034,0.125680565000001,-0.00559742000000056,-0.00487199999999968,-0.00676516000000049,-0.00520061499999929,-0.000269310000000411,-0.0065418449999996,-0.00347995499999963,-0.00986330499999949,0.00786735999999972,-0.00406220000000009,-0.0121778350000001,0.00569873499999981,0.141765399999999,-0.00890167000000016,-0.00408822500000151,-0.00246564500000039,0.00136784499999973,0.155430180000001,0.00457672500000021,-0.00366339000000033,0.00628799999999894,-0.00030016000000083,-0.00220602000000017,-0.016481775000001,-0.00395696999999931,0.00464806500000008,-5.44999999999678e-05,0.200477940000001,0.119030259999999
"3",0.000982950000001102,-0.00667898499999917,0.511827465000001,-0.00316837500000011,0.0121593350000012,-0.00676909999999887,-0.000586595000000112,-0.00587606000000014,-0.00972780000000036,-0.00323209000000119,-0.00475096500000131,0.000238035000001347,-0.00218655999999999,-0.00529013500000019,-0.0056069699999999,-0.00518501499999996,-0.00722336000000005,-0.000277400000000449,-0.00409748999999987,-0.00208066000000022,-0.01440381,-0.00411203999999976,0.000167004999999198,-0.00978906999999906,-0.01207647,-0.00313176499999965,-0.00489544500000155,-0.0037275150000011,-0.0163815450000003,-0.0058776699999999,-0.00537731499999956,-0.00828370999999862,-0.00677684499999943,0.00067131999999996,0.00708243499999915,0.00237399999999987,-0.00478075000000038,-0.00591427499999881
"4",0.068082950000001,0.0439470500000012,-0.00316837500000011,0.496991115000002,0.13504033,-0.00540001999999938,0.126095415000002,-0.00461851500000013,0.0389448249999988,-0.00594190000000048,1.92099999995829e-05,0.125633629999999,0.0120550599999997,0.008891595,0.0985744450000002,0.00302535500000013,-0.00532917999999946,-0.00945273499999959,-0.00353093500000004,-0.00656709500000067,0.00624815499999994,0.0274376299999995,-0.000615590000000918,-0.00882855499999877,-0.00608214000000035,0.00244551500000081,0.0338879749999982,-0.000623099999999888,-0.00818533499999882,-0.00148709999999907,0.00410916499999962,-0.00466631999999929,0.0105248150000007,0.00118705499999916,-0.0036494799999988,-0.00899647999999864,0.0314243449999993,0.0117086850000014
"5",0.0489296600000001,0.0334203849999995,0.0121593350000012,0.13504033,0.491218050000001,-0.0067386500000002,0.109561765000001,-0.00956323500000132,0.04068728,-0.00112861000000051,-0.010767175,-0.0044241099999999,0.00318761500000155,0.0039162049999994,0.146441554999999,-0.00992239999999955,0.000905814999998119,-0.0108742900000009,-0.00193736000000086,-0.0123537800000004,-0.0132492450000003,0.0403841549999989,-0.00829553499999893,-0.00128801000000011,-0.00360813500000045,-0.00315621499999911,0.0431572049999997,-0.00598866000000026,-0.0116682100000002,0.00553054500000077,0.00120311499999949,-0.0034262599999992,-0.000386010000000275,-0.00340511500000037,-0.00817371000000025,0.00426341000000013,0.0350066300000012,-0.0101901899999992
"6",0.00612436499999897,-0.00399844999999997,-0.00676909999999887,-0.00540001999999937,-0.0067386500000002,0.505211099999997,-0.00523153000000035,0.00215764499999948,0.00940889500000031,0.0292076050000014,-0.0126928349999996,-0.00500240000000017,-0.00143807999999913,-0.00739646000000066,0.159041024999999,-0.00424000000000028,-0.00801177500000032,-0.00309124000000036,-0.009995415,0.00580842499999948,-0.000474910000000504,0.00273866500000002,0.00589750000000117,-0.00749095000000151,-0.0111737649999994,-0.00685847500000024,0.00619962500000138,-0.00871904000000011,-3.59149999995706e-05,-0.0101804200000004,-0.00862531500000068,-0.00733813499999964,-0.00513568000000026,-0.00943783500000012,0.109919584999999,-0.00793385999999879,-2.6499999931542e-07,-0.00453475000000022
"7",0.0248872100000008,0.00111863500000092,-0.000586595000000119,0.126095415000002,0.109561765000001,-0.00523153000000034,0.504851385000001,0.00577626000000055,-0.00628643000000122,-0.00324383000000066,-0.00182963999999955,0.15026887,0.000847224999998972,0.00217309500000046,-0.00145760500000087,0.0061121499999994,-0.00376931999999982,-0.00801877499999865,0.00413058499999975,-0.00572225500000088,-0.002867845,-0.00314203499999946,-0.00905656000000095,-0.0054530149999992,-0.00548236000000044,-0.00170037500000037,-0.00619330500000137,-0.00411840500000068,-0.0103283200000001,0.00425250000000114,-0.00342553500000046,0.00644376500000035,-0.00188183499999997,0.000576774999999358,-0.00996281499999842,-0.00769616999999869,-0.00306520000000043,0.00560615499999943
"8",-0.01189314,0.00341237000000034,-0.00587606000000015,-0.00461851500000014,-0.00956323500000135,0.00215764499999949,0.00577626000000055,0.491702139999999,-0.00886723999999859,-0.00658895499999945,-0.00117915000000028,0.00321442999999996,0.00265375499999993,-0.00849165500000068,0.00204295,0.0214315800000009,-0.00505643499999915,-0.00137773000000006,-0.00787676000000051,-0.00403434499999979,0.00233630000000036,0.0114696150000006,-0.00793463000000146,-0.00786158999999966,-0.00978447499999935,-0.00148546500000008,-0.0125114099999998,-0.00271422499999907,-0.0041110400000006,-0.00378683999999965,-0.00433658499999991,-0.00649659999999996,-0.00738862500000016,-0.00684962000000049,-0.00845849500000006,-0.00333270000000007,-0.00476734000000051,0.0021994149999996
"9",0.137416095000001,0.125680565000001,-0.00972780000000036,0.0389448249999988,0.04068728,0.00940889500000031,-0.00628643000000121,-0.00886723999999859,0.499610164999999,-0.0109694249999997,-0.000595069999999638,-0.00893541500000008,-0.00964552499999839,-0.00876937499999873,-0.00196605500000081,-0.00433759500000014,-0.00982209999999991,-0.00843768999999916,-1.73449999991542e-05,-0.00312460500000016,-0.00494993999999903,0.133885959999999,-0.0101495149999992,-0.00713567499999997,0.00204787499999964,-0.010723619999998,0.14871751,-0.00681030500000118,-0.0125933849999998,-0.00891504999999964,0.000592865000000368,-0.00564220000000117,-0.00638083999999966,-0.00909218500000081,-0.000137559999999128,0.00737536999999942,0.110120880000002,-0.00920329499999978
"10",-0.00887817999999904,-0.00559742000000057,-0.00323209000000119,-0.00594190000000047,-0.00112861000000051,0.0292076050000014,-0.00324383000000066,-0.00658895499999945,-0.0109694249999997,0.493627505,0.00116061000000013,-0.00394817499999952,0.00842954999999907,0.0114003650000007,0.0868185050000012,-0.00245660999999957,0.00441868999999943,-0.00950948499999951,0.122889369999999,-0.00465767999999971,-0.00197675999999985,-0.0027652749999984,-0.00256539000000028,0.0990637650000023,0.166177724999999,-0.00657978000000071,-0.00149133000000192,0.12942481,-0.0122729349999996,-0.00403492499999934,0.00437645500000045,-0.00242089499999962,0.00702406500000052,-0.00556100000000024,0.123136010000002,0.00150935999999892,-0.00228172000000049,-0.00996425499999961
