"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1",0.494386105000002,-0.000727149999999937,-0.00682139500000008,-0.000342280000000074,-0.00461724499999905,0.00286457000000021,-0.00781464500000059,-0.00806259000000012,-0.00630184999999965,-0.0124239550000003,-0.00202161499999939,0.00108856500000085,-0.00424851499999999,-0.00175830500000058,-0.00101806500000115,-0.0157047299999997,-0.00356886500000059,-0.00651868500000026,-0.000302749999999257,-0.00389093499999993,0.000952280000000325,-0.01312217,-0.00714523000000009,0.000881185000000408,-0.00263783999999848,-0.00392394499999994,0.12543996,-0.00358747499999969,-0.00144888500000107,-0.00721862000000051,0.0011399000000001,0.00663250500000056,-6.11000000008426e-05,-0.00416577999999977,-0.005332619999999
"2",-0.000727149999999931,0.488675805,0.00242494500000058,0.00164898499999951,-0.000820119999999833,0.00254815999999987,0.00569247000000001,-0.00279167500000026,0.00495459000000093,-0.00135938999999969,0.000521870000000455,-0.000796574999999615,0.00243956500000036,-0.000885630000000059,-0.00530488000000052,0.00545680499999992,-0.00581213999999947,0.00639887499999978,0.000902150000000482,-0.00101066999999988,-0.01006468,-0.00441508999999959,-0.00749824500000084,0.0998967300000002,-0.00726770000000028,-0.00886255000000018,-0.00519039499999955,-0.000797055000000018,-0.00850392499999954,0.00643829999999976,0.00136510500000027,-0.00718552000000003,-0.00797486499999994,-0.00133194500000123,-0.0118585800000008
"3",-0.00682139500000009,0.00242494500000057,0.504102644999999,-0.00377924999999979,0.00266537000000021,-0.0141622799999994,-0.00971294999999945,-0.00272380499999991,-0.000794250000001058,7.51499999995633e-05,-0.00250683000000026,-0.00648443999999915,0.0249522800000005,-0.00133569999999859,-0.00203655500000066,-0.00655702499999964,0.00589822999999917,-0.00602862500000021,0.00191483499999826,-0.00138205000000026,0.00805022999999856,-0.00530286000000089,0.00375411000000041,0.0146816750000009,0.0180547049999998,0.00312431999999952,0.00227124999999913,-0.00613856500000016,0.0202091749999992,-0.00906523499999964,0.0103019750000006,0.00330689000000035,0.00332966499999913,0.00358526500000031,-0.00299828499999953
"4",-0.000342280000000073,0.00164898499999951,-0.00377924999999979,0.485741735000002,-0.00357252000000007,0.000819225000000664,-0.00936342999999906,-0.0136277900000002,-0.00371504000000014,-0.00282924499999971,0.00609167499999952,-0.00709228000000031,-0.0107506299999998,-0.00780543000000026,0.00301512500000006,-0.00459196999999993,-0.00237905999999944,-0.011208085,-0.00649852499999993,0.000885285000001038,-0.00343012500000042,-0.00553856499999917,-0.0053443900000002,-0.00283394499999939,-0.00104602499999966,-0.00640246999999973,-9.37599999999845e-05,-0.00451481000000025,-0.00497892499999964,-0.0094739399999998,-0.00463708999999907,0.14338577,-0.00457130500000036,0.00362583999999871,-0.00587501499999975
"5",-0.00461724499999904,-0.000820119999999827,0.00266537000000021,-0.00357252000000007,0.489397959999999,-0.00489756000000047,-0.00822279499999951,-0.0035644449999997,-0.00247702500000001,0.0125366500000003,-0.00639442000000015,-0.0175402849999999,0.0016717500000001,-0.00678194999999956,0.000111460000000723,0.000261819999999613,-0.00608805499999991,0.00821217500000007,-0.0085962900000004,-0.00702926500000072,-0.0106830450000007,-0.00318142500000012,-0.00787655999999984,0.00469469500000024,-0.00690212000000032,-0.00301571000000029,-0.000502170000000097,-0.0011739349999998,-0.00602289499999954,-0.00939984999999995,0.000988619999999827,-0.00711625499999967,-0.00405335999999975,-0.000615640000000677,0.126552755
"6",0.0028645700000002,0.00254815999999987,-0.0141622799999994,0.000819225000000667,-0.00489756000000048,0.508381355000001,-0.00905360499999928,-0.00628537000000056,-0.0106433449999998,0.0701304750000004,-0.00778402999999955,-0.00177319000000043,-0.0100371049999997,-0.00706146999999969,-0.00607634500000057,0.00219507000000113,-0.004747195,-0.0113091650000004,0.00331913000000032,-0.00968511499999954,0.00415878000000249,-0.0025574549999995,-0.00167941500000046,0.0771150499999987,-0.00346395999999979,-0.000495539999999576,-0.00206255499999986,-0.00821768500000084,-0.00943539000000096,-0.0158786450000003,0.0700126250000017,-0.000847030000000128,-0.00623351999999932,-0.0212974549999999,0.00233048999999948
"7",-0.00781464500000059,0.00569247000000001,-0.00971294999999945,-0.00936342999999906,-0.0082227949999995,-0.00905360499999929,0.500103064999998,-0.00213100500000001,-0.00939980000000002,-0.00579973999999866,-0.000829974999999588,-0.00905884499999978,-0.0053607999999987,-0.00792083999999997,0.00283471999999933,0.000885629999999544,-0.00169563499999963,-0.00549274499999905,-0.000161210000000156,0.00251917999999974,-0.0110211999999991,-0.000533299999999894,-0.00329620500000029,0.000572740000000593,-0.00863723499999967,-0.00755955500000002,-0.00193416000000029,0.00115311000000001,-0.0060835099999995,-0.0113243750000006,-0.00397414499999933,-0.0166648350000001,-0.0109035599999995,-0.0102212649999997,0.0816206150000007
"8",-0.00806259000000012,-0.00279167500000026,-0.0027238049999999,-0.0136277900000002,-0.0035644449999997,-0.00628537000000057,-0.00213100500000002,0.49501505,-0.0120515699999993,0.00299946999999937,-0.0128291800000001,-0.00328228500000085,-0.00211286999999926,0.00761594999999976,0.000766710000000259,-0.000866424999999882,-0.00645589999999992,0.177261075000001,-0.0101987850000004,-0.00557908500000029,0.00680466000000172,-0.00408074000000032,0.118261125,-0.00208849000000022,-0.000315989999999339,-0.0106410500000007,-0.000908834999999227,-0.00123906500000013,0.10109534,-0.00896621500000007,-0.00688101000000009,-0.00261220499999995,-0.00245453499999828,0.00149225499999988,-0.00198999500000017
"9",-0.00630184999999965,0.00495459000000093,-0.000794250000001068,-0.00371504000000014,-0.00247702500000001,-0.0106433449999998,-0.00939980000000001,-0.0120515699999992,0.50167432,-0.00646343499999916,-0.000999780000001015,0.0473069299999991,-0.00818502000000006,-0.00393840499999912,-0.00549409500000064,-0.00193350000000004,-0.00640236499999981,-0.0161696400000001,0.139715375000001,-0.008103019999999,-0.015783050000002,-0.00277539999999975,-0.00974414000000041,-0.00988596499999948,-0.0139577150000013,-0.000568124999999548,-0.012180420000001,0.0332331150000003,-0.0101819900000004,-0.00716238499999978,-0.00654430999999964,-0.00434930000000045,-0.0111672450000007,-0.00877768000000029,-0.00594689
"10",-0.0124239550000003,-0.00135938999999968,7.5149999999563e-05,-0.00282924499999971,0.0125366500000003,0.0701304750000004,-0.00579973999999865,0.00299946999999938,-0.00646343499999917,0.500769275,-0.00968029999999868,-0.00246955500000029,-0.0138423450000003,-0.00838161000000062,0.00238279999999941,0.00104382999999993,-0.00443895000000051,-0.00104251999999977,-0.00692715499999948,0.00249340000000081,0.00616407000000219,-0.00483638500000048,-0.00198941000000011,0.157044675000001,0.00291172500000088,-0.00785024999999996,-0.00563333499999958,-0.00794784500000031,-0.00869620500000091,-0.00517892000000044,0.10239449,0.000614370000000046,-0.00138475999999928,-0.0113843500000001,0.00518066000000001
