"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"1",0.485369905000005,0.0140865650000002,-0.00648624999999917,0.00107996500000111,-0.00314005499999984,0.00488986499999953,0.00348555000000168,0.101099404999998,-0.00149584500000077,-0.00625590500000118,-0.00489161499999769,-0.00152833999999937,-0.00367386499999853,-0.00831899499999983,0.00309679500000083,-0.00794864000000214,-0.00187036500000082,-0.00093160500000007,-0.00357368000000257,-0.00227009499999989,0.133174030000002,-0.00687389999999933,-0.00183339500000074,-0.0078227399999999,-0.00794037500000037,-0.00759504000000009,0.000244789999999443,-0.00675946999999983,-0.00421831500000023,-0.00447334999999977,-0.00538543499999959,-0.00250430999999832,-0.000221785000000997,-0.00513496000000035,0.00018049999999721,-0.00488568000000036,-0.00333060999999615,-0.0103170899999988,0.00177373499999993,-0.00401542999999947,-0.0039461349999997,-0.000522270000001125,0.00231075500000055,0.145404110000001,-0.00684702500000087,-0.00276644499999771
"2",0.0140865650000002,0.505154234999999,0.00237795500000058,-0.00492596000000064,-0.00770760999999996,0.0057762150000006,-0.00615859000000025,0.0117064099999999,-0.00596910999999897,-0.00525231499999956,-0.00486323499999977,-0.00269867499999892,-0.0123701050000005,-0.00543653500000182,0.000767860000001465,-0.0124711350000017,-0.00235438999999955,-0.0035063750000001,-0.00558451500000044,0.00580402499999992,0.0371178900000003,-0.00692552999999862,-0.00154181499999842,0.108359795,0.115324159999998,-0.00705523000000106,-0.00629358999999983,0.00597138999999921,0.110181115000001,-0.00317474000000029,-0.00942660999999889,-0.0106658099999977,-0.00697653999999892,-0.00704239999999952,-0.00892761000000203,0.00708302999999881,-0.0140343400000001,-0.00784041499999885,-0.0101518399999998,-0.000593924999999716,-0.00915070999999958,-0.0131322500000017,-0.00275717000000065,-0.0013130499999997,-0.00792186999999995,-0.00794927500000062
"3",-0.00648624999999918,0.00237795500000059,0.494710889999993,-0.0049309949999977,-0.000880825000002468,-0.00832653500000055,-0.00495830000000255,-0.00847546499999256,0.0052884099999974,0.000483455000004081,-0.0054785000000065,0.0593582899999966,-0.00376848000000716,-0.00196086999999774,-0.00153365500000661,-0.00781563499999075,-0.00693703999999751,-0.000534444999994972,-0.00560835499999146,-0.00385412000000038,0.000308759999996113,0.00295572499999718,0.00271199500000097,-0.00769891000000255,-0.00509074999999398,-0.00280137499999896,0.0970692850000008,0.00229706499999941,0.0043898299999974,-0.00601991000000154,-0.00521424500000418,-0.00183704500000757,-0.00159526499999867,0.103545055000003,-0.00622684499999008,-0.00721176499999277,-0.00631422000000675,-0.00811240500000244,0.000668570000000386,-0.00295862000000348,-0.00716466999999993,-0.00818741499999331,-0.0012105700000013,-0.00130354000000237,-0.00194355999999992,-0.0165269450000028
"4",0.00107996500000111,-0.00492596000000065,-0.00493099499999771,0.510104454999999,-0.00592654999999809,0.0027544349999999,0.000761860000002186,-0.00809997500000295,-0.00128738499999855,-0.00491112500000118,-0.00967225499999663,-0.00616622999999643,0.00244591500000368,0.010099234999999,-0.000754534999996443,-0.00157686500000692,-0.00629179000000154,0.0762357499999979,0.000893749999996999,0.00163564500000063,0.00271514000000278,-0.00659706499999813,-0.00224648999999978,-0.000193184999998097,0.00825132999999682,-0.00232269999999967,-0.00831340500000018,-0.00244065999999873,-0.00118285499999989,-0.00691767499999889,-0.00382537499999695,-0.000737449999996062,-0.00886648999999944,-0.000126269999999985,0.000384869999994796,0.00752985499999535,-0.00139319999999669,-0.00299512500000073,0.000223299999999793,-0.00696840499999856,-0.00578675499999925,-0.00393549500000366,0.00158418500000047,-0.0031682949999988,-0.0111516300000009,0.020822430000001
"5",-0.00314005499999984,-0.00770760999999996,-0.000880825000002473,-0.00592654999999809,0.492926469999996,-0.00954232500000169,-0.00453656000000016,-0.00677566499999701,-0.0116718700000014,-0.00715466999999794,0.162684004999998,0.00668238499999801,0.0169731149999981,-0.00401642499999867,0.000322464999997746,0.0014437350000041,7.59100000002645e-05,-0.00984389000000006,0.00329400000000175,-0.000551800000000324,-0.00267816500000108,-0.0104943700000019,0.00540167499999859,-0.0133207900000029,0.00114083000000167,-0.00124627999999888,-0.00664408500000082,-0.00501436500000157,0.000714684999999391,0.00644425499999791,-0.0101900750000009,0.000850039999996301,8.29649999993839e-05,-0.01014453,-0.000103624999997632,-0.00960178499999725,-0.00968416500000361,0.0115371850000005,-0.00533350999999825,0.123849184999999,-0.00987363499999979,-0.00132209499999859,-0.00527852000000122,0.00169103499999843,-0.00302995999999868,0.0127094849999971
"6",0.00488986499999953,0.00577621500000061,-0.00832653500000055,0.00275443499999991,-0.00954232500000168,0.492303184999999,-0.00659765999999933,-0.00392244000000165,0.00153664499999997,-0.000521280000001572,-0.00681005999999727,0.166075739999999,-0.000717009999999438,0.000375095000000021,-0.00433082000000005,-0.0142493550000009,-0.00811575999999839,0.00294047999999963,-0.0116540700000012,-0.00562478500000066,0.0120191350000005,0.00650910500000221,-0.00292427999999865,-0.00307911000000112,-0.0102133500000007,0.136997895,-0.0050903699999998,-0.0103901099999994,-0.00821308000000027,0.000505040000000544,0.00462963000000089,-0.0108495499999989,0.000829455000000123,-0.00917260499999975,-0.00373339000000179,-0.00267784500000002,-0.0141635999999979,-0.00457368999999892,-0.00268676500000088,-0.0115354150000003,-0.0153416400000001,-0.00660854000000079,0.126327835,-0.00160416000000033,-0.00631696499999995,-0.0140189949999992
"7",0.00348555000000168,-0.00615859000000025,-0.00495830000000254,0.000761860000002192,-0.00453656000000016,-0.00659765999999933,0.493278204999999,-0.00800095500000352,-0.0175297999999993,-0.00267789500000314,-0.00342235999999622,-0.00740156000000254,-0.00143488499999862,-0.000640645000000656,-0.0114520649999997,0.00132702000000095,-0.00986671499999918,0.0188792650000003,-0.00101661500000047,0.00185736000000082,0.161551195000002,-0.00859748999999809,-0.00836387499999939,0.00905410000000024,0.000899885000001488,0.0116287749999994,-0.0064548900000006,0.00470276000000197,-0.00705288499999998,-0.00509988499999969,-0.0115291799999994,0.00626642500000143,-0.0144449250000009,0.00068018999999826,-0.00275741000000111,-0.00700546500000017,-0.0114320349999959,-0.00465058499999509,-0.00479858499999992,-0.00270461499999992,-0.00438919000000092,-0.0096425400000011,-0.0070054899999982,-0.00403886500000002,0.000583544999999957,0.00267204000000472
"8",0.101099404999998,0.0117064099999999,-0.00847546499999256,-0.00809997500000295,-0.00677566499999701,-0.00392244000000166,-0.00800095500000353,0.494089320000011,-0.00117554500000043,-0.00289824999999492,-0.0139955450000076,-0.0139689449999917,0.00501222999999714,-0.0119410850000011,-0.00237711000000027,-0.00723476500000157,-0.00558856999999894,0.00393471499999632,-0.00549636999999741,-0.00536421499999972,-0.000939390000006122,0.000606904999994024,0.00568825499999776,-0.00449097500000041,-0.0103738500000056,-0.0102175199999973,-0.000944679999998057,-0.000269450000004884,-0.00116041000000393,0.00586591499999913,-0.00373379500000249,-0.00154793000000267,-0.00233925999999693,-0.00653273499999641,-0.00197912499999897,0.00439907999999861,0.00436678999999127,-0.0053913500000089,-0.0131102400000017,-0.00740865499999961,-0.00753729999999947,0.00121552500000084,-0.0172405300000002,0.109879094999999,-0.00472729499999902,-0.01040773500001
"9",-0.00149584500000077,-0.00596910999999896,0.0052884099999974,-0.00128738499999855,-0.0116718700000014,0.00153664499999997,-0.0175297999999993,-0.00117554500000044,0.498519464999998,-0.0034035850000007,-0.00108526000000078,-0.00195347000000195,-0.0140831000000014,0.0170527550000026,0.0570599199999999,-0.00429207999999888,0.0857301450000004,0.00361046000000141,-0.00288738500000057,-0.00847812000000088,-0.00491098499999955,0.0036369100000002,-0.0135023549999995,-0.0045825649999993,-0.00526450999999961,-0.00715699000000049,0.00481095499999959,0.00510946500000025,-0.00424720999999956,-0.00743539500000015,0.154484299999999,-0.0116439750000002,-0.00592635000000101,0.0169074649999999,0.00879071000000187,-0.0141018049999992,-0.00565726500000081,0.044559235000002,-0.00331665500000002,-0.00226562000000146,0.00145974499999915,0.00932301500000005,0.00126966500000019,-0.0095056300000007,-0.0012219800000006,-0.014491644999999
"10",-0.00625590500000118,-0.00525231499999956,0.000483455000004088,-0.00491112500000118,-0.00715466999999794,-0.000521280000001579,-0.00267789500000314,-0.00289824999999491,-0.00340358500000071,0.489635240000004,-0.00171184000000506,-0.00965784499999635,-0.00321497000000125,0.0105166349999996,-0.013466695,-0.011296225,-0.00216961000000035,-0.00384334000000178,0.00633019500000017,-0.00989516500000094,-0.00318507500000446,0.00184175499999651,-0.00694047000000165,-0.00435203500000061,-0.00796673500000192,0.00112808000000165,0.0362613000000009,-0.0145227950000016,-0.0146936150000016,0.0480038649999989,-0.00483030500000175,-0.00282896500000225,0.00123391500000079,-0.00436651499999838,-0.00409271499999755,0.0256082200000007,0.00376238999999484,0.00445087999999389,-0.00431597500000121,-0.000232134999999195,-0.00174129499999942,-0.0116353649999985,-0.00350723500000085,-0.00969195500000173,-0.000769649999999576,-0.00284354000000626
