"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"1",0.516972239999999,-0.00259785499999988,0.22153911,-0.00822430499999999,0.010275645,-0.0018742649999992,-0.0116866449999987,-0.00852374000000087,-0.00569445499999883,0.00117074500000054,0.00418028000000011,0.0829860299999999,-0.00974083499999999,-0.01014145,-0.00549654999999952,0.191135650000001,-0.00246413000000052,0.124436645,-0.00233008000000119,-0.00686123000000105,-0.00444013000000012,0.00243032000000007,-0.00665148999999953,0.0153448800000004,-0.0131306050000003,0.00583364500000057,0.00300770499999924,0.0019179899999997,-0.00571772999999994,-0.00446331999999928,-0.00406045000000072,-0.00631968999999945,-0.00257140999999961,-0.00416642499999999,0.00396180499999974,-0.00932387000000135,0.100387924999999,-0.0110686600000005,-0.00839021999999964
"2",-0.00259785499999987,0.497028809999995,-0.00808964000000338,0.0087520800000006,-0.00957768499999918,0.00387226499999898,-0.0113141449999993,0.0059403350000042,0.00529002999999822,-0.00176579499999832,0.00315419000000141,-0.00940206999999912,0.000113000000001392,4.0264999998189e-05,-0.00899534500000217,-0.013235265,-0.00312614499999954,-0.0020201250000031,0.0942978550000068,0.00250000000000144,-0.00709024500000055,-0.0086070899999984,-0.0104038299999995,-0.00244352000000083,-0.00313558499999875,-0.00985543500000024,0.0039545450000002,-0.00528999499999941,0.211778255000007,-0.0125943449999994,0.00814975500000104,-0.00957864500000087,-0.00288684500000093,-0.00487012500000134,0.00446753500000156,-0.0017060649999988,-0.00269147499999746,-0.0170767000000004,0.00216802000000181
"3",0.22153911,-0.00808964000000338,0.496385665,-0.00575912999999889,0.014877219999999,-0.00458166000000043,-0.00798419999999882,-0.0024853949999982,-0.00651556499999936,-0.00117259999999928,-0.00110421999999919,0.113105245000001,-0.0101408349999998,-0.0097272800000007,-0.00337588499999855,0.1492485,-0.00807714500000147,0.146368364999999,-0.0124546899999984,-0.00432497500000003,-0.0112756250000007,-0.00415897499999915,0.00186377000000007,0.000198335000000975,-0.00721223500000006,-0.0058943299999998,0.00318745999999908,-0.00573291499999905,-0.00870757999999804,-0.0102946249999977,-0.00768075499999997,-0.0087556599999999,-0.00691966499999914,0.000966354999999394,-0.000249859999999976,-0.0020523350000014,0.0655814799999997,-0.00138639500000042,-0.00394441500000078
"4",-0.00822430499999999,0.0087520800000006,-0.00575912999999888,0.499705885000001,-0.011341855000001,0.004767220000001,-0.00352581499999992,0.0400079099999981,-0.00742063499999796,-0.0121105350000004,0.000737235000000048,-0.000338930000000133,0.00869468499999906,-0.00173823999999977,-0.00603341499999838,-0.0081280150000004,0.00515695499999963,-0.00350443499999836,-0.0065861100000038,-0.00374934000000053,-0.00171697500000014,-0.00494696499999853,0.155253909999999,-0.0100089049999989,0.0158777399999987,-0.0023838549999994,-0.00203586000000085,-0.00618318000000035,-0.00168777000000111,-8.08999999998151e-05,-0.00545249999999901,0.000913684999999972,-0.00611589000000013,-0.00805432499999918,0.00115455999999992,-0.00694315000000051,-0.00417714000000264,-0.00827924999999945,0.00757662499999962
"5",0.010275645,-0.00957768499999918,0.014877219999999,-0.011341855000001,0.512276780000001,-0.00965126500000196,-0.00390485499999991,-0.000207529999999343,-0.00338799000000055,-0.00868775500000006,0.00730617999999986,0.00839709999999911,-0.0113070249999997,0.00591961500000047,-0.00600190999999938,-0.00206165500000078,-0.00665514999999949,-0.0031208149999994,-0.00289738999999872,-0.0127575949999992,-0.00851617499999897,-0.00421351500000039,-0.00954744500000093,-0.0109836600000013,0.00312605999999971,0.0154029999999987,-0.0116060399999998,-0.00553866000000065,-0.0076630300000006,0.00251641499999981,-0.00961820500000158,-0.0031774999999998,0.000794865000000294,0.000489499999999922,-0.00948157000000114,0.00453032999999929,0.00172025000000088,-0.00751119499999942,-0.0149543549999991
"6",-0.0018742649999992,0.00387226499999897,-0.00458166000000043,0.004767220000001,-0.00965126500000197,0.502521485000001,-0.00697752499999987,-0.00766378499999805,-0.00202301000000087,-0.0016682399999998,0.164864355,-0.00607394499999799,-0.00075580500000004,-0.00480347000000004,-0.00380255499999806,-0.00404037999999994,-0.00419730000000057,0.00115667999999811,0.00154212999999965,-0.00127088500000032,0.00238232999999882,-0.00723072499999815,-0.00487489500000153,-0.000779189999999488,-0.0157201700000002,0.00391106499999968,-0.000112285000002036,0.000686359999999518,0.00666791500000145,-0.00239362999999924,0.172949180000001,-0.00394107000000009,-0.00225205999999841,-0.00754049999999912,0.00039273500000037,-0.00849828000000073,0.00312340000000089,-0.000232925000000627,0.00170116499999953
"7",-0.0116866449999987,-0.0113141449999993,-0.00798419999999881,-0.00352581499999992,-0.00390485499999991,-0.00697752499999987,0.498602844999999,-0.0047918299999985,0.132665195,-0.00153058999999943,-0.00458579500000036,-0.00823220999999969,-0.0115530200000008,-0.0059812350000002,-0.0114735250000004,-0.0035827749999992,-0.0102525749999995,-0.00287848500000132,0.000750169999999798,-0.00326757,-0.00112591500000026,0.0092381649999993,-0.000618010000000049,0.00445466500000141,0.0017251550000004,-0.000456474999999044,-0.000535024999999223,-0.00414914499999999,0.00307471000000055,0.0119148249999995,-0.00675557499999871,-0.0059710100000016,-0.00340733999999969,-0.0124404700000009,0.00130431500000053,0.00644627500000056,0.000262145000001367,0.0736984300000001,-0.00291366000000149
"8",-0.00852374000000086,0.0059403350000042,-0.0024853949999982,0.0400079099999981,-0.000207529999999351,-0.00766378499999805,-0.0047918299999985,0.496050459999995,-0.00379111999999774,-0.00731854999999984,-0.00638906000000089,-0.00578879000000101,0.00681994000000066,-0.000378204999999626,-0.00996732000000024,-0.00869793000000052,0.000181819999998368,-0.00669989499999769,-0.00145035000000142,-0.00150257000000069,-0.00610194000000096,-0.00635136500000052,-0.00597322999999911,-0.00316362499999972,0.016263959999999,-0.00409519000000006,0.00064563500000082,0.00725815500000012,-0.00482179000000178,0.00380675499999789,0.00275176000000052,0.00195321500000162,-0.00570576500000084,0.0103507500000003,-0.00306686500000086,0.00413716999999988,-0.00361028500000241,-0.00507529500000087,-0.00192916000000007
"9",-0.00569445499999883,0.00529002999999822,-0.00651556499999935,-0.00742063499999796,-0.00338799000000055,-0.00202301000000087,0.132665195,-0.00379111999999774,0.493908699999997,-0.00456970000000013,-0.00720421000000001,-0.00687235499999881,-0.00738954999999865,-0.00625320999999965,-0.0147473199999981,-0.00157385499999791,-0.00800965499999879,-0.0033222750000012,0.0130370949999998,-0.0059515000000004,-0.00367849500000047,0.00315064999999922,-0.0106025549999998,0.0046563250000009,-0.00891173999999972,-0.0114731300000007,-0.0024982800000006,-0.00241484500000098,0.00419631000000123,-0.00330832499999903,-0.00478796000000044,-0.00618302500000067,0.15847303,0.0033935200000015,0.00378460499999908,-0.000354020000001524,-0.0103010699999977,0.00116153499999887,0.00328076999999916
"10",0.00117074500000055,-0.00176579499999832,-0.00117259999999928,-0.0121105350000004,-0.00868775500000006,-0.0016682399999998,-0.00153058999999943,-0.00731854999999984,-0.00456970000000013,0.497503845000002,-0.00854792999999995,0.00580561499999993,-0.00542270500000156,-0.00796025999999886,-0.000829744999999748,-0.00212438499999981,-0.00857862000000084,-0.000720635000000606,0.00307574999999834,-0.00710396000000014,-0.00377523500000075,0.00328928000000055,-0.00441757500000005,0.0114911350000008,-0.01072757,0.00620224500000016,-0.000507099999999785,0.206177120000001,0.00645024000000023,0.00519441499999948,-0.00134213499999964,-0.00149109000000076,-0.011107810000001,-0.000100065000000146,0.0963892250000002,-0.0104756599999991,-0.00695260999999982,-0.00886081500000143,0.000611639999998347
