"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0.501099995000002,0.18242377,0.000982950000001107,0.0680829500000011,0.0489296600000001,0.137416095000001,-0.00245331499999858,0.00349437999999904,-0.00302927499999944,-0.00425515500000033,-0.00482340999999946,0.00771208499999896,0.13803923,-0.00589849000000018,-0.0107654450000015,-0.00154534500000002,0.135166900000001,-0.00151115999999969,-0.00872047499999965,-0.000544575000000597,-0.00533371000000079,-0.0117083849999993,-0.00707577999999902
"2",0.18242377,0.494124824999999,-0.00667898499999917,0.0439470500000012,0.0334203849999995,0.125680565000001,-0.00487199999999968,-0.00676516000000049,-0.00520061499999929,-0.0065418449999996,-0.00347995499999963,0.00569873499999981,0.141765399999999,-0.00890167000000016,-0.00408822500000151,-0.00246564500000039,0.155430180000001,0.00457672500000021,-0.00366339000000033,-0.00030016000000083,-0.016481775000001,-0.00395696999999931,0.00464806500000008
"3",0.000982950000001102,-0.00667898499999917,0.511827465000001,-0.00316837500000011,0.0121593350000012,-0.00972780000000036,-0.00475096500000131,0.000238035000001347,-0.00218655999999999,-0.0056069699999999,-0.00518501499999996,-0.01440381,-0.00411203999999976,0.000167004999999198,-0.00978906999999906,-0.01207647,-0.00489544500000155,-0.0037275150000011,-0.0163815450000003,-0.00537731499999956,-0.00677684499999943,0.00067131999999996,0.00708243499999915
"4",0.068082950000001,0.0439470500000012,-0.00316837500000011,0.496991115000002,0.13504033,0.0389448249999988,1.92099999995829e-05,0.125633629999999,0.0120550599999997,0.0985744450000002,0.00302535500000013,0.00624815499999994,0.0274376299999995,-0.000615590000000918,-0.00882855499999877,-0.00608214000000035,0.0338879749999982,-0.000623099999999888,-0.00818533499999882,0.00410916499999962,0.0105248150000007,0.00118705499999916,-0.0036494799999988
"5",0.0489296600000001,0.0334203849999995,0.0121593350000012,0.13504033,0.491218050000001,0.04068728,-0.010767175,-0.0044241099999999,0.00318761500000155,0.146441554999999,-0.00992239999999955,-0.0132492450000003,0.0403841549999989,-0.00829553499999893,-0.00128801000000011,-0.00360813500000045,0.0431572049999997,-0.00598866000000026,-0.0116682100000002,0.00120311499999949,-0.000386010000000275,-0.00340511500000037,-0.00817371000000025
"6",0.137416095000001,0.125680565000001,-0.00972780000000036,0.0389448249999988,0.04068728,0.499610164999999,-0.000595069999999638,-0.00893541500000008,-0.00964552499999839,-0.00196605500000081,-0.00433759500000014,-0.00494993999999903,0.133885959999999,-0.0101495149999992,-0.00713567499999997,0.00204787499999964,0.14871751,-0.00681030500000118,-0.0125933849999998,0.000592865000000368,-0.00638083999999966,-0.00909218500000081,-0.000137559999999128
"7",-0.00245331499999858,-0.00487199999999967,-0.00475096500000132,1.9209999999576e-05,-0.010767175,-0.000595069999999626,0.492140400000001,0.0136655950000006,-0.00338157000000142,-0.0140273299999987,0.00279943999999914,-0.00917015999999995,-0.00617952500000091,0.00238729999999889,0.00690467499999975,-0.00290194500000048,-0.00344607999999977,-0.00778500999999935,0.00724658999999994,0.0954628599999995,-0.00545743500000156,-0.00671893999999955,-0.010662004999999
"8",0.00349437999999904,-0.0067651600000005,0.000238035000001345,0.125633629999999,-0.00442410999999989,-0.00893541500000008,0.0136655950000006,0.508385209999999,-0.00519525999999802,-0.0078166200000003,-0.00324676999999865,-0.00581776000000024,-0.0123447450000015,-0.000121554999999755,0.00130082499999844,-0.00562844000000034,-0.00995418999999842,-0.00772552999999908,-0.0124145850000004,0.0847360299999995,-0.00648838000000019,-0.0117255550000002,-0.000228174999999437
"9",-0.00302927499999944,-0.0052006149999993,-0.00218655999999999,0.0120550599999997,0.00318761500000155,-0.00964552499999837,-0.00338157000000143,-0.00519525999999802,0.48794843,0.01549014,-0.00953166499999959,-0.00792652500000037,-0.00105658500000142,0.00929690500000002,0.00549015000000067,0.00103877999999922,-0.0043119449999987,-0.00193026999999933,0.00191769500000004,-0.00596993499999933,0.1674409,-0.00308793499999935,0.00537280500000063
"10",-0.00425515500000032,-0.0065418449999996,-0.0056069699999999,0.0985744450000002,0.146441554999999,-0.00196605500000081,-0.0140273299999987,-0.0078166200000003,0.01549014,0.487924804999998,-0.00836896000000012,-0.00421295500000023,-0.00172669500000086,-0.00693950999999911,-0.00406149500000145,-0.00242381499999895,-0.00123947499999924,0.000828829999999869,-0.0084852699999986,-0.00665376500000027,0.00457423999999879,-0.0107426850000005,0.100529405000001
