"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
"1",0.489647425000002,-6.55649999997829e-05,0.00395914000000027,0.154857654999999,-0.00705313499999915,-0.00399818500000185,-0.00589412500000044,-0.0108955699999973,-0.00802183000000023,-0.00298715000000095,-0.00889531500000015,-0.00131868500000009,0.010296145000001,-0.00767722999999882,-0.0102275800000009,-0.00679832499999945,-0.00204134500000053,-0.00519365499999933,-0.00849104999999814,0.000335595000000603,-0.00430746500000034,-0.00413320500000004,-0.00214980000000091,-0.0112534649999989,0.00753859499999904,-0.00447443000000177,-0.00507084999999986,-0.0118795250000003,-0.0124566500000017,-0.00656349500000092,0.00104071999999899,0.00600312999999915,-0.00232611499999992,-0.0027018850000014,0.000381519999999402,-0.00798717500000196,-0.00424424499999883,0.128279415000001,-0.000284059999999729,-0.0121847399999996,-0.00203297999999957,0.125441875,-0.00534815499999914,-0.00401540499999906,-0.00753229000000133,0.00320334999999976,-0.00606297999999851,-0.0105042299999983,-0.00354432500000009,0.00196071999999921,0.00196329000000118,0.00624079999999953,-0.0105007949999994,0.00343809000000086,0.0114491549999997,-0.0143617499999995,-0.00263463500000193,0.00331228999999926,-0.00631768499999958,0.00736261500000069,-0.0147460350000006,-0.00506342499999912,-0.00426182500000055
"2",-6.55649999997757e-05,0.496390024999999,-0.00358256500000034,-0.00629537999999999,-0.00735577500000134,-0.00513815499999956,-0.011488154999999,0.00648503499999792,-0.00175006000000004,-0.00578010999999913,0.00232615000000075,-0.0055897650000004,-0.014116305,0.000744724999999812,0.00167356000000028,-0.00648186000000014,0.00562943000000007,-0.00604033499999884,0.000816379999999937,0.0070871500000003,-0.00215784499999971,0.00495019999999982,-0.00464231999999815,-0.00468105000000075,-0.00261213000000011,0.107856475000001,-0.0127275650000001,-0.00982303500000018,0.014247085000002,-0.01088955,-0.00371161499999972,-0.0114346199999981,-0.00149139000000037,0.00212483000000175,-0.0114143199999996,0.000748425000001526,0.0183997749999989,-0.0033403649999998,0.00713782499999965,-0.00231707999999989,0.000225424999999992,-0.00196785999999937,-0.00595223000000029,0.00266289500000043,0.0109612650000005,-0.00286159000000028,-0.0138343050000004,-0.00556445500000229,-0.00135175499999943,0.00424435499999953,-0.00857613000000126,-0.00839439499999983,-0.00458102499999941,-0.0039417199999994,-0.0148708799999998,0.00105614999999915,-0.0159909949999989,-0.0138188050000008,-0.00772548500000076,-0.00491303500000074,-0.00291645499999834,0.00295179499999976,0.11456982
"3",0.00395914000000028,-0.00358256500000034,0.496461315000001,-0.00570105500000004,-0.0099055550000015,-0.00801063999999922,0.000235059999999914,0.00135836000000046,-0.00178196499999802,-0.000305499999999118,-0.00501416500000064,-0.00395441500000175,-0.00798542000000111,-0.00258519999999989,-0.00633306499999798,-0.00473759499999583,0.00997204500000109,-0.00201184499999895,-0.00892580999999902,-0.000718765000000216,-0.00208590499999871,-0.00180848999999885,-0.00600296999999941,0.172949319999999,-0.00622043999999921,-0.00129789999999786,-0.00132154500000008,0.000134975000000993,-0.00500368499999935,-0.00728428500000147,-0.00300792499999942,-0.000814169999997456,-0.00716508499999916,-0.00454512499999928,-0.00318538499999996,-0.00240477499999872,0.00251824999999836,0.010241740000001,0.000897585000000586,-0.0101556249999959,0.0052911500000017,-0.00584372999999974,-0.0178979699999994,-0.0025213350000002,-0.0108731100000003,-0.00661863500000172,-0.00210324499999969,-0.00099279500000059,-0.0145853100000002,-0.00619402999999929,0.103325259999999,-0.0010389349999998,0.0023025250000013,-0.00673046500000015,0.00690590500000196,-0.00772704999999923,-0.0111390549999992,-0.00123867499999944,-0.00622516999999934,-0.00708914500000179,-0.00071380000000155,-0.000223449999999187,0.00689905500000049
"4",0.154857654999999,-0.00629538,-0.00570105500000003,0.495967949999999,0.00980053999999971,0.00194699999999971,-0.00895768999999909,-0.00487024000000175,-0.00972853000000079,-0.00139519499999966,-0.00720574999999931,-0.00221237499999976,0.00869257000000055,0.00418019999999983,-0.00596543500000056,-0.00620198000000128,-0.00278446000000231,-0.0135183999999988,0.00104094500000031,-0.00989349999999898,-0.00571279000000087,-0.00939471000000119,-0.00415728999999925,-0.00544959500000112,-0.0114215700000012,-0.0118865450000015,0.0123761950000009,0.0126699999999987,0.00157893500000105,-0.00778514000000016,-0.00382552000000042,-0.000252760000000403,-0.00661409500000006,-0.00246376999999922,0.00173316500000066,0.00313261999999926,-0.00285657500000038,-0.00699431000000089,-0.00501036500000064,-0.00680051500000181,-0.00600865500000124,0.1083689,-0.00900894500000062,0.00701883000000123,-0.0052633099999995,0.000831254999999422,-0.0110863650000002,-0.0103351850000006,-0.0038118299999998,-0.0123367950000009,-0.00622264999999983,-0.00204793000000043,-0.0118330500000006,0.00572276999999988,0.00737493499999991,-0.00333158500000078,-0.00676028999999829,-0.00280950500000061,0.00583816499999874,0.00633430500000007,-0.0154387499999973,-0.0093731149999999,-0.00131569000000035
"5",-0.00705313499999916,-0.00735577500000134,-0.00990555500000149,0.00980053999999972,0.499506715000001,-0.00382566000000128,-0.00414501999999952,0.0032160150000018,0.000859730000003327,-0.0145371049999991,-0.00129842999999945,-0.00168299000000083,-0.000711075000001707,-0.00638581499999795,-0.012738949999998,0.00499580500000776,-0.00545207999999686,-0.0129962149999984,0.134570435000002,-0.00480994999999999,-0.0104776049999978,-0.00961815999999671,0.00519880500000023,0.000871024999999628,-0.00754963500000004,0.00437261500000004,-0.000711245000000605,-0.000931520000000127,-0.0114195300000006,0.0650658599999974,-0.00371441999999961,-0.00347308499999695,0.0204213900000011,-0.0063908099999986,-0.00344567500000199,-0.00665244499999758,-0.00222865500000066,-0.0120722999999974,0.00286396500000145,0.00136721000000618,-0.00639222499999631,0.0144246100000008,0.00932434500000024,0.00372628500000055,-0.0133566050000011,0.148206064999998,-0.0122089800000004,-0.00452811500000082,-0.00511290499999975,-0.00564164999999855,-0.00766409000000153,-0.00817639500000013,0.00325131500000043,0.0061704000000015,0.000841300000000712,0.00314496500000237,-0.0164330900000013,-0.00275202000000042,0.00104791500000086,0.185927739999998,-0.00735089500000384,-0.004999484999998,-0.00639594999999988
"6",-0.00399818500000184,-0.00513815499999954,-0.00801063999999922,0.00194699999999971,-0.00382566000000127,0.501665865,-0.00584213000000031,-0.00805225500000266,-0.00620392000000182,-0.00272923999999962,-0.00285167500000019,-0.00237624,-0.0044056800000003,-0.0104805850000008,-0.000735105000001404,-0.00697850500000253,-0.00871573000000086,8.84499999998502e-06,0.0221240849999979,0.0031548550000005,-0.00634784999999971,-0.00796845500000118,-0.00604346999999915,0.00230910499999975,-0.0119618649999999,-0.000380464999999122,-0.006565669999999,0.119542909999999,-0.010474659999998,-0.0108759699999992,-0.00239234999999982,-0.0172292650000015,-0.0114914199999993,-0.0108768849999995,0.00551141000000149,-0.0128108999999996,-0.00664509000000068,-0.0107694550000009,0.00233343499999969,-0.0025540750000031,-0.00893364500000098,-0.00375621500000053,-0.00762776999999928,-0.00624677999999979,-0.0104702150000004,-0.0128874999999994,-0.0144202099999993,-0.00530256000000057,-0.00136275000000073,-0.00821434000000019,-0.00987914000000026,-0.00506755500000017,-0.00832078499999995,-0.000533110000001073,-0.0097711250000001,-0.0049130000000013,-0.00710008499999876,0.000906345000000699,4.34449999994831e-05,-0.00961580999999971,-0.000395309999998217,-0.0121519000000018,-0.0117044350000005
"7",-0.00589412500000043,-0.011488154999999,0.000235059999999911,-0.00895768999999908,-0.00414501999999952,-0.00584213000000032,0.494584190000001,-0.00472802000000174,0.00142122499999872,-0.00471375999999955,0.114199725000001,-0.00257217999999938,0.000701165000000738,-0.0020610100000006,0.0032394649999992,-0.0119730650000048,-0.005929710000002,-0.00672210500000191,-0.00918196000000117,0.00129064499999981,-0.004771555000001,-0.009003180000002,-0.00577014999999967,-0.0115509300000009,-0.00558367000000037,-0.0124024300000007,-0.0134817400000005,-0.00513995000000043,-0.0109585949999998,-0.00244704499999721,0.0168156999999998,-0.00213384000000056,-0.000398100000002197,-0.0116056800000002,-0.00416344499999935,-0.00865254000000217,0.000102404999999859,-0.00658953000000075,0.00631980499999916,-0.00668029500000381,-0.00107974000000135,-0.00910522000000035,-0.00108040500000063,-0.00352956000000054,-0.0110877599999989,-0.000254019999996945,-0.00662566499999916,-0.00863239999999992,-0.000140140000000086,0.00661336500000023,-0.0102432849999997,0.00413463000000033,0.00238573999999939,0.122354755000001,0.00336322999999884,0.00288007499999803,0.00413714000000122,0.00109663999999955,-0.00781434500000093,-0.00304751999999878,-0.00907670499999667,-0.0105766150000006,-0.0132380199999992
"8",-0.0108955699999973,0.00648503499999792,0.00135836000000046,-0.00487024000000175,0.0032160150000018,-0.00805225500000266,-0.00472802000000173,0.511090865000008,-0.0103952349999954,-0.00499967000000179,-0.00812845500000209,-0.00315322500000031,0.00338387999999773,-0.00653260999999696,-0.00516963999999758,-0.000561814999990288,-0.00354441999999413,-0.0113878150000024,0.00258564500000328,-0.0102129650000006,-0.00888834499999661,-0.00365985499999455,-0.00183445500000175,-0.000431704999997013,-0.00964118499999974,-0.011123505000001,-0.00293305000000026,-0.0065016650000007,-0.00104415000000427,-0.00501398500000226,-0.00755265499999973,-0.0104127949999989,-0.0108544049999968,-0.00290059000000129,-0.00111483500000479,-0.00160644499999986,0.000487039999999993,-0.00985056999999679,-0.017386209999998,-0.00443909499999146,-0.0136910999999953,-0.00256234500000075,0.00228775500000068,-0.0107981449999998,-0.00740976500000285,0.00276265999999863,-0.0110913200000013,0.00644058000000348,0.00548279000000189,-0.0042432499999978,-0.00449558999999822,-0.00553111500000179,0.113701140000002,0.000300995000001884,0.0046952050000016,-0.0172632299999949,-0.00160708000000557,0.00486379000000149,0.106900655000004,-0.00231619500000115,-0.00851165000001014,-0.00377168499999703,0.00826168000000047
"9",-0.00802183000000023,-0.00175006000000005,-0.00178196499999802,-0.0097285300000008,0.000859730000003331,-0.00620392000000182,0.00142122499999873,-0.0103952349999954,0.498191819999998,-0.0128486850000033,0.00186670499999892,0.0030054650000026,-0.0079365749999977,0.119681454999999,-0.000104685000002196,-0.00538538000000435,0.124789734999999,-0.00702075500000321,0.000468195000000771,-0.00305393500000024,0.129643779999998,-0.0128600800000013,-0.00854935000000308,-0.00112203499999708,-0.00504553000000058,-0.00464437500000019,-0.00294552499999837,-0.0141380199999997,-0.0132096600000044,-0.0133262899999979,-0.00416025000000116,-0.00978683000000343,0.0143451499999995,-0.00986072500000303,-0.0107488900000011,0.0810197999999973,-0.00813221999999931,0.0268882449999987,-0.00894339500000114,-0.00961765000000193,0.147574619999998,0.0028145600000005,0.00361245500000064,0.00865071500000073,-0.00358202000000106,-0.00833247499999852,-0.00727598500000095,-0.00825624499999642,-0.00999445499999805,-0.00423499000000038,0.00557748500000275,-0.0107260300000022,0.00348896999999892,0.0074658849999992,-0.00909058000000039,0.0831849749999988,-0.00353722000000295,-0.00184648000000137,-0.00134919499999997,-0.00610849499999685,-0.0027457650000021,-0.00679137499999996,0.00141426000000103
"10",-0.00298715000000095,-0.00578010999999913,-0.000305499999999122,-0.00139519499999966,-0.0145371049999991,-0.00272923999999962,-0.00471375999999955,-0.00499967000000179,-0.0128486850000033,0.497653219999997,-0.00882636000000062,-0.0120145499999982,-0.00918088499999873,0.00670707999999724,0.156776924999998,-0.00895593500000834,-0.0065220550000024,-0.00609149000000129,-0.00995080500000131,-0.0068506250000003,-0.00228275500000324,-0.00394597500000302,-0.0021438300000007,-0.00720695999999988,-0.00583819000000114,-0.00892318500000121,-0.00197769000000028,0.00514999499999954,-8.09500000019271e-05,-0.00907739499999764,-0.00866781000000126,-0.00839592500000197,-0.00995778000000243,-0.000803375000001638,0.152351060000001,-0.00897975000000281,0.0100731849999997,-0.0012658450000013,0.00796438499999928,-0.0016124250000069,-0.00225709500000331,-0.00846195000000117,-0.00639410500000203,-0.00322236500000086,-0.00470965499999898,-0.0092573499999972,0.135592400000001,-0.00592988500000133,-0.0155250650000006,-0.00552563500000029,-0.00063627999999771,0.103225225,-0.00736386500000072,0.00326415999999897,-0.0095564500000026,-0.00304048000000461,0.130662715,0.00215512999999988,-0.00107688500000085,-0.0109784699999964,0.00549335000000318,0.00178638999999941,-0.00273195499999856
