"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0.497832759999998,-0.00465347499999999,-0.00609193500000004,-0.0028918250000011,-0.00585603000000043,-0.00397642500000153,0.147674745,-0.0166370600000013,-0.00881530999999885,0.00358487499999959,-0.0109708750000001,-0.00360756999999873,-0.00693936500000018,0.00684284000000094,0.00828476000000035,-0.0122357999999991,-0.0101672499999994,-0.00812602999999905,-0.00302816999999903,-0.011464454999999
"2",-0.00465347499999999,0.496819175,0.00182388499999923,0.184897705,0.00270527000000023,-0.000658270000000289,-0.00221775999999987,-0.00406226000000052,-0.000267554999999372,0.00664142499999891,-0.00334781499999972,0.00272966000000067,-0.00590294499999889,-0.00476949000000071,-0.0058709050000005,0.000790205000000914,-0.00496075000000024,0.00270265500000106,-0.000925809999999084,0.196170495000002
"3",-0.00609193500000004,0.00182388499999923,0.50341363,-0.00298422500000055,0.0878241099999987,0.000533994999999926,-0.00262574500000069,-0.000388219999999613,0.116867565,0.0160835350000002,-0.00694585500000041,-0.00202909500000054,-0.0130604100000003,0.00778645000000049,-0.0134101050000002,-0.00425695999999995,-0.00901093000000048,-0.0149103949999996,-0.00306993499999951,0.00148966000000023
"4",-0.00289182500000111,0.184897705,-0.00298422500000054,0.493641424999999,5.8109999999915e-05,0.000142410000000862,-3.77050000010882e-05,-0.00108918999999957,0.000765900000000003,-0.00168330999999967,0.158564895000001,-0.0078913350000002,-0.00250399999999995,-0.00232248500000017,-0.0119541599999995,-0.0025922099999996,-0.00546565000000006,-0.000566485000000235,-0.00249370499999957,0.193815385
"5",-0.00585603000000043,0.00270527000000023,0.0878241099999988,5.81099999999097e-05,0.507640605,0.127663335000001,-0.00578629500000119,-0.0133089949999997,-0.00586471000000026,0.00208834499999989,-0.00485066500000005,0.0108117299999994,-0.0103358750000005,-0.00435762999999903,-0.0030323449999994,-0.000397809999999279,0.00237782000000076,0.00528513499999954,-0.000935575000000278,-0.00928403000000105
"6",-0.00397642500000153,-0.000658270000000292,0.000533994999999923,0.000142410000000864,0.127663335000001,0.505405870000001,-0.00212513000000008,-0.00482150999999858,0.00134948500000065,-0.00132570999999983,-0.00408522999999969,0.00310294500000003,-0.0124537450000003,-0.000583804999999511,0.00314275999999999,-0.00197849999999939,-0.00102789500000018,-0.00107747000000062,-0.00269462999999915,0.00231200000000009
"7",0.147674745,-0.00221775999999985,-0.00262574500000069,-3.77050000010831e-05,-0.00578629500000119,-0.00212513000000008,0.504663854999999,-0.00624085500000036,-0.0136642550000012,0.00234683499999963,-0.00488850499999979,0.000344295000002377,-0.00178675500000015,0.00660323000000141,0.00534182499999911,-0.0175224600000004,-0.00231661499999969,0.000327355000000665,-0.00872774999999891,-0.00775705499999907
"8",-0.0166370600000013,-0.00406226000000053,-0.000388219999999626,-0.00108918999999957,-0.0133089949999997,-0.00482150999999858,-0.00624085500000037,0.490892835000001,-0.00558848499999857,0.0428787750000002,0.11569725,-0.00639358999999814,0.000608260000000828,-0.0121315599999999,-0.00312061500000134,-0.00748197499999808,-0.00886279000000116,2.38000000148835e-06,-0.00497842000000093,0.147589195000001
"9",-0.00881530999999885,-0.000267554999999375,0.116867565,0.000765900000000005,-0.00586471000000027,0.00134948500000066,-0.0136642550000012,-0.00558848499999857,0.493203885000001,-0.00404484999999971,-0.0130704249999991,-0.00330453999999989,-0.00751275000000049,0.00340904000000011,-0.00786352999999931,-0.0105200599999992,-0.00698005499999933,-0.00689662000000187,0.0676665649999997,0.00166110499999917
"10",0.00358487499999959,0.0066414249999989,0.0160835350000002,-0.00168330999999968,0.00208834499999988,-0.00132570999999982,0.00234683499999963,0.0428787750000002,-0.0040448499999997,0.498907825000002,-0.00493450500000024,-0.00145907499999865,-0.00143926000000117,0.00427676500000094,-0.00589570500000084,-0.00883306499999973,-0.0144104599999998,-0.00874215999999958,-0.0133949749999997,0.051261395
"11",-0.0109708750000001,-0.00334781499999972,-0.00694585500000041,0.158564895000001,-0.00485066500000005,-0.00408522999999968,-0.00488850499999979,0.11569725,-0.0130704249999991,-0.00493450500000023,0.50632567,-0.0124580049999997,0.00143419499999944,-0.00405622000000007,-0.0106786899999996,-0.000138239999999705,-0.00126796999999895,-0.00328183000000046,-0.00906293499999915,-0.00157667500000151
"12",-0.00360756999999874,0.00272966000000067,-0.00202909500000053,-0.00789133500000022,0.0108117299999994,0.00310294500000003,0.000344295000002378,-0.00639358999999814,-0.0033045399999999,-0.00145907499999864,-0.0124580049999997,0.490977030000003,-0.00510676499999965,-0.00371599999999963,0.000677114999998215,-0.00647050500000033,-0.00422533500000018,0.14847971,0.00554371000000038,-0.00746005499999971
"13",-0.00693936500000018,-0.00590294499999891,-0.0130604100000003,-0.00250399999999995,-0.0103358750000005,-0.0124537450000003,-0.00178675500000015,0.00060826000000083,-0.0075127500000005,-0.00143926000000118,0.00143419499999944,-0.00510676499999965,0.494029694999999,-0.00409138999999917,-0.00404425000000027,-0.00667519500000009,-0.00926717999999959,-0.0037875500000012,-0.00547781500000008,-0.00667949500000128
"14",0.00684284000000094,-0.00476949000000071,0.00778645000000049,-0.00232248500000017,-0.00435762999999903,-0.000583804999999522,0.00660323000000141,-0.0121315599999999,0.0034090400000001,0.00427676500000095,-0.00405622000000007,-0.00371599999999963,-0.00409138999999917,0.494176080000001,-0.0106907150000011,-0.00219457999999976,-0.00799451499999974,-0.00652188999999983,0.141580885,-0.000806779999999911
"15",0.00828476000000035,-0.0058709050000005,-0.0134101050000002,-0.0119541599999994,-0.00303234499999941,0.00314275999999999,0.0053418249999991,-0.00312061500000135,-0.00786352999999931,-0.00589570500000085,-0.0106786899999995,0.000677114999998213,-0.00404425000000027,-0.0106907150000011,0.491682500000001,-0.00128030000000048,0.00290151999999998,0.0034855149999988,-0.0155810899999993,0.00331940499999922
"16",-0.0122357999999991,0.00079020500000092,-0.00425695999999996,-0.0025922099999996,-0.000397809999999279,-0.00197849999999939,-0.0175224600000004,-0.00748197499999809,-0.0105200599999992,-0.00883306499999974,-0.000138239999999711,-0.00647050500000034,-0.0066751950000001,-0.00219457999999975,-0.00128030000000047,0.488824070000002,0.125112280000002,-0.0118235100000015,-0.00652741500000056,0.0013162300000001
"17",-0.0101672499999994,-0.00496075000000024,-0.00901093000000049,-0.00546565000000006,0.00237782000000077,-0.00102789500000018,-0.00231661499999969,-0.00886279000000116,-0.00698005499999932,-0.0144104599999998,-0.00126796999999895,-0.00422533500000017,-0.00926717999999959,-0.00799451499999974,0.00290151999999998,0.125112280000002,0.503487125,-0.0122096849999998,-0.00889938999999933,-0.00683461499999952
"18",-0.00812602999999905,0.00270265500000106,-0.0149103949999996,-0.000566485000000246,0.00528513499999954,-0.00107747000000062,0.000327355000000659,2.38000000148784e-06,-0.00689662000000188,-0.00874215999999957,-0.00328183000000047,0.14847971,-0.00378755000000119,-0.00652188999999983,0.00348551499999882,-0.0118235100000015,-0.0122096849999998,0.494529419999997,-0.00535515500000034,0.00834204499999844
"19",-0.00302816999999903,-0.000925809999999087,-0.00306993499999951,-0.00249370499999957,-0.000935575000000284,-0.00269462999999915,-0.00872774999999892,-0.00497842000000093,0.0676665649999997,-0.0133949749999997,-0.00906293499999915,0.00554371000000038,-0.00547781500000008,0.141580885,-0.0155810899999993,-0.00652741500000057,-0.00889938999999933,-0.00535515500000033,0.495323025000002,0.00170347999999991
"20",-0.011464454999999,0.196170495000002,0.00148966000000023,0.193815385,-0.00928403000000105,0.00231200000000009,-0.00775705499999908,0.147589195000001,0.00166110499999916,0.051261395,-0.00157667500000151,-0.0074600549999997,-0.00667949500000128,-0.000806779999999912,0.00331940499999922,0.0013162300000001,-0.00683461499999952,0.00834204499999843,0.00170347999999991,0.491150369999997
