"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1",0.502666675000001,0.103644399999999,-0.00105436499999954,-0.0018177449999986,-0.0016939800000025,0.0108827949999985,-0.00947113500000072,-0.00967037500000183,-0.0110455000000008,-0.011490564999998,0.00139742000000125,0.0117139649999982,0.00236356000000145,-0.00549923000000013,-0.00193669000000122,-0.000925370000001077,-0.000754174999999288,-0.00492410500000109,-0.0120949449999986,0.170623580000001,-0.00994292999999941,0.00564036499999896,0.00396780000000013,0.000683334999999799,0.00249224000000018,0.0116930650000002,0.00912901499999964,0.00318354499999935,-0.00155901000000109,0.00387894000000014,-0.00651661000000038
"2",0.103644399999999,0.495860689999999,-0.00527941000000082,-0.00253981999999989,-0.0040081100000012,0.00391085499999936,-0.00353489499999999,-0.0107965950000005,-0.0074049000000002,-0.00157008499999924,-0.00575542000000026,0.0154177349999997,0.0133894750000006,-0.00973249500000087,0.00479074999999969,0.0183404499999997,-0.00581312999999928,-0.00789019500000104,-0.00210170999999918,0.047577165000001,-0.0151808249999993,-0.00368965500000014,0.000673199999999956,-0.00700894000000127,0.00912169000000037,0.0180356600000005,0.0228677650000004,0.00236864999999991,-0.0102363450000011,0.00309023500000038,0.136088290000001
"3",-0.00105436499999955,-0.00527941000000081,0.49532187,-0.00804518499999927,0.00270612499999944,-0.00798827000000068,-0.0142493100000002,-0.00831749500000129,-0.00938167000000133,-0.00310001500000045,-0.00312791999999943,-0.0028389250000001,0.00216410000000072,-0.00219143000000046,-0.00535729000000104,-0.00373327999999952,0.000874670000002702,-0.00117849500000082,-0.01164528,0.00377265500000005,-0.0151606299999994,-0.00890723500000019,-0.011886980000001,0.00732910500000082,-0.00562236499999947,-0.0029025849999989,0.113449555,0.0023142300000007,-0.00899509000000096,-0.00352241499999981,0.002757830000001
"4",-0.00181774499999859,-0.00253981999999989,-0.00804518499999928,0.493136905000001,0.0022462549999965,0.000902099999999656,-0.00823334499999965,-0.00696457500000175,0.00476891499999871,-0.00280542499999766,-0.000338339999997978,0.00934944999999992,0.00324350999999936,0.00419223499999882,0.0063651049999989,0.00259461999999759,-0.00253423500000056,0.000345009999998885,-0.0128785600000002,-0.00263164000000018,-0.00536338999999623,0.0150643150000004,0.00066076500000105,-0.00873194500000104,-0.00769487000000047,-0.012056195000001,-0.0104551699999999,0.176401939999997,-0.00144253499999976,0.00393246999999963,-0.00292106499999942
"5",-0.00169398000000251,-0.0040081100000012,0.00270612499999944,0.0022462549999965,0.493443519999999,-0.00692188500000001,-0.00421891999999966,-0.00619226999999828,-0.00854770999999833,-0.0042300899999987,-0.00278548999999862,-0.0132762799999975,-0.00516620500000169,-0.00543125999999892,-0.00581815999999847,-0.000656790000001276,0.00123916500000016,0.0052385550000006,-0.011634435000001,-0.00106236000000099,-0.0184240200000008,0.201921225,-0.000708354999998878,-0.00119778000000265,-0.00621131000000176,-0.00519958500000248,-0.0111626750000002,0.00520636499999838,-0.00800640999999986,0.00190203000000092,-0.00197514499999902
"6",0.0108827949999985,0.00391085499999935,-0.00798827000000068,0.000902099999999655,-0.00692188500000001,0.501344814999999,0.00232845000000077,-0.00179479999999967,-0.0116360099999979,-0.00419798500000063,-0.00705073999999993,0.0826751549999996,-0.0043653649999988,0.00288358000000041,0.113319235000002,0.0510909850000017,-0.0119874149999994,-0.0118389099999997,0.0026086900000012,0.00909939000000052,0.00215989999999825,-0.000102640000000207,0.0115378750000002,-0.00831069999999956,0.0589159199999998,0.0347052750000009,-0.00245372499999957,0.024095360000002,-0.00349664500000036,0.106816055,0.0907123000000003
"7",-0.00947113500000071,-0.003534895,-0.0142493100000002,-0.00823334499999965,-0.00421891999999966,0.00232845000000077,0.499925625000001,0.0052364650000006,-0.00828909000000013,-0.00404865500000071,-0.00203533499999978,-0.00491088499999934,-0.00140432000000114,-0.0043114600000004,-0.00320582499999983,-0.00325452999999983,-0.00311158000000091,0.119164050000001,0.00142562499999996,-0.00415124500000053,0.00656128000000002,0.000174525000000003,0.00416994500000055,-0.00411672500000001,-0.00260791500000074,-0.00950135500000039,-0.0114186900000009,0.000220404999999973,-0.00288126999999913,-0.00557522499999981,-0.00601037000000133
"8",-0.00967037500000183,-0.0107965950000005,-0.00831749500000129,-0.00696457500000175,-0.00619226999999827,-0.00179479999999967,0.0052364650000006,0.496968420000001,-0.000665634999998043,0.00130018499999863,-0.00178580000000004,0.00496150000000075,-0.00345461500000106,0.14608871,-0.00894513499999816,-0.00402306999999901,-0.0096854450000012,0.00771743000000126,-0.0152866450000002,-0.0061935850000007,-0.00835849500000204,-0.00490243499999988,-0.00583504999999938,-0.00209265999999939,0.00704052000000073,-0.00526790499999997,-0.00388668000000043,-0.00721415499999873,0.157642230000002,0.000158385000000882,-0.00251682000000034
"9",-0.0110455000000008,-0.0074049000000002,-0.00938167000000134,0.00476891499999871,-0.00854770999999832,-0.011636009999998,-0.00828909000000012,-0.000665634999998046,0.499437180000002,-0.0130229849999995,0.11731605,-0.00734359999999736,0.0756009299999998,0.00430581999999893,-0.0069928499999978,-0.0135418900000011,0.000907729999998603,0.164568965000001,-0.0173233900000026,-0.00449384500000127,0.00392121500000056,0.0151805250000037,-0.0105251449999972,-0.00292812500000214,-0.0068238200000008,-0.00232711000000287,-0.0078710450000004,0.00617050499999919,0.00444932500000186,-0.0162849199999991,-0.00136302000000138
"10",-0.011490564999998,-0.00157008499999923,-0.00310001500000044,-0.00280542499999767,-0.0042300899999987,-0.00419798500000064,-0.00404865500000071,0.00130018499999863,-0.0130229849999995,0.509373419999998,0.00355774499999857,0.00398650999999869,0.0102175450000021,-0.0107518949999998,0.00745028499999955,-0.00819652499999812,-0.0145091199999987,-0.00597968499999907,-0.00750167999999977,-0.00979689999999919,-0.0112096150000013,-0.00657243999999854,-0.00303381000000049,-0.00731350499999784,-0.00930149499999875,0.0027778200000021,-0.00860053499999958,-0.00573629999999743,-0.00529654000000067,-0.00543076500000018,0.00286405499999995
"11",0.00139742000000124,-0.00575542000000027,-0.00312791999999943,-0.000338339999997975,-0.00278548999999861,-0.00705073999999993,-0.00203533499999978,-0.00178580000000003,0.11731605,0.00355774499999858,0.497081595,-0.0081113450000014,0.11879212,0.000927789999999855,-0.00809698000000021,-7.67499999804154e-06,0.00189913999999995,0.143920764999999,-0.0132344950000008,0.00196100000000094,0.0138913499999988,0.000174180000000547,-0.0144548650000007,0.00602472000000166,0.00144890000000109,0.00387455500000183,0.00138789999999883,-0.00107460499999796,-0.00396598500000012,-0.00768937000000057,-0.00498144500000207
