ID,solution,p,r
505001,-0.0962113441419108,0,0
505002,0.33378811615625,0,0
505003,0.13205899091627,0,0
505004,0.632380317143524,0,0
505005,-0.318179407656633,0,0
505006,0.807756235834503,0,0
505007,0.457431891040672,0,0
505008,0.423176820280695,0,0
505009,-0.696133884264934,0,0
505010,0.446136174321527,0,0
505011,0.0558101052801898,0,0
505012,0.396696675284343,0,0
505013,1.13471188784131,0,0
505014,0.769916094226226,0,0
505015,0.730322430573008,0,0
505016,0.454000982622464,0,0
505017,-0.0519828891364177,0,0
505018,0.481057694013619,0,0
505019,1.04842312584627,0,0
505020,-0.106637618268206,0,0
505021,0.401567632365011,0,0
505022,0.697480236991249,0,0
505023,0.266361007501932,0,0
505024,0.422097414193501,0,0
505025,0.352215449369328,0,0
505026,0.546449498259557,0,0
505027,1.09279225041089,0,0
505028,0.425264311161641,0,0
505029,0.223131998100295,0,0
505030,0.351016680824346,0,0
505031,0.957901822730722,0,0
505032,0.915781300230241,0,0
505033,0.380021227034418,0,0
505034,0.144274132926964,0,0
505035,0.799220107763444,0,0
505036,0.387442765781775,0,0
505037,0.473139737069659,0,0
505038,1.12359764641324,0,0
505039,0.230766055395963,0,0
505040,0.854431866193652,0,0
505041,0.834599801245223,0,0
505042,-0.144771683666855,0,0
505043,0.885231715851202,0,0
505044,0.561429169595977,0,0
505045,0.315948224913082,0,0
505046,-1.24728079623069,0,0
505047,-0.131154409895927,0,0
505048,0.715392533146141,0,0
505049,0.46567061278136,0,0
505050,0.992011224524087,0,0
505051,0.344314216709583,0,0
505052,0.974670594156891,0,0
505053,0.468039682142416,0,0
505054,0.776584494956311,0,0
505055,0.683422569263975,0,0
505056,0.402306026512019,0,0
505057,1.34920084650935,0.038811071,1
505058,0.270175918767357,0,0
505059,0.126420762081682,0,0
505060,0.639693532476996,0,0
505061,1.33158313686913,0,0
505062,0.392368501907974,0,0
505063,0.196967512267269,0,0
505064,-0.0806915708641236,0,0
505065,0.642774743282724,0,0
505066,0.54601028214144,0,0
505067,-0.226016580196761,0,0
505068,0.483036463394685,0,0
505069,0.366089019321796,0,0
505070,-0.116840669237773,0,0
505071,0.585426728936483,0,0
505072,0.503093162167096,0,0
505073,-0.357284207152191,0,0
505074,0.621473128372168,0,0
505075,0.0907385287717438,0,0
505076,0.359294620856043,0,0
505077,0.320773231016141,0,0
505078,0.0435683340933223,0,0
505079,0.604779592939058,0,0
505080,1.56905597882859,0.118615408,1
505081,1.06612446513236,0,0
505082,0.0414703562074538,0,0
505083,0.410006431487129,0,0
505084,0.397162872650196,0,0
505085,0.321172238505235,0,0
505086,0.623543628819198,0,0
505087,0.570228012133141,0,0
505088,0.494267446904712,0,0
505089,0.687662333257249,0,0
505090,1.28802261928254,0.017309393,1
505091,1.10748543341112,0,0
505092,0.314739246311196,0,0
505093,1.12372826180074,0,0
505094,0.695273278803077,0,0
505095,0.910846847129062,0,0
505096,0.597953487368506,0,0
505097,0.84993755641534,0,0
505098,0.0324676010750928,0,0
505099,0.965377474270329,0,0
505100,-0.0615118017037531,0,0
505101,1.31673001216778,0.027437898,1
505102,0.468361119371702,0,0
505103,0.90888472885111,0,0
505104,0.524090167722146,0,0
505105,0.515496288907343,0,0
505106,0.214180101023898,0,0
505107,1.30369321466678,0.010501216,1
505108,0.517870158458786,0,0
505109,0.959234739067204,0,0
505110,1.04102565282958,0,0
505111,0.35855657263602,0,0
505112,-0.0374421990166415,0,0
505113,0.28835005507207,0,0
505114,-0.0687900922742664,0,0
505115,-0.715330082657074,0,0
505116,1.62083572201313,0.129523801,1
505117,0.206089058037834,0,0
505118,0.319992945449779,0,0
505119,0.333612076895185,0,0
505120,0.238912307017753,0,0
505121,-0.00900619414582316,0,0
505122,0.459482553736093,0,0
505123,0.439319165429513,0,0
505124,-0.0455884370708167,0,0
505125,0.739691468715291,0,0
505126,0.372971494383867,0,0
505127,0.649503762143182,0,0
505128,0.551536278368545,0,0
505129,0.0595136887114075,0,0
505130,1.24599308765548,0,0
505131,0.286065978763412,0,0
505132,0.0726100594284858,0,0
505133,0.562097867054266,0,0
505134,-0.263029686774808,0,0
505135,0.0872871375973563,0,0
505136,1.12981846712962,0,0
505137,-0.0361190552630194,0,0
505138,-0.394628334356353,0,0
505139,0.462814153086067,0,0
505140,0.610575115643586,0,0
505141,0.842976173844544,0,0
505142,-0.278672464908373,0,0
505143,1.20455848501696,0,0
505144,0.511168536894364,0,0
505145,0.50750621170311,0,0
505146,1.29009325008435,0.019428855,1
505147,0.789830901743806,0,0
505148,0.594816152490993,0,0
505149,0.603477658125934,0,0
505150,-0.154570107325688,0,0
505151,0.452400793238279,0,0
505152,1.33929314423882,0,0
505153,-0.254740900889101,0,0
505154,-0.169136566180911,0,0
505155,0.116087230121647,0,0
505156,0.0870270492216273,0,0
505157,0.0051669187948493,0,0
505158,0.607631378414146,0,0
505159,-0.0672900139850578,0,0
505160,0.259901328605345,0,0
505161,0.675671714533521,0,0
505162,0.530259548293371,0,0
505163,0.149577873683789,0,0
505164,0.651425298196226,0,0
505165,0.96761888682949,0,0
505166,0.0569119119481374,0,0
505167,0.775422888620286,0,0
505168,-0.379635781595913,0,0
505169,0.696313609926647,0,0
505170,0.409331760587856,0,0
505171,1.00709607918229,0,0
505172,0.517535659194504,0,0
505173,0.195791164999798,0,0
505174,1.59814374114449,0.13674033,1
505175,0.164009937997782,0,0
505176,0.800446017070749,0,0
505177,0.371172178458821,0,0
505178,-0.32902170167896,0,0
505179,0.750272245628954,0,0
505180,0.51897411688634,0,0
505181,0.859814038190093,0,0
505182,0.444424275528963,0,0
505183,1.40489829941906,0.032049294,1
505184,1.06310613053895,0,0
505185,0.160823991201311,0,0
505186,0.489263955391212,0,0
505187,-0.0709623789163245,0,0
505188,0.96569134405135,0,0
505189,0.938137756598636,0,0
505190,0.997965740853987,0,0
505191,0.49130011100212,0,0
505192,0.561425007372818,0,0
505193,0.260324822374353,0,0
505194,0.588464732159834,0,0
505195,0.516104031305873,0,0
505196,0.558611060154926,0,0
505197,0.330434521155605,0,0
505198,0.509393400239679,0,0
505199,1.17945989853563,0,0
505200,-0.49265471354541,0,0
505201,0.71848636294316,0,0
505202,-0.731093658833534,0,0
505203,1.12112804746409,0,0
505204,1.36295886599032,0.01,1
505205,0.780684738490694,0,0
505206,0.0975107252314555,0,0
505207,0.203278652446493,0,0
505208,0.579713082957072,0,0
505209,0.654218756475363,0,0
505210,0.424377549179628,0,0
