"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52"
"1",0.488722449999999,-0.00596261499999996,0.00706932999999968,-0.00942019000000102,0.0246059250000014,-0.0127248900000007,0.00265844499999978,0.000125854999998409,0.00101415999999939,-0.00593592999999904,-0.00992523499999746,-0.00219309499999922,0.0600184449999991,0.0139978500000001,0.170004595,0.00157497500000104,0.00812251499999885,0.17056562,0.081212019999999,0.00713336499999946,0.00229154999999724,-0.00602651000000246,-0.000198469999999781,-0.000544650000000168,-0.00223527999999909,-0.00101762000000107,-0.00900917499999813,-0.0121328499999995,0.086736659999999,-0.0077518600000013,-0.00605206000000016,-0.00412987000000151,-0.00526855500000049,-0.00150850499999853,0.00358767500000089,-0.000634009999999456,-0.00854910999999937,-0.00662488500000016,0.00650658499999847,-0.0115606599999995,0.000499664999998429,0.00862377500000028,-0.000166295000001693,-0.00562650500000014,0.00425667999999773,-0.00828120500000004,-0.00735720999999874,-0.00119151000000229,-0.00404220000000025,0.00947597000000003,-0.0112632550000003,0.0109154649999994
"2",-0.00596261499999996,0.502666675000001,-0.0120923999999985,0.00100933000000071,0.013722685000001,0.103644399999999,-0.00105436499999954,-0.0018177449999986,-0.0016939800000025,0.0108827949999985,-0.00947113500000072,-0.00967037500000183,-0.0110455000000008,-0.011490564999998,0.00139742000000125,0.0117139649999982,-0.00572233999999895,0.00236356000000145,-0.00760527000000149,-0.00549923000000013,-0.0117550350000009,-0.00642705500000037,-0.00405339500000159,0.000555495000002752,-0.00193669000000122,-0.000925370000001077,-0.000754174999999288,-0.0035813850000006,-0.00492410500000109,-0.0120949449999986,0.00767521000000006,0.00291781500000146,0.170623580000001,-0.00994292999999941,0.00564036499999896,-0.00691225000000034,0.00396780000000013,-0.0101276549999998,-0.00144922999999923,-0.00142429999999822,0.000683334999999799,-0.00357350499999898,0.00249224000000018,-0.00618225000000041,0.0116930650000002,0.00912901499999964,-0.00458209500000026,0.00318354499999935,-0.00155901000000109,0.00387894000000014,-0.00651661000000038,-0.0098891149999987
"3",0.00706932999999967,-0.0120923999999985,0.491862390000001,-0.000803579999999152,-0.00311145999999898,-0.0065847749999992,0.00228420000000108,-0.00267705999999895,0.00117538499999888,-0.00478960000000019,-0.00194536000000139,-0.00396564500000128,-0.00232839500000263,-0.00216578999999915,0.00813303999999921,-0.00561278500000039,0.1587296,0.000711320000000545,-0.00325923000000204,-0.00408537999999991,0.00167123999999982,-0.00817332499999975,0.00200629999999939,0.113447025000002,-0.0135394250000014,-0.00292427999999991,-0.00340563500000069,-0.00920050000000011,-0.00108197000000128,-0.000591024999998631,-0.00494835499999935,-0.00781512999999882,-0.0071350549999998,-0.00825582499999863,0.0036670899999994,-0.00822871500000084,-0.00385832499999917,-0.00985705499999915,0.00617832999999832,-0.00433916999999883,0.000107875000000121,-0.010676725,-0.00393294500000011,-0.0033792800000001,-0.00262231499999964,-0.00331832,-0.00851390500000106,-0.00323718500000082,-0.000166764999999837,-0.00657126500000034,0.00846062000000097,-0.00498411499999977
"4",-0.00942019000000102,0.00100933000000071,-0.000803579999999152,0.489447440000001,-0.00604450499999941,-0.00655963499999985,-0.00233030499999978,-0.000505440000000033,0.00329681499999923,-0.00566939000000046,-0.0124242700000003,0.00136469999999867,0.00529597999999829,-0.02035081,-0.00524068999999964,-0.0109539850000012,-0.00378345999999939,0.000850809999999381,-0.00477256500000066,-0.00238682000000065,-0.00808653500000016,0.00972866000000093,-0.00778998499999986,-0.00324978499999897,-0.004689510000002,-0.00335687999999972,0.00304137999999958,-0.0106535950000002,0.00337331999999845,-0.00360151500000043,-0.00230490499999937,-0.0153676199999992,-0.0048382849999989,-0.00192424999999972,-0.000358405000000815,0.0192512300000007,-0.0109956950000008,-0.00736353000000069,-0.0100023699999999,0.110120135000001,0.016517455000001,-0.00536751499999933,-0.00477561499999975,0.13308423,-0.00450913499999921,-0.00502732500000043,-0.0094117749999996,-0.0118374350000012,-0.00406482500000098,-0.00911618500000122,-0.00513319999999959,-0.00489394999999965
"5",0.0246059250000014,0.013722685000001,-0.00311145999999898,-0.00604450499999941,0.496939444999998,-0.00974998499999962,-0.00604730499999953,0.016684255000003,0.00273226999999997,-0.00811049500000162,-0.00949680500000005,-0.00335463500000225,-0.00718177499999841,-0.00298390500000042,-0.0115254550000002,-0.00684526500000246,9.96600000011299e-05,-0.0115481349999986,0.0576004799999999,-0.00618713000000125,-0.00670650499999792,0.00086308500000164,0.00108869999999881,-0.00107079499999748,-0.00481133000000158,-0.00715391999999917,-0.00400558999999865,-0.0176496700000006,-0.00347994499999989,-0.00234101999999949,-0.00606566999999874,0.000715925000001775,-0.00256601999999816,-0.00144871000000064,0.118395259999999,-0.00454782500000049,0.134607294999998,-0.00840755000000069,-0.00521326499999839,-3.77849999996361e-05,-0.0144086099999979,-0.0115700949999994,0.00166169000000083,0.00239980999999995,-0.00449090999999762,-0.00432032500000115,-0.00872051500000071,-0.00170980999999778,-0.00473969500000196,0.00529697999999984,-0.0118094200000002,0.00477697500000163
"6",-0.0127248900000006,0.103644399999999,-0.0065847749999992,-0.00655963499999986,-0.00974998499999963,0.495860689999999,-0.00527941000000082,-0.00253981999999989,-0.0040081100000012,0.00391085499999936,-0.00353489499999999,-0.0107965950000005,-0.0074049000000002,-0.00157008499999924,-0.00575542000000026,0.0154177349999997,-0.0123432000000001,0.0133894750000006,-0.000509130000000711,-0.00973249500000087,-0.00256673000000129,0.0112621999999992,-0.0132540400000002,-0.00547479499999825,0.00479074999999969,0.0183404499999997,-0.00581312999999928,0.00684626999999916,-0.00789019500000104,-0.00210170999999918,0.0125620900000009,0.00953817500000014,0.047577165000001,-0.0151808249999993,-0.00368965500000014,-0.00146572000000226,0.000673199999999956,-0.00514301500000204,-0.00404575999999946,-0.00196005499999905,-0.00700894000000127,-0.00426734000000014,0.00912169000000037,-0.00915510000000062,0.0180356600000005,0.0228677650000004,-0.00078687999999962,0.00236864999999991,-0.0102363450000011,0.00309023500000038,0.136088290000001,-0.000441169999999875
"7",0.00265844499999978,-0.00105436499999955,0.00228420000000108,-0.00233030499999978,-0.00604730499999954,-0.00527941000000081,0.49532187,-0.00804518499999927,0.00270612499999944,-0.00798827000000068,-0.0142493100000002,-0.00831749500000129,-0.00938167000000133,-0.00310001500000045,-0.00312791999999943,-0.0028389250000001,-0.00729367499999924,0.00216410000000072,-0.00277968499999964,-0.00219143000000046,0.00270856999999987,0.0021288899999997,-0.00330554500000076,0.00202088000000097,-0.00535729000000104,-0.00373327999999952,0.000874670000002702,-0.00326291499999994,-0.00117849500000082,-0.01164528,0.000369709999999799,-0.00117362999999937,0.00377265500000005,-0.0151606299999994,-0.00890723500000019,0.00232041500000058,-0.011886980000001,-0.00474474499999982,-0.00417387500000034,-0.00619809500000028,0.00732910500000082,-0.00896488999999857,-0.00562236499999947,-0.0117263050000007,-0.0029025849999989,0.113449555,-0.0101594699999994,0.0023142300000007,-0.00899509000000096,-0.00352241499999981,0.002757830000001,-0.00561549999999916
"8",0.000125854999998399,-0.00181774499999859,-0.00267705999999895,-0.000505440000000038,0.016684255000003,-0.00253981999999989,-0.00804518499999928,0.493136905000001,0.0022462549999965,0.000902099999999656,-0.00823334499999965,-0.00696457500000175,0.00476891499999871,-0.00280542499999766,-0.000338339999997978,0.00934944999999992,-0.00798575500000044,0.00324350999999936,-0.00527011000000165,0.00419223499999882,-0.00175584500000152,-0.00821549500000115,-0.0028426700000008,-0.000951259999998056,0.0063651049999989,0.00259461999999759,-0.00253423500000056,-0.00751615500000005,0.000345009999998885,-0.0128785600000002,-0.00581530000000098,-0.00755921000000071,-0.00263164000000018,-0.00536338999999623,0.0150643150000004,0.000160804999999829,0.00066076500000105,0.00151407499999846,-0.00503921500000061,-0.0126733149999989,-0.00873194500000104,-0.00488783500000017,-0.00769487000000047,-0.00357918999999895,-0.012056195000001,-0.0104551699999999,0.00186159000000024,0.176401939999997,-0.00144253499999976,0.00393246999999963,-0.00292106499999942,0.150575944999999
"9",0.00101415999999941,-0.00169398000000251,0.00117538499999888,0.00329681499999923,0.00273226999999998,-0.0040081100000012,0.00270612499999944,0.0022462549999965,0.493443519999999,-0.00692188500000001,-0.00421891999999966,-0.00619226999999828,-0.00854770999999833,-0.0042300899999987,-0.00278548999999862,-0.0132762799999975,0.00208596999999836,-0.00516620500000169,-0.000520084999998347,-0.00543125999999892,-0.0104953900000033,-0.0093619800000023,-0.0161851449999995,-0.0139860900000027,-0.00581815999999847,-0.000656790000001276,0.00123916500000016,-0.00880475499999931,0.0052385550000006,-0.011634435000001,-0.00740537500000135,0.00105223999999675,-0.00106236000000099,-0.0184240200000008,0.201921225,-0.00583959499999855,-0.000708354999998878,-0.0139009399999988,-0.00436753000000051,-0.0148137150000009,-0.00119778000000265,-0.00625591999999988,-0.00621131000000176,0.00156504999999996,-0.00519958500000248,-0.0111626750000002,0.00474486000000032,0.00520636499999838,-0.00800640999999986,0.00190203000000092,-0.00197514499999902,0.00283179999999903
"10",-0.00593592999999904,0.0108827949999985,-0.00478960000000019,-0.00566939000000046,-0.00811049500000162,0.00391085499999935,-0.00798827000000068,0.000902099999999655,-0.00692188500000001,0.501344814999999,0.00232845000000077,-0.00179479999999967,-0.0116360099999979,-0.00419798500000063,-0.00705073999999993,0.0826751549999996,0.00125923499999977,-0.0043653649999988,-0.00961360999999896,0.00288358000000041,-0.00772591000000115,-0.00339269999999921,-0.00675193499999975,-0.00373810000000037,0.113319235000002,0.0510909850000017,-0.0119874149999994,0.00335154000000121,-0.0118389099999997,0.0026086900000012,0.000414265000000227,-0.0031215449999999,0.00909939000000052,0.00215989999999825,-0.000102640000000207,-0.00970868500000016,0.0115378750000002,-0.00345587000000073,-0.00884412999999709,0.012143515,-0.00831069999999956,0.0034644600000001,0.0589159199999998,-0.0015632200000003,0.0347052750000009,-0.00245372499999957,-0.00391318000000197,0.024095360000002,-0.00349664500000036,0.106816055,0.0907123000000003,-0.00192743999999928
"11",-0.00992523499999746,-0.00947113500000071,-0.00194536000000138,-0.0124242700000003,-0.00949680500000005,-0.003534895,-0.0142493100000002,-0.00823334499999965,-0.00421891999999966,0.00232845000000077,0.499925625000001,0.0052364650000006,-0.00828909000000013,-0.00404865500000071,-0.00203533499999978,-0.00491088499999934,-0.00556468000000108,-0.00140432000000114,-0.00327409999999999,-0.0043114600000004,-0.00703156999999862,-0.00680874000000146,-0.00613255000000074,-0.00827990500000196,-0.00320582499999983,-0.00325452999999983,-0.00311158000000091,-0.00117188000000171,0.119164050000001,0.00142562499999996,-0.00691481500000142,-0.00817197500000036,-0.00415124500000053,0.00656128000000002,0.000174525000000003,0.152868585,0.00416994500000055,-0.00802323499999781,-0.00604724999999892,0.199571105,-0.00411672500000001,-0.0113330150000017,-0.00260791500000074,-0.012012535,-0.00950135500000039,-0.0114186900000009,0.110000729999999,0.000220404999999973,-0.00288126999999913,-0.00557522499999981,-0.00601037000000133,0.00692581499999942
"12",-0.00219309499999922,-0.00967037500000183,-0.00396564500000127,0.00136469999999867,-0.00335463500000225,-0.0107965950000005,-0.00831749500000129,-0.00696457500000175,-0.00619226999999827,-0.00179479999999967,0.0052364650000006,0.496968420000001,-0.000665634999998043,0.00130018499999863,-0.00178580000000004,0.00496150000000075,-0.00743496500000106,-0.00345461500000106,-0.0031125699999975,0.14608871,-0.00714483499999965,0.00758475999999991,-0.00104209999999966,-0.0029076050000027,-0.00894513499999816,-0.00402306999999901,-0.0096854450000012,-0.00675578000000029,0.00771743000000126,-0.0152866450000002,-0.000519435000000379,-0.000560000000000559,-0.0061935850000007,-0.00835849500000204,-0.00490243499999988,-0.00560163999999904,-0.00583504999999938,-0.00643749499999952,-0.00515185499999989,0.00478804999999877,-0.00209265999999939,-0.00215585000000094,0.00704052000000073,-0.000857445000001085,-0.00526790499999997,-0.00388668000000043,-0.00781985000000016,-0.00721415499999873,0.157642230000002,0.000158385000000882,-0.00251682000000034,-0.0017527899999995
