"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0.495547909999996,-0.00306626999999888,-0.0117641550000007,-0.00812056000000049,-0.000143744999999362,-0.0012339099999996,0.00189805500000057,0.11003648,-0.00638651999999859,-0.00694005999999968,0.000244280000000081,-0.00686049999999854,-0.0157704900000012,0.111358290000002,-0.0116043350000001,-0.014838155,0.0107804049999994,0.00653066500000047,-0.00651214000000133,-0.00250044500000051,-0.00354447500000065
"2",-0.00306626999999888,0.497279220000001,-0.00175947999999915,-0.00423601000000006,-0.00226633500000052,0.164919365,0.000315089999999893,-0.00444671499999899,-0.00700521000000115,0.0750391649999994,-0.00872513500000032,-0.00205630000000046,-0.0087474950000005,0.00524238999999968,-0.00249683000000001,-0.0079244050000006,-0.00349676000000036,0.00365680999999981,-0.00499193499999878,0.00295625000000005,-0.00344859499999995
"3",-0.0117641550000007,-0.00175947999999916,0.495879515,-0.0184151250000023,0.0281405000000007,-0.00245699499999984,0.0161603699999999,-0.00849357499999983,-0.00418343000000033,-0.00417176500000195,-0.0132233250000004,0.000258775000000646,0.0138388350000004,-0.013355545,0.0950530400000003,0.175371204999998,-0.00651971000000027,0.00304659499999822,0.0746989399999989,0.00147200500000028,-0.00657233499999914
"4",-0.00812056000000048,-0.00423601000000006,-0.0184151250000023,0.501225260000002,-7.66399999998569e-05,0.00314650500000094,-0.00854542499999925,-0.00878261000000019,-0.00898355500000105,-0.00969306999999973,0.0183906250000004,-0.0124566149999996,-0.00735466500000059,-0.00438862499999977,-0.00432799500000037,-0.0063934900000008,-0.00282031999999934,0.00240470499999975,-0.00546563999999976,-0.00619035500000031,-0.0016999599999996
"5",-0.000143744999999361,-0.00226633500000051,0.0281405000000007,-7.66399999998583e-05,0.515619604999999,-0.00304143500000057,-0.00912928000000047,-0.010187315,-0.00745938500000021,0.000783204999999948,-0.006210940000001,-0.0130212650000005,0.190633215000001,-0.00313269500000067,0.132907924999999,-0.000430949999998026,0.000114495000000936,-0.0110499749999991,0.110512695000001,0.00336426000000002,-0.000755475000000283
"6",-0.00123390999999961,0.164919365,-0.00245699499999984,0.00314650500000095,-0.00304143500000057,0.489066540000001,-0.0095188849999997,-0.00501423499999989,-0.00664223499999994,-0.00724617499999949,-0.00175432499999967,-0.00454015500000001,-0.0218444950000005,-0.00252005999999954,-0.00535905500000018,-0.00822761499999987,1.42899999999895e-05,0.00569369500000082,-0.00710715000000038,-0.00444179499999962,0.00133662999999925
"7",0.00189805500000057,0.000315089999999884,0.0161603699999999,-0.00854542499999925,-0.00912928000000046,-0.00951888499999969,0.500135555000001,0.00147981999999985,0.000136775000000478,-0.00702217999999905,-0.00132739500000017,-0.00993101000000043,0.00350034499999972,0.00592348499999998,0.00584575500000063,0.0201809549999994,0.00377792500000083,0.00516516000000034,-0.000188084999999666,0.0163349050000001,0.006614135000001
"8",0.11003648,-0.00444671499999899,-0.00849357499999983,-0.00878261000000018,-0.010187315,-0.0050142349999999,0.00147981999999985,0.503813485000001,0.0124569199999995,-0.00179202500000105,-0.0104131699999994,-0.00429696499999995,-0.00333379000000078,-0.0044470299999994,-0.00146038999999973,-0.0138913750000001,-0.00179961000000046,-0.00610938500000088,-0.0111934550000002,0.00188588000000068,-0.00580599500000036
"9",-0.00638651999999859,-0.00700521000000115,-0.00418343000000033,-0.00898355500000105,-0.0074593850000002,-0.00664223499999995,0.000136775000000476,0.0124569199999995,0.499698670000001,-0.00226656499999895,-0.00782303499999991,0.00175916499999992,-0.00518579999999934,-0.00631735999999967,-0.014509145000001,-0.0118587599999987,-0.00322461499999989,-0.000401840000001025,-0.00348004999999964,-0.00107265000000082,-0.00391034499999823
"10",-0.00694005999999967,0.0750391649999993,-0.00417176500000195,-0.00969306999999974,0.000783204999999965,-0.00724617499999949,-0.00702217999999905,-0.00179202500000105,-0.00226656499999895,0.490237805000001,-0.00305300499999983,-0.00449760500000047,-0.000942225000000278,-0.000395819999998997,0.00241508000000052,-0.0063775499999995,-0.00431715999999916,-0.00350297499999814,-0.0113806300000011,-0.00517759499999936,0.00102982500000027
"11",0.000244280000000083,-0.00872513500000032,-0.0132233250000004,0.0183906250000004,-0.00621094000000101,-0.00175432499999967,-0.00132739500000016,-0.0104131699999994,-0.0078230349999999,-0.00305300499999983,0.491178205000001,-0.00556227500000095,0.00106200000000005,-0.0029820450000004,-0.00160477000000059,-0.00773393000000051,0.126160849999999,-0.00781157500000021,0.00482895999999951,-0.00518290499999918,-0.01120444
"12",-0.00686049999999855,-0.00205630000000046,0.000258775000000648,-0.0124566149999996,-0.0130212650000005,-0.004540155,-0.00993101000000045,-0.00429696499999995,0.00175916499999992,-0.00449760500000046,-0.00556227500000095,0.505264975,-0.00619645999999969,-0.00499722000000107,-0.00684154500000078,-0.000278385000000276,-0.00868061999999946,-0.00372268500000102,-0.00592918499999923,-0.0119280499999988,-0.00776261999999994
"13",-0.0157704900000012,-0.0087474950000005,0.0138388350000003,-0.00735466500000059,0.190633215000001,-0.0218444950000005,0.00350034499999973,-0.00333379000000078,-0.00518579999999935,-0.000942225000000291,0.00106200000000005,-0.00619645999999968,0.490443529999999,-0.00305828499999877,0.116316945,0.00172485500000101,-0.00523222999999947,-0.0158328349999993,0.0923483399999989,0.0207489750000004,-0.00591836500000122
"14",0.111358290000002,0.00524238999999968,-0.013355545,-0.00438862499999977,-0.00313269500000068,-0.00252005999999955,0.00592348499999999,-0.0044470299999994,-0.00631735999999968,-0.000395819999998992,-0.00298204500000039,-0.00499722000000107,-0.00305828499999876,0.50439493,-0.0120669000000007,-0.00561039500000012,0.00265949500000077,0.096789045000001,-0.010103254999999,0.00211877500000051,-0.0110060949999995
"15",-0.0116043350000001,-0.00249683,0.0950530400000003,-0.00432799500000037,0.132907924999999,-0.00535905500000016,0.00584575500000063,-0.00146038999999972,-0.014509145000001,0.00241508000000053,-0.00160477000000059,-0.00684154500000078,0.116316945,-0.0120669000000007,0.505245289999998,0.0626880150000011,-0.00890867999999888,-0.00879039999999931,0.19720362,-0.00212991499999929,-0.00672215500000038
"16",-0.014838155,-0.0079244050000006,0.175371204999998,-0.0063934900000008,-0.000430949999998023,-0.00822761499999986,0.0201809549999994,-0.0138913750000001,-0.0118587599999987,-0.00637754999999949,-0.00773393000000051,-0.000278385000000278,0.00172485500000101,-0.00561039500000013,0.0626880150000011,0.499680194999999,-0.00841062499999936,-0.00353626000000023,0.0531205449999999,0.00349142000000066,-0.0122666899999994
"17",0.0107804049999994,-0.00349676000000036,-0.00651971000000028,-0.00282031999999933,0.000114495000000929,1.42899999999952e-05,0.00377792500000083,-0.00179961000000047,-0.00322461499999989,-0.00431715999999916,0.126160849999999,-0.00868061999999947,-0.00523222999999947,0.00265949500000077,-0.00890867999999889,-0.00841062499999936,0.499853114999999,-0.00295492999999933,0.00431022499999876,0.00517634000000039,-0.00552073000000009
"18",0.00653066500000046,0.0036568099999998,0.00304659499999822,0.00240470499999974,-0.0110499749999991,0.00569369500000081,0.00516516000000034,-0.00610938500000088,-0.000401840000001026,-0.00350297499999814,-0.00781157500000022,-0.00372268500000102,-0.0158328349999992,0.096789045000001,-0.00879039999999931,-0.00353626000000023,-0.00295492999999933,0.488268770000001,-0.0097847800000008,-0.00340340999999968,-0.00337035999999939
"19",-0.00651214000000133,-0.00499193499999879,0.0746989399999989,-0.00546563999999976,0.110512695000001,-0.00710715000000038,-0.000188084999999666,-0.0111934550000002,-0.00348004999999964,-0.0113806300000011,0.0048289599999995,-0.00592918499999922,0.0923483399999989,-0.010103254999999,0.19720362,0.0531205449999999,0.00431022499999876,-0.00978478000000079,0.498748474999998,0.00234518499999878,-0.0040823649999998
"20",-0.00250044500000052,0.00295625000000005,0.00147200500000029,-0.00619035500000032,0.00336426000000002,-0.00444179499999963,0.0163349050000001,0.00188588000000068,-0.00107265000000082,-0.00517759499999936,-0.00518290499999918,-0.0119280499999988,0.0207489750000004,0.00211877500000052,-0.00212991499999928,0.00349142000000065,0.00517634000000039,-0.00340340999999968,0.00234518499999878,0.493595029999999,0.0039646999999993
"21",-0.00354447500000064,-0.00344859499999996,-0.00657233499999914,-0.00169995999999961,-0.000755475000000284,0.00133662999999925,0.006614135000001,-0.00580599500000036,-0.00391034499999824,0.00102982500000027,-0.01120444,-0.00776261999999993,-0.00591836500000122,-0.0110060949999995,-0.00672215500000039,-0.0122666899999994,-0.00552073000000009,-0.00337035999999939,-0.00408236499999979,0.00396469999999931,0.496025279999999
