"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",0.501736089999998,-0.00222070999999948,-0.00989648999999841,-0.00848235000000027,-0.00718288500000066,0.0132329749999998,0.00156512500000112,-0.00293850500000047,0.00382215000000023,-0.00646088500000179,0.000432665000001189,-0.00291756000000042,-7.68699999988227e-05,-0.00489938999999861,0.00227615500000055,-0.00282702999999956,-0.00974715999999952,-0.00817883500000057,-0.0102584299999978,0.00406093000000042,0.00280586499999797,-0.00856325999999954,0.00471915500000132,-0.000416894999999382,-0.00684555500000297,0.00147346000000042,-0.000401230000000327
"2",-0.00222070999999948,0.520185855,-0.000488550000001526,-0.0108421250000009,0.186448875,-0.00574307500000054,-0.0128936650000003,-0.0100619350000014,-0.00203441999999949,-0.00198748499999978,0.0017828649999992,-0.0036560949999999,-0.00155767000000068,-0.00232930499999927,0.00350347999999816,0.000815614999999056,-0.00313093000000041,-0.00781407500000005,0.00156018499999892,-0.00539766999999983,0.000198065000000012,0.0100231799999996,-0.00129791000000128,-0.0118219750000007,-0.0044650250000006,-0.00617359500000095,0.00833808999999996
"3",-0.0098964899999984,-0.000488550000001525,0.494342789999999,-0.00797435500000077,-0.00185104500000101,-0.0124176550000001,-0.00300552999999894,-0.00430056999999982,-0.00892742499999936,-0.00811416500000008,0.00285953499999902,-0.0105750050000006,-0.000498420000000429,-0.00595281500000135,0.0907819049999999,-0.0112499299999997,-0.00137304000000001,-0.00103505499999895,-0.00631241500000095,-0.0114570499999996,-0.0102755749999995,-0.00365281500000056,-0.001746844999998,-0.00733290499999982,-0.0135936499999984,0.00283465500000054,-0.00661468999999979
"4",-0.00848235000000028,-0.0108421250000009,-0.00797435500000077,0.506012315,-0.00649106000000131,-0.00225917999999986,-0.00776972499999948,0.000973909999999122,0.00307589500000084,0.156563574999999,-0.000975280000000621,-0.00929069000000054,-0.00430215,0.0057448499999995,-0.00985320000000016,-0.0116962100000003,-0.00450783000000067,-0.00782685000000105,-0.00427825500000067,0.0894527499999999,-0.00522354499999904,-0.00466294000000066,-0.00403394499999986,-0.00321781999999944,-0.00549927499999998,0.0100146400000005,-0.00660912500000002
"5",-0.00718288500000066,0.186448875,-0.00185104500000102,-0.00649106000000131,0.493719840000001,-0.00777977999999877,-0.0107482250000007,-0.00169968000000066,-0.00506740999999948,-0.00803726500000116,-0.00777320000000043,-0.00568769000000106,0.00477692000000033,-0.00660911500000054,0.00412951999999924,0.14086709,-0.00273324000000105,-0.0111016050000007,0.120869870000001,-0.00238643000000161,-0.00511157499999895,0.151278585000001,-0.00713724000000072,-0.0137897900000002,-0.00419878500000102,-0.0127640000000007,-0.00541657500000016
"6",0.0132329749999998,-0.00574307500000055,-0.0124176550000001,-0.00225917999999987,-0.00777977999999877,0.493360044999999,-0.0052006999999994,0.11096443,-0.00612411499999967,-0.000202124999999668,0.000599310000000527,-0.00841409999999971,-0.00365372500000049,0.111129865,0.119601325000001,-0.007480555,-0.00475906499999999,0.00602362499999957,-0.0060394099999995,0.000608329999998911,-0.00187367999999963,-0.00674370999999995,0.00475836499999962,-0.00654456500000049,-0.000970845000000113,-0.00908514499999973,0.0917400450000004
"7",0.00156512500000111,-0.0128936650000003,-0.00300552999999894,-0.00776972499999947,-0.0107482250000007,-0.00520069999999941,0.500153820000002,-0.0117585999999996,0.169766739999999,-0.00115821500000023,-0.0015413950000005,-0.0114439949999991,0.012100935,-0.00293467000000131,-0.00326835499999967,0.00220698000000156,-0.00412779000000111,-0.0042172299999994,-0.0057879849999998,-0.00090844500000084,0.00504171000000002,-0.00317812499999931,0.13271553,-0.0112395449999988,-0.00209913500000044,-0.00890757999999901,-0.00359262499999985
"8",-0.00293850500000046,-0.0100619350000014,-0.00430056999999983,0.000973909999999126,-0.00169968000000065,0.11096443,-0.0117585999999996,0.497513585000002,0.00271258999999982,-0.00441576999999905,0.00950992999999982,-0.00569012499999937,-0.00110393500000097,0.0668320400000007,-0.01199574,-0.00497398000000139,-0.0145837749999995,-0.00149614500000138,-0.00458237500000084,0.0019480299999999,-0.00210032500000067,-0.00251664000000138,0.00421022500000097,-0.00743562500000029,-0.00373226499999952,0.00156741499999918,-0.00291590500000005
"9",0.00382215000000022,-0.00203441999999949,-0.00892742499999936,0.00307589500000084,-0.00506740999999949,-0.00612411499999967,0.169766739999999,0.00271258999999982,0.503791245,0.000512745000000666,0.00663534000000023,-0.0015609099999991,-0.00824703000000016,0.00211279999999948,-0.00866672999999872,0.0166035800000009,-0.00116990500000013,-0.00682500499999938,-0.00471407999999999,-0.000574004999999733,-0.00923992500000088,-0.00339983999999941,0.0881685749999998,-0.00868193999999943,-0.00625411499999909,-0.00162686499999976,-0.0106812199999995
"10",-0.00646088500000178,-0.00198748499999978,-0.00811416500000008,0.156563574999999,-0.00803726500000117,-0.00020212499999967,-0.00115821500000022,-0.00441576999999905,0.000512745000000666,0.494958669999997,0.13383244,-0.00543850000000157,-0.00972861499999889,0.00335705499999975,-0.013813225,-0.0116774850000011,-0.00896537999999918,-0.00264549999999977,-0.00509869500000047,0.162961520000001,0.00845539500000037,-0.00244402000000198,-0.0067280399999998,-0.00480982999999981,-0.00429066000000092,-0.00960701499999877,0.00794605000000008
