"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.493343559999998,-0.00957857500000092,-0.0116224950000008,-0.00202370000000093,-0.0025432399999998,-0.00318226999999837,0.000499339999999175,0.00166213999999946,-0.00922178000000067,0.000945730000001045,-0.00459347999999996,0.215871939999999,-0.00683667000000083,-0.00411068000000055,0.112680664999999
"2",-0.00957857500000092,0.498129314999995,-0.0038103750000001,0.00769131000000019,-0.00144117999999857,-0.00516379500000062,-0.00486695999999843,0.00499836999999951,-0.0017395649999996,-0.00610709500000063,3.22999999862288e-06,-0.0045039200000003,-0.00453899999999998,-0.00657883999999802,-0.00834707000000046
"3",-0.0116224950000008,-0.0038103750000001,0.488643315000001,0.00232576499999938,-0.00337322,0.00192889499999993,-0.00544535500000099,-0.00467169000000129,-0.00566680499999858,-0.00460181500000162,-0.0067379200000005,-0.00933519500000075,-0.00251502000000105,-0.00278136500000022,-0.0166662100000004
"4",-0.00202370000000093,0.0076913100000002,0.00232576499999937,0.491010699999998,0.116872835,-0.00432245500000037,0.00578150000000049,-0.00695998500000013,-0.0101184150000004,-0.00596392000000066,-0.00678292499999967,-0.00556972000000002,0.147537555000001,-0.00259335999999939,-0.0104156649999997
"5",-0.0025432399999998,-0.00144117999999857,-0.00337322,0.116872835,0.491964925,-0.00991030000000102,0.0941855550000015,-0.00951037000000073,-0.00169940499999975,-0.00364018999999968,-0.00719811500000051,-0.00466953999999997,-0.00971141499999968,0.132572585000001,-0.00643007500000077
"6",-0.00318226999999837,-0.00516379500000061,0.00192889499999994,-0.00432245500000036,-0.00991030000000102,0.502670055000001,-0.00537924500000053,-0.00843207999999834,0.000929064999998283,0.190748940000001,-0.0132704799999987,-0.00208081500000047,-0.0057134499999983,-0.000437649999999195,0.00517473500000172
"7",0.000499339999999181,-0.00486695999999844,-0.00544535500000099,0.00578150000000049,0.0941855550000015,-0.00537924500000053,0.49788561,-0.0138874550000002,-0.00612818999999905,-0.00538289999999997,0.000393469999999499,0.00664061499999931,-0.00789207000000181,0.179064935000002,-0.00331332500000121
"8",0.00166213999999946,0.00499836999999951,-0.00467169000000129,-0.00695998500000012,-0.00951037000000073,-0.00843207999999834,-0.0138874550000002,0.493928995,-0.0117333550000009,-0.00478893000000002,-0.000399079999999984,-0.000255410000000626,0.153685280000001,-0.0152520349999997,-0.00710464499999959
"9",-0.00922178000000066,-0.00173956499999961,-0.00566680499999858,-0.0101184150000004,-0.00169940499999974,0.00092906499999828,-0.00612818999999906,-0.0117333550000009,0.496575524999995,-0.00426273500000002,-0.00613444500000029,-0.0119092199999995,-0.0112546499999994,-0.00973745999999953,0.00599483500000074
"10",0.000945730000001047,-0.00610709500000064,-0.00460181500000162,-0.00596392000000066,-0.00364018999999969,0.190748940000001,-0.00538289999999998,-0.00478893000000002,-0.00426273500000002,0.49856857,0.10833586,-0.00112737500000022,-0.00742233999999966,-0.000252410000000733,-0.00328012000000008
"11",-0.00459347999999996,3.22999999861914e-06,-0.00673792000000049,-0.00678292499999967,-0.00719811500000052,-0.0132704799999987,0.000393469999999493,-0.000399079999999995,-0.00613444500000028,0.10833586,0.477831575000001,-0.00715266000000064,-0.0118057749999982,0.00148961499999966,-0.0093962950000007
"12",0.215871939999999,-0.00450392000000029,-0.00933519500000074,-0.00556972000000002,-0.00466953999999997,-0.00208081500000047,0.00664061499999931,-0.000255410000000629,-0.0119092199999994,-0.00112737500000022,-0.00715266000000064,0.49411011,-0.00206071000000029,0.000308999999999896,-0.00634757000000219
"13",-0.00683667000000083,-0.00453899999999999,-0.00251502000000106,0.147537555000001,-0.00971141499999967,-0.00571344999999831,-0.0078920700000018,0.153685280000001,-0.0112546499999994,-0.00742233999999966,-0.0118057749999982,-0.00206071000000029,0.493158915,-0.00445061000000123,-0.00947215000000224
"14",-0.00411068000000056,-0.00657883999999802,-0.00278136500000022,-0.00259335999999938,0.132572585000001,-0.000437649999999193,0.179064935000002,-0.0152520349999997,-0.00973745999999952,-0.000252410000000728,0.00148961499999965,0.000308999999999895,-0.00445061000000123,0.500110250000001,-0.00942854499999894
"15",0.112680664999999,-0.00834707000000046,-0.0166662100000004,-0.0104156649999997,-0.00643007500000077,0.00517473500000173,-0.00331332500000119,-0.00710464499999961,0.00599483500000074,-0.00328012000000007,-0.00939629500000069,-0.00634757000000219,-0.00947215000000225,-0.00942854499999894,0.49132558
