"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.488524870000002,-0.0126798550000002,0.172418115000001,-0.00687867500000001,-6.7270000000756e-05,-0.00722847500000004,-0.00252424000000095,-0.0025844649999998,-0.00924875000000075,-0.0109485950000007,-0.000191785000001267,0.00150347499999915,-0.000363805000000382,-0.0108182549999996,-0.00305268500000112,0.00734007000000196,0.00675471500000018,-0.00327155999999833,-0.0033774200000007
"2",-0.0126798550000002,0.50596291,0.126308905,0.111889465000001,-0.00378815499999982,-0.00399262500000012,-0.000817849999999727,-0.00741277999999995,0.18965504,-0.00131605500000012,-0.00785957999999981,-0.00742036499999967,-0.00945565999999986,0.00537817000000051,0.13672737,-0.0121720249999993,-0.00960970000000057,-0.0169950949999997,-0.0107117950000002
"3",0.172418115000001,0.126308905,0.495022089999998,-0.0134035950000017,-0.00720398500000061,-0.00189196000000052,-0.00264696999999961,-0.00350220000000161,0.181392485000001,-0.00560425999999908,0.000285099999999427,-0.00669925500000052,-0.00420020999999991,-0.00501443999999992,-0.00717223500000014,-0.00913975500000125,0.00190702499999952,-0.00499628500000114,0.00317728000000024
"4",-0.00687867500000001,0.111889465000001,-0.0134035950000017,0.491645325,0.0125963900000001,-0.00515263499999934,0.00176068499999987,-0.00249073499999932,-0.00445524499999994,-0.00569085500000057,-0.00625587499999917,-0.00771393000000017,-0.00738511000000005,0.00243118000000112,0.115074480000001,-0.00214271500000018,0.00392920000000122,-0.0137270450000001,-0.00598000499999964
"5",-6.72700000007509e-05,-0.00378815499999983,-0.0072039850000006,0.0125963900000001,0.50281227,0.00295282499999951,0.00154009499999988,-0.00245429499999997,-0.00827548000000037,-0.0085051399999998,-0.00114694000000077,-0.0130464500000001,0.00332396999999936,-0.00704854500000115,-0.00998746500000006,-0.00449810500000053,-0.00489600499999954,-0.00194730999999898,-0.00752623000000041
"6",-0.00722847500000004,-0.00399262500000013,-0.00189196000000051,-0.00515263499999934,0.00295282499999951,0.497741775000001,-0.00852762999999936,-0.00894440499999901,0.0025130849999996,-0.0102879299999999,0.0124726400000001,0.0018963349999999,-0.0103996449999998,-0.00382646500000015,0.000762380000000439,-0.0127576250000004,-0.00350499500000085,-0.00575267500000051,-0.00250983000000004
"7",-0.00252424000000096,-0.000817849999999734,-0.00264696999999961,0.00176068499999987,0.00154009499999989,-0.00852762999999937,0.516990140000001,0.0173018950000009,-0.00749430499999964,-0.00609136499999963,-0.00111060000000005,-0.00030656999999903,0.163652904999999,-0.00999167999999961,0.14108425,0.060753615,0.0896374199999995,-0.0111615950000004,-0.0115854400000004
"8",-0.0025844649999998,-0.00741277999999994,-0.00350220000000161,-0.00249073499999933,-0.00245429499999997,-0.00894440499999901,0.0173018950000009,0.493297465000002,-0.000699620000000764,1.0879999998757e-05,-0.0100667400000001,-0.00624796499999921,-0.00257772500000057,-0.0058787099999995,-0.0084375999999997,0.0245923350000005,-0.00299580500000073,-0.00137856999999917,0.0614015049999998
"9",-0.00924875000000075,0.18965504,0.181392485000001,-0.00445524499999993,-0.00827548000000039,0.0025130849999996,-0.00749430499999963,-0.000699620000000759,0.497902585,-0.00181297999999959,0.0955788000000003,-0.0138308799999992,-0.0161014399999996,0.00584359500000105,-0.00703704499999922,-0.0103966050000001,-0.0122749950000007,-0.0114886250000002,-0.00622269000000073
"10",-0.0109485950000007,-0.00131605500000012,-0.00560425999999908,-0.00569085500000057,-0.0085051399999998,-0.0102879299999999,-0.00609136499999963,1.08799999987347e-05,-0.00181297999999959,0.495132935000001,0.00175335999999983,0.00240325000000061,-0.00539813500000008,0.0593387800000009,0.00244696999999969,-0.000267565000000468,-0.00354204999999998,-0.00524136000000047,0.0110811499999994
"11",-0.000191785000001258,-0.00785957999999981,0.000285099999999437,-0.00625587499999917,-0.00114694000000077,0.0124726400000001,-0.00111060000000004,-0.0100667400000001,0.0955788000000003,0.00175335999999983,0.489217185000001,0.00368272000000066,0.0165151599999994,0.00681942500000044,-0.000858295000000021,-0.0104341600000004,-0.00538669000000022,-0.00653298499999938,0.0019900299999987
"12",0.00150347499999915,-0.00742036499999968,-0.00669925500000052,-0.00771393000000017,-0.0130464500000001,0.0018963349999999,-0.000306569999999028,-0.00624796499999922,-0.0138308799999992,0.00240325000000061,0.00368272000000066,0.50060319,0.00556456499999919,-0.00729195000000063,-0.00527216000000054,-0.00434124999999978,-0.0053234000000004,0.12053519,0.00198867000000061
"13",-0.00036380500000039,-0.00945565999999986,-0.00420020999999991,-0.00738511000000006,0.00332396999999937,-0.0103996449999998,0.163652905,-0.00257772500000057,-0.0161014399999996,-0.00539813500000008,0.0165151599999994,0.00556456499999919,0.495726619999999,-0.0037092150000004,-0.00220284000000001,0.0520320799999997,0.119931195,-0.00518622999999961,-0.00386919000000032
"14",-0.0108182549999996,0.00537817000000051,-0.00501443999999992,0.00243118000000112,-0.00704854500000114,-0.00382646500000014,-0.00999167999999961,-0.0058787099999995,0.00584359500000105,0.0593387800000009,0.00681942500000043,-0.00729195000000064,-0.00370921500000041,0.500978220000002,0.00640071000000053,-0.00820778499999921,-0.00206685999999962,-0.00707515499999987,0.00286909999999935
"15",-0.00305268500000111,0.13672737,-0.00717223500000013,0.115074480000001,-0.00998746500000005,0.000762380000000438,0.14108425,-0.0084375999999997,-0.00703704499999921,0.0024469699999997,-0.000858295000000028,-0.00527216000000055,-0.00220284000000001,0.00640071000000054,0.491106154999999,-0.00696821500000007,-0.0055439350000002,-0.00850692499999962,-0.01279136
