"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",0.495547909999996,-0.00306626999999888,0.00250363500000024,-0.0117641550000007,0.00229429500000002,-0.00878978999999997,-0.00812056000000049,-0.00753583999999816,-0.000143744999999362,-0.00834458499999883,-0.0012339099999996,-0.00568576500000043,-0.000233144999999424,0.00189805500000057,0.00198739999999937,0.0067046800000003,-0.00377793500000005,0.00553689500000068,0.11003648,-0.00638651999999859,3.58699999993636e-05,0.00874408500000008,-0.00376422999999925,-0.000828185000000613,-0.00694005999999968,-0.0020214399999995,-0.00519657000000025,0.000244280000000081,-0.00686049999999854,0.00800170499999971,0.000173619999999002,-0.00609236999999889,-0.0157704900000012,0.111358290000002,-0.00855287000000077,-0.0116043350000001,-0.014838155,-0.0105910000000004,0.0107804049999994,-0.000692340000001437,-0.00826285499999927,0.00653066500000047,-0.00651214000000133,-0.00250044500000051,-0.00354447500000065
"2",-0.00306626999999888,0.497279220000001,5.36649999997318e-05,-0.00175947999999915,0.00131471999999938,-0.00559308000000031,-0.00423601000000006,-0.00280071500000018,-0.00226633500000052,0.148810205,0.164919365,0.00192078999999954,-0.00450776499999946,0.000315089999999893,-0.00711800499999932,-0.00932185999999957,-0.0123963199999996,-0.00810902499999981,-0.00444671499999899,-0.00700521000000115,-0.0109132799999993,0.00918402000000027,-0.00127101499999951,0.00155853999999985,0.0750391649999994,-0.00349052499999983,-0.00858903999999978,-0.00872513500000032,-0.00205630000000046,0.00481318499999983,-0.0109045199999992,-0.00630434000000098,-0.0087474950000005,0.00524238999999968,-0.00399129500000046,-0.00249683000000001,-0.0079244050000006,-0.00523020500000089,-0.00349676000000036,0.0557452250000007,-0.00441230000000076,0.00365680999999981,-0.00499193499999878,0.00295625000000005,-0.00344859499999995
"3",0.00250363500000025,5.36649999997275e-05,0.493725050000002,-0.00243739999999972,-0.00206391000000035,0.00299804500000067,-0.00183357999999938,-0.00273026999999868,0.00457151999999956,0.00440273999999961,-0.00799289000000064,-0.00376718000000033,0.00463049999999987,-0.00485057499999922,0.0184354400000003,0.000789285000002096,-0.00940562000000047,-0.000158925000000182,-0.00399822000000017,-0.0067316950000001,-0.00327262000000001,-0.00422426999999862,0.0023068400000004,-8.84550000000645e-05,0.0141636249999983,0.00163400999999876,-0.0119040799999987,-0.00104041500000031,9.37199999997574e-05,-0.00206016000000029,-0.00326891500000028,0.00314826499999996,0.00181001999999953,-0.00940904500000044,0.00639059499999975,0.00489410999999942,0.0138953049999998,-3.92000000050563e-06,-0.0102552550000011,-0.00383666999999911,-0.00998251500000088,-0.0111991250000002,-0.0101855000000005,-0.0183190500000009,-0.00788864500000008
"4",-0.0117641550000007,-0.00175947999999916,-0.0024373999999997,0.495879515,-0.00878726500000083,0.0190555900000004,-0.0184151250000023,0.00737099500000165,0.0281405000000007,-0.000661995000000619,-0.00245699499999984,-0.0107869749999999,-0.0113236150000008,0.0161603699999999,-0.00886490000000051,-0.00294849999999819,-0.00576982499999998,-0.0153390149999992,-0.00849357499999983,-0.00418343000000033,-0.0135535600000009,-0.00517350499999951,0.00108328999999935,-0.00549834000000054,-0.00417176500000195,0.00610348999999985,0.00626524500000173,-0.0132233250000004,0.000258775000000646,-0.0140716349999996,-0.0157177649999997,0.00567531500000034,0.0138388350000004,-0.013355545,-0.00496294499999971,0.0950530400000003,0.175371204999998,-0.00656870499999965,-0.00651971000000027,-0.0135161299999998,-0.00772350999999962,0.00304659499999822,0.0746989399999989,0.00147200500000028,-0.00657233499999914
"5",0.00229429500000002,0.00131471999999939,-0.00206391000000034,-0.00878726500000082,0.493734535000001,-0.0122859549999991,-0.0113172149999989,-0.00594250000000022,-0.0119854899999995,-0.00439676999999962,-0.0014660600000004,-0.00430919499999919,-0.00488007499999943,-0.00546382000000039,-0.00988839500000007,0.000931785000000363,0.000835725000000371,-0.00359941999999936,0.00130075500000031,0.09691137,-0.0188266899999999,0.000431804999999839,0.193377135000001,-0.00417748500000068,-0.00121713000000009,-0.00405956,-0.0036868799999996,-0.00127030500000019,0.155189795000001,-0.00937560999999914,-0.0171349700000008,-0.00511748500000017,-0.00501471500000025,-0.00566329999999974,-0.000462439999998902,-0.00492861999999976,-0.00854112499999958,0.0886934950000005,-0.0047742149999991,-0.00558179500000087,-0.0057931299999993,0.008343770000001,-0.00124798999999978,-0.00941146499999927,-0.0109632450000009
"6",-0.00878978999999998,-0.00559308000000032,0.00299804500000066,0.0190555900000004,-0.0122859549999991,0.493853855,-0.00999365499999999,0.115734985,0.10991819,-0.00623142999999958,-0.0116138350000002,-0.0062006499999996,-0.00026589000000015,-0.00633869000000017,0.00654165500000051,-0.000824129999999207,-0.0092681299999998,-0.000407119999999636,0.00161595500000039,0.00211823500000036,-0.00470244499999985,-0.00240774499999919,-0.00358710499999947,0.1563174,0.00982121499999952,-0.00265253999999928,-0.0104614199999998,-0.00405927000000032,-0.00811220499999959,-0.00340678499999864,-0.0151440050000012,0.00382225999999976,0.127251985,-0.00236506000000008,-0.00539370500000019,0.0619950549999994,0.000841804999999679,-0.00576263000000059,-0.00965285999999969,0.00686461499999888,-0.00677577000000008,-0.0115444599999996,0.0528817850000004,0.00696296000000008,-0.00511647499999927
"7",-0.00812056000000048,-0.00423601000000006,-0.00183357999999938,-0.0184151250000023,-0.0113172149999989,-0.00999365499999999,0.501225260000002,-0.00265391000000058,-7.66399999998569e-05,-0.00696526499999979,0.00314650500000094,0.00516082000000048,-0.0127459499999998,-0.00854542499999925,0.000108945000000087,0.00487813500000176,-0.004198839999999,-0.0047590100000009,-0.00878261000000019,-0.00898355500000105,0.0929826499999998,0.0175027199999997,-0.0048149399999998,0.00330636000000028,-0.00969306999999973,-0.0153501849999995,0.0041172099999994,0.0183906250000004,-0.0124566149999996,0.00503305000000035,-0.0023469849999999,0.0050351399999988,-0.00735466500000059,-0.00438862499999977,-0.00328970999999977,-0.00432799500000037,-0.0063934900000008,-0.00237995500000018,-0.00282031999999934,-0.00588098499999974,0.000386045000000486,0.00240470499999975,-0.00546563999999976,-0.00619035500000031,-0.0016999599999996
"8",-0.00753583999999816,-0.00280071500000018,-0.00273026999999868,0.00737099500000165,-0.00594250000000022,0.115734985,-0.00265391000000058,0.503968639999999,0.10841861,-0.00205519999999987,-0.00932234500000087,-0.01677133,-0.00816173500000018,-0.00339566500000086,0.0139541850000015,-0.00223755500000029,-0.000202914999999764,-0.00821045000000102,0.00256311500000015,-0.00913140000000127,-0.00019887500000006,0.0102799800000012,-0.0037563499999989,-0.010125505,-7.04750000024206e-05,0.0181991000000009,-0.00516737000000102,-0.00796855000000066,-0.00661733000000032,0.00925965000000047,-0.0146451199999998,-0.0111095750000002,0.151556930000001,0.00804667499999852,-0.00425678499999988,0.0522260250000003,0.000435489999998745,0.00399655999999951,-0.00116579999999964,-0.00528969999999865,-0.0107343900000007,-0.00615750500000125,0.0360052350000017,-0.00523124999999954,-0.0100988599999986
"9",-0.000143744999999361,-0.00226633500000051,0.00457151999999956,0.0281405000000007,-0.0119854899999995,0.10991819,-7.66399999998583e-05,0.10841861,0.515619604999999,-0.00459182500000006,-0.00304143500000057,-0.00479142999999923,-0.00684965499999996,-0.00912928000000047,0.00352530000000017,-0.0101994900000007,-0.0133259100000006,-0.0113982150000005,-0.010187315,-0.00745938500000021,0.145437835000001,0.000260009999999905,-0.00237388499999914,-0.00794468000000054,0.000783204999999948,-0.0070900800000005,-0.00208393500000059,-0.006210940000001,-0.0130212650000005,-0.0118402899999989,-0.0154796199999996,-0.00230518000000019,0.190633215000001,-0.00313269500000067,-0.000792884999999837,0.132907924999999,-0.000430949999998026,0.00120637999999909,0.000114495000000936,0.00195462499999939,-0.0107580699999995,-0.0110499749999991,0.110512695000001,0.00336426000000002,-0.000755475000000283
"10",-0.00834458499999884,0.148810205,0.00440273999999962,-0.000661995000000624,-0.00439676999999963,-0.00623142999999958,-0.00696526499999978,-0.00205519999999987,-0.00459182500000005,0.490279695000001,0.156521309999999,0.000874410000000168,-0.00156049499999907,0.000513920000000006,0.000743299999999943,-0.0114958099999997,-0.0136979149999998,-0.00929453000000052,-0.00841116999999977,-0.00300228000000098,-0.012474754999999,-0.000147755000000003,0.00614604500000024,-0.00619035500000022,0.0052419250000001,0.00477190000000024,-0.0090749300000004,-0.00135799500000088,0.136315705,0.00624078500000052,-0.00299325000000003,0.00213678999999932,-0.00465460499999977,-0.00283948500000015,0.00134035000000054,-0.00524005500000034,0.00290890499999954,-0.00616300500000067,-0.00319938499999956,-0.00685647999999991,-0.00090488500000049,-0.00283711500000009,0.00229027000000075,-0.00654005999999972,-0.00198190999999968
