"","Np2_500950","Np2_501936","Np2_503591","Np2_502373","Np2_502773","Np2_504993","Np2_500061","Np2_504762","Np2_502343","Np2_500460","Np2_500315","Np2_501214","Np2_501998","Np2_504793","Np2_503037","Np2_504956","Np2_500211","Np2_501886","Np2_501958","Np2_504312","Np2_501896","Np2_500280","Np2_502259","Np2_501105","Np2_504600","Np2_504489","Np2_503239","Np2_503171","Np2_503436","Np2_502194","Np2_502457","Np2_502609","Np2_500755","Np2_502286","Np2_500945","Np2_501358","Np2_504683","Np2_501471","Np2_502811","Np2_500747","Np2_500385","Np2_504424","Np2_504045","Np2_503924","Np2_503273","Np2_503577","Np2_501192","Np2_504591","Np2_502494","Np2_501171","Np2_501748","Np2_504445","Np2_500560","Np2_501206","Np2_504277","Np2_501954","Np2_504044","Np2_502550","Np2_503828","Np2_503476","Np2_503913","Np2_502086","Np2_501594","Np2_503559","Np2_502191","Np2_500137","Np2_500273","Np2_504121","Np2_504540","Np2_503947","Np2_503353","Np2_502571","Np2_501515","Np2_503464","Np2_500784","Np2_504720","Np2_503475","Np2_502729","Np2_501414","Np2_504780","Np2_500220","Np2_502171","Np2_500366","Np2_502686","Np2_504061","Np2_500028","Np2_500655","Np2_502897","Np2_501994","Np2_503212","Np2_503270","Np2_503978","Np2_504472","Np2_503645","Np2_503855","Np2_504112","Np2_502498","Np2_503678","Np2_504255","Np2_504617"
"Np2_500950",1.00594458,-0.01361504,-0.03658917,-0.00495865,0.00678256,-0.02404443,-0.01163662,-0.01034912,-0.01375809,0.01672794,-0.01494059,-0.001816,-0.00098963,-0.01902986,0.00265829,-0.00729168,-0.02938156,-0.02195641,-0.00888812,0.01330072,-0.00018608,0.01107118,0.00489544,0.00599575,-0.02632418,0.00374034,-0.03505968,-0.00812414,-0.01216927,0.00673994,-0.01375049,-0.00485822,0.00246045,-0.01554173,-0.02208884,0.00415124,-0.02273864,0.00202215,0.0051846,-0.02330324,-0.01576544,-0.01543975,0.00247871,-0.02821733,-0.03333544,-0.01449469,0.0045728,-0.01352829,-0.01156967,-0.00453558,-0.02505796,-0.01385092,-0.01198056,0.00092945,-0.02514015,7.568e-05,-0.02173118,0.00715085,-0.0156665,0.00242697,-0.00775583,-0.0011966,0.00885381,-0.01948943,0.01509193,-0.03234165,-0.01392704,0.00567615,-0.00359049,-0.01332437,-0.02314953,-0.00816523,-0.00489321,-0.01526627,-0.01519483,-0.00340788,-0.02536689,-0.01344458,-0.01784433,0.00596988,-0.0291762,-0.01619005,-0.01515669,-0.02037667,0.00999067,-0.01000973,0.00891773,-0.00477452,-0.0303099,-0.00854114,-0.02536995,-0.01231385,-0.01179795,-0.00928227,-0.0038203,-0.02312216,-0.00883789,-0.00185557,-0.01703013,-0.029931
"Np2_501936",-0.01361504,0.99075727,0.00383317,-0.03652062,-0.00392987,-0.01284193,-0.00682598,0.00922363,0.00048811,0.01697295,-0.0038903,-0.02257275,-0.0196158,-0.01969793,-0.01155441,-0.02880933,-0.02289686,-0.01531953,-0.02310084,0.01430665,-0.01394223,-0.01425118,-0.03138434,0.00441452,-0.00477299,-0.01853827,-0.02172657,-0.01381439,-0.01770734,-0.01584303,-0.01533169,-0.00643944,-0.02773185,-0.01042672,-0.00753823,-0.02071454,-0.02264579,-0.01492992,-0.04022643,-0.00890484,-0.01384634,-0.00849851,-0.00032001,0.00992214,-0.0317207,-0.00587938,-0.00461775,-0.0070436,0.00906841,0.00834093,0.00212411,-0.02075865,-0.01051803,-0.02652346,-0.00861113,0.03197553,0.01808241,-0.01649745,-0.00309437,-0.02685221,-0.00598894,-0.01571368,-0.00535891,-0.02380999,-0.01601347,0.00290635,-0.02159571,-0.0035144,-0.01384635,0.00320464,0.00159754,-0.00396335,0.00767892,-0.01167314,-0.00581854,-0.02264272,-0.01325129,-0.01015581,-0.02368675,-0.01372156,-0.02040868,-0.01290127,-0.00456296,-4.303e-05,-0.0224845,0.00682363,0.00748869,0.00186235,-0.01058498,-0.00433926,-0.01751557,-0.00293761,-0.00759606,-0.00218885,-0.01498927,-0.00278847,-0.00798412,-0.01500299,-0.00887138,-0.01842413
"Np2_503591",-0.03658917,0.00383317,0.99868426,0.06423301,0.00353337,-0.00309589,-0.00575459,-0.01999015,-0.01228949,-0.0052402,-0.01392855,-0.01967512,-0.01900097,-5.976e-05,-0.01428769,-0.02956419,-0.0260867,-0.01166096,0.00064638,0.0091384,-0.02291516,-9.173e-05,-0.02894329,-0.00699339,0.00451649,-0.00848786,-0.02872108,-0.01350394,-0.01739689,-0.01583695,-0.01106438,-0.01023803,0.00499435,0.01971235,-0.01544587,-0.0179691,-0.02187878,-0.01964163,-0.01328329,-0.0187909,-0.01140528,0.00535656,-0.01020604,-0.01776971,0.00770176,-0.01728732,-0.01709097,-0.02636523,-0.02653725,0.00560767,-0.00060916,-0.02866628,0.00668515,-0.00247192,0.01574483,-0.01473971,-0.02695878,-0.00629486,-0.00217516,-0.01117091,-0.01054845,-0.00490235,-0.02026713,-0.00843307,-0.01007211,-0.00895813,-0.02082869,-0.00837829,-0.02845019,-0.02053041,-0.01194098,0.00273895,-0.01362113,-0.01699358,-0.01007371,0.006431,-0.01826737,-0.02369434,-0.0095273,-0.02178137,0.00942605,-0.01943921,0.01522739,-0.00292848,-0.00025913,-0.00169273,-0.01974664,-0.01578523,-0.01925353,-0.00737691,-0.01979229,-0.00688839,-0.02083024,-0.01709705,-0.02107065,0.00665319,-0.00630398,-0.00632226,0.00163559,-0.01841805
"Np2_502373",-0.00495865,-0.03652062,0.06423301,0.98539347,-0.00212189,-0.01590393,-0.00577894,-0.01560107,-0.00303045,0.00021417,0.00476607,-0.00752452,-0.01674249,-0.01210686,-0.0112683,-0.01132613,-0.01515361,-0.00985906,0.0032092,0.00135253,-0.00208993,-0.00133357,-0.03170696,-0.01630112,0.00875337,-0.01140376,-0.02007078,-0.00667988,-0.02426961,-0.02468811,-0.01215403,-0.01300172,-0.01648829,-0.0102928,-0.01014367,-0.0138844,-0.01429378,-0.00718666,0.20964599,-0.00466189,-0.01112525,0.00365815,-0.01631784,-0.02144652,-0.00130161,-0.01852914,-0.02061559,-0.02912891,-0.0090601,-0.02744118,-0.02574429,-0.02960372,-0.02499401,-0.01238838,-0.00421598,-0.01719902,0.00817201,-0.02184224,-0.02350561,-0.01956551,0.01788604,-0.01329694,-0.01192119,-0.01408831,-0.02379322,-0.02389676,-0.014309,-0.00611983,-0.00534216,0.00105576,-0.02992333,0.00332334,-0.02049386,-0.00940859,-0.02227305,-0.03011811,-0.03472785,-0.01002189,-0.03116215,-0.01678355,-0.01829631,-0.01535452,-0.01188619,-0.01908458,-0.02098089,-0.01693573,-0.01322695,-0.0212883,0.01115941,-0.01333653,-0.01692508,-0.00858678,-0.01263648,0.03720916,-0.01500752,-0.01726445,-0.03098254,-0.01867373,-0.00173686,-0.0137246
"Np2_502773",0.00678256,-0.00392987,0.00353337,-0.00212189,0.99518044,-0.01207644,-0.00469081,-0.01086047,-0.01061695,-0.0189385,0.00433235,-0.00354484,0.00626056,-0.01391028,-0.01307172,-0.02180419,-0.01634828,-0.01044499,-0.01198664,-0.03043167,0.01102095,-0.01607286,-0.02285733,-0.02327889,-0.02394396,-0.00727189,-0.02248295,-0.0118314,-0.01663747,-0.01994751,0.0014134,-0.01556607,-0.00779084,-0.01163966,-0.0222958,0.00896643,-0.00453101,-0.0190344,-0.00658858,-0.03538075,-0.02342954,-0.0068199,0.00957669,-0.01503187,-0.00538783,-0.02839846,-0.00400444,-0.00597374,-0.00751541,-0.00048132,-0.03028707,0.00070421,-0.02664526,-0.02104019,-0.02382524,-0.01169749,0.01260826,-0.01542758,-0.00598134,0.03007014,-0.00872374,-0.03123214,0.00195062,-0.02060951,0.0813904,-0.0060681,-0.01793867,-0.01401071,-0.03438699,-0.00546544,-0.0244218,-0.01659029,-0.02260166,-0.01471231,-0.01798898,-0.00681076,-0.02268231,-0.00452036,-0.00268042,-0.01326043,-0.0112729,-0.00711362,-0.01384179,-0.01008276,-0.00863093,0.00074073,-0.02035691,0.03245648,-0.00768887,-0.01087872,-0.02922938,-0.01130332,-0.0121571,0.01196905,-0.03735614,-0.00537108,-0.01041455,-0.01210688,-0.01099743,0.00227782
"Np2_504993",-0.02404443,-0.01284193,-0.00309589,-0.01590393,-0.01207644,1.00627335,-0.00492822,-0.01125007,-0.00035348,-0.0161322,0.01185647,-0.00256476,0.00024005,-0.0244964,-0.01848349,-0.00240953,-0.0246516,-0.01098678,-0.02028997,-0.01058044,-0.01782757,-0.03913831,-0.01137638,-0.02092914,-0.00348397,0.00238284,-0.00643639,-0.02059128,0.00032222,-0.01638027,0.00132817,-0.01047696,0.00810353,-0.02922637,0.01186104,-0.00998996,-0.03018362,-0.02368525,0.00123991,-0.01005082,-0.01255733,-0.00888355,0.00036027,-0.00918183,-0.02525735,0.00636709,-0.0013503,0.00368099,-0.01627529,-0.01213274,-0.00160903,0.00457584,-0.01790367,-0.00149336,-0.01021367,-0.00828242,-0.024154,-0.01901311,-0.0148934,-0.0153667,-0.00911334,-0.0221862,0.00049572,-0.00334547,-0.02172504,0.00571725,-0.00889269,-0.01029128,-0.00555675,-0.0120947,-0.02709422,-0.01728427,-0.00107637,-0.02895092,-0.00239889,-0.01922311,0.00843074,-0.00506214,0.0036262,-0.00619289,-0.01577155,-0.01161226,-0.01666639,0.00246349,0.00787222,0.00582986,-0.00781064,-0.01922011,-0.00762192,-0.02481296,-0.01424813,-0.00575765,0.0037373,-0.02114065,-0.02344021,-0.00926098,0.00304485,0.00576596,-0.02995386,-0.02048324
"Np2_500061",-0.01163662,-0.00682598,-0.00575459,-0.00577894,-0.00469081,-0.00492822,0.99928092,-0.00690818,-0.01016497,0.05745459,-0.01012997,-0.03033428,-0.01018021,-0.00310959,-0.00911944,-0.02743965,-0.01437443,-0.01866764,-0.00575156,-0.01156509,0.03993186,0.01588181,-0.00536043,-0.014761,-0.01527388,-0.01108113,-0.02294408,-0.01381439,-0.01725079,-0.01690835,0.00764849,-0.00202602,-0.00992603,-0.01179641,-0.02001756,-0.01645332,0.0061175,-0.00336374,0.00573399,-0.00479581,-0.01369417,-0.00849851,-0.02984421,-0.02051515,-0.0227417,-0.03007709,-0.00918335,-0.0242407,0.00724216,-0.00520368,-6.5e-06,-0.01406245,-0.02984575,-0.00415206,-0.01606829,-0.01398485,-0.00246279,0.00343901,-0.02029145,-0.01482948,-0.01603325,-0.02499707,-0.0077939,-0.01863566,-0.01951376,-0.00409424,0.00777633,-0.02558147,0.00593791,-0.01840588,-0.02138264,-0.00244149,0.01057048,-0.00832503,-0.01099293,-0.02096868,-0.02710029,-0.01335174,-0.00329374,-0.00732972,-0.01219059,-0.00833568,0.00365511,-0.00110833,-0.03694228,0.0083455,-0.03664546,-0.01579132,-0.00358441,-0.01042672,-0.01188468,-0.00400293,-0.02037976,-0.00918943,-0.02016362,-0.02074651,-0.00554914,-0.00374117,-0.01861135,-0.01279324
"Np2_504762",-0.01034912,0.00922363,-0.01999015,-0.01560107,-0.01086047,-0.01125007,-0.00690818,1.0023129,-0.03170547,-0.00974188,-0.00777715,-0.0288946,-0.02989453,-0.02297606,0.00784328,-0.00788977,0.02648157,-0.03107696,-0.01481275,-0.02260472,0.00256393,0.00027657,0.01845071,-0.01484319,0.01218975,-0.02059889,0.00314985,-0.02607152,-0.03955225,-0.01988208,-0.01130484,0.01082768,-0.01898723,-0.01796607,-0.01279478,-0.02353609,-0.00811806,-0.00298936,-0.02478558,0.00166604,-0.00144923,-0.02227749,0.00705496,-0.01953203,-0.02084545,-0.01798433,-0.0085046,-0.00271238,-0.02616897,0.00080162,-0.00419772,-0.00577437,-0.01942706,-0.01747447,0.00332944,-0.0064577,0.0035425,0.01872769,-0.01048151,0.00411167,-0.00363615,-0.0165568,-0.01396355,-0.00684728,-0.00194231,-0.00919859,-0.0055461,-0.00877093,-0.01560259,-0.00616094,-0.01081176,-0.01195926,-0.01690531,-0.01327719,-0.0148798,-0.00659314,-0.00815914,-0.00552022,-0.02513863,-0.01593437,-0.01105528,-0.00065634,-0.00281891,-0.02325755,0.00574008,-0.01989121,-0.01116027,-0.0100904,-0.00062285,-0.02192292,-0.03449049,0.00702454,-0.00204733,-0.03179522,-0.02009362,0.0056518,-0.00745756,0.01261284,-0.02173727,-0.0061792
"Np2_502343",-0.01375809,0.00048811,-0.01228949,-0.00303045,-0.01061695,-0.00035348,-0.01016497,-0.03170547,0.99107996,-0.02076017,-0.01849109,0.00163407,0.00154733,0.00679168,0.00062964,-0.0128206,-0.02425741,-0.00846199,0.0009538,-0.02433963,-0.02062931,-0.00876332,-0.02741835,-0.01049064,-0.02180877,-0.01731165,0.00187149,-0.00528281,-0.01191511,-0.01218142,-0.02354064,-0.01632244,-0.00626441,-0.01270039,-0.02335654,-0.0025952,-0.01365765,-0.02344324,-0.00810588,-0.00554761,-0.02662089,-0.00909812,-0.0181167,-0.00163489,-0.01512321,-0.00434839,-0.02317538,-0.0248403,-0.00872833,-0.01234732,-0.01399853,-0.01511862,-0.01248733,-0.01099131,-0.01560258,-0.01108417,-0.0295429,-0.02942418,-0.01799951,-0.01268972,-0.0149588,-0.01707422,-0.01950313,-0.00386443,0.00149711,0.01919947,-0.01778191,0.00562593,-0.00211885,-0.01276583,-0.0088942,-0.00456297,-0.00692186,-0.02003427,-0.01494066,-0.00802369,-0.00654595,-0.00025457,-0.00039306,-0.00518998,0.00942909,0.01937142,0.01157795,-0.01601347,-0.0267366,-0.01036432,0.03139113,-0.0029985,-0.02381607,-0.0102654,-0.0202458,-0.01814715,0.0036749,-0.00902811,0.02763211,-0.00901899,-0.0101056,-0.03523471,0.01335703,-0.00273977
"Np2_500460",0.01672794,0.01697295,-0.0052402,0.00021417,-0.0189385,-0.0161322,0.05745459,-0.00974188,-0.02076017,0.97869632,-0.02939981,-0.01460119,-0.00540456,0.00181821,-0.01758403,-0.00470602,-0.01020754,-0.00536956,-0.00965056,-0.01242036,-0.02529837,0.02385331,-0.0086507,-0.02779119,-0.00623702,-0.00615332,-0.01192879,-0.01482185,-0.01597543,-0.01289364,-0.0271444,-0.00485973,0.00108924,-0.01873915,-0.00032762,0.00156254,0.00206628,-0.01198054,-0.03073299,-0.0156954,-0.01454944,-0.00767974,-0.01015429,0.00800154,-0.01903135,-0.00049502,-0.01840888,-0.02555252,-0.02283299,-0.01534233,-0.00497082,-0.02891886,-0.01761296,-0.00896419,-0.005053,-0.02884129,-0.02127609,-0.01035214,-0.00547151,-0.01081478,-0.01156199,-0.01306866,-0.00880136,-0.02070841,-0.00438947,-0.00738451,-0.01925505,-0.0278064,-0.00861417,-0.02108739,-0.01478076,-0.01653701,-0.03654952,-0.00872375,-0.01626163,-0.01238838,-0.00969316,0.00877312,-0.00947554,-0.00224973,-0.00163186,-0.00964751,-0.0206369,0.00975473,-0.00796892,-0.01944679,-0.01969487,0.01059482,-0.01113589,-0.02117412,0.01024022,-0.00577132,-0.00586416,0.00015178,0.01230995,-0.01505774,-0.0144703,-0.01981512,0.01005761,-0.01912722
