"","Np2_501707","Np2_501318","Np2_501918","Np2_502297","Np2_501994","Np2_504655","Np2_504544","Np2_500504","Np2_502772","Np2_500692","Np2_502753","Np2_503041","Np2_500636","Np2_500016","Np2_503266","Np2_502452","Np2_502098","Np2_500625","Np2_502583","Np2_501444","Np2_502860","Np2_504172","Np2_501456","Np2_501980","Np2_500195","Np2_501128","Np2_504310","Np2_500514","Np2_500176","Np2_503312","Np2_504126","Np2_502599","Np2_504518","Np2_504420","Np2_502671","Np2_501990","Np2_504273","Np2_500795","Np2_501270","Np2_502382","Np2_501868","Np2_504682","Np2_504535","Np2_501808","Np2_500871","Np2_502696","Np2_501774","Np2_500755","Np2_501902","Np2_501746","Np2_502866","Np2_504586","Np2_501712","Np2_504212","Np2_504158","Np2_503143","Np2_500366","Np2_504411","Np2_503382","Np2_500673","Np2_500107","Np2_504989","Np2_503029","Np2_501899","Np2_503881","Np2_503236","Np2_503071","Np2_502445","Np2_503027","Np2_503339","Np2_503216","Np2_500224","Np2_503441","Np2_502331","Np2_503348","Np2_502459","Np2_502135","Np2_500492","Np2_503283","Np2_502643","Np2_503971","Np2_502358","Np2_500633","Np2_504027","Np2_501948","Np2_500666","Np2_501672","Np2_503227","Np2_504445","Np2_501817","Np2_501241","Np2_502415","Np2_501304","Np2_501302","Np2_501245","Np2_503968","Np2_502426","Np2_504036","Np2_504557","Np2_501642"
"Np2_501707",0.98493912,-0.01550463,-0.02267983,-0.02048106,0.00508039,-0.01620667,-0.01380427,-0.01676584,-0.01333323,-0.0025765,0.00940951,-0.02154475,-0.01047956,-0.0037587,-0.01605323,0.01332685,0.00142138,0.02356847,-0.01406871,-0.02362343,0.03498772,-0.02295636,-0.01884913,0.00520044,-0.02066644,-0.01850571,-0.05236834,-0.00441817,-0.01900259,-0.01633581,-0.03100838,0.00351224,-0.00544992,0.08540861,-0.01088678,-0.01763049,0.00032428,-0.03242304,0.00551802,-0.01993251,0.00113115,-0.0194478,-0.02077437,0.00614863,-0.01784318,-0.01632062,-0.01916061,-0.00350645,-0.01911049,-0.01244279,-0.01804833,-0.00093693,0.01346209,-0.00044156,-0.01693603,-0.0244197,-0.01314936,-0.00324357,-0.01442429,-0.00911048,-0.02882329,-0.02128642,-0.0009111,-0.01715635,-0.01173469,-0.02947821,0.0008941,-0.0283507,-0.02396992,-0.02128794,-0.01270112,-0.00337121,-0.00526757,0.04060697,-0.00201883,-0.0180149,-0.01613676,-0.00075155,-0.02104181,-0.01546359,-0.00925936,-0.01393042,0.00673212,0.00110531,-0.02474944,-0.02166937,-0.00975475,-0.02242153,-0.01471143,-0.02093998,0.00314604,-0.01483146,-0.00699528,-0.01149155,-0.00285002,-0.02256281,-0.00365081,-0.01088528,0.00035467,-0.01392433
"Np2_501318",-0.01550463,0.99560155,-0.01658958,0.00870598,7.811e-05,-0.01634648,-0.02427687,-0.0115873,-0.02334996,-0.01943108,0.00136819,-0.02669901,-0.01411428,-0.00921685,-0.00798757,0.00802067,-0.02333476,-0.00878528,-0.01390461,-0.03166478,-0.00785078,-0.00470991,-0.02126824,-0.01894791,-0.02035039,-0.0254834,-0.00996141,-0.02370402,0.0076013,0.0011509,-0.01656073,0.00261268,-0.01531469,-0.00271173,-0.00677191,-0.02719139,-0.00619754,-0.00657894,-0.0209096,-0.02599847,-0.02453674,-0.02353839,-0.00556694,0.00251392,-0.0047631,-0.0068874,-0.02340314,-0.00805287,-0.00344719,-0.00923962,-0.00299285,-0.02128644,-0.00476006,-0.00969853,-0.00552742,0.00127246,-0.01723995,-0.00444703,-0.02018637,-0.01988699,-0.00617019,-0.02370552,-0.00333019,0.00975143,0.0039286,-0.01730985,-0.02264639,-0.01268743,-0.00785078,-0.02006017,0.00721687,0.03812405,0.00720469,0.01569887,-0.00747699,-0.01511564,0.00165386,-0.00727335,-0.019966,0.00992465,-0.02322685,-0.01832492,-0.01224982,0.00795535,-0.02139434,-0.01026076,-0.01688439,-0.01405198,-0.00634189,-0.01408996,0.00270234,-0.01208417,-0.01686006,-0.0137587,-0.00268591,-0.00750736,-0.01594682,-0.00980946,0.00538128,-0.00737821
"Np2_501918",-0.02267983,-0.01658958,0.98960773,-0.03098707,4.469e-05,0.009756,-0.02294271,0.00144721,-0.0133545,-0.00989149,-0.00671872,-0.01609574,-0.02265705,0.0024501,-0.01425107,-0.00553653,-0.00452605,-0.01778392,-0.01074702,0.00112355,0.00108101,-0.02814402,0.01471118,-0.01351103,-0.0252463,-0.01928676,0.00413677,-0.01173317,-0.01841607,0.00294091,0.00528706,-0.01443945,-0.01261296,-0.0103428,-0.02625529,-0.01415684,0.0138268,-0.0055487,-0.01091415,-0.00612611,-0.01028659,-0.00959216,-0.00484059,-0.03094913,-0.03032457,0.00538734,-0.0172065,-0.01765932,-0.00971069,-0.03236986,-0.01533446,-0.0153937,-0.01451845,-0.00578119,-0.01619755,-0.0118289,-0.024871,0.0020535,-0.00927916,-0.01581768,-0.01486492,0.01394531,0.00590551,0.00014497,-0.01297158,-0.00442729,0.01439659,-0.03065128,-0.01031545,-0.01188815,-0.01378607,-0.00825497,-0.00999938,-0.0157888,-0.01829907,0.0080997,-0.00582525,-0.01201731,-0.01863185,0.01262636,-0.00867283,0.00230727,-0.01805746,0.00594652,-0.00942349,-0.00710317,-0.0217803,-0.02107522,-0.02141862,-0.00196716,0.00266891,-0.0124215,-0.0033697,-0.0093855,-0.00408692,-0.01529036,0.00149431,-0.01197023,-0.00999941,-0.02093544
"Np2_502297",-0.02048106,0.00870598,-0.03098707,0.97804866,-0.01887794,-0.01372528,0.02301839,-0.02811213,-0.01571432,-0.01209935,-0.01059805,-0.01328916,-0.0242571,-0.03106003,-0.00794956,-0.02476307,-0.00612611,-0.01421758,-0.01903301,-0.01643151,-0.01525846,-0.02883235,-0.01864703,-0.00781735,-0.01651356,-0.00082905,-0.00171797,-0.00847074,-0.01576144,0.01304118,-0.00801336,-0.01360826,-0.00388024,0.0061395,-0.01083664,-0.01742838,-0.00494393,-0.01094756,0.00344083,-0.00681444,0.01668048,-0.01727032,-0.00066645,0.00467925,-0.00502901,-0.02280443,0.00991249,0.02298344,-0.0246826,-0.01679925,-0.00356267,-0.00970003,0.0056107,-0.00327852,-0.01202339,0.00769246,-0.01340312,-0.01671721,-0.0044972,-0.00176659,0.02684154,-0.01986869,-0.00587539,-0.00327852,-0.0008959,-0.01271327,-0.00923656,-0.01781582,-0.01206746,-0.01546359,-0.03255678,-0.01760461,0.00481143,-0.01632519,-0.01594834,-0.0014019,0.00776996,-0.02212671,-0.00792372,-0.02240326,-0.01240021,-0.00719435,-0.00765324,-0.01540737,-0.00145053,-0.0152372,-0.00909679,0.01060236,-0.00630389,-0.01876249,-0.01382252,-0.02116331,-0.03384075,-0.02466128,0.00464581,-0.02935051,-0.00010574,-0.01098708,-0.01631001,-0.01387418
"Np2_501994",0.00508039,7.811e-05,4.469e-05,-0.01887794,0.97416423,-0.00107976,0.00922414,-0.00574166,-0.0223668,0.0048008,-0.00600606,-0.01386353,-0.02300804,0.00377057,-0.01232277,-0.03688583,-0.01201882,-0.01053728,-0.0072992,-0.03372064,-0.00595592,-0.00980486,-0.00433003,-0.00991125,-0.01678404,-0.00307491,-0.00198844,-0.01952985,0.00706489,0.00350161,-0.020592,-0.00673696,-0.01235615,-0.0170758,-0.01718521,-0.0094934,-0.01889014,-0.00863484,-0.0200784,-0.02744653,-0.00410363,-0.0005221,-0.01142167,0.03920593,-0.00803463,-0.01304603,-0.02196412,-0.01709859,-0.01507613,0.01423249,-0.02981706,-0.01498494,-0.00757573,9.787e-05,0.00062211,-0.01430724,-0.01899192,-0.00923809,-0.01646805,-0.00553198,0.00058715,7.051e-05,-0.01161616,-0.00339704,-0.01681749,-0.01419935,-0.00905118,-0.0033469,0.00620029,-0.00676886,-0.01383316,-0.01377236,-0.01202185,0.00908436,-0.01515514,-0.02294574,-0.0086075,0.00024374,0.00153079,-0.02039444,-0.02573859,-0.00670506,-0.00686005,-0.0254028,-0.01357331,-0.01246862,-0.0089114,0.00227838,-0.01219661,-0.02571887,0.00383743,-0.03480559,-0.01192614,-0.01399117,-0.03118161,0.00487221,-0.01344415,-0.0111056,-0.00518401,-0.00441969
"Np2_504655",-0.01620667,-0.01634648,0.009756,-0.01372528,-0.00107976,1.00863476,-0.01327854,-0.01958307,-0.02678716,-0.01846163,-0.03063607,-0.02010732,-0.01116944,0.00011003,-0.0135521,-0.01152348,-0.02935516,-0.0111588,-0.00776874,-0.04072422,-0.00612157,-0.00723537,-8.904e-05,-0.00445464,-0.01482236,-0.00384835,0.01091388,-0.0285088,0.00249264,0.00196841,-0.01787057,-0.02270572,-0.00112535,-0.00478133,-0.00990519,-0.00282115,-0.0009734,-0.0142708,0.00710746,-0.00816229,-0.02447902,-0.01968184,-0.03088535,-0.0030506,-0.00151435,-0.00227108,-0.01969855,-0.01574473,0.00846289,-0.00751041,-0.01311597,-0.00527367,-0.00698161,0.01999004,-0.00911656,-0.02237445,-0.01019239,-0.00271782,-0.02180014,0.00114026,0.00619574,-0.01194743,-0.00980643,0.00114786,-0.0191105,-0.01132595,-0.00678559,-0.00928675,-0.04274222,-0.02851181,-0.01065585,0.00095337,-0.0038301,-0.00658047,-0.01987941,0.00439206,-0.02351258,-0.02818511,0.00030148,-0.01660935,-0.01769883,-0.00763047,-0.00596202,-0.01402007,-0.02088076,-0.00534054,0.00231943,0.00287253,-0.02056771,-0.00552287,-0.01836139,-0.03223616,-0.02075311,-0.00291232,-0.01402466,-0.01611093,-0.01209028,0.05042168,0.00635075,-0.00382555
"Np2_504544",-0.01380427,-0.02427687,-0.02294271,0.02301839,0.00922414,-0.01327854,0.98806065,-0.00760765,-0.01162072,0.00399849,-0.02321923,-0.02180763,-0.01530102,-0.00067861,-0.02680088,0.00911321,-0.01844339,-0.01453062,-0.01615503,0.02701778,-0.00356723,-0.01546967,-0.00710774,-0.00843429,0.0045987,-0.01648931,-0.02831881,-0.00179394,-0.0069573,0.00421882,0.00869232,-0.01361739,0.00310045,-0.00906488,-0.00887038,-0.00725666,-0.00829601,-0.00077586,-0.00431788,-0.00211304,-0.01584654,-0.02411732,-0.02605169,-0.00125603,-0.01901778,-0.01536788,0.00732018,-0.00787205,-0.00402613,0.00036226,-0.01025771,-0.02566418,-0.00579486,-0.01377239,-0.02342898,-0.02605015,0.00071936,-0.02979427,-0.0259317,-0.00846164,-0.02619908,-0.01790244,-0.0078599,-0.00617474,-0.02445769,-0.00953138,0.00807689,-0.01676128,-0.01526759,-0.00924265,-0.01417962,-0.00393799,-0.0296909,-0.0157265,-0.00395319,-0.01599849,-0.02111018,-0.00329372,-0.01233947,-0.00584956,-0.00511563,-0.01024253,-0.0149561,-0.00903448,-0.0016116,-0.01038384,-0.00226804,-0.01052819,-0.01102354,-0.02804073,0.02126945,-0.0094721,-0.01713509,-0.0125142,-0.006,-0.00155234,0.00961011,-0.018138,-0.01996601,-0.01205987
"Np2_500504",-0.01676584,-0.0115873,0.00144721,-0.02811213,-0.00574166,-0.01958307,-0.00760765,0.99095118,-0.00820027,-0.00656069,-0.01919098,-0.00364777,-0.02570827,0.00304576,-0.00423431,0.01359734,-0.00469016,0.00302144,-0.01334238,-0.01712291,0.00076494,-0.02086246,-0.02192162,-0.00151891,-0.00839172,-0.00045676,-0.00818355,0.0122632,-0.01022277,-0.00953137,-0.01007234,-0.00791764,-0.00654701,-0.02418264,-0.00955265,-0.00626744,-0.01110561,-0.00966358,-0.02520986,-0.02072571,0.01583715,-0.01355509,-0.0176168,0.07099907,-0.01514147,0.01327673,-0.03302175,-0.02116639,-0.01686463,-0.00655006,-0.01018023,-0.01145509,-0.01118765,0.00453945,-0.01149916,-0.01472816,-0.0273144,-0.00707582,-0.01278625,-0.01826108,-0.00530405,-0.01615347,0.01181951,-0.01247926,-0.00401853,-0.03042338,0.00329191,0.00124663,-0.0126069,-0.0055183,-0.01714118,-0.0122179,-0.01806502,0.00577635,-0.0300116,-0.01242608,-0.00568545,-0.0222103,-0.01727643,-0.01959976,-0.00792523,-0.00180762,-0.00667315,-0.02202492,-0.01566571,-0.01349736,-0.01313114,-0.01212217,0.00105821,-0.00775353,0.00858291,-0.0148649,-0.02480718,-0.01577966,-0.01959828,-0.02153257,-0.03270721,-0.0206437,0.0056396,-0.00939919
"Np2_502772",-0.01333323,-0.02334996,-0.0133545,-0.01571432,-0.0223668,-0.02678716,-0.01162072,-0.00820027,0.99052261,0.00446954,-0.0143908,-0.00598936,-0.02288347,-0.01069231,-0.01204623,-0.01974258,-0.00915909,-0.0052463,0.01166757,0.02855249,-0.02756056,-0.01226347,-0.01241089,-0.00857104,-0.01179698,-0.0368358,-0.00049626,-0.01347911,-0.00709405,-0.01962255,-0.01074245,-0.02044007,-0.02560338,-0.01968636,-0.00824737,-0.01863794,-0.00326636,-0.01625984,-0.01889015,-0.0019459,-0.02403681,-0.02136697,-0.00673849,0.00164627,0.00181494,-0.01580855,-0.01044309,-0.01575839,-0.00826562,0.00159308,0.00221761,-0.01364472,-0.0107941,-0.02849663,-0.01490443,0.00450754,-0.00975018,-0.02020605,-0.01239268,-0.01756362,-0.00977298,0.00551346,-0.02197633,-0.01345328,-0.03128037,-0.00541346,-0.02123475,-0.01066798,-0.01631607,0.00946271,-0.01477224,-0.02534814,-0.00657893,0.0087531,0.00685065,-0.02084578,-0.03203558,-0.01558669,0.00408663,0.00313084,-0.01953592,-0.03013318,0.02411098,-0.0006619,-0.01086553,-0.01659871,-0.02458991,0.00437838,0.06299257,-0.02513843,-0.01655161,-0.01902992,0.06280725,-0.01751345,-0.01251878,0.01396202,-0.00617778,-0.00368728,-0.0138727,-0.01873061
"Np2_500692",-0.0025765,-0.01943108,-0.00989149,-0.01209935,0.0048008,-0.01846163,0.00399849,-0.00656069,0.00446954,0.97039834,0.00198815,-0.01574622,-0.01592553,-0.00966053,-0.02104335,-0.0059468,-0.00432851,-0.0232086,-0.01070141,-0.01964834,-0.02789634,-0.01928517,-0.02049628,-0.00814708,-0.01137302,-0.01726576,-0.01633124,-0.00348214,-0.0179146,-0.01646343,-0.00895091,-0.00710012,0.01296063,0.00444219,-0.01147027,-0.01654249,-0.01439082,-0.01948273,-0.01071659,-0.01094299,-0.01145661,-0.01699223,-0.01056921,0.00374169,-0.00110408,-0.0015569,9.74e-06,0.00912992,0.03622462,-0.01074698,-0.02045524,0.00182252,-0.00991427,-0.0230582,-0.01539217,-0.00950402,-0.01266918,-0.0059544,-0.00254763,-0.02230604,-0.00357483,-0.01184103,-0.01152347,-0.01226955,-0.01915604,-0.01562619,-0.00303235,-0.01936117,-0.013005,-0.01624917,-0.01495608,-0.02902686,-0.00767449,-0.01376781,-0.0235718,-0.01221637,-0.02006319,-0.01242757,-0.01706671,-0.00738579,0.01082267,-0.00722017,-0.01223764,0.00690382,-0.01910285,-0.00462634,0.00348945,-0.01388784,-0.01255977,-0.00860749,-0.00746634,-0.002499,-0.02459746,-0.01070747,-0.00784014,-0.03119976,0.01931835,-0.00782191,0.01040787,-0.00979729
