"","solution","std.error","z.ratio"
"vm(ID, ginv)_Np1_501873",0.66217388521672,0.739593729231772,0.895321118939895
"vm(ID, ginv)_Np1_500079",-0.12043603465,0.766720751165269,-0.157079398812358
"vm(ID, ginv)_Np1_503102",0.195897604688823,0.769343161189635,0.254629682268062
"vm(ID, ginv)_Np1_500039",-0.351389676032523,0.760667121262303,-0.461949341847985
"vm(ID, ginv)_Np1_503139",0.496405772595325,0.79618627172664,0.623479442214949
"vm(ID, ginv)_Np1_503046",0.17996890559377,0.71915840739741,0.250249324408327
"vm(ID, ginv)_Np1_504964",1.18404960422446,0.790925215466442,1.49704369145214
"vm(ID, ginv)_Np1_504915",0.918396267106386,0.764485959518177,1.20132522471075
"vm(ID, ginv)_Np1_503328",0.930909449762169,0.765257536810072,1.21646557529195
"vm(ID, ginv)_Np1_503258",0.620237934496011,0.802832884732073,0.772561695330904
"vm(ID, ginv)_Np1_501929",0.136633825998456,0.753367213094097,0.181364178880705
"vm(ID, ginv)_Np1_504973",0.433029867585132,0.73168985305025,0.591821611000792
"vm(ID, ginv)_Np1_504827",0.485539213705119,0.744458332586102,0.652204686887513
"vm(ID, ginv)_Np1_501470",0.372169954413892,0.722622882301071,0.515026528399959
"vm(ID, ginv)_Np1_500157",0.483591810654819,0.8241259035814,0.586793605871719
"vm(ID, ginv)_Np1_503557",0.76291904954177,0.737997141063631,1.0337696545033
"vm(ID, ginv)_Np1_501049",-0.0626208127140992,0.733801024939596,-0.0853375923251864
"vm(ID, ginv)_Np1_503933",0.525401251724682,0.796717162192509,0.659457680412978
"vm(ID, ginv)_Np1_504275",0.0192067737927103,0.749350835803026,0.0256312168813795
"vm(ID, ginv)_Np1_500677",0.165232898868981,0.761469704153867,0.216992085131719
"vm(ID, ginv)_Np1_501933",0.0898480380893585,0.768453661620432,0.116920567337654
"vm(ID, ginv)_Np1_504026",0.401340986783842,0.764396036350813,0.525043259904673
"vm(ID, ginv)_Np1_502147",1.17963895631336,0.743674114932381,1.58623102865509
"vm(ID, ginv)_Np1_504560",0.936349903428453,0.769927605955262,1.21615317620247
"vm(ID, ginv)_Np1_503535",0.832985548928283,0.758040367239598,1.09886700620126
"vm(ID, ginv)_Np1_501894",1.08011885822601,0.768602103238641,1.40530302177777
"vm(ID, ginv)_Np1_503222",0.460520616740591,0.714057665730135,0.644934770456811
"vm(ID, ginv)_Np1_500295",0.29447187978767,0.738924721805542,0.398514044932935
"vm(ID, ginv)_Np1_503087",1.59630256761398,0.73005822832734,2.18654143693624
"vm(ID, ginv)_Np1_502407",0.619587723684116,0.769859579000872,0.804806149828284
"vm(ID, ginv)_Np1_504630",0.764544504127921,0.763350640846658,1.00156397757122
"vm(ID, ginv)_Np1_503443",0.20650969569154,0.785233654544129,0.262991396887376
"vm(ID, ginv)_Np1_500080",0.864451510479578,0.779740095179526,1.10864057885923
"vm(ID, ginv)_Np1_500178",0.568595131542085,0.782452532634402,0.726683227195532
"vm(ID, ginv)_Np1_501573",0.563707106243488,0.733701614797841,0.7683056638751
