"","Pheno","BV"
"501310",-0.143320337793316,0.031207551537049
"502610",1.9718863452121,-0.710617647570442
"504648",-1.22283619458316,-0.00218880043525216
"504497",3.79756545573329,1.65358954964301
"502212",-1.21677547033705,-0.0549947857493888
"500340",-1.48422266853474,-0.152760615478829
"500569",-1.63492950103132,-0.812039342327188
"502475",0.47858792539301,0.350439818462292
"501049",5.55854041686407,2.13268841556031
"502260",-0.716344699750655,-0.367788678648329
"503630",0.072685041459139,0.735316505560814
"501165",-1.75130759925098,-0.890429793708442
"504563",2.85025984153126,0.635154917085094
"503369",-0.665693192580907,-1.31641282947465
"501541",-1.65773995849369,-0.771951416318748
"504671",0.613737226192037,1.13498894685193
"501668",0.649409439541083,0.562659818247715
"501666",-3.29364759925885,-1.34087456153007
"504390",-3.47167221166288,-0.0738109251576943
"503786",0.218128402045044,0.736616934831283
"502647",-1.52389346958156,-0.666126879047727
"504213",-1.88478223337718,-1.48500992811217
"501346",1.64219347970873,1.23821314694353
"504650",0.900803302260636,0.930027388078453
"504238",2.03387446302818,0.595449754958104
"503285",-3.05323563205557,-1.82984382696366
"502146",-0.799417975181617,-1.24711825400782
"501645",-1.22717663526864,0.329087489891215
"500351",2.53803914570327,-0.314022302734103
"502980",0.651376200350587,-0.284553473837279
"502091",-4.21702801693613,-2.13390817604966
"501248",0.799818459478895,1.77593575589973
"504602",0.290311992775534,0.900506063535684
"501664",0.0792588016302066,0.852586860977602
"500490",-1.21017478069605,-0.442058117065119
"502021",-0.814158590699466,-0.768262182385414
"504302",2.15683540188563,0.0530459197050374
"503586",0.669177874907046,-0.469859254937994
"504451",-3.23842610501611,-1.05980736792226
"501903",0.706758546932772,-0.348039752367661
"503754",0.713713233369523,0.908330621029789
"500413",0.25548767761793,-2.18175384707872
"500054",-2.8644415904627,-0.53950451102283
"500059",2.42522182970137,0.31087826594488
"502766",-2.78772836294183,-1.15651062041383
"503031",2.24646897991538,0.20778166428089
"502501",1.08955464122039,-0.423387219550767
"500626",2.02624526777277,-0.596920038466883
"504794",-3.05914356998627,-0.725945616765447
"501042",3.53222152157083,1.07047751864871
"502412",-2.16151513599156,-0.616216345972901
"502317",0.577882800453664,-0.320735796778739
"503004",-2.06491561535386,-0.652815742742301
"503482",-2.53323146202554,-1.37224442920997
"504978",-1.87811248356354,0.0528026724788524
"501937",0.120767081786084,1.65967429649794
"501756",-1.03533440244714,0.48049834810161
"500542",-1.87627673055589,-0.482957903586056
"503020",-1.34163968156898,0.945232679497367
"503060",-2.08382286191983,-0.190879402226559
"501388",-0.25985314059369,-0.335988123473199
"500894",-0.156802982767609,-0.497337925975209
"504510",-1.6155316848679,0.316937353001096
"500695",-1.51217052857233,0.48639301724302
"502403",1.35378674051769,0.842051761370467
"503178",-0.3121696336497,-0.985728007276268
"502227",1.08107678850735,-0.157265881027851
"502654",-0.614778341495931,-0.899272641281689
"502321",-2.63651158788191,-1.65551538657766
"504736",1.28818346048058,-2.2939552852746
"504192",0.719259219590608,0.115365366211187
"501531",4.5213874566429,0.0504821699100755
"504029",-2.02960771895785,1.12195978393474
"500401",1.01192067456087,-0.124485953278115
"501750",0.754910712619369,1.25540413962372
"504964",5.12493676808238,0.959312898499119
"503799",2.38478178393148,-0.0622291145678413
"501941",1.42817400418136,-0.0269874809559184
"500063",1.81376426207513,0.783744957001163
"500030",-3.85519146072873,-1.78642138844593
"502707",-1.51365275463673,-0.667737891765756
"500255",0.818728572239689,-0.954556847871705
"503423",1.92110411840089,0.140814898452325
"501733",-1.92394384291278,-1.57146445115422
"501431",1.6736081778707,0.334141551333014
"501409",-0.355591267975908,0.286314500635686
"501016",0.482050693308262,0.293878342368313
"503323",-3.29275705722506,-0.952113312587916
"500237",-2.83895275042213,-0.198058070012595
"501637",-1.21632252065235,-1.2306017652512
"503791",-2.11622020632531,-0.635880908862279
"502665",0.808216646788306,0.00328330535874066
"503917",1.53905186497204,0.386549869239844
"501919",1.67470919250021,0.61345152281522
"504564",1.73085123902045,1.00771774641073
"502219",1.4198795790072,0.599282736523368
"500549",3.71105386588741,0.27444029968642
"503740",-0.690188376815777,-0.56066931790358
"501698",2.41328966998455,1.73266783837294
"500222",-0.218096123729394,0.47025849659754
