"","solution","std.error","z.ratio"
"vm(ID, ginv)_Np1_502421",0.737880296818721,0.779507008302142,0.946598669364002
"vm(ID, ginv)_Np1_500080",0.474199126098623,0.799432114354405,0.593169973514975
"vm(ID, ginv)_Np1_504275",0.741209887820494,0.774076893881347,0.957540386077082
"vm(ID, ginv)_Np1_503929",0.417869918012567,0.773530847243113,0.54021105881151
"vm(ID, ginv)_Np1_503557",0.437021893861478,0.804758672319125,0.543047138096797
"vm(ID, ginv)_Np1_503328",0.64309641188519,0.741657069491844,0.86710750606856
"vm(ID, ginv)_Np1_503901",0.483489671124521,0.792747779135112,0.60989091846086
"vm(ID, ginv)_Np1_504658",0.209854789924561,0.735274958359322,0.285409951119274
"vm(ID, ginv)_Np1_503803",0.237571996684935,0.70415763228492,0.337384678930537
"vm(ID, ginv)_Np1_503139",0.394053590533754,0.809618074789749,0.486715406688624
"vm(ID, ginv)_Np1_501531",0.0252758984075138,0.697451530807519,0.0362403655179437
"vm(ID, ginv)_Np1_502930",0.429904511773969,0.739436995078013,0.58139437793292
"vm(ID, ginv)_Np1_501894",0.573270584929276,0.773074670290779,0.741546201111012
"vm(ID, ginv)_Np1_501959",1.29970506080342,0.749503750440632,1.73408746792705
"vm(ID, ginv)_Np1_503443",-0.0297248507070325,0.773642228412695,-0.0384219599387948
"vm(ID, ginv)_Np1_503933",1.21855854627224,0.759792098995115,1.60380523551624
"vm(ID, ginv)_Np1_503354",1.62575469057331,0.773038687238308,2.10307028278409
"vm(ID, ginv)_Np1_500677",0.945490994488446,0.797748225216298,1.18519974673976
"vm(ID, ginv)_Np1_500114",0.85678825776056,0.726574177118446,1.17921649948879
"vm(ID, ginv)_Np1_503983",0.287374086098593,0.759407912863793,0.378418609064634
"vm(ID, ginv)_Np1_502173",0.189531587440431,0.702921951419407,0.269633900403467
"vm(ID, ginv)_Np1_500182",0.0503797271513154,0.800776619095251,0.0629135840757144
"vm(ID, ginv)_Np1_500079",0.412687665844298,0.748564132405742,0.551305690426281
"vm(ID, ginv)_Np1_503536",0.454528838397642,0.75879525546167,0.599013811862984
"vm(ID, ginv)_Np1_500098",0.313673719593831,0.736606577278527,0.425836164472943
"vm(ID, ginv)_Np1_503087",1.06060456454727,0.784618751612553,1.35174511489499
"vm(ID, ginv)_Np1_503689",0.454603079813864,0.792821579301616,0.57339897359292
"vm(ID, ginv)_Np1_504026",0.969189299590262,0.77115722564054,1.25679857150432
"vm(ID, ginv)_Np1_503448",0.33779432094609,0.769375237205753,0.439050159936138
"vm(ID, ginv)_Np1_503643",0.356954668972123,0.761003789711108,0.469057675925149
"vm(ID, ginv)_Np1_501695",0.568349886011203,0.874333757572259,0.650037678505433
"vm(ID, ginv)_Np1_504630",1.27363575545087,0.754688801144559,1.68763038953179
"vm(ID, ginv)_Np1_502854",0.196756895175437,0.800476287957687,0.245799779625498
"vm(ID, ginv)_Np1_503464",0.337112840896803,0.802094042035434,0.420290917560401
"vm(ID, ginv)_Np1_500039",1.0352180751266,0.728380075765154,1.42126083561405
"vm(ID, ginv)_Np1_502973",0.387257831533928,0.764033052816377,0.506860050237904
"vm(ID, ginv)_Np1_503180",0.682577906070991,0.773034669453791,0.882984855715831
"vm(ID, ginv)_Np1_504933",0.549637333023653,0.763952506102952,0.71946531837096
"vm(ID, ginv)_Np1_500336",0.569158252404783,0.714169158326316,0.796951598608133
"vm(ID, ginv)_Np1_504973",0.853225992703347,0.760165170066961,1.12242184501585
"vm(ID, ginv)_Np1_503553",0.44844110691877,0.744764831638913,0.602124439646191
"vm(ID, ginv)_Np1_503504",1.61929333838614,0.768101006332783,2.10817760299167
"vm(ID, ginv)_Np1_503793",0.271271395775682,0.750762285409509,0.361327947670834
"vm(ID, ginv)_Np1_501158",0.755303204688895,0.775551556243563,0.973891675683379
"vm(ID, ginv)_Np1_504964",0.599158426411004,0.764973318352721,0.783240947149922
"vm(ID, ginv)_Np1_502651",1.72861115445925,0.788317045099862,2.19278672864453
"vm(ID, ginv)_Np1_504215",0.219830208413111,0.808410535153385,0.271928925779525
"vm(ID, ginv)_Np1_500107",-0.157882290145002,0.781128421190366,-0.202120785599382
"vm(ID, ginv)_Np1_502663",0.650623116547896,0.749146127887661,0.868486256990253
"vm(ID, ginv)_Np1_502917",0.549355277979823,0.760607437398331,0.72225861984587
"vm(ID, ginv)_Np1_503873",-0.054288581798157,0.730052610864374,-0.0743625609856801
"vm(ID, ginv)_Np1_501933",0.679352228832699,0.818166512092476,0.830334924238397
"vm(ID, ginv)_Np1_500295",-0.336748037681897,0.83980487226642,-0.400983667519218
"vm(ID, ginv)_Np1_503911",-0.0700637857686167,0.806521525106691,-0.0868715633588927
"vm(ID, ginv)_Np1_501470",0.65031956839644,0.6974005754708,0.932490725229791
"vm(ID, ginv)_Np1_504397",-0.239164607137182,0.719758122705725,-0.332284693416326
"vm(ID, ginv)_Np1_504360",0.325189118927818,0.810424755861267,0.401257632588269
"vm(ID, ginv)_Np1_500457",0.817267253210733,0.765400663315837,1.06776397301539
"vm(ID, ginv)_Np1_504915",0.800723698764189,0.737804964184769,1.08527827492858
