"","solution","std.error","z.ratio"
"vm(ID, ginv)_Np1_500157",0.805631443651643,0.697682047998651,1.15472577510437
"vm(ID, ginv)_Np1_503983",0.370111247091628,0.736694495980353,0.50239447845895
"vm(ID, ginv)_Np1_503328",-0.745143212230514,0.699434452036331,-1.06535102762111
"vm(ID, ginv)_Np1_503139",0.410877334467549,0.738213235310739,0.556583538216565
"vm(ID, ginv)_Np1_502173",0.147409399897053,0.756167516774676,0.194942782686311
"vm(ID, ginv)_Np1_503172",0.561043237498653,0.773659604284661,0.725180989664574
"vm(ID, ginv)_Np1_504964",0.424990158707993,0.777465360453004,0.546635490564319
"vm(ID, ginv)_Np1_502917",0.349232219683284,0.789576345574663,0.442303295483236
"vm(ID, ginv)_Np1_501538",0.697686823072836,0.790582324158772,0.882497371561169
"vm(ID, ginv)_Np1_503504",0.633144917851464,0.734640956624342,0.861842662245174
"vm(ID, ginv)_Np1_504397",0.0170339488717986,0.719908881423968,0.0236612567386386
"vm(ID, ginv)_Np1_501158",0.880652473590184,0.762872849439659,1.15438958698954
"vm(ID, ginv)_Np1_500051",0.311775853958361,0.747510326214511,0.41708568166173
"vm(ID, ginv)_Np1_500178",0.202628806052171,0.743792351219192,0.272426579434477
"vm(ID, ginv)_Np1_500315",0.169019278122885,0.753067340867361,0.224441120933772
"vm(ID, ginv)_Np1_504933",0.357938924896253,0.791826522700914,0.452042100933075
"vm(ID, ginv)_Np1_501184",0.364737843279393,0.698117978926137,0.522458745211579
"vm(ID, ginv)_Np1_502973",0.473067966892201,0.775548512492798,0.609978562619697
"vm(ID, ginv)_Np1_503448",-0.159387939327777,0.747879937800285,-0.21311968843098
"vm(ID, ginv)_Np1_503933",0.590897918030442,0.746052225898324,0.792032913404875
"vm(ID, ginv)_Np1_504548",0.595014496704701,0.714668783524385,0.832573788616302
"vm(ID, ginv)_Np1_501894",0.773409348974907,0.695613223441798,1.1118381924199
"vm(ID, ginv)_Np1_502147",0.938709849138776,0.791011166115752,1.1867213629212
"vm(ID, ginv)_Np1_503258",0.453436029179566,0.744305081800333,0.609207219280017
"vm(ID, ginv)_Np1_500259",1.25286994998301,0.734000886457376,1.70690522736279
"vm(ID, ginv)_Np1_501573",1.29680598093108,0.749532960375968,1.73015204065289
"vm(ID, ginv)_Np1_501959",0.995389118655114,0.769979740301662,1.29274715496429
"vm(ID, ginv)_Np1_503535",0.429910759074349,0.73590153666635,0.5841960339176
"vm(ID, ginv)_Np1_502651",0.656882929126464,0.765646354460489,0.85794561065903
"vm(ID, ginv)_Np1_502421",-0.243647837119875,0.727836503496898,-0.334756275549888
"vm(ID, ginv)_Np1_504188",-0.0941732226052475,0.756585390381828,-0.124471373360409
"vm(ID, ginv)_Np1_503443",0.313436449886015,0.696871748705829,0.449776376310422
