"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0.494373649999999,-0.0060230750000004,0.104185005,-0.00641964999999965,-0.0104746850000004,0.165191935000002,-0.00168696000000048,-0.00408400999999705,-0.00651438499999941,0.00222293999999807,-0.0140998200000028,-0.000760700000000279,0.11690994,0.00997024999999996,-0.0133974700000002,-0.00831918999999915
"2",-0.0060230750000004,0.490058799999998,-0.00589861500000068,-0.00327792999999981,-0.0126993500000011,0.000938000000002722,0.0843362849999994,-0.000523294999999407,-0.0104360349999993,-0.00773776500000022,0.0899654099999983,0.00629835000000013,-0.00238563999999896,-0.000885729999999255,-0.008603475,0.00980310999999973
"3",0.104185005,-0.00589861500000068,0.49404486,-0.00990336499999876,-0.00910149500000069,0.0737709949999999,0.00413431999999795,-0.00313004499999886,-0.00515165000000069,-0.00707576499999975,-0.00368567499999951,-0.00508635000000099,0.114703620000001,-0.00576656500000064,-0.0102432699999999,-0.00469486500000009
"4",-0.00641964999999965,-0.00327792999999982,-0.00990336499999876,0.496537279999998,0.129719365,-0.00395526000000135,0.00774146999999985,-0.0103218549999991,0.122545405,-0.00038253500000103,0.00309444500000097,0.0028322000000022,-0.00426203000000054,-0.00569126499999913,-0.00307278500000429,0.00457944500000007
"5",-0.0104746850000004,-0.0126993500000011,-0.00910149500000069,0.129719365,0.496641864999998,-0.0127927299999992,-0.00249188500000029,-0.0103915249999993,0.135711429999999,-0.00433591500000075,-0.00154704000000053,-0.000440085000000041,-0.00821856999999969,-0.0107197250000013,-0.00191024500000023,0.00969128500000073
"6",0.165191935000002,0.000938000000002729,0.073770995,-0.00395526000000134,-0.0127927299999992,0.505659104999998,-0.00715938000000029,-0.00116094999999976,0.00125156000000081,-0.00146847000000101,-0.00547744999999995,-0.00612296499999934,0.156892835,0.00292447000000083,-0.00121626500000081,0.000188989999998024
"7",-0.00168696000000048,0.0843362849999994,0.00413431999999795,0.00774146999999984,-0.00249188500000028,-0.00715938000000028,0.497639339999998,-0.00232454999999862,-0.00411771500000033,-0.00688760000000116,0.142685644999999,-0.00453142500000154,-0.00195023000000085,-0.00366123999999825,-0.00953521999999875,-0.00363477499999794
"8",-0.00408400999999705,-0.000523294999999409,-0.00313004499999885,-0.0103218549999991,-0.0103915249999993,-0.00116094999999976,-0.00232454999999861,0.499198794999999,-0.0188750899999979,-0.0178279950000007,-0.00147400500000093,0.156525040000001,-0.0040269599999992,-0.001535270000002,-0.0100202450000008,0.151519624999998
"9",-0.00651438499999941,-0.0104360349999993,-0.00515165000000069,0.122545405,0.135711429999999,0.0012515600000008,-0.00411771500000033,-0.0188750899999979,0.495435324999999,0.125151424999999,-0.000693459999999858,-0.0111690699999998,-0.00551492499999983,-0.0110197299999998,-0.00562279000000086,0.00465866999999969
"10",0.00222293999999807,-0.00773776500000023,-0.00707576499999977,-0.000382535000001027,-0.00433591500000075,-0.00146847000000101,-0.00688760000000117,-0.0178279950000007,0.125151424999999,0.494077365,-0.00272076999999962,0.00155808000000067,-0.00556665499999942,-0.00219842500000003,-0.0197420299999995,0.00234712500000003
"11",-0.0140998200000028,0.0899654099999983,-0.00368567499999951,0.00309444500000097,-0.00154704000000054,-0.00547744999999996,0.142685644999999,-0.00147400500000094,-0.000693459999999862,-0.00272076999999961,0.490108059999999,-0.00835543499999848,-0.0095929999999991,0.000322739999999215,-1.06449999999764e-05,-0.0026572449999992
"12",-0.000760700000000274,0.00629835000000014,-0.00508635000000099,0.0028322000000022,-0.000440085000000043,-0.00612296499999934,-0.00453142500000155,0.156525040000001,-0.0111690699999998,0.00155808000000068,-0.00835543499999848,0.498460860000001,-0.00557727499999918,-0.00863587499999861,-0.0112606999999995,0.143391965
"13",0.11690994,-0.00238563999999895,0.114703620000001,-0.00426203000000053,-0.00821856999999969,0.156892835,-0.00195023000000085,-0.00402695999999921,-0.00551492499999983,-0.00556665499999941,-0.0095929999999991,-0.0055772749999992,0.496707075000002,0.00547317499999927,-0.0112081550000011,0.0463936499999997
"14",0.00997024999999996,-0.000885729999999248,-0.00576656500000063,-0.00569126499999913,-0.0107197250000013,0.00292447000000083,-0.00366123999999825,-0.001535270000002,-0.0110197299999998,-0.00219842500000004,0.000322739999999214,-0.00863587499999862,0.00547317499999929,0.502577045,0.00714888999999975,-0.0102727550000004
"15",-0.0133974700000002,-0.00860347499999998,-0.0102432699999999,-0.00307278500000429,-0.00191024500000022,-0.00121626500000082,-0.00953521999999875,-0.0100202450000008,-0.00562279000000085,-0.0197420299999995,-1.06449999999877e-05,-0.0112606999999995,-0.0112081550000011,0.00714888999999976,0.489825000000001,-0.0108586200000006
"16",-0.00831918999999915,0.00980310999999973,-0.00469486500000008,0.00457944500000007,0.00969128500000074,0.000188989999998026,-0.00363477499999794,0.151519624999998,0.00465866999999968,0.00234712500000002,-0.0026572449999992,0.143391965,0.0463936499999996,-0.0102727550000004,-0.0108586200000006,0.496192440000002
