"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.496461315000001,-0.00801063999999922,-0.00473759499999583,-0.00201184499999895,-0.000718765000000216,-0.00208590499999871,-0.00240477499999872,-0.0101556249999959,0.0052911500000017,-0.00619402999999929,0.00690590500000196,-0.00708914500000179
"2",-0.00801063999999922,0.501665865,-0.00697850500000253,8.84499999998502e-06,0.0031548550000005,-0.00634784999999971,-0.0128108999999996,-0.0025540750000031,-0.00893364500000098,-0.00821434000000019,-0.0097711250000001,-0.00961580999999971
"3",-0.00473759499999584,-0.00697850500000253,0.49256226499999,-0.000422210000007753,0.0355157199999998,-0.00251289500000555,-0.00598154500000791,0.184661624999993,0.000124974999995283,-0.00103314500000091,-0.000594365000002387,0.00253384000000769
"4",-0.00201184499999895,8.84499999997594e-06,-0.000422210000007748,0.492982525,0.00673467999999898,-0.0127868650000031,-0.00863509500000253,-0.00532479500000602,-0.0101882100000043,-0.00058500000000117,-0.00395103500000225,-0.00155322999999812
"5",-0.000718765000000211,0.0031548550000005,0.0355157199999998,0.00673467999999898,0.49700981,-0.0110518399999999,-0.000843585000000377,-0.00418439499999992,-0.000838355000000249,-0.00207260000000047,0.00956001000000003,0.124708085000001
"6",-0.00208590499999872,-0.00634784999999971,-0.00251289500000554,-0.0127868650000031,-0.0110518399999999,0.51605388,0.0953544149999968,-0.0110933000000038,0.166917324999998,0.00100276500000003,-0.0146190850000003,-0.0107985699999964
"7",-0.00240477499999872,-0.0128108999999996,-0.00598154500000791,-0.00863509500000254,-0.000843585000000378,0.0953544149999968,0.488406139999995,-0.0140459550000076,0.132159129999997,0.000983869999999768,-0.00747970500000207,-0.00284626999999636
"8",-0.0101556249999959,-0.0025540750000031,0.184661624999993,-0.00532479500000603,-0.00418439499999991,-0.0110933000000038,-0.0140459550000076,0.495469639999994,6.13599999973221e-05,0.00741121499999917,0.0698161999999979,0.0107029200000061
"9",0.0052911500000017,-0.00893364500000098,0.000124974999995286,-0.0101882100000043,-0.000838355000000251,0.166917324999998,0.132159129999997,6.13599999973121e-05,0.495756204999999,-3.61150000001629e-05,-0.00988454500000123,-0.0134354899999968
"10",-0.00619402999999928,-0.00821434000000018,-0.00103314500000091,-0.000585000000001165,-0.00207260000000047,0.00100276500000004,0.000983869999999769,0.00741121499999918,-3.61150000001527e-05,0.49908747,0.160980635,-0.00982260999999888
"11",0.00690590500000196,-0.0097711250000001,-0.000594365000002385,-0.00395103500000225,0.00956001000000003,-0.0146190850000003,-0.00747970500000207,0.0698161999999979,-0.00988454500000123,0.160980635,0.503554399999999,-0.0135805699999979
"12",-0.00708914500000178,-0.00961580999999971,0.00253384000000768,-0.00155322999999812,0.124708085000001,-0.0107985699999964,-0.00284626999999635,0.010702920000006,-0.0134354899999968,-0.00982260999999889,-0.0135805699999979,0.491443764999997
