"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"1",0.497485045000003,-0.00219430000000086,-0.0133277549999999,0.00286414000000255,0.0142273100000005,-0.0036829399999992,-0.0146458449999992,-0.00274317500000018,0.000292625000000538,0.0159220850000002,-0.00455286500000033,-0.00236494500000001,-0.00827003500000012,-0.000826500000000065,-0.0127641999999997,0.00283425999999932,-0.00147071999999985,-0.00154433999999932,0.0218687100000001,0.00366923500000003,0.000449310000000264,-0.00575809000000092,-0.00637626999999969,-0.00338269500000084,-0.00489058499999912,-0.00750464000000146,-0.0049133900000006,-0.00693939500000252,-0.00446708500000029,-0.00538022500000025,-0.011173885,0.0158773950000003,0.00610502499999918,0.00503636000000118,-0.00746386999999872,-0.0102027099999993,-0.00619463499999891,-0.00984817500000095,-0.00650908999999975,-0.00790225000000026,-0.0103007299999994,-0.00355778499999997,0.113568970000002,-0.00663431500000081,-0.00468681500000005,0.187795784999999,-0.00600796499999993,-0.0030852449999994,-0.0107330399999998,-0.00034024499999945,0.00841617000000027,-0.0037721599999999,0.0116081899999987,-0.000914579999999545,0.00844089499999988,-0.00467306000000006,0.00143563500000023,-0.00637631999999997,-0.00466395000000171,-0.00907593999999994,-0.000407950000000174,-0.00295523500000124,-0.0108446599999995,-0.0039804099999995
"2",-0.00219430000000086,0.494429984999994,0.10428379,-0.00434940000000052,-0.00132596999999936,0.115229965,-0.0017690699999997,-9.19450000006399e-05,-0.00581632500000007,0.00622607500000109,-0.00378532500000014,0.00022989999999966,0.00339123499999873,-0.00512573000000017,0.040276924999999,0.000859764999999388,-0.00496165499999912,0.00930835000000041,-0.0106286699999991,-0.000265699999999814,-0.0115392049999988,-0.00525894000000063,-0.00113058500000098,0.0114232350000006,-0.010134015,0.00101539500000002,0.118561259999997,-0.00744039499999912,-0.00121397499999994,-0.00421337500000034,-0.0103248699999998,-0.00941550999999973,-0.00547140499999991,-0.00829845999999965,-0.000780365000001012,-0.00282462499999932,-0.00339297999999949,-0.0128350650000005,-0.00478382499999957,-0.00409149499999912,-0.00226120499999907,0.00223918499999913,-0.00282861000000047,0.00482838999999972,-0.00212469000000101,-0.00529143500000038,-0.00659241999999981,-0.00488914999999878,-0.00392159500000174,-0.0110684300000001,-0.00986188500000159,-0.00583083999999867,-0.00441916999999815,-0.0116830700000017,-0.00748779499999999,3.07450000001469e-05,-0.00233073500000009,0.00326883499999915,-0.0155353650000003,-0.00145983499999947,0.00310329499999988,-0.00282206999999997,-0.0063544300000011,0.00825033499999872
"3",-0.0133277549999999,0.10428379,0.498499359999998,-0.00866971999999989,-0.0056361149999999,0.111748935,-0.00488464499999994,-0.01528384,-0.0176276449999996,-0.0104273099999997,-0.00267678500000028,-0.00376214999999998,-0.0100048349999996,0.00158081000000027,0.106423679999999,0.000938165000000254,-0.00154254999999972,0.00656278000000063,-0.00944570000000048,-0.00903651499999962,-0.00576311500000083,-0.00198770999999992,-0.00672849000000018,-0.00544683500000074,-0.00949683500000045,-0.00710694999999991,-0.0104006699999998,-0.00781472000000066,-0.000785474999999542,-0.00485466499999951,-0.00928479500000079,-0.01134861,-0.00500754500000024,-0.00749026500000054,-0.0185767299999995,0.00432916499999962,-0.0114467349999996,0.00161129999999965,-0.00427973500000066,-0.00985387999999967,-0.0032900750000001,0.12624693,-0.00311073999999987,-0.00578062500000043,0.00232830000000025,-0.00342582999999979,-0.00908420000000005,0.00485409499999945,-0.00686900499999948,-0.00202365999999974,-0.00602673000000083,0.000860974999999858,-0.00719809500000024,-0.00549266999999919,-0.00240864000000024,-0.00717361000000028,0.145951415,-0.000998460000000208,0.12284701,-0.00112738499999934,0.00554401499999973,-0.00985493499999947,0.143622195,-0.00225160499999986
"4",0.00286414000000253,-0.00434940000000052,-0.00866971999999989,0.502650420000003,-0.00726851000000059,0.0022039549999995,-0.0103545649999989,-0.00410024499999949,-0.00683398999999993,-0.0104222799999985,-0.00634633499999916,-0.00792860000000001,-0.00752410499999934,-0.00536873499999936,-0.00271974499999924,0.00132334999999944,-0.00193335499999982,-0.00845551999999839,-0.00854760000000029,-0.00659830999999965,-0.00253488999999911,-0.0069865200000013,0.00160053999999989,-0.00230345499999887,-0.00733916499999968,-0.00856280999999937,-0.0087297700000001,0.00186283499999785,-0.00441795999999986,-0.00497417999999932,-0.00821320999999972,-0.00808840999999998,0.00585497999999995,-0.00917333999999961,-0.00627621499999962,-0.00899432500000028,-0.00378156500000042,0.00227619999999938,-0.0114708699999996,0.00380394500000146,-0.0105925999999982,-0.00714601499999963,-0.00664055499999749,-0.00404814000000054,0.00591161999999994,0.000757209999999947,-0.00540680499999931,-0.00143484999999943,-0.00590643500000025,0.00944204999999827,0.00335159999999999,0.000260755000000624,-0.00349971500000023,-0.0104192450000002,0.147876354999999,-0.00139056499999828,-0.00315577499999987,0.00189559500000045,-0.00962532500000009,-0.00503986499999881,-0.000339759999999722,-0.000434959999999491,-0.00398097999999915,-0.00187667499999981
"5",0.0142273100000005,-0.00132596999999936,-0.0056361149999999,-0.0072685100000006,0.50686812,-0.0062346000000001,-0.00556763499999959,0.00079178000000011,-0.00343757999999959,0.0776516800000007,-0.0115598650000003,-0.0123670849999981,-0.0093111600000006,-0.00768769500000075,7.36299999995132e-05,0.00386902500000059,-0.0051639450000008,-0.006390884999999,0.0946817549999994,-0.0074023099999993,-0.00693566999999933,-0.0046083249999993,-0.00200592999999989,-0.00313184999999934,0.00299105000000074,-0.00494494999999905,-0.00496833000000088,-0.0122161249999983,-0.014155694999999,0.14926951,-0.00529657999999973,0.000916045000001135,-0.00743146999999991,-0.00983689499999892,-0.0180083049999998,0.00248431999999841,-0.0123966949999997,-0.00427076000000028,0.123084459999999,-0.00738941500000086,0.000130824999999019,0.0117597049999991,0.000273290000000642,-0.00664150999999946,0.0049123399999998,-0.000616914999999798,-0.00561077500000038,0.00411051500000044,0.00112920500000077,0.153850465000001,0.00120187000000152,0.000640199999999282,-0.00434584999999894,-0.0132612899999995,-0.00168478999999922,0.000980960000000289,-0.00522212999999994,-0.00817057500000081,0.00613380499999943,-0.000952100000001313,-0.00793749499999848,-0.00786228499999819,0.00822270500000094,-0.00960182000000079
"6",-0.00368293999999919,0.115229965,0.111748935,0.00220395499999951,-0.0062346000000001,0.498753094999998,-0.00383499999999949,0.160276520000001,-0.0166313700000014,-0.0102881999999994,-0.0059309849999983,0.00288461000000073,0.0003503449999996,0.0221628099999992,0.141350360000001,-0.0117524850000006,-0.00503942999999938,0.00969140000000069,-0.0129069300000007,-0.00502929000000036,-0.00327548999999995,-0.00228457999999901,-0.0116717049999999,0.00560582499999996,-0.000836299999998869,-0.00579881499999976,-0.00242746999999985,-0.00723287499999896,-0.00489108500000138,-0.0149914450000007,-0.0112736949999998,0.00635553500000138,0.0100198700000001,-0.0090048549999994,-0.000593485000000151,0.0129850399999996,-0.0040455149999996,0.00789134500000064,-0.00586434499999886,-0.0068092150000003,-0.00625639500000027,-0.00569620000000033,0.00494451000000045,-0.0033447650000001,-0.0105071599999991,-0.0111205100000003,0.00169411000000007,0.10946454,-0.0111166299999993,-0.0069790850000012,-0.00321707999999941,-0.0109582249999997,-0.0133712400000004,-0.0104345349999994,-0.00286756000000064,-0.00564832000000027,-0.0059350699999993,0.00205047999999987,-0.000998630000000157,0.00327664999999906,0.00600295499999942,-0.00537757000000003,0.00123277499999957,0.00893686000000126
"7",-0.0146458449999992,-0.0017690699999997,-0.00488464499999995,-0.0103545649999989,-0.00556763499999959,-0.00383499999999949,0.495506095,0.00354840499999985,-0.000645490000000193,0.00112700500000044,-0.00843938499999925,0.165033459999999,-0.00841517000000059,-0.00824713499999987,-0.00325810999999985,0.0624849749999985,0.0255890650000012,0.000933835000000239,0.00372275000000065,0.00416508500000077,-0.00814451999999949,0.00176726499999892,-0.0108106999999991,0.00304660000000208,0.00308048000000039,0.00401734000000076,-0.00723511500000034,0.000685910000001203,0.0240041949999999,-0.0137720150000002,-0.0216813149999999,0.00605328000000027,-0.00279297000000025,-0.000553225000000676,-0.00916145000000134,0.0313410400000016,-0.00412165000000042,-0.00761534499999995,0.00631408500000148,-0.0125299599999992,-0.0109163499999986,-0.00154989500000027,-0.00374360499999946,-0.00999342499999966,-0.0103711750000009,2.58400000002883e-05,-0.00295472500000011,-0.00176950499999907,0.118636245,-0.00610006999999933,0.000422200000001242,0.00822244499999973,0.00522921999999967,-0.00272531000000045,-0.014750945,0.13816161,-0.00578996999999968,0.00924428000000044,-0.00352645999999884,-0.00252717999999983,-0.00349413499999931,0.00148324499999896,-0.0018300350000001,-0.0134866949999991
"8",-0.00274317500000017,-9.194500000063e-05,-0.01528384,-0.0041002449999995,0.00079178000000012,0.160276520000001,0.00354840499999985,0.497346925,-0.016611905,-0.0036975249999996,-0.00444511500000014,0.00250592000000044,0.00651592499999937,0.00148761499999995,-0.00568038499999971,-0.00424277000000135,-0.00866041999999977,0.0142102600000008,-0.00839710500000038,0.00109990499999975,-0.00389761499999961,-0.00507799999999928,-0.0111223200000017,0.00366514999999993,0.145645840000001,-0.00629860999999947,-0.00498380500000024,-0.0122863499999996,-0.000992765000000646,-0.0083808049999987,-0.00423209499999959,0.00469175500000146,0.0158686899999999,0.00253316000000052,-0.00388794499999896,0.00534770499999933,-0.0044600149999995,-0.00455378500000027,-0.00248388000000023,-0.0113317450000002,-0.00918170999999993,-0.00834052500000091,-0.00781367499999977,-0.0117503900000004,-0.0128641299999999,-0.0106501149999998,0.0120073799999999,0.132892634999999,-0.00614667999999981,0.0074099799999995,0.00623276500000053,-0.0110051850000006,-0.00654045000000043,-0.0126111300000003,-0.00715632000000029,-0.0013594550000005,-0.0105806149999997,-0.0017979849999999,-0.00902481499999969,0.000617105000000304,-0.00618018499999994,0.143633749999999,-0.00837489000000051,-0.00800412499999926
"9",0.000292625000000544,-0.00581632500000007,-0.0176276449999996,-0.00683398999999994,-0.00343757999999959,-0.0166313700000014,-0.000645490000000193,-0.016611905,0.497445469999998,0.00128052500000019,-0.00737964499999932,-0.000729430000000424,-0.00720049500000027,-0.000787825000000378,-0.0100195350000003,0.145759709999999,0.00375905500000016,-0.00591841499999926,0.16519038,-0.00100016999999997,0.00338168499999997,0.00558785000000065,-0.0079507350000002,-0.00180981499999874,0.0068558450000003,-0.00156333000000037,0.00363587000000146,-0.00741006500000065,0.00277857999999949,-0.00423852500000037,-0.0102596100000002,-0.00465361000000113,-0.0105386700000009,-0.00665601500000038,0.181077649999999,-0.00101323999999975,0.147251789999999,-0.0140275100000001,-0.00105349999999913,-0.00839289500000042,-0.000867614999999254,0.00850167499999994,-0.00670288499999809,-0.00772097499999997,-0.00438132000000038,-0.00447429999999964,-0.0140494300000001,-0.00982105000000018,-0.00290628499999933,-0.00767632000000101,-0.00706406500000063,-0.00834846999999867,0.00314298999999987,-0.00274362500000057,0.00349182499999964,-0.00106977499999902,-0.00687960999999956,-0.0100828799999987,-0.0102381199999994,-0.00654896000000009,-0.0147054399999998,-0.00633005500000015,-0.00884000999999945,0.0132005849999996
"10",0.0159220850000002,0.0062260750000011,-0.0104273099999996,-0.0104222799999985,0.0776516800000006,-0.0102881999999994,0.00112700500000044,-0.0036975249999996,0.0012805250000002,0.494272980000003,-0.00752604500000028,-0.00157072999999816,0.000687715000000793,0.00536698499999996,-0.00402386500000001,0.000425755000000591,-0.00357681000000076,0.00182709500000034,0.159753655000001,0.0066561199999998,-0.00847922499999925,0.0032166199999997,-0.0073988249999998,0.00652788499999919,-0.00677788500000002,0.127877620000001,-0.0054880049999984,-0.00646886500000026,-0.0112298249999995,-0.0123875599999986,-0.0079787150000004,-0.00986856999999921,-0.0121054049999997,-0.00828457999999953,-0.0109039999999982,-0.00038859500000022,-0.0149722800000003,-0.00874661499999952,0.0835906450000006,-0.00128021999999961,-0.0117441949999996,-0.00431112999999967,0.0174060950000025,-0.0042303100000016,-0.003666045,-0.00967704000000053,-0.00436173999999992,-0.00294804499999914,0.00178910500000082,-0.00929397999999891,-0.00816695499999897,-0.00932677000000018,-0.0122887500000008,-0.00191485499999832,-0.000825684999998587,-0.00229388999999949,-0.00885654000000111,-0.00222043000000035,0.00300558000000009,0.00183668499999987,-0.00288494999999861,0.0040703050000001,-0.00122109499999918,-0.00694623999999983
