"ID","iter","ns","bv","p","r"
"509516",10,40,0.961226871610173,0.0100000006120498,1
"509524",10,40,0.910083390624114,0.010000008303114,1
"509550",10,40,1.01478412954941,0.010000002063377,1
"509551",10,40,1.22759727890918,0.0108254389907064,1
"509558",10,40,1.31073060288912,0.0138128375714236,1
"509578",10,40,1.84170491941099,0.0139695917968284,1
"509585",10,40,1.79509348296322,0.0406539945337798,1
"509590",10,40,1.28971390770741,0.0160824834495854,1
"509592",10,40,1.5398260286544,0.0174260660922034,1
"509603",10,40,1.43356934603956,0.0156128495741089,1
"509612",10,40,1.31718446212702,0.0130282649319247,1
"509619",10,40,1.75767914906187,0.0261738582691012,1
"509640",10,40,1.40109062072196,0.0198765193545139,1
"509650",10,40,1.49783167277605,0.0221499016069099,1
"509654",10,40,1.7034559839002,0.0236615136893303,1
"509655",10,40,1.6491613272398,0.0140871439430567,1
"509657",10,40,0.877344028651701,0.010000032318907,1
"509667",10,40,1.18788071529732,0.0100152067899259,1
"509668",10,40,1.27078936459074,0.0100000152989123,1
"509673",10,40,1.59229491607487,0.0204495977554852,1
"509689",10,40,1.47430309800266,0.0189168821419485,1
"509702",10,40,1.08725216848626,0.0100000013836733,1
"509703",10,40,0.969961965892031,0.0100000025678789,1
"509704",10,40,2.08040739959294,0.0375989346592069,1
"509718",10,40,0.887060101829279,0.0100000101820948,1
"509719",10,40,1.22092004236994,0.010001940170463,1
"509720",10,40,2.30690994805663,0.0393943874739719,1
"509722",10,40,1.7823866968212,0.0361875585142542,1
"509724",10,40,1.11653121592497,0.0100000016458822,1
"509725",10,40,1.78118044230351,0.0192045451429833,1
"509735",10,40,0.949329631642053,0.0100004578163704,1
"509752",10,40,1.53709620143829,0.0257880739825032,1
"509755",10,40,1.41424790725737,0.0244264421286568,1
"509757",10,40,1.44364772545797,0.0176524544490494,1
"509758",10,40,1.21990917111539,0.0133085632841578,1
"509764",10,40,1.28127100871203,0.012807237903157,1
"509781",10,40,1.81470595203637,0.0264372987514425,1
"509790",10,40,1.65889826380453,0.0207958381381974,1
"509798",10,40,1.17761020501512,0.0100001904046101,1
"509799",10,40,1.61707458719239,0.0125175037237422,1
"509812",10,40,1.1992653214483,0.0105336668648495,1
"509817",10,40,1.06026102833087,0.0100186999913978,1
"509821",10,40,1.05231330270605,0.0100000048518099,1
"509827",10,40,1.53273171898452,0.0206584565456524,1
"509830",10,40,1.11387307621759,0.0117253321035743,1
"509835",10,40,1.31946602313507,0.0103043248159372,1
"509875",10,40,1.40802844236704,0.0136854490327889,1
"509886",10,40,1.3050340773511,0.0159271680678462,1
"509887",10,40,1.16128479410824,0.0100000011944253,1
"509888",10,40,1.05407376239242,0.0109874302457282,1
"509898",10,40,1.86714235384037,0.0150617935472216,1
"509909",10,40,1.6266742930253,0.0167369506854394,1
"509921",10,40,1.15700114673727,0.0100000064068454,1
"509927",10,40,2.01640936683902,0.0472163639732587,1
"509934",10,40,1.1278394707458,0.0111479998901024,1
"509936",10,40,1.36157689294079,0.011758363693159,1
"509953",10,40,1.08665041525242,0.0100000091782751,1
"509955",10,40,1.35360276169852,0.0100002070975887,1
"509963",10,40,1.03747004784583,0.0100000015115404,1
"509970",10,40,0.919758717797578,0.0100000087292201,1
"509972",10,40,1.17261340187132,0.0100000031655718,1
"509986",10,40,1.142760693513,0.0113741069982832,1
