"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1",0.488074394999998,-0.000766854999997357,-0.00700904999999927,-0.00565655999999932,0.00386722500000065,-0.000830454999999596,-0.00941792499999868,-0.0102130349999999,-0.00856874499999979,-0.0114250799999997,0.00392239500000006,-0.00381499000000067,-0.000512245000000496,-0.0110510400000006,-0.00248683499999995,-0.00686650499999928,0.00106746999999983,-0.00600341999999998,-0.00158564000000036,0.000489194999998901,-0.00101784500000028,0.00243035000000127,0.000522310000000077,-0.00248075499999945,0.000539649999998877,-0.000141100000001209,-0.0127774,0.00173552999999959,-0.00116146000000061,-0.00828132999999955,0.00131811999999848,-0.00198453499999921
"2",-0.000766854999997346,0.500149359999998,0.0154193149999996,-0.000709855000001353,-0.000202024999999219,0.00354554000000066,-0.00960473500000044,0.000179179999999515,0.00916553500000031,-0.00496370999999976,-0.00619821999999891,-0.00458888999999954,0.028509,-0.00913890999999914,-0.0127710249999991,0.00489872500000004,-0.00489217499999862,-0.00200662999999896,-0.00281826500000052,-0.00414800999999872,0.00514117499999822,-0.00595593500000086,-0.00234961500000083,-0.00133348499999981,-0.00620855499999975,-0.00880024999999991,-0.00265501999999928,-0.00668244000000006,0.00324638500000045,-0.00397779500000083,0.00187876999999963,-0.0111679150000002
"3",-0.00700904999999927,0.0154193149999996,0.494881450000002,0.00110710999999962,-0.000604875000000801,0.0329532250000002,-0.00945237500000116,-0.00928036499999973,0.10459307,0.00332292000000048,-0.00522863500000098,-0.0104311249999999,0.0192806350000005,-0.00111401999999969,-0.0122995050000006,-0.0101216500000004,-0.0082130199999994,0.000364305000001053,0.00509479999999941,-0.0104606700000008,-0.00444478999999935,-0.00630351500000049,-0.00525614499999919,-0.00678617499999984,0.00436351000000022,-0.00135216499999942,0.0108213050000011,0.000965440000000459,-0.00840775999999974,0.102084595000002,-0.00728534000000136,0.00465229499999873
"4",-0.00565655999999931,-0.000709855000001352,0.00110710999999962,0.517620065,-0.00496449999999953,-0.00315798000000045,0.00827270999999902,-0.00648523499999975,0.000920064999998171,-0.00578176000000001,-0.00586511999999951,-0.00539365499999928,0.1879426,-0.00790448499999995,-0.00985264999999886,-0.00280731000000062,-0.0103308399999977,-0.0045271799999989,-0.00143651999999934,-0.00668624499999997,0.00124585000000068,-0.00499870000000124,-0.0152030349999989,0.000134004999999498,-0.00561963999999932,0.0828897900000002,-0.00635386000000022,-0.00305206000000035,-0.0111541500000013,-0.00657826499999894,-0.000766305000000134,-0.0144463050000004
"5",0.00386722500000065,-0.000202024999999211,-0.000604875000000802,-0.00496449999999954,0.499688010000002,0.14596075,-0.00455751999999992,0.00959060999999993,0.00290899500000008,-0.0094037650000021,0.137340655000001,0.000462270000000597,0.0014769300000002,-0.0105690899999998,0.0550228900000014,-3.50449999997878e-05,-0.00255790499999974,-0.00691786499999838,-0.00497850499999966,-0.00457458499999962,-0.00179617499999924,-0.00172678999999887,0.00695332999999954,0.00110415500000036,-0.00750764000000041,0.00535669000000166,-0.0183930650000009,-0.0103952850000014,0.00238283499999765,-0.00193726000000029,-0.00685310000000102,0.00471224000000095
"6",-0.000830454999999595,0.00354554000000066,0.0329532250000002,-0.00315798000000046,0.14596075,0.510994359999999,-0.0139031900000001,0.08728582,0.0484671949999999,-0.00171689499999994,-0.0092512150000001,-0.00810770500000112,-0.000927119999999804,-0.00439419999999897,-0.0138304899999999,0.00109823000000036,-0.00282194999999817,-0.0105890849999986,-0.00788693999999985,-0.00239906000000012,-0.015439449999999,-0.00972538999999939,0.167675625,-0.00353311999999967,-0.00572817499999965,-0.00492485999999815,-0.0102164700000006,0.167544214999999,0.00271724999999796,0.0447244200000005,-0.0053657050000005,0.108262815
"7",-0.00941792499999869,-0.00960473500000044,-0.00945237500000117,0.00827270999999903,-0.00455751999999992,-0.0139031900000001,0.504856255,-0.00390193499999976,-0.00706259999999966,-0.00471723999999926,0.00765594499999996,0.14607198,-0.00207939000000141,0.0105832499999988,-0.00222972999999858,-0.00505420000000116,-0.0072853500000004,-0.00395974000000165,-0.00776071500000008,0.000666690000001108,-0.00221931999999971,-0.0166641249999994,-0.00749983000000147,-0.0075978850000001,-0.00752605499999941,0.00209430500000057,-0.00992689999999847,-0.00465326999999995,3.36500000001258e-05,-0.00498871500000021,-0.00322148000000064,-0.00605056999999985
"8",-0.0102130349999999,0.000179179999999517,-0.00928036499999974,-0.00648523499999974,0.00959060999999993,0.08728582,-0.00390193499999976,0.500796805000002,-0.00473503500000152,-0.00562111499999984,-0.00414022000000079,0.0054299749999994,-0.00524890499999979,-0.00784401999999946,-0.0043123550000006,-0.0068144149999993,-0.00606982000000043,-0.0132687949999997,-0.0184643249999994,-0.00931115500000008,-0.00364647,-0.00612301000000075,0.109149615000001,0.00113156999999987,-0.00182057499999936,-0.00352171000000033,0.000592179999999734,0.0723728250000001,0.00150988500000146,-0.00841375000000238,-0.00130934999999989,0.140505195
"9",-0.0085687449999998,0.00916553500000032,0.10459307,0.000920064999998171,0.00290899500000008,0.0484671949999999,-0.00706259999999966,-0.00473503500000152,0.492264305000001,-0.00811214999999945,-0.00973469499999949,-0.00379376000000179,0.0261254500000003,-0.0110333949999987,-0.0142823250000008,-0.00337774999999989,-0.0132558000000003,0.00603645500000181,0.00166507500000003,-0.0129913699999996,0.00270580999999956,-0.0162292850000004,-0.0111157099999987,-0.000527774999999038,0.000425584999999891,-0.00586691499999919,-0.00484523499999939,0.0140584849999987,-0.00735894999999929,0.13698149,-0.00178465000000064,0.00330838500000088
"10",-0.0114250799999997,-0.00496370999999976,0.00332292000000046,-0.00578176000000002,-0.0094037650000021,-0.00171689499999994,-0.00471723999999926,-0.00562111499999984,-0.00811214999999944,0.490338735,-0.00905849500000009,-0.0067800749999998,-0.00255330499999941,-0.000798000000000471,-0.00190629000000007,0.00329919499999981,-0.00579722000000042,-0.00206540000000171,0.110640915,0.000971189999999979,-0.00694082999999904,0.0316780749999994,0.00153344999999934,-0.00190924000000062,0.00644022000000081,-0.00371945499999902,-0.00491144999999824,-0.00151449999999905,-0.00986887499999946,-0.00592900999999935,-0.00783505499999959,-0.000246785000001442
"11",0.00392239500000005,-0.00619821999999891,-0.00522863500000099,-0.00586511999999951,0.137340655000001,-0.00925121500000009,0.00765594499999996,-0.00414022000000079,-0.00973469499999949,-0.00905849500000009,0.504905935,0.00342581000000154,-0.00626238000000104,-0.0109484399999993,0.138094975,-0.00293506499999966,0.00685932499999992,-0.00141620000000077,-0.00238313499999817,-0.000673405000001867,-0.0124723700000014,-0.00634004999999828,-0.0156572600000014,-0.0115530199999998,-0.00575953500000111,-6.98999999932369e-06,-0.0156151550000005,-0.0107041850000001,-0.000225995000002376,-0.000416475000000154,-0.00275238500000158,-0.0123720899999996
"12",-0.00381499000000066,-0.00458888999999954,-0.0104311249999999,-0.00539365499999928,0.000462270000000605,-0.00810770500000111,0.14607198,0.0054299749999994,-0.00379376000000179,-0.00678007499999979,0.00342581000000153,0.492877420000001,0.0887637599999988,-0.00919755500000017,-0.00880079499999979,0.0119366199999983,-0.0102677300000002,-0.000835450000001518,-0.00415076999999841,0.000899194999999498,-0.0087601399999997,-0.0109588349999997,0.00174262000000083,-0.00726645499999985,0.0046732000000016,-0.00166072500000082,-0.00108606999999911,0.00698499499999749,-0.0129132350000013,-0.00929153000000071,-0.0113045499999998,0.00589989999999902
"13",-0.000512245000000491,0.028509,0.0192806350000005,0.1879426,0.0014769300000002,-0.000927119999999801,-0.00207939000000142,-0.00524890499999979,0.0261254500000003,-0.0025533049999994,-0.00626238000000104,0.0887637599999988,0.496017710000001,-0.00509281500000004,-0.00296132999999938,-0.00791793999999978,-0.00783381499999789,-0.00488571999999788,-0.00042101500000126,-0.00509046999999949,0.00450789499999968,-0.00342323500000012,-0.000375790000001394,0.00492156499999989,-0.0113250650000018,0.107347195,0.00137550499999944,-0.00259368999999931,-0.00150388500000065,0.00818792000000172,-0.00496871500000189,-0.0117245200000003
"14",-0.0110510400000006,-0.00913890999999914,-0.00111401999999967,-0.00790448499999995,-0.0105690899999998,-0.00439419999999897,0.0105832499999988,-0.00784401999999948,-0.0110333949999987,-0.00079800000000047,-0.0109484399999993,-0.00919755500000018,-0.00509281500000003,0.497165984999999,-0.00304776000000025,0.00330380999999933,0.00611101499999998,-0.00247056499999953,0.000574500000001066,-0.00765608499999982,0.00403203000000007,-0.00503531499999887,-0.00277450500000053,0.000810924999999865,-0.00338085000000013,0.00221756999999964,0.124208440000001,0.0055354749999988,-0.00557785000000091,-0.00473187999999951,-0.00593856500000045,-0.00155244000000144
