"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.50686812,-0.0093111600000006,-0.00768769500000075,0.00386902500000059,-0.00200592999999989,-0.00496833000000088,-0.0180083049999998,-0.000616914999999798,-0.00168478999999922,0.000980960000000289
"2",-0.0093111600000006,0.495324249999999,0.12339621,-0.00550919000000112,-0.00478921000000047,0.006653749999999,0.17162461,-0.00906094999999923,-0.00551012499999968,-0.00176694999999973
"3",-0.00768769500000076,0.12339621,0.49233078,-0.00197800499999987,0.00384782999999992,0.00551669000000047,-0.0119634950000016,-0.0147115300000002,0.00195850500000032,0.00630869999999987
"4",0.00386902500000059,-0.00550919000000113,-0.00197800499999988,0.499943795000001,-0.00624665499999946,0.00564408499999927,-0.00792156000000055,0.00429595999999994,-0.00681195500000033,0.12348467
"5",-0.00200592999999989,-0.00478921000000047,0.00384782999999991,-0.00624665499999946,0.48550783,0.00727238000000006,-0.00640325499999977,-0.00311818499999909,-0.0036041300000002,0.00842786500000061
"6",-0.00496833000000089,0.006653749999999,0.00551669000000047,0.00564408499999927,0.00727238000000006,0.528258194999997,0.00520997499999904,-0.00509380499999954,-0.000446444999999935,-0.000395139999999213
"7",-0.0180083049999998,0.17162461,-0.0119634950000016,-0.00792156000000055,-0.00640325499999976,0.00520997499999904,0.497734235,-0.00456008999999996,-0.00320153999999984,-0.00245427499999901
"8",-0.000616914999999798,-0.00906094999999923,-0.0147115300000002,0.00429595999999994,-0.0031181849999991,-0.00509380499999953,-0.00456008999999997,0.502175875000001,0.0034976449999998,0.00137932500000012
"9",-0.00168478999999921,-0.00551012499999967,0.00195850500000032,-0.00681195500000033,-0.0036041300000002,-0.000446444999999941,-0.00320153999999984,0.0034976449999998,0.496627635000001,-0.0128502799999991
"10",0.000980960000000287,-0.00176694999999973,0.00630869999999988,0.12348467,0.00842786500000061,-0.000395139999999209,-0.00245427499999901,0.00137932500000011,-0.0128502799999991,0.497038875000001
