"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65"
"1",0.499274304999998,-0.00474617000000109,0.017258849999999,0.010275035,-0.00152495999999993,-0.00935612999999924,-0.0118616599999991,-0.00585037000000041,-0.00604642499999936,0.00162159999999888,-0.00703583000000016,-0.00397594000000072,-0.001686350000001,-0.0034567150000015,-0.0104223349999991,-0.0140989849999999,0.00437635999999997,-0.00060425500000153,0.0424029449999997,0.000635250000001252,-0.0013553900000013,0.124892755,-0.00236193500000013,-0.000931210000001057,-0.00157585999999939,-0.00443382500000052,-0.00357729999999869,0.0174934950000008,-0.000157109999999547,-0.000227069999998478,-0.00293579000000005,-0.00852562500000047,-0.000351819999998932,-0.0037183699999991,-0.00496667499999988,-0.00991522500000006,-0.00755756999999994,-0.00941956499999921,0.000842034999999952,-0.00953325000000107,0.0057203950000003,0.00402437499999923,-0.00946581999999918,-0.0103180450000005,-0.0021246949999993,-0.0032673250000004,-0.000753894999999655,0.0416712049999987,-0.00576191500000025,0.00327535499999926,-0.0103233449999994,-0.00557053000000012,-0.00675105000000042,-0.008121504999998,-0.000772305000000394,-0.0135268849999995,-0.0158434850000015,0.124146555,0.00169738000000019,-0.00642655499999964,0.00338606500000081,-0.00550271499999794,-0.00177567999999967,-0.00118577500000106,0.00112999499999996
"2",-0.00474617000000109,0.513107015,-0.00258634500000043,-0.00726979499999995,-0.000758605000000571,-0.00042409500000042,-0.00494501499999963,-0.00711578500000124,-0.00227566500000082,-0.00955356499999879,-0.000749044999999553,-0.00452149499999906,-0.00339371500000043,-0.0139255599999974,-0.00728562000000093,0.00480190000000074,-0.0125286150000008,0.00799523000000134,-0.00347802500000007,-0.0076756750000007,-0.00785489000000019,-0.0060586049999986,-0.00800597499999941,-0.00225709000000039,0.160635195,0.00142595999999985,-0.00324227000000048,0.00461597499999894,0.000699075000000941,-0.00569103500000267,-0.00373638500000166,-0.0089781699999993,0.00263523999999908,-0.0127221300000009,-0.0144731600000004,0.000579834999999796,0.0878405200000001,-0.00684215999999963,-0.0100362750000014,-0.00342095499999992,0.00334529999999935,-0.0116769999999995,0.193023594999999,-0.000293859999999491,-0.0077935799999997,-0.00388207999999985,-0.00777913999999991,-0.00361961499999957,-0.0159353799999991,-0.00732180499999985,-0.0110413199999987,0.00205207500000021,-0.00600099999999971,-0.00775408500000131,-0.0024467500000002,-0.0107102000000011,-0.0143594399999985,-0.00506675999999968,-0.00327849499999893,-0.00222551500000073,-0.00225935500000033,0.00540622499999965,-0.00458944499999899,-0.00391166500000031,-0.0117787749999992
"3",0.017258849999999,-0.00258634500000043,0.495551624999999,0.00104330500000152,-0.00209632499999951,-0.00714021000000082,0.00315574500000046,-0.00818083499999925,0.000898825000000928,-0.00607238499999917,-0.0117828949999995,-0.00607618499999983,-0.00733457000000001,-0.00269342500000039,0.0100491250000007,-0.0102571800000002,-0.0049254450000008,0.00139750000000011,0.00597703500000094,0.00589841499999755,-0.0065375200000005,-0.00338137499999989,-0.00182219500000188,0.00249170499999851,-0.0021581750000002,-0.00343497000000054,-0.00566208499999979,0.125075929999999,0.114899404999999,-0.0108032199999991,-0.00107275000000077,0.00363999499999978,-0.00947614000000024,-0.00547293500000025,-0.0062418900000004,-0.00388501000000101,-0.00581728499999891,0.00334389000000033,0.00345391500000032,-0.0099515599999992,-0.00742162500000065,-0.0112086049999998,-0.0084350350000004,-0.00771406999999769,0.00336557500000048,-0.00366337999999991,-0.00631577999999932,0.0938776799999996,-0.00264115999999965,-0.00921597500000129,-0.00307639999999954,5.10849999997878e-05,-0.00223695500000155,0.00402081499999693,-0.00565820999999968,-0.00446306000000055,-0.00616180999999956,-0.00301678499999817,-0.000168889999999217,0.0160368449999985,0.00193108500000059,0.000124714999999021,0.00691577500000077,-0.0104643399999992,0.00279511499999996
"4",0.010275035,-0.00726979499999995,0.00104330500000152,0.502117149999997,-0.000990124999999874,-0.0138805149999988,-0.00313958000000182,-0.00075669000000119,-0.00793309500000038,0.000897400000000556,-0.0108447650000015,-0.00513621000000027,-0.00369359499999979,-0.00284593999999987,-0.00107274000000086,-0.00862088499999931,-0.00167002999999802,-0.00305359000000101,0.00267013000000021,-0.00574074499999621,0.00421878500000036,-0.000950505000000506,-0.00944220999999784,0.0100060449999993,0.11834254,-0.00741577000000053,-0.00141832499999989,-0.00370862999999802,-0.00748742000000136,0.00575511000000001,0.00247931000000021,-0.00355276499999928,0.0034953000000014,0.0044904349999998,-0.00598108500000072,-0.0125512099999981,-0.00757614000000051,-0.0121816200000002,-0.00401585999999804,-0.0107058600000006,-0.0180954150000015,-0.00203475000000118,-0.0168804799999993,-0.00620946000000123,0.00197028499999845,-0.00610363000000082,-0.000858910000001315,-0.00155070499999833,0.00130376999999928,-0.00281860499999958,-0.0093880700000015,-0.00923289500000054,0.00989272500000076,-0.0111316499999967,-8.57750000009241e-05,-0.00165645499999827,0.00652805499999905,-0.000962740000001877,-0.0070719350000012,-0.000332689999998002,0.00777870500000041,-0.0119006349999977,0.00295395500000004,-0.00703268999999925,-0.00186883000000057
"5",-0.00152495999999993,-0.000758605000000569,-0.00209632499999951,-0.00099012499999987,0.498433939999999,0.00334990500000082,-0.00272517500000013,-0.0139750650000015,-0.00837974499999982,-0.00244886999999896,0.00159726500000051,0.00202812500000008,0.00486604499999992,0.00423051499999944,0.00310567000000031,-0.00314301499999917,0.00387757499999954,-0.00240314000000011,-0.000695940000000784,-0.000797444999997497,-0.0113562699999981,-0.00481307500000139,-0.0066686849999993,-0.00226832000000004,-0.00796343999999943,0.0124850100000009,0.000256719999999818,-0.0107735649999995,-0.00520786500000222,-0.0041670749999993,-0.00432678999999962,-0.00787260999999795,-0.00692830999999878,-0.00518963000000056,-0.00856125000000047,-5.09099999996356e-05,-0.00769421000000189,0.00118441499999938,0.000556085000000298,-0.00472088000000053,0.00278686499999849,-0.00817545999999999,0.00480130500000015,-0.00980934500000137,0.00543886999999924,0.10645669,-0.00497217000000008,-0.00338277999999943,-0.00263395000000152,0.00554720500000007,-0.00149402499999976,-0.00780604499999966,-0.00300265000000047,-0.0026541499999987,-0.00157406499999859,0.00765504500000229,0.00213560999999962,-0.00421770000000129,-0.00243933000000128,0.00571691000000065,-0.00842963500000063,-0.000781524999999407,0.0091904500000014,0.00644950499999906,-0.0101987549999993
"6",-0.00935612999999924,-0.000424095000000423,-0.00714021000000082,-0.0138805149999988,0.00334990500000083,0.492493034999998,-0.0117029249999984,-0.00622878999999913,0.00193806500000339,-0.00486798999999961,-0.00306607999999761,-0.0118032350000023,-0.00416104999999966,0.00170782000000239,-0.00572243999999947,0.0144954700000009,-0.0026322350000009,-0.000481604999998318,-0.0090559499999985,-0.00121253000000169,-0.000817395000001812,-0.00300175999999956,0.00491330499999833,8.26649999991031e-05,0.000465464999999351,-0.00321981500000018,-0.00604211499999945,-0.00107559500000119,-0.0109810549999988,-0.00910437000000034,0.00227606499999948,-0.00452390500000051,-0.00841939500000186,-0.0152959699999992,-0.00615112499999978,-0.0024465500000017,-0.0120511699999986,-0.00333383500000119,-0.0079382499999988,0.00387407499999976,-0.00999146499999751,-0.000192919999997562,-0.00137556500000131,-0.0022792099999992,-0.00917807499999813,0.00201269000000062,-0.00960924999999817,-0.00486491999999937,-0.00560270499999883,0.00285917999999955,0.0137325150000014,-0.00551299000000089,-0.00810020500000093,0.0955252349999963,-0.00226038999999845,3.75949999991574e-05,-0.00520993500000182,-0.0111958449999986,-0.00187249999999826,-0.00681625999999979,-0.00725634999999898,-0.0101218650000001,0.00121219500000162,-0.00562034999999931,0.000360135000000301
"7",-0.0118616599999991,-0.00494501499999962,0.00315574500000046,-0.00313958000000182,-0.00272517500000012,-0.0117029249999984,0.499358810000002,0.000618394999998906,0.125315225,-0.00158777000000177,0.0088869399999985,-0.00627283500000034,-0.00507330499999997,-0.00593013000000115,0.00510562000000099,-0.00772421499999987,0.00159140500000022,-0.0133454950000003,-0.002574164999999,-0.0109852050000013,-0.0103599749999989,0.00103879500000031,-0.0123034599999997,-0.0087371249999985,-0.000312530000000734,-0.0064878449999987,-0.0114334749999985,-0.000885459999998275,-0.0105319099999984,-0.0172859100000011,-0.000622609999999358,0.00752507999999956,-0.0131085900000013,0.00312769500000056,0.125179945000001,-0.00174503000000187,0.00135846999999957,-0.00284424500000014,-0.000832414999999468,-0.00393192999999937,-0.00572203500000004,-0.0125855750000016,-0.0060172350000003,-0.00432517000000026,-0.00271868500000188,-0.0115695100000009,0.00186934999999904,-0.00050707499999933,0.00437840999999929,0.00371456500000048,-0.0049594800000008,0.00201342999999965,-0.00200624499999937,-0.00520008500000001,-0.00768933000000274,-0.00604181000000194,0.00350899500000096,-0.0102708099999994,0.00281856499999914,0.0047951600000009,-0.00991140000000094,-0.00830166000000063,-0.0058957350000011,-0.00987595499999986,-6.83250000010693e-05
"8",-0.00585037000000042,-0.00711578500000124,-0.00818083499999925,-0.000756690000001193,-0.0139750650000014,-0.00622878999999912,0.000618394999998904,0.491769880000001,-0.00587432999999975,0.0215540800000008,-0.00829111500000063,-0.00829240000000072,-0.00376924499999967,-0.00305322000000074,0.1225072,0.000774170000000569,-0.00531193499999998,-0.00789482000000185,-0.00299106499999956,-0.00878799499999926,-0.00488493499999947,-0.0105734600000013,-0.0126194850000002,-0.00537407000000045,-0.00273785000000065,-0.00720474499999997,-0.00200665000000093,-0.0120699849999984,-0.00557489000000124,-0.00516914499999961,-0.00118369999999909,0.00329851499999999,-0.00476070499999971,-0.00410549000000083,0.00288202500000001,0.00731364500000095,0.00338370499999961,-0.00582914000000027,-0.00441590000000032,0.00628334500000077,-0.00621988000000091,0.00197600499999816,-0.00339399499999849,-0.00565852000000026,-0.0100697100000006,-0.00835235000000195,-0.00461550500000077,-0.00930275000000016,0.00392434499999896,0.00165612499999979,0.00835991000000011,-0.00168894999999957,-0.00893887500000034,-0.00770447499999655,-0.000106175000000839,0.00120701500000176,-0.00232072000000032,-0.00353493000000058,-0.0022621250000016,-0.0109724099999989,0.00506969000000022,-0.0016999499999986,0.00921000500000088,0.000392390000000885,-0.00629887500000129
"9",-0.00604642499999936,-0.00227566500000081,0.00089882500000093,-0.00793309500000038,-0.00837974499999983,0.00193806500000339,0.125315225,-0.00587432999999975,0.490258049999999,-0.00119625500000129,-0.00938872500000051,-0.00234152000000035,-0.00726233499999959,-0.000215525000000088,-0.0123274599999998,-0.00867894500000083,0.00309544499999929,-0.0121843300000002,-0.00769264000000004,-0.00718854500000061,-0.00210597499999904,-0.0117274599999992,-0.00872619499999872,-0.0103545699999986,-0.0104787849999981,-0.00626800499999973,-0.00768004999999999,0.0047881900000002,-0.0112178750000003,-0.0102872599999995,-0.00850200500000014,0.00330105499999867,-0.0019055549999991,-0.00368729999999848,0.0103348849999997,0.0116199649999995,-0.00710840500000141,0.000316624999999223,0.00197734999999943,-0.00152167500000035,-0.0140771150000003,-0.00704727500000084,0.00219778499999937,-0.000360675000001381,0.00782247999999886,-0.0100265449999996,0.00229455999999958,0.00970167500000025,0.00841537500000015,-0.00426556999999933,0.0159773049999999,0.00214925000000014,0.0193817300000015,-0.00888304499999787,0.104762195,-0.00775979499999986,-0.00857852499999969,-0.00897393500000135,0.14797866,0.00568240500000079,-0.00134304999999995,-0.00501010000000042,0.186810795,-0.0107006550000001,-0.0143701850000001
"10",0.00162159999999888,-0.00955356499999878,-0.00607238499999917,0.000897400000000558,-0.00244886999999896,-0.0048679899999996,-0.00158777000000176,0.0215540800000008,-0.00119625500000128,0.493656664999999,0.00292866000000022,0.00557258,-0.00677463499999962,-0.00228420500000036,0.00159088500000062,-0.00248279000000042,0.11360501,-0.00864417500000092,0.0019492200000005,-0.0058783150000022,0.00320712999999905,-0.00124057000000134,-0.000813760000000344,-0.00295473000000015,0.00266146500000096,0.00119828500000114,0.0067850600000003,0.000553289999999392,-0.00369468499999966,0.01103196,-0.00178427999999943,0.00527445000000012,-0.00613172000000038,-0.00457174000000165,0.0010745400000003,-8.2835000002645e-05,0.00785545000000179,-0.00243844499999997,-0.00484443000000033,-0.00574555000000062,-0.00183095499999956,0.013306875,0.18119641,4.86100000005585e-05,-0.00825207000000066,-0.00314278500000047,-0.00463620500000059,-0.00826394499999837,-0.00738413000000056,-0.00596490999999998,0.000922019999999941,0.00409687999999887,-0.00575148000000026,-0.0028230900000014,-0.0113701550000006,-0.00193033000000054,-0.00508243499999991,-0.00821070999999844,-0.00627780500000115,-0.00925224500000106,-0.00362164999999997,0.00212176999999879,-0.00849241000000089,0.00321218000000089,-0.00308564499999904
