"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"1",0.489647425000002,-6.55649999997829e-05,0.00395914000000027,-0.00705313499999915,-0.00399818500000185,-0.00298715000000095,0.010296145000001,-0.00767722999999882,-0.0102275800000009,-0.00679832499999945,-0.00204134500000053,-0.00519365499999933,0.000335595000000603,-0.00430746500000034,-0.00214980000000091,-0.0112534649999989,0.00753859499999904,-0.00447443000000177,-0.00507084999999986,-0.0118795250000003,-0.0124566500000017,0.00104071999999899,0.00600312999999915,-0.00232611499999992,-0.00798717500000196,-0.000284059999999729,-0.0121847399999996,-0.00203297999999957,-0.00401540499999906,0.00320334999999976,-0.00606297999999851,-0.0105042299999983,-0.00354432500000009,0.00196071999999921,0.00196329000000118,0.0114491549999997,-0.0143617499999995,-0.00263463500000193,-0.00631768499999958,0.00736261500000069,-0.0147460350000006,-0.00506342499999912
"2",-6.55649999997757e-05,0.496390024999999,-0.00358256500000034,-0.00735577500000134,-0.00513815499999956,-0.00578010999999913,-0.014116305,0.000744724999999812,0.00167356000000028,-0.00648186000000014,0.00562943000000007,-0.00604033499999884,0.0070871500000003,-0.00215784499999971,-0.00464231999999815,-0.00468105000000075,-0.00261213000000011,0.107856475000001,-0.0127275650000001,-0.00982303500000018,0.014247085000002,-0.00371161499999972,-0.0114346199999981,-0.00149139000000037,0.000748425000001526,0.00713782499999965,-0.00231707999999989,0.000225424999999992,0.00266289500000043,-0.00286159000000028,-0.0138343050000004,-0.00556445500000229,-0.00135175499999943,0.00424435499999953,-0.00857613000000126,-0.0148708799999998,0.00105614999999915,-0.0159909949999989,-0.00772548500000076,-0.00491303500000074,-0.00291645499999834,0.00295179499999976
"3",0.00395914000000028,-0.00358256500000034,0.496461315000001,-0.0099055550000015,-0.00801063999999922,-0.000305499999999118,-0.00798542000000111,-0.00258519999999989,-0.00633306499999798,-0.00473759499999583,0.00997204500000109,-0.00201184499999895,-0.000718765000000216,-0.00208590499999871,-0.00600296999999941,0.172949319999999,-0.00622043999999921,-0.00129789999999786,-0.00132154500000008,0.000134975000000993,-0.00500368499999935,-0.00300792499999942,-0.000814169999997456,-0.00716508499999916,-0.00240477499999872,0.000897585000000586,-0.0101556249999959,0.0052911500000017,-0.0025213350000002,-0.00661863500000172,-0.00210324499999969,-0.00099279500000059,-0.0145853100000002,-0.00619402999999929,0.103325259999999,0.00690590500000196,-0.00772704999999923,-0.0111390549999992,-0.00622516999999934,-0.00708914500000179,-0.00071380000000155,-0.000223449999999187
"4",-0.00705313499999916,-0.00735577500000134,-0.00990555500000149,0.499506715000001,-0.00382566000000128,-0.0145371049999991,-0.000711075000001707,-0.00638581499999795,-0.012738949999998,0.00499580500000776,-0.00545207999999686,-0.0129962149999984,-0.00480994999999999,-0.0104776049999978,0.00519880500000023,0.000871024999999628,-0.00754963500000004,0.00437261500000004,-0.000711245000000605,-0.000931520000000127,-0.0114195300000006,-0.00371441999999961,-0.00347308499999695,0.0204213900000011,-0.00665244499999758,0.00286396500000145,0.00136721000000618,-0.00639222499999631,0.00372628500000055,0.148206064999998,-0.0122089800000004,-0.00452811500000082,-0.00511290499999975,-0.00564164999999855,-0.00766409000000153,0.000841300000000712,0.00314496500000237,-0.0164330900000013,0.00104791500000086,0.185927739999998,-0.00735089500000384,-0.004999484999998
"5",-0.00399818500000184,-0.00513815499999954,-0.00801063999999922,-0.00382566000000127,0.501665865,-0.00272923999999962,-0.0044056800000003,-0.0104805850000008,-0.000735105000001404,-0.00697850500000253,-0.00871573000000086,8.84499999998502e-06,0.0031548550000005,-0.00634784999999971,-0.00604346999999915,0.00230910499999975,-0.0119618649999999,-0.000380464999999122,-0.006565669999999,0.119542909999999,-0.010474659999998,-0.00239234999999982,-0.0172292650000015,-0.0114914199999993,-0.0128108999999996,0.00233343499999969,-0.0025540750000031,-0.00893364500000098,-0.00624677999999979,-0.0128874999999994,-0.0144202099999993,-0.00530256000000057,-0.00136275000000073,-0.00821434000000019,-0.00987914000000026,-0.0097711250000001,-0.0049130000000013,-0.00710008499999876,4.34449999994831e-05,-0.00961580999999971,-0.000395309999998217,-0.0121519000000018
"6",-0.00298715000000095,-0.00578010999999913,-0.000305499999999122,-0.0145371049999991,-0.00272923999999962,0.497653219999997,-0.00918088499999873,0.00670707999999724,0.156776924999998,-0.00895593500000834,-0.0065220550000024,-0.00609149000000129,-0.0068506250000003,-0.00228275500000324,-0.0021438300000007,-0.00720695999999988,-0.00583819000000114,-0.00892318500000121,-0.00197769000000028,0.00514999499999954,-8.09500000019271e-05,-0.00866781000000126,-0.00839592500000197,-0.00995778000000243,-0.00897975000000281,0.00796438499999928,-0.0016124250000069,-0.00225709500000331,-0.00322236500000086,-0.0092573499999972,0.135592400000001,-0.00592988500000133,-0.0155250650000006,-0.00552563500000029,-0.00063627999999771,-0.0095564500000026,-0.00304048000000461,0.130662715,-0.00107688500000085,-0.0109784699999964,0.00549335000000318,0.00178638999999941
"7",0.010296145000001,-0.014116305,-0.0079854200000011,-0.000711075000001706,-0.00440568000000031,-0.00918088499999872,0.504105619999997,-0.00641179999999929,-0.00789774999999882,-0.000549084999995406,-0.00286429999999932,-0.00381308499999833,-0.00233648500000133,-0.00802314999999947,-0.00720674499999872,0.0014556199999988,-0.00414901499999872,-0.00876393000000055,-0.00145426500000126,-0.0106111549999983,-0.00160385999999831,-0.00442764499999809,-0.0061823699999965,-0.000659494999999343,-0.00386591999999811,-0.00413764500000116,0.000668075000004008,-0.0101858799999976,0.00294893500000035,0.00302694999999832,-0.00283894500000069,-0.00179678500000185,0.00147530999999885,0.00371529000000004,-0.000939860000001185,-0.00394093999999977,-0.00489119499999867,-0.00966798499999681,-0.00475254499999875,0.0037873349999964,-0.0138362600000003,-0.00116884499999967
"8",-0.00767722999999882,0.000744724999999814,-0.0025851999999999,-0.00638581499999795,-0.0104805850000008,0.00670707999999725,-0.00641179999999929,0.487273200000001,0.00608632499999904,-0.00451048000000046,-0.00242800999999941,-0.000776555000002441,-0.00579124499999884,-0.00119459999999959,-0.00758683500000126,-0.00344438499999861,-0.000105765000000314,-0.0030306449999999,0.00074526500000009,-0.000846525000000357,-0.00618587000000118,-0.000147065000000476,-0.00137748500000081,0.00210645000000014,-0.00312194000000129,-0.00166131499999919,-0.007050885,-0.00214048000000084,-0.00518853499999913,-0.00481418999999944,0.00244601499999867,0.00120062500000173,0.0137272100000023,-0.00810350000000003,0.0208270200000011,-0.00211641000000011,0.182814720000001,0.00598426499999787,-0.00560605000000042,-0.00464857499999876,0.00441099499999824,-0.00508768000000028
"9",-0.0102275800000009,0.00167356000000028,-0.00633306499999798,-0.012738949999998,-0.000735105000001411,0.156776924999998,-0.00789774999999883,0.00608632499999903,0.497449755,0.00314949499999605,0.0804829199999985,-0.00342061000000297,-0.00543313499999933,0.00930381499999863,-0.00636744500000303,0.00117139500000142,0.0096911799999988,-0.00749344000000043,0.00476226999999974,-0.00459978500000043,0.000930404999996222,-0.0101936700000018,-0.0153349850000026,-0.00391594000000131,-0.0123229600000045,-0.00137603000000051,-0.00361640500000305,0.141907649999999,-0.00545151000000063,-0.00823131999999802,-0.00675328999999839,-0.000842954999997486,-0.0109849399999985,-0.00274195500000159,-0.010214644999997,-0.00744595500000196,-0.00203638500000183,0.00206655499999643,0.00761718999999986,-0.0151042599999965,-0.00887144500000126,0.00424950999999964
"10",-0.00679832499999944,-0.00648186000000014,-0.00473759499999584,0.00499580500000777,-0.00697850500000253,-0.00895593500000834,-0.000549084999995403,-0.00451048000000047,0.00314949499999606,0.49256226499999,0.000439854999996329,-0.000422210000007753,0.0355157199999998,-0.00251289500000555,0.00120354999999263,0.00604828500000692,-0.00361057500000191,0.00121914499999883,0.00129936000000293,0.000603109999997219,-0.0039614000000099,-0.0152837350000033,0.0050287249999922,0.109602260000001,-0.00598154500000791,0.00779234499999884,0.184661624999993,0.000124974999995283,0.0292322350000002,-0.00451722499999756,-0.00830873000000143,-0.00309105499999391,-0.00502243999999733,-0.00103314500000091,-0.00930599499999379,-0.000594365000002387,0.127555434999999,-0.00986855500001074,-0.0150438999999992,0.00253384000000769,-0.00067124000000487,0.00714719500000205
