"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
"1",0.503276915000004,0.0492439050000014,-0.00514168499999928,-0.000276345000000532,0.01350054,-0.00411003000000032,-0.00669374499999997,-0.0013746599999996,-0.000526285000000225,-0.00172276499999878,0.00823175999999991,0.00891783499999899,-0.00973992500000056,-0.00132572999999903,0.00773110499999941,6.06449999993628e-05,-0.00377194499999982,-0.00950341999999954,-0.00668704999999974,-0.00611699499999995,0.000870919999999627,-0.000951704999999539,-0.0122170950000003,-0.00510222999999974,-0.00287629500000092,0.00203222500000053,-0.00458887000000173,-0.0124591249999997,0.00474753499999998,-0.00694661999999983,0.017837345,-0.00303959000000068,-0.00659552000000099,-0.00542042500000033,-0.00480055500000037,0.00527148999999953,0.0645865000000003,-0.00593536500000051,-0.00309506000000022,0.00903291499999985,-0.0126943449999998,-0.00187722000000078,0.00160175500000094,-0.00467121499999972,-0.00791113000000074,-0.0040622200000006,-0.0112801650000005,0.00509729499999994,0.00539546500000086,-0.00368332499999965,-0.00888380999999992,0.00408457999999961,0.000222195000000194,-0.00121839500000115,-0.00540583500000009,-0.000135835000000131
"2",0.0492439050000014,0.494248114999998,0.00117160000000011,-0.000571689999999096,0.00368550499999922,-0.00603277500000008,-0.00682441500000018,0.00497515000000032,0.000954215000000146,0.000673514999999693,-0.011386729999999,-0.000719014999999843,-0.00253041500000054,-0.00167226500000013,-0.00352285999999967,0.00399267500000025,-0.00529953999999985,-0.0102979699999994,-0.00636338999999984,-0.00897826499999934,-0.00910356000000025,0.00486133000000164,-0.0104698950000002,-0.00691697000000069,-0.00621840999999943,-0.0042602850000001,0.000618449999999174,-0.0156089649999998,0.00526748999999961,0.00397954500000014,-0.00376536499999898,-0.00422735500000067,-0.00327067999999992,-0.00874979000000026,-0.010535815,-0.00567595000000097,0.137181320000001,-0.00585169500000122,-0.00375931499999907,-0.00236178999999959,-0.0023647350000008,0.0046016700000017,0.000193174999999907,0.00495825499999984,0.000209505000000264,-0.00353372500000149,-0.00800481500000007,-0.00404270500000028,-0.00145508000000061,0.000305845000001214,-0.00254292999999995,0.00192142999999919,0.0062202649999997,-0.00890777000000147,-0.0121245049999991,0.00382142500000013
"3",-0.00514168499999929,0.00117160000000011,0.493971155000001,-0.00507910999999971,-0.00555320000000137,0.110775935,0.0100510600000008,0.14543495,-0.00318341499999984,-0.00190531000000017,-0.00358292999999921,-0.00628106499999951,0.14441,0.00594806499999981,-0.00213323500000051,0.00128497999999968,-0.011753405,-0.00411498000000093,-0.00152223500000019,0.000391764999999495,-0.00591941500000036,-0.00780194999999943,-0.00294410999999951,0.00977139999999882,-0.0144677500000003,-0.00145179999999991,-0.00353815500000074,-0.00637558999999988,0.0724045499999997,0.00692765500000063,0.000294524999999771,-0.00412724999999994,-0.00677454999999881,-0.0124148400000008,-0.0106841350000003,-0.00606844999999982,-0.000408030000000545,-0.00210355000000032,-0.0122520449999999,-0.00281743999999997,-0.0119742549999996,-0.00776494999999902,0.00911459500000073,-0.00481219499999974,0.0123048599999997,-0.00240791000000097,-0.00943372499999962,0.00340723999999857,0.000627685000000538,-0.00223896499999995,-0.00904374499999983,0.00668473999999962,0.0116722400000013,-0.0120506950000003,-0.00990499500000022,0.000188259999999594
"4",-0.000276345000000527,-0.000571689999999102,-0.00507910999999972,0.504840425,-0.0187849899999995,-0.00717670500000023,-0.0056384949999988,0.00241399999999949,0.00207894499999876,-0.00556174500000151,-0.00691573999999957,-0.000894899999999129,-0.00130380500000098,-0.00442593500000001,0.0102107800000001,-0.00682786499999991,0.00114707499999937,-0.000236125000000317,-0.0110119099999994,-0.00204413499999958,-0.00378001999999965,-0.00110018000000037,-0.00793244999999967,-0.00799315000000034,-0.0077563949999988,-0.00956720000000015,-0.00112564999999877,0.00300603999999932,0.00157532499999989,-0.00950651000000128,-0.00894452500000062,-0.015391,-0.00489875999999941,0.00552382999999953,0.00123954500000051,-0.00325137999999836,0.000273870000000807,-0.00151784500000097,0.14975532,-0.00750351000000037,-0.00191598000000069,-0.00729474499999989,0.00295063500000028,0.00273688500000003,-0.00514236500000034,-0.00219283499999928,-0.000633805000000233,-0.00628568000000029,-0.00086130000000021,0.00136954999999871,-0.0141410100000001,-0.00848542999999878,-0.0109350299999997,0.000748735000000896,-0.00545949500000114,-0.00584577000000139
"5",0.01350054,0.00368550499999922,-0.00555320000000136,-0.0187849899999995,0.508193725,-0.01135409,0.00397971499999958,-0.00425836999999948,-0.00368305499999993,-0.00638117499999885,-0.00369118500000014,-0.00146785500000117,-0.00834085999999941,-0.00869132499999896,-0.00711919999999942,-0.00615642000000072,-0.0115348199999992,-0.00619471499999934,-0.00039778999999944,-0.00542370000000045,-0.00413483500000136,-0.00463435999999976,-0.00308826999999998,0.00294469999999937,-0.00838458000000092,-0.00493446999999927,0.000545954999999685,-0.00212693499999966,-0.0152373099999994,-0.0071511199999996,-0.00572789999999928,-0.00444576999999914,-0.00684117999999961,0.0108715549999999,0.09355435,-0.00179025000000053,0.00499574999999917,0.000386509999999975,-0.0203664650000003,0.00307866499999945,-0.00352891499999993,0.00315392500000021,0.000227000000001391,0.00151059499999939,-0.000613745000000199,-0.000755655000000001,-0.0060656849999997,-0.00145691999999922,-0.0027385500000004,-0.00089220999999931,-0.00568613500000056,-0.00305133500000056,4.38699999988526e-05,-0.0109551299999996,-0.00772451500000003,-0.00329514499999989
"6",-0.00411003000000033,-0.00603277500000008,0.110775935,-0.00717670500000023,-0.01135409,0.506175040000001,-0.0127795899999998,0.0451552099999995,-0.00771225499999991,-0.000775014999999717,0.0153039350000007,-0.01315805,-0.00540122999999934,0.0131281799999987,-0.0096000599999996,-0.00264302499999941,-0.00432872000000153,-0.0134067150000001,-0.0149380749999997,-0.0046085300000006,0.113495235,-0.00921814999999978,-0.000279860000000254,-0.00855362000000074,0.0131221299999994,0.0111910449999998,-0.00731500000000064,-0.0108552749999991,0.164482065,-0.00827418500000002,-0.00762678000000038,0.00448753000000043,0.00145624500000033,0.0114924300000004,-0.00813429000000067,-0.00250142499999966,-0.00743900499999992,-0.00510521499999962,-0.00376978500000101,-0.00247605499999951,-0.00389705500000038,0.0023424500000009,-0.00108009000000024,-0.0036673150000005,0.00117024499999997,-0.00993838499999997,0.00138943500000059,-0.0128957249999999,0.000404770000000253,-0.012053995000001,0.00637784500000073,-0.00557185500000016,-0.000408345000000231,-0.00349594499999958,-0.00458387999999921,-0.00729914500000059
"7",-0.00669374499999996,-0.00682441500000019,0.0100510600000008,-0.00563849499999881,0.00397971499999957,-0.0127795899999998,0.492754575000001,-0.00107202499999951,0.00194390500000055,0.00590112000000004,0.00102182500000102,-0.00788549499999941,0.00347507499999989,-0.0119534949999992,-0.00382060000000058,0.00157122500000067,-0.000469729999998985,-0.000713985000000144,0.00945805499999991,-0.00096537000000022,-0.000240294999999873,-0.00347221500000015,-0.00877529499999965,0.182089229999999,-0.00570985000000011,-0.00697390500000153,-0.000761185000001101,0.127547115,-0.00894006000000001,-0.00230906500000025,-0.0110899999999995,0.00146682000000049,-0.00494001999999913,-0.00560231999999998,0.00300179999999993,0.0112171300000003,-0.00820982500000007,-0.00456034000000018,0.00349734499999993,0.0035657950000003,-0.0138041299999996,-0.00573323499999847,-0.00170698000000029,-0.0074081500000001,-0.00862509000000015,-0.00182442500000057,0.00598563499999962,0.00437475500000035,-0.0138170200000001,-0.0124093750000006,-0.00613241499999898,0.00224865000000006,-0.00904681999999973,0.00537817999999933,0.000325409999999926,-0.00590121500000188
"8",-0.00137465999999961,0.00497515000000031,0.14543495,0.00241399999999949,-0.00425836999999949,0.0451552099999995,-0.00107202499999951,0.50320361,-0.0028348450000005,-0.00517635999999947,-0.00892902000000185,-0.00289858500000028,-0.0125733900000007,-0.0113305050000011,-0.00775765500000003,0.00144456000000082,-0.00621242500000126,0.000213764999999904,0.000260584999999627,-0.00423349000000042,-0.00692532999999929,0.212736250000001,-0.00133351500000062,0.00153354499999967,-0.00926093500000038,-0.00734046000000054,-0.0103610349999987,-0.0100986149999997,0.154602689999999,0.000308169999999074,-0.00422022999999971,-0.00429211499999969,-0.00606984000000147,-0.00278172000000046,-0.0138385550000001,-0.0102846649999999,0.00185673999999965,-0.00904068999999986,0.00271225499999959,0.0001942450000014,-0.0066108150000011,-0.00823570499999998,0.00832753000000073,-0.00154496999999969,-0.00909168500000052,-0.00682201499999948,-0.00705653999999904,0.00501276499999986,-0.00895095499999911,0.00386994499999957,0.00139113500000025,0.00585410500000002,-0.00465808500000022,-0.011994159999999,-0.00413627499999954,-0.00586983000000108
"9",-0.000526285000000228,0.000954215000000145,-0.00318341499999984,0.00207894499999876,-0.00368305499999992,-0.00771225499999991,0.00194390500000055,-0.0028348450000005,0.503907769999999,-0.00108171999999918,-0.00943235000000067,0.0942493949999986,-0.00889061500000047,-0.0049070399999997,0.00776901500000013,0.00191974999999927,0.000927884999999608,-0.0109840749999997,0.000437770000000872,-0.00691813000000041,-0.0117647600000004,0.000874254999999537,0.00228302000000032,-0.0048744049999996,-0.00259292999999991,-0.00478730499999967,0.186112674999999,-0.000953600000000249,-0.00698324499999983,0.00106171000000036,-0.000866325000000492,-0.00230813000000029,-0.00991633000000156,0.00425449499999962,0.0057708799999999,-0.00771706500000052,-0.000751190000000318,2.08349999996474e-05,-0.00896568499999992,0.00142617500000091,-0.00674389499999977,-0.00679415000000124,-0.00707105999999831,-0.00432223999999992,0.00790928999999997,-0.00365257499999938,1.53400000005525e-05,-0.0112132649999992,-0.00575722500000021,-0.00743065999999979,-0.0077019000000008,-0.00382833499999987,-0.00543239500000068,0.0890665800000002,-0.00272385000000004,-0.00837127999999976
"10",-0.00172276499999877,0.000673514999999688,-0.00190531000000018,-0.0055617450000015,-0.00638117499999885,-0.000775014999999714,0.00590112000000003,-0.00517635999999947,-0.00108171999999918,0.498633020000001,0.00412082000000029,-0.0077428150000005,-0.0123271199999999,0.00204921999999986,-0.00560395500000016,-0.000198079999999851,-0.00368386499999954,-0.0113307349999995,0.0062120550000001,0.008406245,-0.0077014150000002,0.147470545,-0.0018048450000006,-1.95699999999457e-05,-0.000228009999999462,-0.0035502900000003,0.00534090500000001,-0.00598191500000029,8.69050000006907e-05,0.00195356499999944,-0.0163922250000006,-0.0111108199999998,-0.00579782500000038,0.00201809999999991,-0.0149221649999994,-0.00653807000000051,-0.00653043000000017,-0.0088691599999996,-0.000252030000000188,-0.00317465999999991,-0.00733265499999925,0.00317702999999935,-0.00415945499999986,-0.00289912499999918,-0.00117042500000008,-0.00787916499999941,-0.000385990000000376,0.000915884999999722,7.03150000010331e-05,-0.00611882499999915,-0.00471345500000089,0.00125876999999987,0.013157369999999,-0.00725583999999876,0.000819320000000856,0.00290989500000004
"11",0.00823175999999992,-0.011386729999999,-0.00358292999999922,-0.00691573999999957,-0.00369118500000015,0.0153039350000007,0.00102182500000102,-0.00892902000000183,-0.00943235000000065,0.0041208200000003,0.500947139999999,-0.00892145999999937,-0.00665884999999938,-0.00419587500000018,0.00166141500000061,0.00622459500000051,0.00112831999999991,-0.0114978699999998,-0.0159445449999998,-0.0108778800000004,0.0128949400000005,-0.0100723199999997,0.00764026500000028,-0.00517591499999978,0.157471449999999,-0.00556072000000043,-0.00493891999999952,-0.00803669500000062,-0.0180724900000008,-0.00383120500000098,-0.00800638500000043,-0.00488134999999918,-0.00559535500000028,-0.0086401499999999,0.00102393999999964,-0.00146927499999955,-0.0109405799999991,0.119718969999999,-0.0023799849999989,-0.011484599999999,-0.00327869000000009,-0.00614308499999887,-0.0070235050000013,-0.0114602550000008,-0.00609052999999962,-0.0151979000000003,-0.00963873999999909,-0.0130793700000004,-0.000667029999998937,-0.0075489550000011,-0.005015324999999,-0.010876980000001,-0.0043872449999999,-0.010762589999999,-0.00876765000000098,-0.00854360500000168
"12",0.008917834999999,-0.000719014999999846,-0.00628106499999951,-0.000894899999999128,-0.00146785500000117,-0.01315805,-0.0078854949999994,-0.00289858500000028,0.0942493949999986,-0.0077428150000005,-0.00892145999999936,0.488519305,-0.0119169849999994,0.000819359999999853,-0.00359040999999973,-0.00938322499999952,-0.00748867500000009,0.13960037,-0.00245924999999978,0.00140225000000013,0.000811535000000461,-0.0120429750000004,-0.001030754999999,-0.00543732999999961,-0.00100105999999941,-0.00356901499999938,0.0123862550000004,-0.0120295900000003,-0.00284601000000075,-0.00236392500000125,0.00251036999999962,0.0039567150000015,-0.00443955499999845,0.0116347150000004,0.00844244499999954,-0.00306748499999892,-0.0103201799999994,-0.00562498500000011,-0.00892546499999898,0.00617252499999896,-0.000445379999999151,0.00746693000000071,-0.00315619000000037,0.0102336,0.00097302000000007,-0.00765680499999933,-0.0122333149999988,-0.0148696300000003,-0.00614425500000003,0.144518759999998,-0.00203192999999993,0.000615600000001135,-0.00391288499999969,-0.00470702000000014,-0.0108266000000007,-0.00471260000000088
"13",-0.00973992500000055,-0.00253041500000054,0.14441,-0.00130380500000098,-0.00834085999999941,-0.00540122999999933,0.0034750749999999,-0.0125733900000007,-0.00889061500000048,-0.0123271199999999,-0.00665884999999939,-0.0119169849999994,0.500286195,-0.00343713500000004,-0.000193300000000622,-0.0122758049999994,-0.00420214499999939,0.00391738999999992,-0.0138403550000001,-0.00613102499999998,-0.00639816999999922,-0.00916926500000074,0.0027259400000016,0.187330395000001,-0.00862727999999988,-0.00826061499999943,-0.00514719499999823,-0.00386670000000111,-0.00500699500000045,0.00120857999999949,-0.00245949499999997,-0.0105371500000002,-0.00194835499999981,-0.00473148000000034,-0.0102247399999996,-0.00351770499999918,-0.00650790999999936,-0.00374927999999889,-0.00706017499999934,0.00777578499999991,-0.00558759499999951,-0.00562355499999983,-0.000405175000000502,-0.00559355499999919,0.010351925000001,-0.00764169499999974,-0.00413211499999907,-0.00818102000000071,-0.00126240500000084,-0.00643367500000129,-0.0065806950000001,-0.00608138999999908,0.0045472450000006,-0.00878679999999979,0.00502652999999961,0.125525505
